<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMPL.V,D,20200710,000000,2.953,3.217,2.934,3.12,0,0
AMPL.V,D,20200711,000000,3.121,3.49,2.51,3.49,0,0
AMPL.V,D,20200712,000000,3.49,4,3.097,3.747,0,0
AMPL.V,D,20200713,000000,3.747,3.985,1.85,2.321,0,0
AMPL.V,D,20200714,000000,2.321,2.321,1.318,1.716,0,0
AMPL.V,D,20200715,000000,1.716,1.846,1.424,1.656,0,0
AMPL.V,D,20200716,000000,1.666,2.412,1.641,2.167,0,0
AMPL.V,D,20200717,000000,2.167,2.962,2.163,2.676,0,0
AMPL.V,D,20200718,000000,2.737,3,2.15,2.55,0,0
AMPL.V,D,20200719,000000,2.55,2.96,2.23,2.96,0,0
AMPL.V,D,20200720,000000,2.96,3,2.534,2.953,0,0
AMPL.V,D,20200721,000000,2.953,3.105,2.251,2.86,0,0
AMPL.V,D,20200722,000000,2.84,2.92,2.3,2.368,0,0
AMPL.V,D,20200723,000000,2.368,2.45,1.679,1.891,0,0
AMPL.V,D,20200724,000000,1.891,2.4,1.74,2.4,0,0
AMPL.V,D,20200725,000000,2.4,2.622,2.11,2.6,0,0
AMPL.V,D,20200726,000000,2.6,2.839,2.293,2.839,0,0
AMPL.V,D,20200727,000000,2.839,2.96,1.86,2.276,0,0
AMPL.V,D,20200728,000000,2.276,2.32,1.521,1.56,0,0
AMPL.V,D,20200729,000000,1.56,1.811,1.09,1.337,0,0
