<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHT.V,D,20200510,000000,0.1469,0.1646,0.1436,0.1572,0,0
BHT.V,D,20200511,000000,0.1572,0.1657,0.1468,0.1583,0,0
BHT.V,D,20200512,000000,0.1584,0.1877,0.1565,0.1854,0,0
BHT.V,D,20200513,000000,0.1854,0.2098,0.1804,0.209,0,0
BHT.V,D,20200514,000000,0.209,0.2205,0.1908,0.2024,0,0
BHT.V,D,20200515,000000,0.2023,0.2097,0.1867,0.2086,0,0
BHT.V,D,20200516,000000,0.2087,0.2127,0.1976,0.2009,0,0
BHT.V,D,20200517,000000,0.2009,0.2031,0.1943,0.2026,0,0
BHT.V,D,20200518,000000,0.2026,0.2026,0.1758,0.1771,0,0
BHT.V,D,20200519,000000,0.1771,0.1771,0.1605,0.1647,0,0
BHT.V,D,20200520,000000,0.1647,0.1699,0.1539,0.1584,0,0
BHT.V,D,20200521,000000,0.1584,0.1708,0.144,0.169,0,0
BHT.V,D,20200522,000000,0.1689,0.1806,0.1596,0.1629,0,0
BHT.V,D,20200523,000000,0.163,0.1675,0.1586,0.1658,0,0
BHT.V,D,20200524,000000,0.1658,0.1675,0.1511,0.1571,0,0
BHT.V,D,20200525,000000,0.1572,0.1587,0.1509,0.1543,0,0
BHT.V,D,20200526,000000,0.1543,0.1576,0.153,0.1534,0,0
BHT.V,D,20200527,000000,0.1534,0.1631,0.1498,0.158,0,0
BHT.V,D,20200528,000000,0.158,0.1595,0.1559,0.1581,0,0
BHT.V,D,20200529,000000,0.1581,0.1594,0.1554,0.1556,0,0
BHT.V,D,20200530,000000,0.1556,0.156,0.1509,0.1522,0,0
BHT.V,D,20200531,000000,0.1522,0.1537,0.1446,0.1455,0,0
BHT.V,D,20200601,000000,0.1455,0.1465,0.1443,0.145,0,0
BHT.V,D,20200602,000000,0.145,0.1507,0.1388,0.1451,0,0
BHT.V,D,20200603,000000,0.1451,0.1466,0.1443,0.1459,0,0
BHT.V,D,20200604,000000,0.1459,0.1628,0.1434,0.1596,0,0
BHT.V,D,20200605,000000,0.1596,0.1616,0.1532,0.1535,0,0
BHT.V,D,20200606,000000,0.1535,0.1539,0.1507,0.1518,0,0
BHT.V,D,20200607,000000,0.1518,0.1529,0.1447,0.1467,0,0
BHT.V,D,20200608,000000,0.1467,0.1471,0.1431,0.1435,0,0
BHT.V,D,20200609,000000,0.1434,0.1443,0.135,0.1373,0,0
BHT.V,D,20200610,000000,0.1373,0.1388,0.1343,0.1373,0,0
BHT.V,D,20200611,000000,0.1373,0.1394,0.1311,0.1344,0,0
BHT.V,D,20200612,000000,0.1344,0.1389,0.1321,0.1377,0,0
BHT.V,D,20200613,000000,0.1377,0.1386,0.1354,0.1374,0,0
BHT.V,D,20200614,000000,0.1373,0.14,0.1368,0.1381,0,0
BHT.V,D,20200615,000000,0.1381,0.139,0.1309,0.1343,0,0
BHT.V,D,20200616,000000,0.1343,0.1364,0.1325,0.133,0,0
BHT.V,D,20200617,000000,0.133,0.1345,0.132,0.1325,0,0
BHT.V,D,20200618,000000,0.1325,0.1342,0.1313,0.1331,0,0
BHT.V,D,20200619,000000,0.1331,0.1344,0.13,0.1319,0,0
BHT.V,D,20200620,000000,0.132,0.1324,0.1284,0.1299,0,0
BHT.V,D,20200621,000000,0.1299,0.1312,0.1298,0.1306,0,0
BHT.V,D,20200622,000000,0.1306,0.1386,0.1303,0.1374,0,0
BHT.V,D,20200623,000000,0.1373,0.1447,0.1366,0.1446,0,0
BHT.V,D,20200624,000000,0.1446,0.1557,0.1393,0.1409,0,0
BHT.V,D,20200625,000000,0.1409,0.1448,0.1408,0.1432,0,0
BHT.V,D,20200626,000000,0.1432,0.1436,0.138,0.1389,0,0
BHT.V,D,20200627,000000,0.1389,0.1391,0.1323,0.1345,0,0
BHT.V,D,20200628,000000,0.1345,0.1357,0.1317,0.1337,0,0
BHT.V,D,20200629,000000,0.1337,0.1398,0.1332,0.1396,0,0
BHT.V,D,20200630,000000,0.1395,0.1399,0.1371,0.1375,0,0
BHT.V,D,20200701,000000,0.1375,0.1396,0.1365,0.1388,0,0
BHT.V,D,20200702,000000,0.1388,0.1409,0.1351,0.1366,0,0
BHT.V,D,20200703,000000,0.1365,0.1393,0.1345,0.1386,0,0
BHT.V,D,20200704,000000,0.1386,0.1427,0.1373,0.1413,0,0
BHT.V,D,20200705,000000,0.1413,0.1466,0.1394,0.1445,0,0
BHT.V,D,20200706,000000,0.1443,0.1479,0.1407,0.1455,0,0
BHT.V,D,20200707,000000,0.1454,0.146,0.1427,0.1439,0,0
BHT.V,D,20200708,000000,0.1439,0.1463,0.1432,0.1449,0,0
BHT.V,D,20200709,000000,0.1449,0.1452,0.1413,0.1426,0,0
BHT.V,D,20200710,000000,0.1426,0.1442,0.1418,0.1437,0,0
BHT.V,D,20200711,000000,0.1437,0.1452,0.1428,0.1434,0,0
BHT.V,D,20200712,000000,0.1434,0.1442,0.1421,0.1425,0,0
BHT.V,D,20200713,000000,0.1425,0.1432,0.1391,0.1395,0,0
BHT.V,D,20200714,000000,0.1395,0.1404,0.1358,0.1364,0,0
BHT.V,D,20200715,000000,0.1363,0.1379,0.1362,0.137,0,0
BHT.V,D,20200716,000000,0.137,0.1389,0.1355,0.1358,0,0
BHT.V,D,20200717,000000,0.1357,0.1366,0.1345,0.1346,0,0
BHT.V,D,20200718,000000,0.1345,0.1356,0.1337,0.134,0,0
BHT.V,D,20200719,000000,0.134,0.1356,0.1324,0.1355,0,0
BHT.V,D,20200720,000000,0.1354,0.1373,0.135,0.1359,0,0
BHT.V,D,20200721,000000,0.1359,0.1372,0.1343,0.137,0,0
BHT.V,D,20200722,000000,0.1371,0.1435,0.1366,0.1397,0,0
BHT.V,D,20200723,000000,0.1397,0.1419,0.136,0.1368,0,0
BHT.V,D,20200724,000000,0.1368,0.1371,0.1325,0.1347,0,0
BHT.V,D,20200725,000000,0.1346,0.135,0.1336,0.1343,0,0
BHT.V,D,20200726,000000,0.1343,0.1363,0.1331,0.1342,0,0
BHT.V,D,20200727,000000,0.1341,0.1363,0.1311,0.1335,0,0
BHT.V,D,20200728,000000,0.1335,0.1362,0.1311,0.1348,0,0
BHT.V,D,20200729,000000,0.1348,0.1368,0.1326,0.1347,0,0
