<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HC.V,D,20180117,000000,2.37,3.31,1.82,2.77,0,0
HC.V,D,20180118,000000,2.78,4.72,2.43,3.77,0,0
HC.V,D,20180119,000000,3.73,4.61,3.59,4.34,0,0
HC.V,D,20180120,000000,4.38,5.2,4.29,4.62,0,0
HC.V,D,20180121,000000,4.63,4.76,3.42,3.93,0,0
HC.V,D,20180122,000000,3.85,4.14,3.56,4.01,0,0
HC.V,D,20200407,000000,1.093,1.133,1.057,1.078,0,0
HC.V,D,20200408,000000,1.076,1.144,1.058,1.13,0,0
HC.V,D,20200409,000000,1.13,1.145,1.098,1.119,0,0
HC.V,D,20200410,000000,1.119,1.122,1.003,1.039,0,0
HC.V,D,20200411,000000,1.039,1.066,1.02,1.038,0,0
HC.V,D,20200412,000000,1.038,1.068,1.026,1.048,0,0
HC.V,D,20200413,000000,1.048,1.052,0.9822,1.006,0,0
HC.V,D,20200414,000000,1.006,1.023,0.9991,1.001,0,0
HC.V,D,20200415,000000,1.001,1.017,0.9842,0.9913,0,0
HC.V,D,20200416,000000,0.9913,1.057,0.9592,1.038,0,0
HC.V,D,20200417,000000,1.038,1.063,1.027,1.033,0,0
HC.V,D,20200418,000000,1.032,1.064,1.027,1.056,0,0
HC.V,D,20200419,000000,1.056,1.065,1.012,1.04,0,0
HC.V,D,20200420,000000,1.04,1.042,0.9644,0.9771,0,0
HC.V,D,20200421,000000,0.9756,1.004,0.9496,0.9871,0,0
HC.V,D,20200422,000000,0.9878,1.021,0.9539,1.009,0,0
HC.V,D,20200423,000000,1.009,1.057,0.9672,1.036,0,0
HC.V,D,20200424,000000,1.036,1.053,1.017,1.036,0,0
HC.V,D,20200425,000000,1.035,1.09,1.023,1.06,0,0
HC.V,D,20200426,000000,1.06,1.119,1.055,1.103,0,0
HC.V,D,20200427,000000,1.103,1.11,1.046,1.06,0,0
HC.V,D,20200428,000000,1.058,1.095,1.054,1.061,0,0
HC.V,D,20200429,000000,1.062,1.187,1.061,1.172,0,0
HC.V,D,20200430,000000,1.171,1.221,1.09,1.123,0,0
HC.V,D,20200501,000000,1.123,1.182,1.119,1.147,0,0
HC.V,D,20200502,000000,1.148,1.172,1.126,1.166,0,0
HC.V,D,20200503,000000,1.165,1.204,1.132,1.15,0,0
HC.V,D,20200504,000000,1.15,1.163,1.067,1.125,0,0
HC.V,D,20200505,000000,1.125,1.132,1.09,1.109,0,0
HC.V,D,20200506,000000,1.109,1.126,1.09,1.106,0,0
HC.V,D,20200507,000000,1.106,1.118,1.057,1.09,0,0
HC.V,D,20200508,000000,1.091,1.139,1.081,1.139,0,0
HC.V,D,20200509,000000,1.139,1.155,1.088,1.095,0,0
HC.V,D,20200510,000000,1.095,1.102,0.9662,1.01,0,0
HC.V,D,20200511,000000,1.01,1.022,0.9348,0.9791,0,0
HC.V,D,20200512,000000,0.9794,1.02,0.972,0.9968,0,0
HC.V,D,20200513,000000,0.9978,1.035,0.9962,1.02,0,0
HC.V,D,20200514,000000,1.019,1.048,1.011,1.038,0,0
HC.V,D,20200515,000000,1.038,1.049,1.003,1.013,0,0
HC.V,D,20200516,000000,1.013,1.038,0.992,1.03,0,0
HC.V,D,20200517,000000,1.03,1.049,1.024,1.043,0,0
HC.V,D,20200518,000000,1.043,1.067,1.028,1.033,0,0
HC.V,D,20200519,000000,1.033,1.066,1.025,1.06,0,0
HC.V,D,20200520,000000,1.06,1.096,1.038,1.055,0,0
HC.V,D,20200521,000000,1.055,1.132,1.04,1.092,0,0
HC.V,D,20200522,000000,1.092,1.984,1.088,1.456,0,0
HC.V,D,20200523,000000,1.459,1.59,1.339,1.376,0,0
HC.V,D,20200524,000000,1.378,1.417,1.249,1.285,0,0
HC.V,D,20200525,000000,1.285,1.335,1.212,1.297,0,0
HC.V,D,20200526,000000,1.297,1.317,1.236,1.264,0,0
HC.V,D,20200527,000000,1.263,1.296,1.247,1.26,0,0
HC.V,D,20200528,000000,1.26,1.301,1.245,1.277,0,0
HC.V,D,20200529,000000,1.277,1.316,1.26,1.271,0,0
HC.V,D,20200530,000000,1.271,1.411,1.258,1.349,0,0
HC.V,D,20200531,000000,1.349,1.387,1.316,1.34,0,0
HC.V,D,20200601,000000,1.34,1.393,1.318,1.362,0,0
HC.V,D,20200602,000000,1.362,1.444,1.296,1.348,0,0
HC.V,D,20200603,000000,1.347,1.36,1.311,1.357,0,0
HC.V,D,20200604,000000,1.357,1.371,1.329,1.346,0,0
HC.V,D,20200605,000000,1.346,1.359,1.327,1.344,0,0
HC.V,D,20200606,000000,1.344,1.352,1.313,1.334,0,0
HC.V,D,20200607,000000,1.334,1.336,1.257,1.311,0,0
HC.V,D,20200608,000000,1.311,1.327,1.292,1.321,0,0
HC.V,D,20200609,000000,1.321,1.347,1.294,1.328,0,0
HC.V,D,20200610,000000,1.328,1.358,1.316,1.331,0,0
HC.V,D,20200611,000000,1.331,1.358,1.218,1.251,0,0
HC.V,D,20200612,000000,1.251,1.252,1.176,1.242,0,0
HC.V,D,20200613,000000,1.242,1.259,1.231,1.259,0,0
HC.V,D,20200614,000000,1.259,1.268,1.206,1.214,0,0
HC.V,D,20200615,000000,1.214,1.218,1.121,1.191,0,0
HC.V,D,20200616,000000,1.194,1.243,1.177,1.213,0,0
HC.V,D,20200617,000000,1.213,1.22,1.172,1.187,0,0
HC.V,D,20200618,000000,1.187,1.206,1.178,1.191,0,0
HC.V,D,20200619,000000,1.191,1.206,1.158,1.173,0,0
HC.V,D,20200620,000000,1.173,1.214,1.165,1.19,0,0
HC.V,D,20200621,000000,1.19,1.258,1.186,1.216,0,0
HC.V,D,20200622,000000,1.216,1.27,1.199,1.253,0,0
HC.V,D,20200623,000000,1.253,1.258,1.221,1.237,0,0
HC.V,D,20200624,000000,1.237,1.248,1.168,1.18,0,0
HC.V,D,20200625,000000,1.18,1.186,1.138,1.167,0,0
HC.V,D,20200626,000000,1.167,1.168,1.117,1.142,0,0
HC.V,D,20200627,000000,1.142,1.149,1.059,1.082,0,0
HC.V,D,20200628,000000,1.082,1.106,1.04,1.097,0,0
HC.V,D,20200629,000000,1.097,1.111,1.073,1.109,0,0
HC.V,D,20200630,000000,1.109,1.121,1.099,1.105,0,0
HC.V,D,20200701,000000,1.105,1.109,1.08,1.09,0,0
HC.V,D,20200702,000000,1.09,1.111,1.056,1.079,0,0
HC.V,D,20200703,000000,1.078,1.1,1.067,1.089,0,0
HC.V,D,20200704,000000,1.089,1.12,1.08,1.111,0,0
HC.V,D,20200705,000000,1.111,1.12,1.083,1.11,0,0
HC.V,D,20200706,000000,1.11,1.212,1.108,1.196,0,0
HC.V,D,20200707,000000,1.195,1.243,1.183,1.204,0,0
HC.V,D,20200708,000000,1.204,1.311,1.189,1.29,0,0
HC.V,D,20200709,000000,1.29,1.324,1.244,1.266,0,0
HC.V,D,20200710,000000,1.266,1.269,1.216,1.221,0,0
HC.V,D,20200711,000000,1.222,1.282,1.222,1.27,0,0
HC.V,D,20200712,000000,1.27,1.302,1.236,1.242,0,0
HC.V,D,20200713,000000,1.242,1.298,1.235,1.258,0,0
HC.V,D,20200714,000000,1.258,1.426,1.23,1.367,0,0
HC.V,D,20200715,000000,1.361,1.424,1.315,1.327,0,0
HC.V,D,20200716,000000,1.327,1.333,1.223,1.277,0,0
HC.V,D,20200717,000000,1.277,1.301,1.244,1.278,0,0
HC.V,D,20200718,000000,1.27,1.292,1.252,1.273,0,0
HC.V,D,20200719,000000,1.272,1.285,1.251,1.28,0,0
HC.V,D,20200720,000000,1.28,1.325,1.269,1.293,0,0
HC.V,D,20200721,000000,1.293,1.309,1.271,1.297,0,0
HC.V,D,20200722,000000,1.298,1.308,1.273,1.293,0,0
HC.V,D,20200723,000000,1.293,1.328,1.289,1.319,0,0
HC.V,D,20200724,000000,1.319,1.322,1.267,1.289,0,0
HC.V,D,20200725,000000,1.289,1.324,1.276,1.321,0,0
HC.V,D,20200726,000000,1.321,1.406,1.316,1.383,0,0
HC.V,D,20200727,000000,1.384,1.397,1.281,1.343,0,0
HC.V,D,20200728,000000,1.343,1.386,1.318,1.373,0,0
HC.V,D,20200729,000000,1.372,1.425,1.349,1.381,0,0
