<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOST.V,D,20180118,000000,0.02613,0.03839,0.02592,0.0368,0,0
IOST.V,D,20180119,000000,0.03791,0.04149,0.03112,0.0409,0,0
IOST.V,D,20180120,000000,0.04536,0.04662,0.04043,0.04534,0,0
IOST.V,D,20180121,000000,0.04115,0.04165,0.03275,0.03524,0,0
IOST.V,D,20180122,000000,0.03374,0.03755,0.02879,0.0319,0,0
IOST.V,D,20180123,000000,0.03142,0.04531,0.03052,0.03763,0,0
IOST.V,D,20180124,000000,0.03763,0.138,0.03763,0.1253,0,0
IOST.V,D,20180125,000000,0.1235,0.1339,0.08476,0.09958,0,0
IOST.V,D,20180126,000000,0.1003,0.1071,0.08272,0.09239,0,0
IOST.V,D,20180127,000000,0.09765,0.0998,0.08651,0.08832,0,0
IOST.V,D,20180128,000000,0.09231,0.09346,0.0773,0.07753,0,0
IOST.V,D,20180129,000000,0.0773,0.0822,0.06387,0.07112,0,0
IOST.V,D,20180130,000000,0.07113,0.07163,0.05359,0.0584,0,0
IOST.V,D,20180131,000000,0.0584,0.05904,0.04974,0.05501,0,0
IOST.V,D,20180201,000000,0.05501,0.06764,0.04683,0.05281,0,0
IOST.V,D,20180202,000000,0.05281,0.05622,0.03676,0.04504,0,0
IOST.V,D,20180203,000000,0.04504,0.05041,0.04028,0.04783,0,0
IOST.V,D,20180204,000000,0.04783,0.04921,0.03749,0.04124,0,0
IOST.V,D,20180205,000000,0.04127,0.0417,0.02634,0.02847,0,0
IOST.V,D,20180206,000000,0.02844,0.03545,0.02388,0.03296,0,0
IOST.V,D,20180207,000000,0.03301,0.04038,0.0304,0.03499,0,0
IOST.V,D,20180208,000000,0.03499,0.04139,0.03281,0.0397,0,0
IOST.V,D,20180209,000000,0.03971,0.04289,0.03581,0.04116,0,0
IOST.V,D,20180210,000000,0.04118,0.04656,0.03746,0.03938,0,0
IOST.V,D,20180211,000000,0.03945,0.0399,0.03326,0.03685,0,0
IOST.V,D,20180212,000000,0.03683,0.03935,0.03505,0.0376,0,0
IOST.V,D,20180213,000000,0.0376,0.03879,0.03532,0.0365,0,0
IOST.V,D,20180214,000000,0.0365,0.04211,0.03644,0.04068,0,0
IOST.V,D,20180215,000000,0.04068,0.04206,0.03924,0.041,0,0
IOST.V,D,20180216,000000,0.041,0.04365,0.03997,0.04342,0,0
IOST.V,D,20180217,000000,0.04343,0.05467,0.04329,0.05224,0,0
IOST.V,D,20180218,000000,0.05224,0.05458,0.0441,0.04708,0,0
IOST.V,D,20180219,000000,0.04699,0.04909,0.04567,0.04692,0,0
IOST.V,D,20180220,000000,0.04692,0.04799,0.04358,0.04404,0,0
IOST.V,D,20180221,000000,0.04394,0.04394,0.03697,0.0387,0,0
IOST.V,D,20180222,000000,0.0387,0.04185,0.03496,0.03639,0,0
IOST.V,D,20180223,000000,0.03651,0.03869,0.03429,0.0372,0,0
IOST.V,D,20180224,000000,0.03719,0.03908,0.03416,0.03506,0,0
IOST.V,D,20180225,000000,0.0351,0.03618,0.03282,0.03504,0,0
IOST.V,D,20180226,000000,0.03503,0.03632,0.03259,0.03505,0,0
IOST.V,D,20180227,000000,0.03516,0.0385,0.0341,0.03783,0,0
IOST.V,D,20180228,000000,0.03783,0.03804,0.03386,0.03464,0,0
IOST.V,D,20180301,000000,0.03465,0.0364,0.03202,0.03509,0,0
IOST.V,D,20180302,000000,0.03511,0.03681,0.0338,0.03465,0,0
IOST.V,D,20180303,000000,0.03474,0.03572,0.03402,0.03425,0,0
IOST.V,D,20180304,000000,0.03428,0.03495,0.03275,0.03418,0,0
IOST.V,D,20180305,000000,0.0342,0.0369,0.03411,0.03581,0,0
IOST.V,D,20180306,000000,0.03575,0.03575,0.03065,0.03122,0,0
IOST.V,D,20180307,000000,0.03127,0.03205,0.02384,0.0239,0,0
IOST.V,D,20180308,000000,0.02418,0.02515,0.01909,0.01948,0,0
IOST.V,D,20180309,000000,0.01947,0.02005,0.01613,0.01886,0,0
IOST.V,D,20180310,000000,0.01886,0.01991,0.01747,0.0178,0,0
IOST.V,D,20180311,000000,0.01771,0.0227,0.01672,0.02192,0,0
IOST.V,D,20180312,000000,0.02181,0.02321,0.0182,0.0195,0,0
IOST.V,D,20180313,000000,0.0195,0.02152,0.0189,0.02064,0,0
IOST.V,D,20180314,000000,0.02073,0.0223,0.01769,0.0186,0,0
IOST.V,D,20180315,000000,0.01861,0.01895,0.01643,0.01801,0,0
IOST.V,D,20180316,000000,0.01801,0.01947,0.01702,0.01913,0,0
IOST.V,D,20180317,000000,0.01913,0.01925,0.01663,0.0171,0,0
IOST.V,D,20180318,000000,0.01718,0.01718,0.01374,0.01633,0,0
IOST.V,D,20180319,000000,0.01633,0.01847,0.01624,0.01815,0,0
IOST.V,D,20180320,000000,0.01815,0.01935,0.01714,0.0191,0,0
IOST.V,D,20180321,000000,0.0191,0.02166,0.01839,0.02053,0,0
IOST.V,D,20180322,000000,0.02053,0.02323,0.01968,0.02125,0,0
IOST.V,D,20180323,000000,0.02125,0.02796,0.01868,0.02469,0,0
IOST.V,D,20180324,000000,0.02468,0.02905,0.02388,0.0251,0,0
IOST.V,D,20180325,000000,0.0251,0.0304,0.02423,0.02887,0,0
IOST.V,D,20180326,000000,0.02888,0.02927,0.02289,0.02369,0,0
IOST.V,D,20180327,000000,0.02368,0.02615,0.02272,0.02469,0,0
IOST.V,D,20180328,000000,0.02469,0.0274,0.02345,0.02582,0,0
IOST.V,D,20180329,000000,0.02582,0.02816,0.02371,0.02444,0,0
