<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCO.V,D,20161219,000000,1.338,1.338,1.066,1.066,0,0
MCO.V,D,20161220,000000,1.422,3.156,1.422,3.156,0,0
MCO.V,D,20161221,000000,2.528,2.623,2.528,2.53,0,0
MCO.V,D,20161222,000000,3.491,3.621,3.491,3.621,0,0
MCO.V,D,20161223,000000,2.624,2.798,2.624,2.798,0,0
MCO.V,D,20161224,000000,2.798,2.798,2.719,2.719,0,0
MCO.V,D,20161225,000000,2.719,2.719,2.719,2.719,0,0
MCO.V,D,20161226,000000,2.719,2.741,2.719,2.741,0,0
MCO.V,D,20161227,000000,2.741,2.825,2.741,2.825,0,0
MCO.V,D,20161228,000000,1.692,1.777,1.555,1.565,0,0
MCO.V,D,20161229,000000,1.565,1.565,1.563,1.563,0,0
MCO.V,D,20161230,000000,1.563,1.563,1.544,1.544,0,0
MCO.V,D,20161231,000000,1.458,1.464,1.458,1.464,0,0
MCO.V,D,20170101,000000,1.464,1.513,1.464,1.513,0,0
MCO.V,D,20170102,000000,1.513,1.513,0.1514,0.1514,0,0
MCO.V,D,20170103,000000,0.1514,0.1539,0.1514,0.1539,0,0
MCO.V,D,20170104,000000,0.1539,0.1691,0.1539,0.1691,0,0
MCO.V,D,20170105,000000,0.1691,0.1731,0.1691,0.1731,0,0
MCO.V,D,20170106,000000,0.1731,0.1731,0.1551,0.1551,0,0
MCO.V,D,20170107,000000,0.1551,0.1556,0.1551,0.1556,0,0
MCO.V,D,20170108,000000,0.1556,0.1577,0.1556,0.1577,0,0
MCO.V,D,20170109,000000,0.1577,0.1577,0.1575,0.1575,0,0
MCO.V,D,20170110,000000,1.341,1.357,1.092,1.092,0,0
MCO.V,D,20170111,000000,1.719,1.719,1.493,1.493,0,0
MCO.V,D,20170112,000000,1.493,1.54,1.493,1.54,0,0
MCO.V,D,20170113,000000,1.54,1.568,1.54,1.568,0,0
MCO.V,D,20170114,000000,1.1,1.515,1.093,1.475,0,0
MCO.V,D,20170115,000000,1.475,1.477,1.475,1.477,0,0
MCO.V,D,20170116,000000,1.477,1.488,1.477,1.488,0,0
MCO.V,D,20170117,000000,1.488,1.618,1.488,1.618,0,0
MCO.V,D,20170118,000000,1.276,1.276,1.237,1.237,0,0
MCO.V,D,20170119,000000,1.464,1.503,1.464,1.503,0,0
MCO.V,D,20170120,000000,1.503,1.875,1.499,1.875,0,0
MCO.V,D,20170121,000000,1.339,1.38,1.339,1.38,0,0
MCO.V,D,20170122,000000,1.38,1.38,1.378,1.378,0,0
MCO.V,D,20170123,000000,1.378,1.382,1.378,1.382,0,0
MCO.V,D,20170124,000000,1.608,1.608,1.56,1.56,0,0
MCO.V,D,20170125,000000,1.034,1.52,0.9508,1.52,0,0
MCO.V,D,20170126,000000,1.52,1.556,1.52,1.556,0,0
MCO.V,D,20170127,000000,1.556,1.561,1.556,1.561,0,0
MCO.V,D,20170128,000000,1.561,1.561,1.561,1.561,0,0
MCO.V,D,20170129,000000,1.006,1.536,1.001,1.536,0,0
MCO.V,D,20170130,000000,1.536,1.547,1.031,1.031,0,0
MCO.V,D,20170131,000000,1.546,1.621,1.016,1.016,0,0
MCO.V,D,20170201,000000,1.555,1.583,1.555,1.583,0,0
MCO.V,D,20170202,000000,1.583,1.617,1.583,1.617,0,0
MCO.V,D,20170203,000000,1.617,1.702,1.617,1.702,0,0
MCO.V,D,20170204,000000,1.114,1.135,0.9649,0.9649,0,0
MCO.V,D,20170205,000000,1.734,1.734,1.707,1.707,0,0
MCO.V,D,20170206,000000,1.707,1.721,1.707,1.721,0,0
MCO.V,D,20170207,000000,0.9956,1.02,0.9956,1.02,0,0
MCO.V,D,20170208,000000,1.02,1.026,1.02,1.026,0,0
MCO.V,D,20170209,000000,1.026,1.026,0.9512,0.9512,0,0
MCO.V,D,20170210,000000,1.565,1.595,1.541,1.541,0,0
MCO.V,D,20170211,000000,1.534,1.551,1.52,1.551,0,0
MCO.V,D,20170212,000000,1.564,1.593,1.469,1.593,0,0
MCO.V,D,20170213,000000,1.547,1.566,1.487,1.553,0,0
MCO.V,D,20170214,000000,1.553,1.573,1.553,1.573,0,0
MCO.V,D,20170215,000000,1.526,1.612,1.522,1.554,0,0
