<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONT.V,D,20180407,000000,3.79,3.97,3.57,3.78,0,0
ONT.V,D,20180408,000000,3.78,3.85,3.41,3.58,0,0
ONT.V,D,20180409,000000,3.58,3.67,3.19,3.53,0,0
ONT.V,D,20180410,000000,3.53,4.59,3.48,4.53,0,0
ONT.V,D,20180411,000000,4.53,4.81,4.11,4.45,0,0
ONT.V,D,20180412,000000,4.45,4.72,4.11,4.46,0,0
ONT.V,D,20180413,000000,4.46,5.14,4.35,4.44,0,0
ONT.V,D,20180414,000000,4.44,4.54,4.08,4.27,0,0
ONT.V,D,20180415,000000,4.28,4.78,4.24,4.48,0,0
ONT.V,D,20180416,000000,4.48,4.64,3.98,4.14,0,0
ONT.V,D,20180417,000000,4.15,4.34,4.01,4.15,0,0
ONT.V,D,20180418,000000,4.15,4.23,4.05,4.19,0,0
ONT.V,D,20180419,000000,4.19,4.63,4.19,4.5,0,0
ONT.V,D,20180420,000000,4.5,4.57,4.17,4.33,0,0
ONT.V,D,20180421,000000,4.33,4.4,3.9,4.07,0,0
ONT.V,D,20180422,000000,4.07,4.3,3.93,4.13,0,0
ONT.V,D,20180423,000000,4.13,4.52,4,4.22,0,0
ONT.V,D,20180424,000000,4.22,4.96,4.2,4.93,0,0
ONT.V,D,20180425,000000,4.93,5.35,4.26,4.95,0,0
ONT.V,D,20180426,000000,4.95,5.65,4.9,5.24,0,0
ONT.V,D,20180427,000000,5.24,5.71,5.14,5.27,0,0
ONT.V,D,20180428,000000,5.27,7.37,5.2,7.02,0,0
ONT.V,D,20180429,000000,7.01,9.22,6.83,8.74,0,0
ONT.V,D,20180430,000000,8.74,9.27,7.53,7.76,0,0
ONT.V,D,20180501,000000,7.76,8.6,7.08,8.48,0,0
ONT.V,D,20180502,000000,8.48,8.89,8.24,8.55,0,0
ONT.V,D,20180503,000000,8.55,11.51,8.43,10.44,0,0
ONT.V,D,20180504,000000,10.45,10.61,9.24,9.88,0,0
ONT.V,D,20180505,000000,9.88,10.49,9.07,9.08,0,0
ONT.V,D,20180506,000000,9.08,9.71,8.35,9.19,0,0
ONT.V,D,20180507,000000,9.17,9.73,8.36,9.34,0,0
ONT.V,D,20180508,000000,9.34,9.57,8.71,8.9,0,0
ONT.V,D,20180509,000000,8.9,9.07,8.4,8.77,0,0
ONT.V,D,20180510,000000,8.77,9.04,8.37,8.41,0,0
ONT.V,D,20180511,000000,8.42,8.43,6.98,7.11,0,0
ONT.V,D,20180512,000000,7.1,7.69,5.94,7.22,0,0
ONT.V,D,20180513,000000,7.22,8.62,7.05,8.17,0,0
ONT.V,D,20180514,000000,8.13,8.46,7.52,7.92,0,0
ONT.V,D,20180515,000000,7.92,8.44,7.74,7.89,0,0
ONT.V,D,20180516,000000,7.89,7.92,7.14,7.23,0,0
ONT.V,D,20180517,000000,7.24,7.77,6.83,6.86,0,0
ONT.V,D,20180518,000000,6.87,7,6.56,6.87,0,0
ONT.V,D,20180519,000000,6.88,7.64,6.6,7.11,0,0
ONT.V,D,20180520,000000,7.1,8.09,7.03,7.98,0,0
ONT.V,D,20180521,000000,7.98,8.37,7.45,7.65,0,0
ONT.V,D,20180522,000000,7.64,7.76,6.87,6.93,0,0
ONT.V,D,20180523,000000,6.93,7.12,6,6.48,0,0
ONT.V,D,20180524,000000,6.48,6.92,5.94,6.68,0,0
ONT.V,D,20180525,000000,6.68,6.99,6.31,6.49,0,0
ONT.V,D,20180526,000000,6.49,6.68,6.36,6.6,0,0
ONT.V,D,20180527,000000,6.6,6.6,6.3,6.45,0,0
ONT.V,D,20180528,000000,6.45,6.56,5.76,5.76,0,0
ONT.V,D,20180529,000000,5.75,6.9,5.56,6.85,0,0
ONT.V,D,20180530,000000,6.85,6.89,6.19,6.32,0,0
ONT.V,D,20180531,000000,6.32,7.29,6.32,7.11,0,0
