<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT.V,D,20190205,000000,2.196,2.375,2.153,2.174,0,0
QNT.V,D,20190206,000000,2.174,2.817,2.14,2.817,0,0
QNT.V,D,20190207,000000,2.817,3.375,2.464,3.11,0,0
QNT.V,D,20190208,000000,3.11,4.392,2.958,3.748,0,0
QNT.V,D,20190209,000000,3.748,4.383,3.603,4.383,0,0
QNT.V,D,20190210,000000,4.383,5.421,4.006,4.61,0,0
QNT.V,D,20190211,000000,4.61,5.038,3.611,3.882,0,0
QNT.V,D,20190212,000000,3.882,4.504,3.798,4.341,0,0
QNT.V,D,20190213,000000,4.341,4.471,4.075,4.468,0,0
QNT.V,D,20190214,000000,4.468,5.95,3.887,4.001,0,0
QNT.V,D,20190215,000000,4.001,4.42,3.773,3.938,0,0
QNT.V,D,20190216,000000,3.938,4.192,3.69,3.726,0,0
QNT.V,D,20190217,000000,3.726,4.258,3.726,4.258,0,0
QNT.V,D,20190218,000000,4.258,4.812,4.226,4.304,0,0
QNT.V,D,20190219,000000,4.304,4.348,3.924,4.081,0,0
QNT.V,D,20190220,000000,4.081,4.451,4.073,4.451,0,0
QNT.V,D,20190221,000000,4.451,4.496,4.173,4.252,0,0
QNT.V,D,20190222,000000,4.252,4.533,4.067,4.25,0,0
QNT.V,D,20190223,000000,4.25,4.593,3.942,4.004,0,0
QNT.V,D,20190224,000000,4.004,4.004,3.538,3.77,0,0
QNT.V,D,20190225,000000,3.77,3.844,3.461,3.611,0,0
QNT.V,D,20190226,000000,3.611,5.341,3.585,4.085,0,0
QNT.V,D,20190227,000000,4.085,4.252,3.754,4.045,0,0
QNT.V,D,20190228,000000,4.045,4.045,4.037,4.037,0,0
QNT.V,D,20190301,000000,4.037,4.513,3.989,4.513,0,0
QNT.V,D,20190302,000000,4.513,4.527,3.843,3.843,0,0
QNT.V,D,20190303,000000,3.843,3.919,3.709,3.896,0,0
QNT.V,D,20190304,000000,3.896,3.896,3.631,3.682,0,0
