<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDD.V,D,20200506,000000,0.001573,0.001573,0.0012,0.001487,0,0
RDD.V,D,20200507,000000,0.00158,0.001779,0.00137,0.001482,0,0
RDD.V,D,20200508,000000,0.001482,0.001703,0.001362,0.001702,0,0
RDD.V,D,20200509,000000,0.001702,0.001703,0.00144,0.001441,0,0
RDD.V,D,20200510,000000,0.001441,0.001641,0.00126,0.001309,0,0
RDD.V,D,20200511,000000,0.001309,0.002239,0.001299,0.002059,0,0
RDD.V,D,20200512,000000,0.002059,0.002277,0.001846,0.0021,0,0
RDD.V,D,20200513,000000,0.002104,0.002255,0.001856,0.002154,0,0
RDD.V,D,20200514,000000,0.002153,0.00235,0.002015,0.002152,0,0
RDD.V,D,20200515,000000,0.002152,0.002217,0.001704,0.001977,0,0
RDD.V,D,20200516,000000,0.001978,0.002107,0.0017,0.001877,0,0
RDD.V,D,20200517,000000,0.001877,0.002008,0.001804,0.001952,0,0
RDD.V,D,20200518,000000,0.001952,0.001988,0.001548,0.001743,0,0
RDD.V,D,20200519,000000,0.001743,0.00178,0.001431,0.001646,0,0
RDD.V,D,20200520,000000,0.001646,0.001762,0.001363,0.001624,0,0
RDD.V,D,20200521,000000,0.001528,0.001627,0.001344,0.001456,0,0
RDD.V,D,20200522,000000,0.001456,0.001572,0.001348,0.001565,0,0
RDD.V,D,20200523,000000,0.001565,0.001582,0.001005,0.001477,0,0
RDD.V,D,20200524,000000,0.001477,0.001724,0.001362,0.00163,0,0
RDD.V,D,20200525,000000,0.00163,0.001723,0.001054,0.001602,0,0
RDD.V,D,20200526,000000,0.001602,0.00171,0.001491,0.001593,0,0
RDD.V,D,20200527,000000,0.001593,0.001688,0.001326,0.001541,0,0
RDD.V,D,20200528,000000,0.001541,0.001714,0.001414,0.001605,0,0
RDD.V,D,20200529,000000,0.001605,0.001635,0.00104,0.001502,0,0
RDD.V,D,20200530,000000,0.001503,0.001612,0.0009404,0.001517,0,0
RDD.V,D,20200531,000000,0.001517,0.001558,0.001414,0.001514,0,0
RDD.V,D,20200601,000000,0.001514,0.00155,0.0009547,0.001544,0,0
RDD.V,D,20200602,000000,0.001545,0.001751,0.001355,0.001524,0,0
RDD.V,D,20200603,000000,0.001524,0.001634,0.00124,0.001533,0,0
RDD.V,D,20200604,000000,0.001534,0.001635,0.001353,0.001564,0,0
RDD.V,D,20200605,000000,0.001565,0.001576,0.001064,0.001546,0,0
