<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSR.V,D,20200708,000000,0.008483,0.008505,0.007998,0.008302,0,0
RSR.V,D,20200709,000000,0.008303,0.008746,0.007521,0.00805,0,0
RSR.V,D,20200710,000000,0.008051,0.008215,0.007427,0.007649,0,0
RSR.V,D,20200711,000000,0.007651,0.007841,0.007328,0.007749,0,0
RSR.V,D,20200712,000000,0.007749,0.008772,0.007658,0.008714,0,0
RSR.V,D,20200713,000000,0.008713,0.009399,0.008486,0.008602,0,0
RSR.V,D,20200714,000000,0.008602,0.008716,0.008176,0.008597,0,0
RSR.V,D,20200715,000000,0.008597,0.009272,0.008303,0.009134,0,0
RSR.V,D,20200716,000000,0.009135,0.009951,0.008849,0.0094,0,0
RSR.V,D,20200717,000000,0.0094,0.01028,0.0094,0.01025,0,0
RSR.V,D,20200718,000000,0.01052,0.01249,0.01034,0.01249,0,0
RSR.V,D,20200719,000000,0.01249,0.01423,0.01178,0.01202,0,0
RSR.V,D,20200720,000000,0.01202,0.01314,0.01135,0.01266,0,0
RSR.V,D,20200721,000000,0.01266,0.01274,0.01028,0.01079,0,0
RSR.V,D,20200722,000000,0.01088,0.01274,0.01057,0.01257,0,0
RSR.V,D,20200723,000000,0.01257,0.01258,0.01125,0.01135,0,0
RSR.V,D,20200724,000000,0.01135,0.01154,0.01048,0.01067,0,0
RSR.V,D,20200725,000000,0.01067,0.01067,0.008859,0.009217,0,0
RSR.V,D,20200726,000000,0.009218,0.01038,0.00869,0.009889,0,0
RSR.V,D,20200727,000000,0.00979,0.009925,0.007745,0.008453,0,0
RSR.V,D,20200728,000000,0.008452,0.009966,0.007661,0.009592,0,0
RSR.V,D,20200729,000000,0.009589,0.009897,0.008663,0.008898,0,0
