<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX.V,D,20170727,000000,1.623,2.028,1.623,1.623,0,0
STX.V,D,20170728,000000,1.623,1.912,1.34,1.377,0,0
STX.V,D,20170729,000000,1.377,1.484,0.9276,1.256,0,0
STX.V,D,20170730,000000,1.256,1.256,1.147,1.147,0,0
STX.V,D,20170731,000000,1.147,1.52,1.069,1.52,0,0
STX.V,D,20170801,000000,1.52,1.706,1.077,1.084,0,0
STX.V,D,20170802,000000,1.084,1.309,0.982,0.9824,0,0
STX.V,D,20170803,000000,0.9824,1.332,0.9133,1.286,0,0
STX.V,D,20170804,000000,1.286,2.641,0.9082,0.9984,0,0
STX.V,D,20170805,000000,0.9984,2.281,0.9984,1.218,0,0
STX.V,D,20170806,000000,1.218,1.346,0.8688,0.9352,0,0
STX.V,D,20170807,000000,0.9352,1.402,0.9019,1.037,0,0
STX.V,D,20170808,000000,1.037,1.43,1.006,1.148,0,0
STX.V,D,20170809,000000,1.148,1.476,0.9774,1.016,0,0
STX.V,D,20170810,000000,1.016,1.295,0.9822,1.171,0,0
STX.V,D,20170811,000000,1.171,1.547,1.086,1.455,0,0
STX.V,D,20170812,000000,1.455,2.355,1.264,1.756,0,0
STX.V,D,20170813,000000,1.756,2.062,1.613,1.849,0,0
STX.V,D,20170814,000000,1.849,2.015,1.571,1.731,0,0
STX.V,D,20170815,000000,1.731,1.807,1.53,1.696,0,0
STX.V,D,20170816,000000,1.696,1.96,1.688,1.923,0,0
STX.V,D,20170817,000000,1.923,2.175,1.792,1.962,0,0
STX.V,D,20170818,000000,1.962,2.416,1.912,2.37,0,0
STX.V,D,20170819,000000,2.37,2.478,2.145,2.368,0,0
STX.V,D,20170820,000000,2.368,2.433,2.244,2.332,0,0
STX.V,D,20170821,000000,2.332,2.657,2.05,2.05,0,0
STX.V,D,20170822,000000,2.05,2.381,1.984,2.363,0,0
STX.V,D,20170823,000000,2.363,2.412,2.158,2.161,0,0
STX.V,D,20170824,000000,2.161,2.575,2.13,2.457,0,0
STX.V,D,20170825,000000,2.457,2.824,2.299,2.581,0,0
STX.V,D,20170826,000000,2.581,3.142,2.253,2.327,0,0
STX.V,D,20170827,000000,2.327,2.71,1.314,1.599,0,0
STX.V,D,20170828,000000,1.599,2.049,1.357,1.565,0,0
STX.V,D,20170829,000000,1.565,2.44,1.489,1.833,0,0
STX.V,D,20170830,000000,1.833,2.001,1.283,1.41,0,0
STX.V,D,20170831,000000,1.41,1.636,1.319,1.429,0,0
STX.V,D,20170901,000000,1.429,1.429,1.288,1.33,0,0
STX.V,D,20170902,000000,1.33,1.33,0.72,1.139,0,0
STX.V,D,20170903,000000,1.139,1.419,1.093,1.097,0,0
STX.V,D,20170904,000000,1.097,1.097,0.7097,0.8862,0,0
STX.V,D,20170905,000000,0.8862,1.081,0.6569,0.9417,0,0
STX.V,D,20170906,000000,0.9417,1.532,0.8775,1.355,0,0
STX.V,D,20170907,000000,1.355,1.366,1.116,1.212,0,0
STX.V,D,20170908,000000,1.212,1.212,0.9211,1.058,0,0
STX.V,D,20170909,000000,1.058,1.058,0.7595,0.8986,0,0
STX.V,D,20170910,000000,0.8986,1.017,0.8848,0.9296,0,0
STX.V,D,20170911,000000,0.9296,0.98,0.8161,0.8542,0,0
STX.V,D,20170912,000000,0.8542,1.747,0.7941,0.8441,0,0
STX.V,D,20170913,000000,0.8441,0.8443,0.7456,0.8077,0,0
STX.V,D,20170914,000000,0.8077,0.8077,0.6002,0.6447,0,0
STX.V,D,20170915,000000,0.6447,0.7115,0.6447,0.7115,0,0
STX.V,D,20170916,000000,0.7115,0.7406,0.6617,0.679,0,0
STX.V,D,20170917,000000,0.679,0.7103,0.6465,0.6605,0,0
STX.V,D,20170918,000000,0.6605,0.7614,0.6549,0.6802,0,0
STX.V,D,20170919,000000,0.6802,0.6922,0.6195,0.6291,0,0
STX.V,D,20170920,000000,0.6291,0.6953,0.38,0.6329,0,0
STX.V,D,20170921,000000,0.6329,0.6329,0.3627,0.4869,0,0
STX.V,D,20170922,000000,0.4869,0.5238,0.4233,0.4573,0,0
STX.V,D,20170923,000000,0.4573,0.4982,0.3471,0.3957,0,0
STX.V,D,20170924,000000,0.3957,0.4841,0.3205,0.4841,0,0
STX.V,D,20170925,000000,0.4841,0.6193,0.4335,0.5066,0,0
STX.V,D,20170926,000000,0.5066,0.54,0.4569,0.4991,0,0
STX.V,D,20170927,000000,0.4991,0.6395,0.4991,0.6395,0,0
STX.V,D,20170928,000000,0.6395,0.7251,0.5332,0.6673,0,0
STX.V,D,20170929,000000,0.6673,0.6673,0.5559,0.6296,0,0
STX.V,D,20170930,000000,0.6296,0.6964,0.5798,0.604,0,0
STX.V,D,20171001,000000,0.604,0.6638,0.5745,0.6143,0,0
STX.V,D,20171002,000000,0.6143,0.8658,0.5595,0.7987,0,0
STX.V,D,20171003,000000,0.7987,0.8751,0.7584,0.8077,0,0
STX.V,D,20171004,000000,0.8077,1.022,0.7875,0.8418,0,0
STX.V,D,20171005,000000,0.8418,0.9926,0.8381,0.9926,0,0
STX.V,D,20171006,000000,0.9926,1.129,0.9102,0.9355,0,0
STX.V,D,20171007,000000,0.9355,1.007,0.8423,0.8547,0,0
STX.V,D,20171008,000000,0.8547,0.8731,0.7709,0.8335,0,0
STX.V,D,20171009,000000,0.8335,0.8335,0.6165,0.7177,0,0
STX.V,D,20171010,000000,0.7177,0.7512,0.5969,0.6208,0,0
STX.V,D,20171011,000000,0.6208,0.6896,0.6057,0.6502,0,0
STX.V,D,20171012,000000,0.6502,0.6524,0.5555,0.5764,0,0
STX.V,D,20171013,000000,0.5764,0.6703,0.5726,0.5847,0,0
STX.V,D,20171014,000000,0.5847,0.5878,0.5729,0.5878,0,0
STX.V,D,20171015,000000,0.5878,0.5878,0.5446,0.5863,0,0
STX.V,D,20171016,000000,0.5863,0.5906,0.5324,0.5645,0,0
STX.V,D,20171017,000000,0.5645,0.5659,0.4767,0.5128,0,0
STX.V,D,20171018,000000,0.5128,0.5496,0.4841,0.5064,0,0
STX.V,D,20171019,000000,0.5064,0.5226,0.4897,0.5115,0,0
STX.V,D,20171020,000000,0.5115,0.5158,0.487,0.501,0,0
STX.V,D,20171021,000000,0.501,0.501,0.4601,0.4754,0,0
STX.V,D,20171022,000000,0.4754,0.4754,0.4172,0.4549,0,0
STX.V,D,20171023,000000,0.4552,0.4552,0.431,0.4413,0,0
STX.V,D,20171024,000000,0.4413,0.4747,0.4413,0.4563,0,0
STX.V,D,20171025,000000,0.4563,0.4676,0.4528,0.4599,0,0
STX.V,D,20171026,000000,0.4599,0.4634,0.4433,0.4537,0,0
STX.V,D,20171027,000000,0.4537,0.4567,0.4398,0.446,0,0
STX.V,D,20171028,000000,0.446,0.4477,0.4312,0.4421,0,0
STX.V,D,20171029,000000,0.442,0.4606,0.4366,0.4497,0,0
STX.V,D,20171030,000000,0.4497,0.4697,0.4406,0.4473,0,0
STX.V,D,20171031,000000,0.4473,0.4488,0.4205,0.4263,0,0
STX.V,D,20171101,000000,0.4263,0.4784,0.3852,0.4694,0,0
STX.V,D,20171102,000000,0.4694,0.4909,0.414,0.4359,0,0
STX.V,D,20171103,000000,0.4359,0.5037,0.4359,0.4811,0,0
STX.V,D,20171104,000000,0.4811,0.5722,0.4558,0.5386,0,0
STX.V,D,20171105,000000,0.5385,0.6011,0.5181,0.5892,0,0
STX.V,D,20171106,000000,0.5892,0.6999,0.5752,0.6919,0,0
STX.V,D,20171107,000000,0.6919,0.7883,0.6438,0.7462,0,0
STX.V,D,20171108,000000,0.7462,0.9199,0.6716,0.7207,0,0
STX.V,D,20171109,000000,0.7207,0.8631,0.7093,0.779,0,0
STX.V,D,20171110,000000,0.779,0.779,0.5783,0.6112,0,0
STX.V,D,20171111,000000,0.6154,0.6665,0.5898,0.5974,0,0
