<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBT.V,D,20200423,000000,0.2541,0.2626,0.2375,0.2545,0,0
UBT.V,D,20200424,000000,0.2545,0.2823,0.2355,0.2788,0,0
UBT.V,D,20200425,000000,0.2787,0.3225,0.2715,0.3047,0,0
UBT.V,D,20200426,000000,0.3047,0.3201,0.2679,0.3199,0,0
UBT.V,D,20200427,000000,0.3199,0.3308,0.292,0.321,0,0
UBT.V,D,20200428,000000,0.3208,0.3578,0.2936,0.348,0,0
UBT.V,D,20200429,000000,0.348,0.3993,0.3225,0.3554,0,0
UBT.V,D,20200430,000000,0.3554,0.3773,0.2868,0.3142,0,0
UBT.V,D,20200501,000000,0.3142,0.3385,0.2832,0.2912,0,0
UBT.V,D,20200502,000000,0.2913,0.3281,0.2781,0.2882,0,0
UBT.V,D,20200503,000000,0.2882,0.3134,0.2437,0.2545,0,0
UBT.V,D,20200504,000000,0.2546,0.313,0.2234,0.3082,0,0
UBT.V,D,20200505,000000,0.3082,0.3108,0.2812,0.2952,0,0
UBT.V,D,20200506,000000,0.2951,0.3039,0.2605,0.2652,0,0
UBT.V,D,20200507,000000,0.2652,0.2821,0.2569,0.278,0,0
UBT.V,D,20200508,000000,0.278,0.2884,0.2555,0.2674,0,0
UBT.V,D,20200509,000000,0.2674,0.2771,0.2491,0.274,0,0
UBT.V,D,20200510,000000,0.274,0.2815,0.2241,0.2445,0,0
UBT.V,D,20200511,000000,0.2445,0.2841,0.2297,0.2699,0,0
UBT.V,D,20200512,000000,0.2699,0.3421,0.2544,0.3126,0,0
UBT.V,D,20200513,000000,0.3132,0.3381,0.3046,0.338,0,0
UBT.V,D,20200514,000000,0.338,0.3644,0.3202,0.3433,0,0
UBT.V,D,20200515,000000,0.3433,0.3705,0.3367,0.3605,0,0
UBT.V,D,20200516,000000,0.3605,0.4038,0.3534,0.4011,0,0
UBT.V,D,20200517,000000,0.4012,0.8815,0.3943,0.4331,0,0
UBT.V,D,20200518,000000,0.4331,0.7506,0.4066,0.4732,0,0
UBT.V,D,20200519,000000,0.4732,0.4848,0.4096,0.4522,0,0
UBT.V,D,20200520,000000,0.4523,0.5155,0.4506,0.5024,0,0
UBT.V,D,20200521,000000,0.5024,0.6,0.437,0.497,0,0
UBT.V,D,20200522,000000,0.4971,0.6318,0.4618,0.5673,0,0
UBT.V,D,20200523,000000,0.5674,0.6136,0.5127,0.5906,0,0
UBT.V,D,20200524,000000,0.5906,0.5922,0.464,0.5422,0,0
UBT.V,D,20200525,000000,0.544,0.5595,0.4991,0.5203,0,0
UBT.V,D,20200526,000000,0.52,0.5284,0.4552,0.4872,0,0
UBT.V,D,20200527,000000,0.487,0.5396,0.4648,0.5018,0,0
UBT.V,D,20200528,000000,0.5018,0.5314,0.4646,0.5156,0,0
UBT.V,D,20200529,000000,0.5157,0.5993,0.4391,0.4724,0,0
UBT.V,D,20200530,000000,0.4725,0.5029,0.4247,0.4787,0,0
UBT.V,D,20200531,000000,0.4787,0.5027,0.4413,0.4473,0,0
UBT.V,D,20200601,000000,0.4466,0.4661,0.4268,0.4425,0,0
UBT.V,D,20200602,000000,0.4426,0.4641,0.3847,0.4389,0,0
UBT.V,D,20200603,000000,0.4389,0.4501,0.4074,0.4359,0,0
UBT.V,D,20200604,000000,0.4359,0.4546,0.4135,0.4263,0,0
UBT.V,D,20200605,000000,0.4263,0.4351,0.3893,0.3956,0,0
UBT.V,D,20200606,000000,0.3953,0.4789,0.3936,0.4672,0,0
UBT.V,D,20200607,000000,0.4672,0.4925,0.4477,0.464,0,0
UBT.V,D,20200608,000000,0.4646,0.4694,0.4268,0.434,0,0
UBT.V,D,20200609,000000,0.4349,0.4462,0.4067,0.4184,0,0
UBT.V,D,20200610,000000,0.415,0.4236,0.3895,0.4003,0,0
UBT.V,D,20200611,000000,0.4003,0.4251,0.3758,0.3841,0,0
UBT.V,D,20200612,000000,0.3841,0.4833,0.3645,0.4132,0,0
UBT.V,D,20200613,000000,0.4132,0.4201,0.363,0.3759,0,0
UBT.V,D,20200614,000000,0.3771,0.3922,0.36,0.371,0,0
UBT.V,D,20200615,000000,0.3674,0.3757,0.3342,0.3611,0,0
UBT.V,D,20200616,000000,0.3612,0.4112,0.3248,0.3829,0,0
UBT.V,D,20200617,000000,0.3828,0.4159,0.3688,0.404,0,0
UBT.V,D,20200618,000000,0.404,0.4126,0.3596,0.3657,0,0
UBT.V,D,20200619,000000,0.3657,0.3771,0.344,0.3444,0,0
UBT.V,D,20200620,000000,0.3444,0.3778,0.3441,0.3697,0,0
UBT.V,D,20200621,000000,0.3696,0.3834,0.3636,0.3636,0,0
UBT.V,D,20200622,000000,0.3636,0.3828,0.3468,0.3496,0,0
UBT.V,D,20200623,000000,0.3496,0.394,0.3354,0.3581,0,0
UBT.V,D,20200624,000000,0.3591,0.3651,0.3079,0.3152,0,0
UBT.V,D,20200625,000000,0.3152,0.3468,0.301,0.3237,0,0
UBT.V,D,20200626,000000,0.324,0.3357,0.2963,0.3026,0,0
UBT.V,D,20200627,000000,0.3026,0.3225,0.2759,0.2912,0,0
UBT.V,D,20200628,000000,0.2911,0.3055,0.2726,0.2848,0,0
UBT.V,D,20200629,000000,0.2846,0.3042,0.2729,0.3042,0,0
UBT.V,D,20200630,000000,0.3042,0.3181,0.2622,0.2632,0,0
UBT.V,D,20200701,000000,0.2631,0.2831,0.2523,0.281,0,0
UBT.V,D,20200702,000000,0.281,0.3157,0.2702,0.3004,0,0
UBT.V,D,20200703,000000,0.2995,0.3626,0.2958,0.3443,0,0
UBT.V,D,20200704,000000,0.3435,0.3551,0.3097,0.3158,0,0
UBT.V,D,20200705,000000,0.3153,0.3377,0.312,0.3298,0,0
UBT.V,D,20200706,000000,0.3297,0.34,0.2977,0.3048,0,0
UBT.V,D,20200707,000000,0.3047,0.3117,0.2787,0.2787,0,0
UBT.V,D,20200708,000000,0.2787,0.3516,0.2787,0.31,0,0
UBT.V,D,20200709,000000,0.31,0.3164,0.2767,0.2987,0,0
UBT.V,D,20200710,000000,0.2987,0.317,0.2882,0.2893,0,0
UBT.V,D,20200711,000000,0.2917,0.3147,0.2784,0.303,0,0
UBT.V,D,20200712,000000,0.3028,0.3432,0.2868,0.3432,0,0
UBT.V,D,20200713,000000,0.3434,0.3986,0.3297,0.3704,0,0
UBT.V,D,20200714,000000,0.3704,0.4645,0.3635,0.4108,0,0
UBT.V,D,20200715,000000,0.4108,0.475,0.3946,0.421,0,0
UBT.V,D,20200716,000000,0.4219,0.5044,0.3573,0.3945,0,0
UBT.V,D,20200717,000000,0.3946,0.4338,0.3619,0.3857,0,0
UBT.V,D,20200718,000000,0.3922,0.4347,0.3667,0.4044,0,0
