<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRP.V,D,20150121,000000,0.01748,0.0175,0.01523,0.01523,0,0
XRP.V,D,20150122,000000,0.01523,0.0175,0.01523,0.01602,0,0
XRP.V,D,20150123,000000,0.01602,0.017,0.016,0.016,0,0
XRP.V,D,20150124,000000,0.016,0.01739,0.015,0.01739,0,0
XRP.V,D,20150125,000000,0.01739,0.01739,0.0156,0.017,0,0
XRP.V,D,20150126,000000,0.017,0.0175,0.01469,0.01469,0,0
XRP.V,D,20150127,000000,0.01469,0.017,0.01469,0.0155,0,0
XRP.V,D,20150128,000000,0.0155,0.0167,0.0131,0.015,0,0
XRP.V,D,20150129,000000,0.015,0.015,0.0131,0.0135,0,0
XRP.V,D,20150130,000000,0.0135,0.015,0.0135,0.015,0,0
XRP.V,D,20150131,000000,0.015,0.015,0.0135,0.01499,0,0
XRP.V,D,20150201,000000,0.01499,0.01499,0.01351,0.01352,0,0
XRP.V,D,20150202,000000,0.015,0.015,0.01327,0.01327,0,0
XRP.V,D,20150203,000000,0.01327,0.015,0.01327,0.0148,0,0
XRP.V,D,20150204,000000,0.0148,0.0148,0.014,0.014,0,0
XRP.V,D,20150205,000000,0.014,0.01573,0.013,0.01573,0,0
XRP.V,D,20150206,000000,0.01573,0.01695,0.014,0.0155,0,0
XRP.V,D,20150207,000000,0.0155,0.0155,0.01401,0.01468,0,0
XRP.V,D,20150208,000000,0.01468,0.01506,0.01428,0.01428,0,0
XRP.V,D,20150209,000000,0.01428,0.01467,0.0135,0.0135,0,0
XRP.V,D,20150210,000000,0.0135,0.01467,0.011,0.01464,0,0
XRP.V,D,20150211,000000,0.01464,0.01464,0.011,0.01462,0,0
XRP.V,D,20150212,000000,0.01462,0.01463,0.01101,0.0143,0,0
XRP.V,D,20150213,000000,0.0143,0.01472,0.01201,0.01445,0,0
XRP.V,D,20150214,000000,0.01445,0.01508,0.012,0.012,0,0
XRP.V,D,20150215,000000,0.012,0.012,0.012,0.012,0,0
XRP.V,D,20150216,000000,0.01509,0.01509,0.012,0.01508,0,0
XRP.V,D,20150217,000000,0.01508,0.01508,0.01202,0.01301,0,0
XRP.V,D,20150218,000000,0.01301,0.01499,0.01301,0.01499,0,0
XRP.V,D,20150219,000000,0.01499,0.01499,0.01307,0.01307,0,0
XRP.V,D,20150220,000000,0.01307,0.01498,0.01307,0.01307,0,0
XRP.V,D,20150221,000000,0.01307,0.0141,0.01307,0.01307,0,0
XRP.V,D,20150222,000000,0.01307,0.01403,0.01307,0.01307,0,0
XRP.V,D,20150223,000000,0.01307,0.01403,0.01307,0.01403,0,0
XRP.V,D,20150224,000000,0.01403,0.01403,0.01307,0.01343,0,0
XRP.V,D,20150225,000000,0.01343,0.014,0.01307,0.014,0,0
XRP.V,D,20150226,000000,0.014,0.014,0.0116,0.013,0,0
XRP.V,D,20150227,000000,0.013,0.01398,0.0116,0.01206,0,0
XRP.V,D,20150228,000000,0.01206,0.0132,0.0116,0.01178,0,0
XRP.V,D,20150301,000000,0.01178,0.01348,0.011,0.01101,0,0
XRP.V,D,20150302,000000,0.01101,0.01208,0.006611,0.006611,0,0
XRP.V,D,20150303,000000,0.006611,0.01205,0.006611,0.008505,0,0
XRP.V,D,20150304,000000,0.008505,0.012,0.008426,0.012,0,0
XRP.V,D,20150305,000000,0.012,0.012,0.009331,0.012,0,0
XRP.V,D,20150306,000000,0.012,0.012,0.009231,0.0104,0,0
XRP.V,D,20150307,000000,0.0104,0.012,0.0103,0.0103,0,0
XRP.V,D,20150308,000000,0.0103,0.01103,0.009763,0.009777,0,0
XRP.V,D,20150309,000000,0.009819,0.01098,0.009804,0.009806,0,0
XRP.V,D,20150310,000000,0.009806,0.01097,0.008827,0.009536,0,0
XRP.V,D,20150311,000000,0.009536,0.01093,0.0077,0.0077,0,0
XRP.V,D,20150312,000000,0.0077,0.01088,0.0077,0.01082,0,0
XRP.V,D,20150313,000000,0.01082,0.01082,0.008203,0.01071,0,0
XRP.V,D,20150314,000000,0.01071,0.01197,0.01015,0.01112,0,0
XRP.V,D,20150315,000000,0.01112,0.01167,0.01016,0.0106,0,0
XRP.V,D,20150316,000000,0.0106,0.01118,0.01016,0.01054,0,0
XRP.V,D,20150317,000000,0.01054,0.01118,0.01053,0.01053,0,0
XRP.V,D,20150318,000000,0.01053,0.01496,0.01016,0.01024,0,0
XRP.V,D,20150319,000000,0.01024,0.01098,0.0079,0.01093,0,0
XRP.V,D,20150320,000000,0.01093,0.01093,0.0075,0.007515,0,0
XRP.V,D,20150321,000000,0.007515,0.01019,0.0075,0.01011,0,0
XRP.V,D,20150322,000000,0.01011,0.0102,0.0094,0.01004,0,0
XRP.V,D,20150323,000000,0.01004,0.0102,0.009728,0.009728,0,0
XRP.V,D,20150324,000000,0.009728,0.009949,0.009001,0.009942,0,0
XRP.V,D,20150325,000000,0.009942,0.009942,0.008002,0.0092,0,0
XRP.V,D,20150326,000000,0.0092,0.009296,0.0085,0.0085,0,0
XRP.V,D,20150327,000000,0.0085,0.008799,0.0085,0.00875,0,0
XRP.V,D,20150328,000000,0.00875,0.00895,0.00865,0.00895,0,0
XRP.V,D,20150329,000000,0.00895,0.00895,0.0083,0.00835,0,0
XRP.V,D,20150330,000000,0.008102,0.008497,0.008102,0.008199,0,0
XRP.V,D,20150331,000000,0.008199,0.0085,0.0075,0.007738,0,0
XRP.V,D,20150401,000000,0.007738,0.007984,0.007509,0.0079,0,0
XRP.V,D,20150402,000000,0.0079,0.008499,0.007609,0.00785,0,0
XRP.V,D,20150403,000000,0.00785,0.009278,0.00785,0.008925,0,0
XRP.V,D,20150404,000000,0.008925,0.009938,0.00846,0.009368,0,0
XRP.V,D,20150405,000000,0.009368,0.00946,0.0087,0.008839,0,0
XRP.V,D,20150406,000000,0.008839,0.009359,0.008453,0.008783,0,0
XRP.V,D,20150407,000000,0.008783,0.009359,0.008716,0.0091,0,0
XRP.V,D,20150408,000000,0.0091,0.009371,0.008786,0.00918,0,0
XRP.V,D,20150409,000000,0.00918,0.0098,0.007935,0.009195,0,0
XRP.V,D,20150410,000000,0.009195,0.009199,0.008923,0.00918,0,0
XRP.V,D,20150411,000000,0.00918,0.00918,0.008,0.008,0,0
XRP.V,D,20150412,000000,0.008,0.009137,0.008,0.008,0,0
XRP.V,D,20150413,000000,0.008,0.0084,0.008,0.008271,0,0
XRP.V,D,20150414,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150415,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150416,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150417,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150418,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150419,000000,0.008271,0.008271,0.008271,0.008271,0,0
XRP.V,D,20150420,000000,0.008271,0.008271,0.003565,0.003565,0,0
XRP.V,D,20150421,000000,0.003565,0.003565,0.003565,0.003565,0,0
XRP.V,D,20150422,000000,0.004,0.0114,0.003565,0.004,0,0
XRP.V,D,20150423,000000,0.0082,0.008274,0.0082,0.008274,0,0
XRP.V,D,20150424,000000,0.008274,0.008496,0.008,0.00802,0,0
XRP.V,D,20150425,000000,0.00802,0.008191,0.00802,0.008021,0,0
XRP.V,D,20150426,000000,0.008021,0.008082,0.00778,0.007781,0,0
XRP.V,D,20150427,000000,0.007781,0.008056,0.00778,0.008055,0,0
XRP.V,D,20150428,000000,0.008055,0.008055,0.007698,0.007699,0,0
XRP.V,D,20150429,000000,0.007699,0.008056,0.007624,0.007635,0,0
XRP.V,D,20150430,000000,0.007635,0.0085,0.007635,0.0085,0,0
XRP.V,D,20150501,000000,0.0085,0.0085,0.0078,0.008499,0,0
XRP.V,D,20150502,000000,0.008499,0.0085,0.008008,0.008441,0,0
XRP.V,D,20150503,000000,0.008441,0.008441,0.007803,0.007803,0,0
XRP.V,D,20150504,000000,0.007803,0.0085,0.007803,0.008165,0,0
XRP.V,D,20150505,000000,0.008165,0.008493,0.0078,0.0078,0,0
XRP.V,D,20150506,000000,0.007795,0.0079,0.00772,0.00772,0,0
XRP.V,D,20150507,000000,0.00772,0.008,0.00666,0.007799,0,0
XRP.V,D,20150508,000000,0.007799,0.0078,0.00666,0.00666,0,0
XRP.V,D,20150509,000000,0.00666,0.0078,0.00666,0.0078,0,0
XRP.V,D,20150510,000000,0.0078,0.0078,0.00666,0.00666,0,0
XRP.V,D,20150511,000000,0.00666,0.00666,0.00666,0.00666,0,0
XRP.V,D,20150512,000000,0.007499,0.007499,0.00666,0.007499,0,0
XRP.V,D,20150513,000000,0.007499,0.0075,0.00666,0.00666,0,0
XRP.V,D,20150514,000000,0.00666,0.007496,0.00666,0.007478,0,0
XRP.V,D,20150515,000000,0.007478,0.007498,0.006481,0.006484,0,0
XRP.V,D,20150516,000000,0.006484,0.00719,0.006484,0.006485,0,0
XRP.V,D,20150517,000000,0.006485,0.006485,0.006481,0.006481,0,0
XRP.V,D,20150518,000000,0.006481,0.006481,0.006116,0.006116,0,0
XRP.V,D,20150519,000000,0.006116,0.007098,0.0046,0.0046,0,0
XRP.V,D,20150520,000000,0.0046,0.007096,0.0046,0.005006,0,0
XRP.V,D,20150521,000000,0.005006,0.005006,0.005002,0.005002,0,0
XRP.V,D,20150522,000000,0.005002,0.007096,0.005002,0.005002,0,0
XRP.V,D,20150523,000000,0.007096,0.0071,0.007096,0.007096,0,0
XRP.V,D,20150524,000000,0.007096,0.007482,0.005002,0.005003,0,0
XRP.V,D,20150525,000000,0.005003,0.00747,0.005002,0.00747,0,0
XRP.V,D,20150526,000000,0.007248,0.007248,0.007238,0.007238,0,0
XRP.V,D,20150527,000000,0.007238,0.01498,0.005522,0.01498,0,0
XRP.V,D,20150528,000000,0.01498,0.01498,0.005526,0.005526,0,0
XRP.V,D,20150529,000000,0.005526,0.01412,0.005526,0.01412,0,0
XRP.V,D,20150530,000000,0.01412,0.01412,0.0081,0.0081,0,0
XRP.V,D,20150531,000000,0.0081,0.009,0.0081,0.009,0,0
XRP.V,D,20150601,000000,0.009,0.009,0.0056,0.0056,0,0
XRP.V,D,20150602,000000,0.0078,0.008576,0.0075,0.00857,0,0
XRP.V,D,20150603,000000,0.0056,0.005606,0.0056,0.005606,0,0
XRP.V,D,20150604,000000,0.0085,0.008919,0.008,0.008919,0,0
XRP.V,D,20150605,000000,0.008919,0.008919,0.005614,0.008919,0,0
XRP.V,D,20150606,000000,0.008919,0.008919,0.008919,0.008919,0,0
XRP.V,D,20150607,000000,0.008919,0.008919,0.008919,0.008919,0,0
XRP.V,D,20150608,000000,0.008919,0.008919,0.0056,0.008917,0,0
XRP.V,D,20150609,000000,0.005552,0.008916,0.005552,0.008068,0,0
XRP.V,D,20150610,000000,0.008068,0.008908,0.0079,0.008068,0,0
XRP.V,D,20150611,000000,0.008068,0.00891,0.008068,0.008068,0,0
XRP.V,D,20150612,000000,0.008068,0.00891,0.005557,0.008,0,0
XRP.V,D,20150613,000000,0.008,0.008909,0.005561,0.0079,0,0
XRP.V,D,20150614,000000,0.008,0.008907,0.008,0.008,0,0
XRP.V,D,20150615,000000,0.008,0.0084,0.008,0.0084,0,0
XRP.V,D,20150616,000000,0.0084,0.01497,0.0084,0.01497,0,0
XRP.V,D,20150617,000000,0.01497,0.01497,0.0097,0.0098,0,0
XRP.V,D,20150618,000000,0.0098,0.01497,0.0097,0.01497,0,0
XRP.V,D,20150619,000000,0.01139,0.01139,0.01139,0.01139,0,0
XRP.V,D,20150620,000000,0.0145,0.0145,0.0141,0.0141,0,0
XRP.V,D,20150621,000000,0.0141,0.01497,0.01,0.01,0,0
XRP.V,D,20150622,000000,0.01,0.01025,0.01,0.01025,0,0
XRP.V,D,20150623,000000,0.01025,0.01025,0.01,0.01025,0,0
XRP.V,D,20150624,000000,0.01025,0.0115,0.01025,0.0115,0,0
XRP.V,D,20150625,000000,0.0115,0.0115,0.0115,0.0115,0,0
XRP.V,D,20150626,000000,0.0115,0.0122,0.0115,0.0122,0,0
XRP.V,D,20150627,000000,0.0105,0.01497,0.0105,0.011,0,0
XRP.V,D,20150628,000000,0.011,0.0118,0.011,0.0118,0,0
XRP.V,D,20150629,000000,0.0118,0.0118,0.01145,0.01146,0,0
XRP.V,D,20150630,000000,0.01146,0.01168,0.0084,0.011,0,0
XRP.V,D,20150701,000000,0.011,0.01135,0.011,0.01135,0,0
XRP.V,D,20150702,000000,0.01135,0.01135,0.008422,0.01135,0,0
XRP.V,D,20150703,000000,0.01135,0.01497,0.0095,0.011,0,0
XRP.V,D,20150704,000000,0.011,0.01496,0.0107,0.0109,0,0
XRP.V,D,20150705,000000,0.0109,0.0109,0.008801,0.00885,0,0
XRP.V,D,20150706,000000,0.00885,0.01025,0.00885,0.01025,0,0
XRP.V,D,20150707,000000,0.01025,0.01025,0.0088,0.0092,0,0
XRP.V,D,20150708,000000,0.0092,0.0097,0.0092,0.0097,0,0
XRP.V,D,20150709,000000,0.0097,0.0097,0.0084,0.0084,0,0
XRP.V,D,20150710,000000,0.0084,0.0097,0.005561,0.008977,0,0
XRP.V,D,20150711,000000,0.008977,0.008977,0.00825,0.00825,0,0
XRP.V,D,20150712,000000,0.00825,0.008977,0.00825,0.008251,0,0
XRP.V,D,20150713,000000,0.008251,0.0088,0.0081,0.0081,0,0
XRP.V,D,20150714,000000,0.0081,0.0088,0.0079,0.0088,0,0
XRP.V,D,20150715,000000,0.0088,0.0088,0.0088,0.0088,0,0
XRP.V,D,20150716,000000,0.0088,0.0088,0.0079,0.0079,0,0
XRP.V,D,20150717,000000,0.0079,0.0079,0.0079,0.0079,0,0
