<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZB.V,D,20180604,000000,0.7079,0.7104,0.685,0.69,0,0
ZB.V,D,20180605,000000,0.69,0.8392,0.69,0.755,0,0
ZB.V,D,20180606,000000,0.755,0.7723,0.7378,0.753,0,0
ZB.V,D,20180607,000000,0.753,0.7604,0.7241,0.7443,0,0
ZB.V,D,20180608,000000,0.7444,0.7476,0.7246,0.7419,0,0
ZB.V,D,20180609,000000,0.7419,0.8415,0.7185,0.801,0,0
ZB.V,D,20180610,000000,0.801,0.801,0.6591,0.6916,0,0
ZB.V,D,20180611,000000,0.6916,0.7225,0.6541,0.6984,0,0
ZB.V,D,20180612,000000,0.6984,0.6984,0.6335,0.6556,0,0
ZB.V,D,20180613,000000,0.6556,0.6809,0.6209,0.6809,0,0
ZB.V,D,20180614,000000,0.6809,0.7673,0.6809,0.7401,0,0
ZB.V,D,20180615,000000,0.7401,0.7401,0.6902,0.7177,0,0
ZB.V,D,20180616,000000,0.7177,0.7999,0.7177,0.7921,0,0
ZB.V,D,20180617,000000,0.7921,0.824,0.7556,0.7756,0,0
ZB.V,D,20180618,000000,0.7756,0.8185,0.7662,0.7991,0,0
ZB.V,D,20180619,000000,0.795,0.8393,0.7766,0.815,0,0
ZB.V,D,20180620,000000,0.815,1.001,0.8141,0.9547,0,0
ZB.V,D,20180621,000000,0.9621,0.9621,0.8401,0.8495,0,0
ZB.V,D,20180622,000000,0.8495,0.8495,0.6723,0.7238,0,0
ZB.V,D,20180623,000000,0.7238,0.7733,0.7178,0.7406,0,0
ZB.V,D,20180624,000000,0.7406,0.7469,0.6595,0.6903,0,0
ZB.V,D,20180625,000000,0.6903,0.7913,0.688,0.7431,0,0
ZB.V,D,20180626,000000,0.7431,0.7431,0.7044,0.7142,0,0
ZB.V,D,20180627,000000,0.7146,0.7536,0.7063,0.7388,0,0
ZB.V,D,20180628,000000,0.7388,0.7388,0.6811,0.6999,0,0
ZB.V,D,20180629,000000,0.6998,0.7544,0.6998,0.7178,0,0
ZB.V,D,20180630,000000,0.7178,0.7592,0.7178,0.742,0,0
ZB.V,D,20180701,000000,0.742,0.742,0.7169,0.729,0,0
ZB.V,D,20180702,000000,0.7294,0.7608,0.7294,0.7383,0,0
ZB.V,D,20180703,000000,0.7384,0.7733,0.7102,0.733,0,0
ZB.V,D,20180704,000000,0.7328,0.7453,0.7196,0.7289,0,0
ZB.V,D,20180705,000000,0.7288,0.7288,0.711,0.7208,0,0
ZB.V,D,20180706,000000,0.7208,0.7328,0.7044,0.7157,0,0
ZB.V,D,20180707,000000,0.7157,0.7461,0.713,0.7224,0,0
ZB.V,D,20180708,000000,0.7224,0.7432,0.7123,0.7264,0,0
ZB.V,D,20180709,000000,0.7251,0.7309,0.7122,0.7156,0,0
ZB.V,D,20180710,000000,0.7156,0.7156,0.6647,0.6893,0,0
ZB.V,D,20180711,000000,0.6893,0.6989,0.6529,0.681,0,0
ZB.V,D,20180712,000000,0.681,0.681,0.6441,0.6623,0,0
ZB.V,D,20180713,000000,0.6623,0.6952,0.6597,0.6784,0,0
ZB.V,D,20180714,000000,0.6784,0.694,0.6777,0.6871,0,0
ZB.V,D,20180715,000000,0.6864,0.7122,0.6864,0.7122,0,0
ZB.V,D,20180716,000000,0.7122,0.7556,0.7122,0.7253,0,0
ZB.V,D,20180717,000000,0.7253,0.8023,0.7253,0.7503,0,0
ZB.V,D,20180718,000000,0.7503,0.759,0.7295,0.7344,0,0
ZB.V,D,20180719,000000,0.7356,0.7605,0.727,0.7371,0,0
ZB.V,D,20180720,000000,0.7371,0.7591,0.7203,0.7341,0,0
