<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEC.V,D,20161028,000000,2100,5000,2100,5000,0,0
ZEC.V,D,20161029,000000,12001,30000,4000,4000,0,0
ZEC.V,D,20161030,000000,4000,4000,475,650,0,0
ZEC.V,D,20161031,000000,650,3000,475,1600,0,0
ZEC.V,D,20161101,000000,1600,2175,1200,1550,0,0
ZEC.V,D,20161102,000000,1550,1550,840,907.27,0,0
ZEC.V,D,20161103,000000,907.27,1099.99,835,835.01,0,0
ZEC.V,D,20161104,000000,835.01,900,547.5,600,0,0
ZEC.V,D,20161105,000000,600,624.34,501.01,507,0,0
ZEC.V,D,20161106,000000,507,515.99,275,309.11,0,0
ZEC.V,D,20161107,000000,309.11,334.82,229.03,240,0,0
ZEC.V,D,20161108,000000,240,275,166.79,275,0,0
ZEC.V,D,20161109,000000,275,400,210.05,267,0,0
ZEC.V,D,20161110,000000,267,278.88,210.05,212.09,0,0
ZEC.V,D,20161111,000000,212.09,229.93,179.01,181.23,0,0
ZEC.V,D,20161112,000000,181.23,198.98,139,140.95,0,0
ZEC.V,D,20161113,000000,140.95,162.52,110,120,0,0
ZEC.V,D,20161114,000000,120,120,89.24,105.1,0,0
ZEC.V,D,20161115,000000,105.1,134.98,90.06,113.9,0,0
ZEC.V,D,20161116,000000,113.9,118,93.5,93.56,0,0
ZEC.V,D,20161117,000000,93.56,98.98,84.47,84.47,0,0
ZEC.V,D,20161118,000000,84.47,86.2,68.07,68.07,0,0
ZEC.V,D,20161119,000000,68.07,70.92,62.86,62.92,0,0
ZEC.V,D,20161120,000000,62.92,74.75,60.66,60.66,0,0
ZEC.V,D,20161121,000000,60.66,60.66,55,55.01,0,0
ZEC.V,D,20161122,000000,55.01,73.42,55,59.59,0,0
ZEC.V,D,20161123,000000,59.59,99.72,56.19,81.19,0,0
ZEC.V,D,20161124,000000,81.19,105.46,69.85,100,0,0
ZEC.V,D,20161125,000000,100,123,83.79,90.54,0,0
ZEC.V,D,20161126,000000,90.54,94,75,75,0,0
