<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURAUD,D,19800102,000000,1.0294,1.0294,1.0294,1.0294,0,0
EURAUD,D,19800103,000000,1.0274,1.0274,1.0274,1.0274,0,0
EURAUD,D,19800104,000000,1.0284,1.0284,1.0284,1.0284,0,0
EURAUD,D,19800107,000000,1.0264,1.0264,1.0264,1.0264,0,0
EURAUD,D,19800108,000000,1.0205,1.0205,1.0205,1.0205,0,0
EURAUD,D,19800109,000000,1.0239,1.0239,1.0239,1.0239,0,0
EURAUD,D,19800110,000000,1.021,1.021,1.021,1.021,0,0
EURAUD,D,19800111,000000,1.0203,1.0203,1.0203,1.0203,0,0
EURAUD,D,19800114,000000,1.0208,1.0208,1.0208,1.0208,0,0
EURAUD,D,19800115,000000,1.0151,1.0151,1.0151,1.0151,0,0
EURAUD,D,19800116,000000,1.0211,1.0211,1.0211,1.0211,0,0
EURAUD,D,19800117,000000,1.0185,1.0185,1.0185,1.0185,0,0
EURAUD,D,19800118,000000,1.0193,1.0193,1.0193,1.0193,0,0
EURAUD,D,19800121,000000,1.0163,1.0163,1.0163,1.0163,0,0
EURAUD,D,19800122,000000,1.0151,1.0151,1.0151,1.0151,0,0
EURAUD,D,19800123,000000,1.0164,1.0164,1.0164,1.0164,0,0
EURAUD,D,19800124,000000,1.0138,1.0138,1.0138,1.0138,0,0
EURAUD,D,19800125,000000,1.0136,1.0136,1.0136,1.0136,0,0
EURAUD,D,19800128,000000,1.0122,1.0122,1.0122,1.0122,0,0
EURAUD,D,19800129,000000,1.0161,1.0161,1.0161,1.0161,0,0
EURAUD,D,19800130,000000,1.0141,1.0141,1.0141,1.0141,0,0
EURAUD,D,19800131,000000,1.0104,1.0104,1.0104,1.0104,0,0
EURAUD,D,19800201,000000,1.0104,1.0104,1.0104,1.0104,0,0
EURAUD,D,19800204,000000,1.0127,1.0127,1.0127,1.0127,0,0
EURAUD,D,19800205,000000,1.0106,1.0106,1.0106,1.0106,0,0
EURAUD,D,19800206,000000,1.0164,1.0164,1.0164,1.0164,0,0
EURAUD,D,19800207,000000,1.0108,1.0108,1.0108,1.0108,0,0
EURAUD,D,19800208,000000,1.0113,1.0113,1.0113,1.0113,0,0
EURAUD,D,19800211,000000,1.0136,1.0136,1.0136,1.0136,0,0
EURAUD,D,19800212,000000,1.0126,1.0126,1.0126,1.0126,0,0
EURAUD,D,19800213,000000,1.0163,1.0163,1.0163,1.0163,0,0
EURAUD,D,19800214,000000,1.0149,1.0149,1.0149,1.0149,0,0
EURAUD,D,19800215,000000,1.0119,1.0119,1.0119,1.0119,0,0
EURAUD,D,19800218,000000,1.0121,1.0121,1.0121,1.0121,0,0
EURAUD,D,19800219,000000,1.01,1.01,1.01,1.01,0,0
EURAUD,D,19800220,000000,1.0121,1.0121,1.0121,1.0121,0,0
EURAUD,D,19800221,000000,1.0133,1.0133,1.0133,1.0133,0,0
EURAUD,D,19800222,000000,1.0064,1.0064,1.0064,1.0064,0,0
EURAUD,D,19800225,000000,1.0064,1.0064,1.0064,1.0064,0,0
EURAUD,D,19800226,000000,1.0077,1.0077,1.0077,1.0077,0,0
EURAUD,D,19800227,000000,1.01,1.01,1.01,1.01,0,0
EURAUD,D,19800228,000000,1.0062,1.0062,1.0062,1.0062,0,0
EURAUD,D,19800229,000000,0.9989,0.9989,0.9989,0.9989,0,0
EURAUD,D,19800303,000000,0.9993,0.9993,0.9993,0.9993,0,0
EURAUD,D,19800304,000000,0.9935,0.9935,0.9935,0.9935,0,0
EURAUD,D,19800305,000000,0.9936,0.9936,0.9936,0.9936,0,0
EURAUD,D,19800306,000000,0.9913,0.9913,0.9913,0.9913,0,0
EURAUD,D,19800307,000000,0.9912,0.9912,0.9912,0.9912,0,0
EURAUD,D,19800310,000000,0.9846,0.9846,0.9846,0.9846,0,0
EURAUD,D,19800311,000000,0.9836,0.9836,0.9836,0.9836,0,0
EURAUD,D,19800312,000000,0.986,0.986,0.986,0.986,0,0
EURAUD,D,19800313,000000,0.9776,0.9776,0.9776,0.9776,0,0
EURAUD,D,19800314,000000,0.9726,0.9726,0.9726,0.9726,0,0
EURAUD,D,19800317,000000,0.9532,0.9532,0.9532,0.9532,0,0
EURAUD,D,19800318,000000,0.9553,0.9553,0.9553,0.9553,0,0
EURAUD,D,19800319,000000,0.9594,0.9594,0.9594,0.9594,0,0
EURAUD,D,19800320,000000,0.9617,0.9617,0.9617,0.9617,0,0
EURAUD,D,19800321,000000,0.9551,0.9551,0.9551,0.9551,0,0
EURAUD,D,19800324,000000,0.9509,0.9509,0.9509,0.9509,0,0
EURAUD,D,19800325,000000,0.947,0.947,0.947,0.947,0,0
EURAUD,D,19800326,000000,0.9472,0.9472,0.9472,0.9472,0,0
EURAUD,D,19800327,000000,0.9368,0.9368,0.9368,0.9368,0,0
EURAUD,D,19800328,000000,0.932,0.932,0.932,0.932,0,0
EURAUD,D,19800331,000000,0.9226,0.9226,0.9226,0.9226,0,0
EURAUD,D,19800401,000000,0.9205,0.9205,0.9205,0.9205,0,0
EURAUD,D,19800402,000000,0.9305,0.9305,0.9305,0.9305,0,0
EURAUD,D,19800403,000000,0.9246,0.9246,0.9246,0.9246,0,0
EURAUD,D,19800404,000000,0.9217,0.9217,0.9217,0.9217,0,0
EURAUD,D,19800407,000000,0.9194,0.9194,0.9194,0.9194,0,0
EURAUD,D,19800408,000000,0.9407,0.9407,0.9407,0.9407,0,0
EURAUD,D,19800409,000000,0.9593,0.9593,0.9593,0.9593,0,0
EURAUD,D,19800410,000000,0.9563,0.9563,0.9563,0.9563,0,0
EURAUD,D,19800411,000000,0.9507,0.9507,0.9507,0.9507,0,0
EURAUD,D,19800414,000000,0.9544,0.9544,0.9544,0.9544,0,0
EURAUD,D,19800415,000000,0.9432,0.9432,0.9432,0.9432,0,0
EURAUD,D,19800416,000000,0.9623,0.9623,0.9623,0.9623,0,0
EURAUD,D,19800417,000000,0.9579,0.9579,0.9579,0.9579,0,0
EURAUD,D,19800418,000000,0.9586,0.9586,0.9586,0.9586,0,0
EURAUD,D,19800421,000000,0.9634,0.9634,0.9634,0.9634,0,0
EURAUD,D,19800422,000000,0.9547,0.9547,0.9547,0.9547,0,0
EURAUD,D,19800423,000000,0.975,0.975,0.975,0.975,0,0
EURAUD,D,19800424,000000,0.9683,0.9683,0.9683,0.9683,0,0
EURAUD,D,19800425,000000,0.9718,0.9718,0.9718,0.9718,0,0
EURAUD,D,19800428,000000,0.9799,0.9799,0.9799,0.9799,0,0
EURAUD,D,19800429,000000,0.9746,0.9746,0.9746,0.9746,0,0
EURAUD,D,19800430,000000,0.9722,0.9722,0.9722,0.9722,0,0
EURAUD,D,19800501,000000,0.9716,0.9716,0.9716,0.9716,0,0
EURAUD,D,19800502,000000,0.9605,0.9605,0.9605,0.9605,0,0
EURAUD,D,19800505,000000,0.9759,0.9759,0.9759,0.9759,0,0
EURAUD,D,19800506,000000,0.9739,0.9739,0.9739,0.9739,0,0
EURAUD,D,19800507,000000,0.9727,0.9727,0.9727,0.9727,0,0
EURAUD,D,19800508,000000,0.9661,0.9661,0.9661,0.9661,0,0
EURAUD,D,19800509,000000,0.9582,0.9582,0.9582,0.9582,0,0
EURAUD,D,19800512,000000,0.9676,0.9676,0.9676,0.9676,0,0
EURAUD,D,19800513,000000,0.9618,0.9618,0.9618,0.9618,0,0
EURAUD,D,19800514,000000,0.9647,0.9647,0.9647,0.9647,0,0
EURAUD,D,19800515,000000,0.9644,0.9644,0.9644,0.9644,0,0
EURAUD,D,19800516,000000,0.9624,0.9624,0.9624,0.9624,0,0
EURAUD,D,19800519,000000,0.9584,0.9584,0.9584,0.9584,0,0
EURAUD,D,19800520,000000,0.9583,0.9583,0.9583,0.9583,0,0
EURAUD,D,19800521,000000,0.9634,0.9634,0.9634,0.9634,0,0
EURAUD,D,19800522,000000,0.9583,0.9583,0.9583,0.9583,0,0
EURAUD,D,19800523,000000,0.9632,0.9632,0.9632,0.9632,0,0
EURAUD,D,19800526,000000,0.9575,0.9575,0.9575,0.9575,0,0
EURAUD,D,19800527,000000,0.9627,0.9627,0.9627,0.9627,0,0
EURAUD,D,19800528,000000,0.9577,0.9577,0.9577,0.9577,0,0
EURAUD,D,19800529,000000,0.9576,0.9576,0.9576,0.9576,0,0
EURAUD,D,19800530,000000,0.96,0.96,0.96,0.96,0,0
EURAUD,D,19800602,000000,0.9557,0.9557,0.9557,0.9557,0,0
EURAUD,D,19800603,000000,0.961,0.961,0.961,0.961,0,0
EURAUD,D,19800604,000000,0.9607,0.9607,0.9607,0.9607,0,0
EURAUD,D,19800605,000000,0.9602,0.9602,0.9602,0.9602,0,0
EURAUD,D,19800606,000000,0.958,0.958,0.958,0.958,0,0
EURAUD,D,19800609,000000,0.9622,0.9622,0.9622,0.9622,0,0
EURAUD,D,19800610,000000,0.9591,0.9591,0.9591,0.9591,0,0
EURAUD,D,19800611,000000,0.9571,0.9571,0.9571,0.9571,0,0
EURAUD,D,19800612,000000,0.9584,0.9584,0.9584,0.9584,0,0
EURAUD,D,19800613,000000,0.9617,0.9617,0.9617,0.9617,0,0
EURAUD,D,19800616,000000,0.955,0.955,0.955,0.955,0,0
EURAUD,D,19800617,000000,0.9574,0.9574,0.9574,0.9574,0,0
EURAUD,D,19800618,000000,0.9559,0.9559,0.9559,0.9559,0,0
EURAUD,D,19800619,000000,0.9544,0.9544,0.9544,0.9544,0,0
EURAUD,D,19800620,000000,0.9548,0.9548,0.9548,0.9548,0,0
EURAUD,D,19800623,000000,0.9554,0.9554,0.9554,0.9554,0,0
