<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCAD,D,19840102,000000,0.5325,0.5325,0.5325,0.5325,0,0
JPYCAD,D,19840109,000000,0.5339,0.5339,0.5339,0.5339,0,0
JPYCAD,D,19840116,000000,0.5351,0.5351,0.5351,0.5351,0,0
JPYCAD,D,19840123,000000,0.5335,0.5335,0.5335,0.5335,0,0
JPYCAD,D,19840130,000000,0.5323,0.5323,0.5323,0.5323,0,0
JPYCAD,D,19840206,000000,0.532,0.532,0.532,0.532,0,0
JPYCAD,D,19840213,000000,0.5331,0.5331,0.5331,0.5331,0,0
JPYCAD,D,19840220,000000,0.532,0.532,0.532,0.532,0,0
JPYCAD,D,19840301,000000,0.5346,0.5346,0.5346,0.5346,0,0
JPYCAD,D,19840305,000000,0.5375,0.5375,0.5375,0.5375,0,0
JPYCAD,D,19840312,000000,0.562,0.562,0.562,0.562,0,0
JPYCAD,D,19840319,000000,0.565,0.565,0.565,0.565,0,0
JPYCAD,D,19840326,000000,0.566,0.566,0.566,0.566,0,0
JPYCAD,D,19840402,000000,0.5715,0.5715,0.5715,0.5715,0,0
JPYCAD,D,19840409,000000,0.5671,0.5671,0.5671,0.5671,0,0
JPYCAD,D,19840416,000000,0.5679,0.5679,0.5679,0.5679,0,0
JPYCAD,D,19840424,000000,0.5698,0.5698,0.5698,0.5698,0,0
JPYCAD,D,19840502,000000,0.5676,0.5676,0.5676,0.5676,0,0
JPYCAD,D,19840507,000000,0.5704,0.5704,0.5704,0.5704,0,0
JPYCAD,D,19840514,000000,0.5659,0.5659,0.5659,0.5659,0,0
JPYCAD,D,19840521,000000,0.5602,0.5602,0.5602,0.5602,0,0
JPYCAD,D,19840528,000000,0.555,0.555,0.555,0.555,0,0
JPYCAD,D,19840604,000000,0.5585,0.5585,0.5585,0.5585,0,0
JPYCAD,D,19840611,000000,0.5666,0.5666,0.5666,0.5666,0,0
JPYCAD,D,19840618,000000,0.5611,0.5611,0.5611,0.5611,0,0
JPYCAD,D,19840625,000000,0.558,0.558,0.558,0.558,0,0
JPYCAD,D,19840702,000000,0.5547,0.5547,0.5547,0.5547,0,0
JPYCAD,D,19840709,000000,0.5499,0.5499,0.5499,0.5499,0,0
JPYCAD,D,19840716,000000,0.55,0.55,0.55,0.55,0,0
JPYCAD,D,19840723,000000,0.5495,0.5495,0.5495,0.5495,0,0
JPYCAD,D,19840730,000000,0.5355,0.5355,0.5355,0.5355,0,0
JPYCAD,D,19840806,000000,0.5355,0.5355,0.5355,0.5355,0,0
JPYCAD,D,19840813,000000,0.5368,0.5368,0.5368,0.5368,0,0
JPYCAD,D,19840820,000000,0.537,0.537,0.537,0.537,0,0
JPYCAD,D,19840827,000000,0.5385,0.5385,0.5385,0.5385,0,0
JPYCAD,D,19840901,000000,0.5387,0.5387,0.5387,0.5387,0,0
JPYCAD,D,19840910,000000,0.533,0.533,0.533,0.533,0,0
JPYCAD,D,19840917,000000,0.5372,0.5372,0.5372,0.5372,0,0
JPYCAD,D,19840924,000000,0.5337,0.5337,0.5337,0.5337,0,0
JPYCAD,D,19841001,000000,0.5357,0.5357,0.5357,0.5357,0,0
JPYCAD,D,19841008,000000,0.535,0.535,0.535,0.535,0,0
JPYCAD,D,19841015,000000,0.5334,0.5334,0.5334,0.5334,0,0
JPYCAD,D,19841022,000000,0.5321,0.5321,0.5321,0.5321,0,0
JPYCAD,D,19841029,000000,0.5372,0.5372,0.5372,0.5372,0,0
JPYCAD,D,19841105,000000,0.5367,0.5367,0.5367,0.5367,0,0
JPYCAD,D,19841112,000000,0.5404,0.5404,0.5404,0.5404,0,0
JPYCAD,D,19841119,000000,0.5476,0.5476,0.5476,0.5476,0,0
JPYCAD,D,19841126,000000,0.5406,0.5406,0.5406,0.5406,0,0
JPYCAD,D,19841201,000000,0.5369,0.5369,0.5369,0.5369,0,0
JPYCAD,D,19841210,000000,0.5351,0.5351,0.5351,0.5351,0,0
JPYCAD,D,19841217,000000,0.535,0.535,0.535,0.535,0,0
JPYCAD,D,19841224,000000,0.5344,0.5344,0.5344,0.5344,0,0
JPYCAD,D,19850101,000000,0.5308,0.5308,0.5308,0.5308,0,0
JPYCAD,D,19850107,000000,0.5254,0.5254,0.5254,0.5254,0,0
JPYCAD,D,19850114,000000,0.5199,0.5199,0.5199,0.5199,0,0
JPYCAD,D,19850121,000000,0.5187,0.5187,0.5187,0.5187,0,0
JPYCAD,D,19850128,000000,0.5205,0.5205,0.5205,0.5205,0,0
JPYCAD,D,19850204,000000,0.5218,0.5218,0.5218,0.5218,0,0
JPYCAD,D,19850211,000000,0.5131,0.5131,0.5131,0.5131,0,0
JPYCAD,D,19850218,000000,0.5105,0.5105,0.5105,0.5105,0,0
JPYCAD,D,19850225,000000,0.5141,0.5141,0.5141,0.5141,0,0
JPYCAD,D,19850304,000000,0.5346,0.5346,0.5346,0.5346,0,0
JPYCAD,D,19850311,000000,0.5365,0.5365,0.5365,0.5365,0,0
JPYCAD,D,19850318,000000,0.5346,0.5346,0.5346,0.5346,0,0
JPYCAD,D,19850325,000000,0.5318,0.5318,0.5318,0.5318,0,0
JPYCAD,D,19850329,000000,0.5409,0.5409,0.5409,0.5409,0,0
JPYCAD,D,19850401,000000,0.5413,0.5413,0.5413,0.5413,0,0
JPYCAD,D,19850409,000000,0.5412,0.5412,0.5412,0.5412,0,0
