<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUAUD,D,19840109,000000,411.37,411.37,411.37,411.37,0,0
XAUAUD,D,19840116,000000,407.52,407.52,407.52,407.52,0,0
XAUAUD,D,19840123,000000,407.09,407.09,407.09,407.09,0,0
XAUAUD,D,19840130,000000,414.25,414.25,414.25,414.25,0,0
XAUAUD,D,19840206,000000,421.58,421.58,421.58,421.58,0,0
XAUAUD,D,19840213,000000,416.33,416.33,416.33,416.33,0,0
XAUAUD,D,19840220,000000,407.36,407.36,407.36,407.36,0,0
XAUAUD,D,19840301,000000,422.29,422.29,422.29,422.29,0,0
XAUAUD,D,19840305,000000,431.7,431.7,431.7,431.7,0,0
XAUAUD,D,19840312,000000,415.38,415.38,415.38,415.38,0,0
XAUAUD,D,19840319,000000,408.24,408.24,408.24,408.24,0,0
XAUAUD,D,19840326,000000,404.15,404.15,404.15,404.15,0,0
XAUAUD,D,19840402,000000,407.5,407.5,407.5,407.5,0,0
XAUAUD,D,19840409,000000,411.24,411.24,411.24,411.24,0,0
XAUAUD,D,19840416,000000,417.44,417.44,417.44,417.44,0,0
XAUAUD,D,19840424,000000,420.3,420.3,420.3,420.3,0,0
XAUAUD,D,19840502,000000,413.97,413.97,413.97,413.97,0,0
XAUAUD,D,19840507,000000,404.65,404.65,404.65,404.65,0,0
XAUAUD,D,19840514,000000,408.75,408.75,408.75,408.75,0,0
XAUAUD,D,19840521,000000,422.23,422.23,422.23,422.23,0,0
XAUAUD,D,19840528,000000,421.31,421.31,421.31,421.31,0,0
XAUAUD,D,19840604,000000,448.06,448.06,448.06,448.06,0,0
XAUAUD,D,19840611,000000,420.53,420.53,420.53,420.53,0,0
XAUAUD,D,19840618,000000,420.69,420.69,420.69,420.69,0,0
XAUAUD,D,19840625,000000,420.37,420.37,420.37,420.37,0,0
XAUAUD,D,19840702,000000,432.98,432.98,432.98,432.98,0,0
XAUAUD,D,19840709,000000,407.55,407.55,407.55,407.55,0,0
XAUAUD,D,19840716,000000,419.64,419.64,419.64,419.64,0,0
XAUAUD,D,19840723,000000,406.43,406.43,406.43,406.43,0,0
XAUAUD,D,19840730,000000,431.56,431.56,431.56,431.56,0,0
XAUAUD,D,19840806,000000,434.62,434.62,434.62,434.62,0,0
XAUAUD,D,19840813,000000,430.65,430.65,430.65,430.65,0,0
XAUAUD,D,19840820,000000,421.23,421.23,421.23,421.23,0,0
XAUAUD,D,19840827,000000,419.88,419.88,419.88,419.88,0,0
XAUAUD,D,19840901,000000,419.51,419.51,419.51,419.51,0,0
XAUAUD,D,19840910,000000,414.13,414.13,414.13,414.13,0,0
XAUAUD,D,19840917,000000,413.26,413.26,413.26,413.26,0,0
XAUAUD,D,19840924,000000,424.82,424.82,424.82,424.82,0,0
XAUAUD,D,19841001,000000,424.23,424.23,424.23,424.23,0,0
XAUAUD,D,19841008,000000,416.67,416.67,416.67,416.67,0,0
XAUAUD,D,19841015,000000,414.91,414.91,414.91,414.91,0,0
XAUAUD,D,19841022,000000,412.95,412.95,412.95,412.95,0,0
XAUAUD,D,19841029,000000,404.71,404.71,404.71,404.71,0,0
XAUAUD,D,19841105,000000,414.47,414.47,414.47,414.47,0,0
XAUAUD,D,19841112,000000,405.4,405.4,405.4,405.4,0,0
