<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUGBP,D,19840109,000000,259.87,259.87,259.87,259.87,0,0
XAUGBP,D,19840116,000000,265.18,265.18,265.18,265.18,0,0
XAUGBP,D,19840123,000000,258.05,258.05,258.05,258.05,0,0
XAUGBP,D,19840130,000000,268.31,268.31,268.31,268.31,0,0
XAUGBP,D,19840206,000000,275.26,275.26,275.26,275.26,0,0
XAUGBP,D,19840213,000000,271.62,271.62,271.62,271.62,0,0
XAUGBP,D,19840220,000000,270.31,270.31,270.31,270.31,0,0
XAUGBP,D,19840301,000000,274.02,274.02,274.02,274.02,0,0
XAUGBP,D,19840305,000000,273.91,273.91,273.91,273.91,0,0
XAUGBP,D,19840312,000000,267.27,267.27,267.27,267.27,0,0
XAUGBP,D,19840319,000000,267.16,267.16,267.16,267.16,0,0
XAUGBP,D,19840326,000000,268.64,268.64,268.64,268.64,0,0
XAUGBP,D,19840402,000000,266.37,266.37,266.37,266.37,0,0
XAUGBP,D,19840409,000000,270.86,270.86,270.86,270.86,0,0
XAUGBP,D,19840416,000000,268.06,268.06,268.06,268.06,0,0
XAUGBP,D,19840424,000000,272.48,272.48,272.48,272.48,0,0
XAUGBP,D,19840502,000000,269.99,269.99,269.99,269.99,0,0
XAUGBP,D,19840507,000000,268.36,268.36,268.36,268.36,0,0
XAUGBP,D,19840514,000000,269.27,269.27,269.27,269.27,0,0
XAUGBP,D,19840521,000000,273.81,273.81,273.81,273.81,0,0
XAUGBP,D,19840528,000000,272.92,272.92,272.92,272.92,0,0
XAUGBP,D,19840604,000000,290.94,290.94,290.94,290.94,0,0
XAUGBP,D,19840611,000000,270.34,270.34,270.34,270.34,0,0
XAUGBP,D,19840618,000000,272.02,272.02,272.02,272.02,0,0
XAUGBP,D,19840625,000000,269.8,269.8,269.8,269.8,0,0
XAUGBP,D,19840702,000000,276.83,276.83,276.83,276.83,0,0
XAUGBP,D,19840709,000000,261.05,261.05,261.05,261.05,0,0
XAUGBP,D,19840716,000000,266.26,266.26,266.26,266.26,0,0
XAUGBP,D,19840723,000000,256.08,256.08,256.08,256.08,0,0
XAUGBP,D,19840730,000000,269.05,269.05,269.05,269.05,0,0
XAUGBP,D,19840806,000000,276.03,276.03,276.03,276.03,0,0
XAUGBP,D,19840813,000000,275.55,275.55,275.55,275.55,0,0
XAUGBP,D,19840820,000000,269.33,269.33,269.33,269.33,0,0
XAUGBP,D,19840827,000000,272.79,272.79,272.79,272.79,0,0
XAUGBP,D,19840901,000000,275.01,275.01,275.01,275.01,0,0
XAUGBP,D,19840910,000000,268.66,268.66,268.66,268.66,0,0
XAUGBP,D,19840917,000000,269.78,269.78,269.78,269.78,0,0
XAUGBP,D,19840924,000000,286.66,286.66,286.66,286.66,0,0
XAUGBP,D,19841001,000000,284.02,284.02,284.02,284.02,0,0
XAUGBP,D,19841008,000000,279.47,279.47,279.47,279.47,0,0
XAUGBP,D,19841015,000000,280.6,280.6,280.6,280.6,0,0
XAUGBP,D,19841022,000000,285.09,285.09,285.09,285.09,0,0
XAUGBP,D,19841029,000000,281.17,281.17,281.17,281.17,0,0
XAUGBP,D,19841105,000000,290.04,290.04,290.04,290.04,0,0
XAUGBP,D,19841112,000000,275.1,275.1,275.1,275.1,0,0
XAUGBP,D,19841119,000000,269.56,269.56,269.56,269.56,0,0
XAUGBP,D,19841126,000000,265.85,265.85,265.85,265.85,0,0
XAUGBP,D,19841201,000000,276.01,276.01,276.01,276.01,0,0
XAUGBP,D,19841210,000000,274.05,274.05,274.05,274.05,0,0
XAUGBP,D,19841217,000000,263.07,263.07,263.07,263.07,0,0
XAUGBP,D,19841224,000000,266.57,266.57,266.57,266.57,0,0
XAUGBP,D,19850101,000000,271.02,271.02,271.02,271.02,0,0
XAUGBP,D,19850107,000000,264.12,264.12,264.12,264.12,0,0
XAUGBP,D,19850114,000000,262.01,262.01,262.01,262.01,0,0
XAUGBP,D,19850121,000000,275.04,275.04,275.04,275.04,0,0
XAUGBP,D,19850128,000000,273.52,273.52,273.52,273.52,0,0
XAUGBP,D,19850204,000000,273.43,273.43,273.43,273.43,0,0
XAUGBP,D,19850211,000000,276.55,276.55,276.55,276.55,0,0
XAUGBP,D,19850218,000000,281.1,281.1,281.1,281.1,0,0
XAUGBP,D,19850225,000000,259.86,259.86,259.86,259.86,0,0
XAUGBP,D,19850304,000000,270.69,270.69,270.69,270.69,0,0
XAUGBP,D,19850311,000000,276.36,276.36,276.36,276.36,0,0
XAUGBP,D,19850318,000000,281.15,281.15,281.15,281.15,0,0
XAUGBP,D,19850325,000000,285.7,285.7,285.7,285.7,0,0
XAUGBP,D,19850329,000000,276.41,276.41,276.41,276.41,0,0
XAUGBP,D,19850401,000000,264.96,264.96,264.96,264.96,0,0
XAUGBP,D,19850409,000000,266.58,266.58,266.58,266.58,0,0
XAUGBP,D,19850415,000000,275.88,275.88,275.88,275.88,0,0
XAUGBP,D,19850422,000000,258.49,258.49,258.49,258.49,0,0
XAUGBP,D,19850429,000000,256.44,256.44,256.44,256.44,0,0
XAUGBP,D,19850506,000000,250.14,250.14,250.14,250.14,0,0
XAUGBP,D,19850513,000000,273.66,273.66,273.66,273.66,0,0
XAUGBP,D,19850520,000000,247.63,247.63,247.63,247.63,0,0
XAUGBP,D,19850527,000000,245.17,245.17,245.17,245.17,0,0
XAUGBP,D,19850601,000000,249.41,249.41,249.41,249.41,0,0
XAUGBP,D,19850610,000000,244.89,244.89,244.89,244.89,0,0
XAUGBP,D,19850617,000000,255.1,255.1,255.1,255.1,0,0
XAUGBP,D,19850624,000000,247.2,247.2,247.2,247.2,0,0
XAUGBP,D,19850701,000000,241.08,241.08,241.08,241.08,0,0
XAUGBP,D,19850708,000000,243.05,243.05,243.05,243.05,0,0
XAUGBP,D,19850715,000000,237.45,237.45,237.45,237.45,0,0
XAUGBP,D,19850723,000000,229.55,229.55,229.55,229.55,0,0
XAUGBP,D,19850729,000000,228.72,228.72,228.72,228.72,0,0
XAUGBP,D,19850805,000000,232.39,232.39,232.39,232.39,0,0
XAUGBP,D,19850812,000000,250.9,250.9,250.9,250.9,0,0
XAUGBP,D,19850819,000000,247.09,247.09,247.09,247.09,0,0
XAUGBP,D,19850826,000000,245.7,245.7,245.7,245.7,0,0
XAUGBP,D,19850902,000000,246.28,246.28,246.28,246.28,0,0
XAUGBP,D,19850909,000000,236.31,236.31,236.31,236.31,0,0
XAUGBP,D,19850916,000000,248.77,248.77,248.77,248.77,0,0
XAUGBP,D,19850923,000000,248.4,248.4,248.4,248.4,0,0
XAUGBP,D,19850930,000000,228.93,228.93,228.93,228.93,0,0
XAUGBP,D,19851007,000000,235.05,235.05,235.05,235.05,0,0
XAUGBP,D,19851014,000000,232.55,232.55,232.55,232.55,0,0
XAUGBP,D,19851021,000000,233.76,233.76,233.76,233.76,0,0
XAUGBP,D,19851028,000000,228.92,228.92,228.92,228.92,0,0
XAUGBP,D,19851104,000000,228.7,228.7,228.7,228.7,0,0
XAUGBP,D,19851111,000000,226.56,226.56,226.56,226.56,0,0
XAUGBP,D,19851118,000000,229.29,229.29,229.29,229.29,0,0
XAUGBP,D,19851125,000000,233.42,233.42,233.42,233.42,0,0
XAUGBP,D,19851202,000000,224.05,224.05,224.05,224.05,0,0
XAUGBP,D,19851209,000000,216.55,216.55,216.55,216.55,0,0
XAUGBP,D,19851216,000000,225.12,225.12,225.12,225.12,0,0
XAUGBP,D,19851223,000000,227.77,227.77,227.77,227.77,0,0
XAUGBP,D,19860101,000000,230.5,230.5,230.5,230.5,0,0
XAUGBP,D,19860106,000000,229.1,229.1,229.1,229.1,0,0
XAUGBP,D,19860113,000000,237.92,237.92,237.92,237.92,0,0
XAUGBP,D,19860120,000000,245.98,245.98,245.98,245.98,0,0
XAUGBP,D,19860127,000000,249.66,249.66,249.66,249.66,0,0
XAUGBP,D,19860201,000000,256.87,256.87,256.87,256.87,0,0
XAUGBP,D,19860210,000000,247.8,247.8,247.8,247.8,0,0
XAUGBP,D,19860217,000000,242.08,242.08,242.08,242.08,0,0
XAUGBP,D,19860224,000000,248.06,248.06,248.06,248.06,0,0
XAUGBP,D,19860301,000000,236.49,236.49,236.49,236.49,0,0
XAUGBP,D,19860303,000000,229.41,229.41,229.41,229.41,0,0
XAUGBP,D,19860310,000000,236.58,236.58,236.58,236.58,0,0
XAUGBP,D,19860317,000000,242.96,242.96,242.96,242.96,0,0
