<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSBGN,D,19960806,000000,0.19926,0.19926,0.19926,0.19926,0,0
ARSBGN,D,19960807,000000,0.20009,0.20009,0.20009,0.20009,0,0
ARSBGN,D,19960808,000000,0.20008,0.20008,0.20008,0.20008,0,0
ARSBGN,D,19960809,000000,0.20046,0.20046,0.20046,0.20046,0,0
ARSBGN,D,19960812,000000,0.20071,0.20071,0.20071,0.20071,0,0
ARSBGN,D,19960813,000000,0.20055,0.20055,0.20055,0.20055,0,0
ARSBGN,D,19960814,000000,0.20137,0.20137,0.20137,0.20137,0,0
ARSBGN,D,19960816,000000,0.2035,0.2035,0.2035,0.2035,0,0
ARSBGN,D,19960819,000000,0.20506,0.20506,0.20506,0.20506,0,0
ARSBGN,D,19960820,000000,0.2076,0.2076,0.2076,0.2076,0,0
ARSBGN,D,19960821,000000,0.20769,0.20769,0.20769,0.20769,0,0
ARSBGN,D,19960822,000000,0.2083,0.2083,0.2083,0.2083,0,0
ARSBGN,D,19960823,000000,0.20869,0.20869,0.20869,0.20869,0,0
ARSBGN,D,19960826,000000,0.21014,0.21014,0.21014,0.21014,0,0
ARSBGN,D,19960827,000000,0.21167,0.21167,0.21167,0.21167,0,0
ARSBGN,D,19960828,000000,0.21277,0.21277,0.21277,0.21277,0,0
ARSBGN,D,19960829,000000,0.21486,0.21486,0.21486,0.21486,0,0
ARSBGN,D,19960830,000000,0.21936,0.21936,0.21936,0.21936,0,0
ARSBGN,D,19960902,000000,0.22456,0.22456,0.22456,0.22456,0,0
ARSBGN,D,19960903,000000,0.2269,0.2269,0.2269,0.2269,0,0
ARSBGN,D,19960904,000000,0.23102,0.23102,0.23102,0.23102,0,0
ARSBGN,D,19960905,000000,0.24314,0.24314,0.24314,0.24314,0,0
ARSBGN,D,19960906,000000,0.24232,0.24232,0.24232,0.24232,0,0
ARSBGN,D,19960909,000000,0.23753,0.23753,0.23753,0.23753,0,0
ARSBGN,D,19960910,000000,0.23729,0.23729,0.23729,0.23729,0,0
ARSBGN,D,19960911,000000,0.23807,0.23807,0.23807,0.23807,0,0
ARSBGN,D,19960912,000000,0.2402,0.2402,0.2402,0.2402,0,0
ARSBGN,D,19960913,000000,0.24047,0.24047,0.24047,0.24047,0,0
ARSBGN,D,19960916,000000,0.24109,0.24109,0.24109,0.24109,0,0
ARSBGN,D,19960917,000000,0.24207,0.24207,0.24207,0.24207,0,0
ARSBGN,D,19960918,000000,0.24302,0.24302,0.24302,0.24302,0,0
ARSBGN,D,19960919,000000,0.24612,0.24612,0.24612,0.24612,0,0
ARSBGN,D,19960920,000000,0.24547,0.24547,0.24547,0.24547,0,0
ARSBGN,D,19960923,000000,0.24733,0.24733,0.24733,0.24733,0,0
ARSBGN,D,19960924,000000,0.24095,0.24095,0.24095,0.24095,0,0
ARSBGN,D,19960925,000000,0.24245,0.24245,0.24245,0.24245,0,0
ARSBGN,D,19960926,000000,0.24383,0.24383,0.24383,0.24383,0,0
ARSBGN,D,19960927,000000,0.24195,0.24195,0.24195,0.24195,0,0
ARSBGN,D,19960930,000000,0.2418,0.2418,0.2418,0.2418,0,0
ARSBGN,D,19961001,000000,0.24014,0.24014,0.24014,0.24014,0,0
ARSBGN,D,19961002,000000,0.23592,0.23592,0.23592,0.23592,0,0
ARSBGN,D,19961003,000000,0.23255,0.23255,0.23255,0.23255,0,0
ARSBGN,D,19961004,000000,0.22407,0.22407,0.22407,0.22407,0,0
ARSBGN,D,19961007,000000,0.22512,0.22512,0.22512,0.22512,0,0
ARSBGN,D,19961008,000000,0.22818,0.22818,0.22818,0.22818,0,0
ARSBGN,D,19961009,000000,0.22648,0.22648,0.22648,0.22648,0,0
ARSBGN,D,19961010,000000,0.22834,0.22834,0.22834,0.22834,0,0
ARSBGN,D,19961011,000000,0.22752,0.22752,0.22752,0.22752,0,0
ARSBGN,D,19961014,000000,0.22703,0.22703,0.22703,0.22703,0,0
ARSBGN,D,19961015,000000,0.22827,0.22827,0.22827,0.22827,0,0
ARSBGN,D,19961016,000000,0.22785,0.22785,0.22785,0.22785,0,0
ARSBGN,D,19961017,000000,0.22974,0.22974,0.22974,0.22974,0,0
ARSBGN,D,19961018,000000,0.22966,0.22966,0.22966,0.22966,0,0
ARSBGN,D,19961021,000000,0.23511,0.23511,0.23511,0.23511,0,0
ARSBGN,D,19961022,000000,0.23823,0.23823,0.23823,0.23823,0,0
ARSBGN,D,19961023,000000,0.24146,0.24146,0.24146,0.24146,0,0
ARSBGN,D,19961024,000000,0.25494,0.25494,0.25494,0.25494,0,0
ARSBGN,D,19961025,000000,0.2476,0.2476,0.2476,0.2476,0,0
ARSBGN,D,19961028,000000,0.24873,0.24873,0.24873,0.24873,0,0
ARSBGN,D,19961029,000000,0.25155,0.25155,0.25155,0.25155,0,0
ARSBGN,D,19961030,000000,0.2513,0.2513,0.2513,0.2513,0,0
ARSBGN,D,19961031,000000,0.25469,0.25469,0.25469,0.25469,0,0
ARSBGN,D,19961104,000000,0.25864,0.25864,0.25864,0.25864,0,0
ARSBGN,D,19961105,000000,0.26117,0.26117,0.26117,0.26117,0,0
ARSBGN,D,19961106,000000,0.26105,0.26105,0.26105,0.26105,0,0
ARSBGN,D,19961107,000000,0.26196,0.26196,0.26196,0.26196,0,0
ARSBGN,D,19961108,000000,0.2631,0.2631,0.2631,0.2631,0,0
ARSBGN,D,19961112,000000,0.26954,0.26954,0.26954,0.26954,0,0
ARSBGN,D,19961113,000000,0.27202,0.27202,0.27202,0.27202,0,0
ARSBGN,D,19961114,000000,0.28039,0.28039,0.28039,0.28039,0,0
ARSBGN,D,19961115,000000,0.28109,0.28109,0.28109,0.28109,0,0
ARSBGN,D,19961118,000000,0.28149,0.28149,0.28149,0.28149,0,0
ARSBGN,D,19961119,000000,0.28238,0.28238,0.28238,0.28238,0,0
ARSBGN,D,19961120,000000,0.32438,0.32438,0.32438,0.32438,0,0
ARSBGN,D,19961121,000000,0.36512,0.36512,0.36512,0.36512,0,0
ARSBGN,D,19961122,000000,0.33814,0.33814,0.33814,0.33814,0,0
ARSBGN,D,19961125,000000,0.36718,0.36718,0.36718,0.36718,0,0
ARSBGN,D,19961126,000000,0.36683,0.36683,0.36683,0.36683,0,0
ARSBGN,D,19961127,000000,0.36822,0.36822,0.36822,0.36822,0,0
ARSBGN,D,19961128,000000,0.36803,0.36803,0.36803,0.36803,0,0
