<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSDKK,D,19960806,000000,6.0253,6.0253,6.0253,6.0253,0,0
ARSDKK,D,19960807,000000,6.0332,6.0332,6.0332,6.0332,0,0
ARSDKK,D,19960808,000000,6.0316,6.0316,6.0316,6.0316,0,0
ARSDKK,D,19960809,000000,6.01,6.01,6.01,6.01,0,0
ARSDKK,D,19960812,000000,6.0011,6.0011,6.0011,6.0011,0,0
ARSDKK,D,19960813,000000,6.0041,6.0041,6.0041,6.0041,0,0
ARSDKK,D,19960814,000000,6.0358,6.0358,6.0358,6.0358,0,0
ARSDKK,D,19960816,000000,6.063,6.063,6.063,6.063,0,0
ARSDKK,D,19960819,000000,6.0412,6.0412,6.0412,6.0412,0,0
ARSDKK,D,19960820,000000,6.0461,6.0461,6.0461,6.0461,0,0
ARSDKK,D,19960821,000000,6.0231,6.0231,6.0231,6.0231,0,0
ARSDKK,D,19960822,000000,6.0563,6.0563,6.0563,6.0563,0,0
ARSDKK,D,19960823,000000,6.0223,6.0223,6.0223,6.0223,0,0
ARSDKK,D,19960826,000000,5.9982,5.9982,5.9982,5.9982,0,0
ARSDKK,D,19960827,000000,5.9965,5.9965,5.9965,5.9965,0,0
ARSDKK,D,19960828,000000,6.0008,6.0008,6.0008,6.0008,0,0
ARSDKK,D,19960829,000000,6.0014,6.0014,6.0014,6.0014,0,0
ARSDKK,D,19960830,000000,6.0207,6.0207,6.0207,6.0207,0,0
ARSDKK,D,19960902,000000,6.0268,6.0268,6.0268,6.0268,0,0
ARSDKK,D,19960903,000000,6.0338,6.0338,6.0338,6.0338,0,0
ARSDKK,D,19960904,000000,6.0269,6.0269,6.0269,6.0269,0,0
ARSDKK,D,19960905,000000,6.0205,6.0205,6.0205,6.0205,0,0
ARSDKK,D,19960906,000000,6.0384,6.0384,6.0384,6.0384,0,0
ARSDKK,D,19960909,000000,6.0561,6.0561,6.0561,6.0561,0,0
ARSDKK,D,19960910,000000,6.1045,6.1045,6.1045,6.1045,0,0
ARSDKK,D,19960911,000000,6.1175,6.1175,6.1175,6.1175,0,0
ARSDKK,D,19960912,000000,6.1241,6.1241,6.1241,6.1241,0,0
ARSDKK,D,19960913,000000,6.125,6.125,6.125,6.125,0,0
ARSDKK,D,19960916,000000,6.1158,6.1158,6.1158,6.1158,0,0
ARSDKK,D,19960917,000000,6.1219,6.1219,6.1219,6.1219,0,0
ARSDKK,D,19960918,000000,6.1108,6.1108,6.1108,6.1108,0,0
ARSDKK,D,19960919,000000,6.1141,6.1141,6.1141,6.1141,0,0
ARSDKK,D,19960920,000000,6.1244,6.1244,6.1244,6.1244,0,0
ARSDKK,D,19960923,000000,6.1123,6.1123,6.1123,6.1123,0,0
ARSDKK,D,19960924,000000,6.0864,6.0864,6.0864,6.0864,0,0
ARSDKK,D,19960925,000000,6.1079,6.1079,6.1079,6.1079,0,0
ARSDKK,D,19960926,000000,6.151,6.151,6.151,6.151,0,0
ARSDKK,D,19960927,000000,6.1588,6.1588,6.1588,6.1588,0,0
ARSDKK,D,19960930,000000,6.1548,6.1548,6.1548,6.1548,0,0
ARSDKK,D,19961001,000000,6.149,6.149,6.149,6.149,0,0
ARSDKK,D,19961002,000000,6.165,6.165,6.165,6.165,0,0
ARSDKK,D,19961003,000000,6.1654,6.1654,6.1654,6.1654,0,0
ARSDKK,D,19961004,000000,6.1785,6.1785,6.1785,6.1785,0,0
ARSDKK,D,19961007,000000,6.1685,6.1685,6.1685,6.1685,0,0
ARSDKK,D,19961008,000000,6.1479,6.1479,6.1479,6.1479,0,0
ARSDKK,D,19961009,000000,6.1544,6.1544,6.1544,6.1544,0,0
ARSDKK,D,19961010,000000,6.1575,6.1575,6.1575,6.1575,0,0
