<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSGBP,D,19960806,000000,0.6835,0.6835,0.6835,0.6835,0,0
ARSGBP,D,19960807,000000,0.6816,0.6816,0.6816,0.6816,0,0
ARSGBP,D,19960808,000000,0.6783,0.6783,0.6783,0.6783,0,0
ARSGBP,D,19960809,000000,0.6785,0.6785,0.6785,0.6785,0,0
ARSGBP,D,19960812,000000,0.6778,0.6778,0.6778,0.6778,0,0
ARSGBP,D,19960813,000000,0.6783,0.6783,0.6783,0.6783,0,0
ARSGBP,D,19960814,000000,0.6788,0.6788,0.6788,0.6788,0,0
ARSGBP,D,19960815,000000,0.6783,0.6783,0.6783,0.6783,0,0
ARSGBP,D,19960816,000000,0.6794,0.6794,0.6794,0.6794,0,0
ARSGBP,D,19960819,000000,0.6807,0.6807,0.6807,0.6807,0,0
ARSGBP,D,19960820,000000,0.6794,0.6794,0.6794,0.6794,0,0
ARSGBP,D,19960821,000000,0.6781,0.6781,0.6781,0.6781,0,0
ARSGBP,D,19960822,000000,0.678,0.678,0.678,0.678,0,0
ARSGBP,D,19960823,000000,0.6769,0.6769,0.6769,0.6769,0,0
ARSGBP,D,19960826,000000,0.6759,0.6759,0.6759,0.6759,0,0
ARSGBP,D,19960827,000000,0.677,0.677,0.677,0.677,0,0
ARSGBP,D,19960828,000000,0.6741,0.6741,0.6741,0.6741,0,0
ARSGBP,D,19960829,000000,0.6755,0.6755,0.6755,0.6755,0,0
ARSGBP,D,19960830,000000,0.6733,0.6733,0.6733,0.6733,0,0
ARSGBP,D,19960902,000000,0.6733,0.6733,0.6733,0.6733,0,0
ARSGBP,D,19960903,000000,0.6707,0.6707,0.6707,0.6707,0,0
ARSGBP,D,19960904,000000,0.6708,0.6708,0.6708,0.6708,0,0
ARSGBP,D,19960905,000000,0.6707,0.6707,0.6707,0.6707,0,0
ARSGBP,D,19960906,000000,0.6733,0.6733,0.6733,0.6733,0,0
ARSGBP,D,19960909,000000,0.6745,0.6745,0.6745,0.6745,0,0
ARSGBP,D,19960910,000000,0.6751,0.6751,0.6751,0.6751,0,0
ARSGBP,D,19960911,000000,0.676,0.676,0.676,0.676,0,0
ARSGBP,D,19960912,000000,0.6768,0.6768,0.6768,0.6768,0,0
ARSGBP,D,19960913,000000,0.6763,0.6763,0.6763,0.6763,0,0
ARSGBP,D,19960916,000000,0.6753,0.6753,0.6753,0.6753,0,0
ARSGBP,D,19960917,000000,0.6761,0.6761,0.6761,0.6761,0,0
ARSGBP,D,19960918,000000,0.6736,0.6736,0.6736,0.6736,0,0
ARSGBP,D,19960919,000000,0.6775,0.6775,0.6775,0.6775,0,0
