<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSINR,D,19960806,000000,37.213,37.213,37.213,37.213,0,0
ARSINR,D,19960807,000000,37.212,37.212,37.212,37.212,0,0
ARSINR,D,19960808,000000,37.373,37.373,37.373,37.373,0,0
ARSINR,D,19960809,000000,37.323,37.323,37.323,37.323,0,0
ARSINR,D,19960812,000000,37.219,37.219,37.219,37.219,0,0
ARSINR,D,19960813,000000,37.21,37.21,37.21,37.21,0,0
ARSINR,D,19960814,000000,37.207,37.207,37.207,37.207,0,0
ARSINR,D,19960815,000000,37.211,37.211,37.211,37.211,0,0
ARSINR,D,19960816,000000,37.217,37.217,37.217,37.217,0,0
ARSINR,D,19960819,000000,37.209,37.209,37.209,37.209,0,0
ARSINR,D,19960820,000000,37.161,37.161,37.161,37.161,0,0
ARSINR,D,19960821,000000,37.223,37.223,37.223,37.223,0,0
ARSINR,D,19960822,000000,37.21,37.21,37.21,37.21,0,0
ARSINR,D,19960823,000000,37.221,37.221,37.221,37.221,0,0
ARSINR,D,19960826,000000,37.274,37.274,37.274,37.274,0,0
ARSINR,D,19960827,000000,37.362,37.362,37.362,37.362,0,0
ARSINR,D,19960828,000000,37.37,37.37,37.37,37.37,0,0
ARSINR,D,19960829,000000,37.267,37.267,37.267,37.267,0,0
ARSINR,D,19960830,000000,37.272,37.272,37.272,37.272,0,0
ARSINR,D,19960902,000000,37.272,37.272,37.272,37.272,0,0
ARSINR,D,19960903,000000,37.311,37.311,37.311,37.311,0,0
ARSINR,D,19960904,000000,37.371,37.371,37.371,37.371,0,0
ARSINR,D,19960905,000000,37.373,37.373,37.373,37.373,0,0
ARSINR,D,19960906,000000,37.267,37.267,37.267,37.267,0,0
ARSINR,D,19960909,000000,37.269,37.269,37.269,37.269,0,0
ARSINR,D,19960910,000000,37.266,37.266,37.266,37.266,0,0
ARSINR,D,19960911,000000,37.273,37.273,37.273,37.273,0,0
ARSINR,D,19960912,000000,37.381,37.381,37.381,37.381,0,0
ARSINR,D,19960913,000000,37.367,37.367,37.367,37.367,0,0
ARSINR,D,19960916,000000,37.327,37.327,37.327,37.327,0,0
ARSINR,D,19960917,000000,37.311,37.311,37.311,37.311,0,0
ARSINR,D,19960918,000000,37.322,37.322,37.322,37.322,0,0
ARSINR,D,19960919,000000,37.372,37.372,37.372,37.372,0,0
ARSINR,D,19960920,000000,37.313,37.313,37.313,37.313,0,0
ARSINR,D,19960923,000000,37.27,37.27,37.27,37.27,0,0
ARSINR,D,19960924,000000,37.263,37.263,37.263,37.263,0,0
ARSINR,D,19960925,000000,37.264,37.264,37.264,37.264,0,0
ARSINR,D,19960926,000000,37.265,37.265,37.265,37.265,0,0
ARSINR,D,19960927,000000,37.262,37.262,37.262,37.262,0,0
ARSINR,D,19960930,000000,37.26,37.26,37.26,37.26,0,0
ARSINR,D,19961001,000000,37.27,37.27,37.27,37.27,0,0
ARSINR,D,19961002,000000,37.261,37.261,37.261,37.261,0,0
ARSINR,D,19961003,000000,37.208,37.208,37.208,37.208,0,0
ARSINR,D,19961004,000000,37.215,37.215,37.215,37.215,0,0
ARSINR,D,19961007,000000,37.264,37.264,37.264,37.264,0,0
ARSINR,D,19961008,000000,37.27,37.27,37.27,37.27,0,0
ARSINR,D,19961009,000000,37.264,37.264,37.264,37.264,0,0
ARSINR,D,19961010,000000,37.372,37.372,37.372,37.372,0,0
ARSINR,D,19961011,000000,37.268,37.268,37.268,37.268,0,0
ARSINR,D,19961014,000000,37.268,37.268,37.268,37.268,0,0
ARSINR,D,19961015,000000,37.375,37.375,37.375,37.375,0,0
ARSINR,D,19961016,000000,37.431,37.431,37.431,37.431,0,0
ARSINR,D,19961017,000000,37.314,37.314,37.314,37.314,0,0
ARSINR,D,19961018,000000,37.456,37.456,37.456,37.456,0,0
ARSINR,D,19961021,000000,37.272,37.272,37.272,37.272,0,0
ARSINR,D,19961022,000000,37.26,37.26,37.26,37.26,0,0
ARSINR,D,19961023,000000,37.322,37.322,37.322,37.322,0,0
ARSINR,D,19961024,000000,37.373,37.373,37.373,37.373,0,0
ARSINR,D,19961025,000000,37.262,37.262,37.262,37.262,0,0
ARSINR,D,19961028,000000,37.321,37.321,37.321,37.321,0,0
ARSINR,D,19961029,000000,37.274,37.274,37.274,37.274,0,0
ARSINR,D,19961030,000000,37.261,37.261,37.261,37.261,0,0
ARSINR,D,19961031,000000,37.325,37.325,37.325,37.325,0,0
ARSINR,D,19961101,000000,37.26,37.26,37.26,37.26,0,0
ARSINR,D,19961104,000000,37.42,37.42,37.42,37.42,0,0
ARSINR,D,19961105,000000,37.466,37.466,37.466,37.466,0,0
ARSINR,D,19961106,000000,37.278,37.278,37.278,37.278,0,0
ARSINR,D,19961107,000000,37.263,37.263,37.263,37.263,0,0
ARSINR,D,19961108,000000,37.543,37.543,37.543,37.543,0,0
ARSINR,D,19961112,000000,37.319,37.319,37.319,37.319,0,0
ARSINR,D,19961113,000000,37.529,37.529,37.529,37.529,0,0
ARSINR,D,19961114,000000,37.424,37.424,37.424,37.424,0,0
ARSINR,D,19961115,000000,37.37,37.37,37.37,37.37,0,0
ARSINR,D,19961118,000000,37.476,37.476,37.476,37.476,0,0
ARSINR,D,19961119,000000,37.261,37.261,37.261,37.261,0,0
ARSINR,D,19961120,000000,37.423,37.423,37.423,37.423,0,0
ARSINR,D,19961121,000000,37.471,37.471,37.471,37.471,0,0
ARSINR,D,19961122,000000,37.479,37.479,37.479,37.479,0,0
ARSINR,D,19961125,000000,37.26,37.26,37.26,37.26,0,0
ARSINR,D,19961126,000000,37.431,37.431,37.431,37.431,0,0
ARSINR,D,19961127,000000,37.53,37.53,37.53,37.53,0,0
ARSINR,D,19961128,000000,37.531,37.531,37.531,37.531,0,0
ARSINR,D,19961129,000000,37.533,37.533,37.533,37.533,0,0
ARSINR,D,19961202,000000,37.48,37.48,37.48,37.48,0,0
ARSINR,D,19961203,000000,37.47,37.47,37.47,37.47,0,0
ARSINR,D,19961204,000000,37.607,37.607,37.607,37.607,0,0
ARSINR,D,19961205,000000,37.603,37.603,37.603,37.603,0,0
ARSINR,D,19961206,000000,37.534,37.534,37.534,37.534,0,0
ARSINR,D,19961209,000000,37.702,37.702,37.702,37.702,0,0
