<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSISK,D,19960806,000000,69.478,69.478,69.478,69.478,0,0
ARSISK,D,19960807,000000,69.637,69.637,69.637,69.637,0,0
ARSISK,D,19960808,000000,69.545,69.545,69.545,69.545,0,0
ARSISK,D,19960809,000000,69.356,69.356,69.356,69.356,0,0
ARSISK,D,19960812,000000,69.379,69.379,69.379,69.379,0,0
ARSISK,D,19960813,000000,69.322,69.322,69.322,69.322,0,0
ARSISK,D,19960814,000000,69.611,69.611,69.611,69.611,0,0
ARSISK,D,19960816,000000,69.668,69.668,69.668,69.668,0,0
ARSISK,D,19960819,000000,69.545,69.545,69.545,69.545,0,0
ARSISK,D,19960820,000000,69.596,69.596,69.596,69.596,0,0
ARSISK,D,19960821,000000,69.529,69.529,69.529,69.529,0,0
ARSISK,D,19960822,000000,69.424,69.424,69.424,69.424,0,0
ARSISK,D,19960823,000000,69.358,69.358,69.358,69.358,0,0
ARSISK,D,19960826,000000,69.287,69.287,69.287,69.287,0,0
ARSISK,D,19960827,000000,69.25,69.25,69.25,69.25,0,0
ARSISK,D,19960828,000000,69.342,69.342,69.342,69.342,0,0
ARSISK,D,19960829,000000,69.277,69.277,69.277,69.277,0,0
ARSISK,D,19960830,000000,69.284,69.284,69.284,69.284,0,0
ARSISK,D,19960902,000000,69.431,69.431,69.431,69.431,0,0
ARSISK,D,19960903,000000,69.516,69.516,69.516,69.516,0,0
ARSISK,D,19960904,000000,69.424,69.424,69.424,69.424,0,0
ARSISK,D,19960905,000000,69.489,69.489,69.489,69.489,0,0
ARSISK,D,19960906,000000,69.632,69.632,69.632,69.632,0,0
ARSISK,D,19960909,000000,69.813,69.813,69.813,69.813,0,0
ARSISK,D,19960910,000000,70.145,70.145,70.145,70.145,0,0
ARSISK,D,19960911,000000,70.297,70.297,70.297,70.297,0,0
ARSISK,D,19960912,000000,70.184,70.184,70.184,70.184,0,0
ARSISK,D,19960913,000000,70.268,70.268,70.268,70.268,0,0
ARSISK,D,19960916,000000,70.157,70.157,70.157,70.157,0,0
ARSISK,D,19960917,000000,70.213,70.213,70.213,70.213,0,0
ARSISK,D,19960918,000000,69.742,69.742,69.742,69.742,0,0
ARSISK,D,19960919,000000,70.147,70.147,70.147,70.147,0,0
ARSISK,D,19960920,000000,70.194,70.194,70.194,70.194,0,0
ARSISK,D,19960923,000000,70.09,70.09,70.09,70.09,0,0
ARSISK,D,19960924,000000,69.821,69.821,69.821,69.821,0,0
ARSISK,D,19960925,000000,70.076,70.076,70.076,70.076,0,0
ARSISK,D,19960926,000000,70.385,70.385,70.385,70.385,0,0
ARSISK,D,19960927,000000,70.353,70.353,70.353,70.353,0,0
