<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSKRW,D,19960806,000000,855.68,855.68,855.68,855.68,0,0
ARSKRW,D,19960807,000000,855.32,855.32,855.32,855.32,0,0
ARSKRW,D,19960808,000000,855.98,855.98,855.98,855.98,0,0
ARSKRW,D,19960809,000000,856,856,856,856,0,0
ARSKRW,D,19960812,000000,856.63,856.63,856.63,856.63,0,0
ARSKRW,D,19960813,000000,857.65,857.65,857.65,857.65,0,0
ARSKRW,D,19960814,000000,863.3,863.3,863.3,863.3,0,0
ARSKRW,D,19960815,000000,863.3,863.3,863.3,863.3,0,0
ARSKRW,D,19960816,000000,862.31,862.31,862.31,862.31,0,0
ARSKRW,D,19960819,000000,861.52,861.52,861.52,861.52,0,0
ARSKRW,D,19960820,000000,861.82,861.82,861.82,861.82,0,0
ARSKRW,D,19960821,000000,860.83,860.83,860.83,860.83,0,0
ARSKRW,D,19960822,000000,861.2,861.2,861.2,861.2,0,0
ARSKRW,D,19960823,000000,860.31,860.31,860.31,860.31,0,0
ARSKRW,D,19960826,000000,860.28,860.28,860.28,860.28,0,0
ARSKRW,D,19960827,000000,860.8,860.8,860.8,860.8,0,0
ARSKRW,D,19960828,000000,861.71,861.71,861.71,861.71,0,0
ARSKRW,D,19960829,000000,861.91,861.91,861.91,861.91,0,0
ARSKRW,D,19960830,000000,861.39,861.39,861.39,861.39,0,0
ARSKRW,D,19960902,000000,861.47,861.47,861.47,861.47,0,0
ARSKRW,D,19960903,000000,860.74,860.74,860.74,860.74,0,0
ARSKRW,D,19960904,000000,860.63,860.63,860.63,860.63,0,0
ARSKRW,D,19960905,000000,860.38,860.38,860.38,860.38,0,0
ARSKRW,D,19960906,000000,860.99,860.99,860.99,860.99,0,0
ARSKRW,D,19960909,000000,861.26,861.26,861.26,861.26,0,0
ARSKRW,D,19960910,000000,864.41,864.41,864.41,864.41,0,0
ARSKRW,D,19960911,000000,863.35,863.35,863.35,863.35,0,0
ARSKRW,D,19960912,000000,865.3,865.3,865.3,865.3,0,0
ARSKRW,D,19960913,000000,863.13,863.13,863.13,863.13,0,0
ARSKRW,D,19960916,000000,870.93,870.93,870.93,870.93,0,0
ARSKRW,D,19960917,000000,870.65,870.65,870.65,870.65,0,0
ARSKRW,D,19960918,000000,870.78,870.78,870.78,870.78,0,0
ARSKRW,D,19960919,000000,866.16,866.16,866.16,866.16,0,0
ARSKRW,D,19960920,000000,861.95,861.95,861.95,861.95,0,0
ARSKRW,D,19960923,000000,863.11,863.11,863.11,863.11,0,0
ARSKRW,D,19960924,000000,863.47,863.47,863.47,863.47,0,0
ARSKRW,D,19960925,000000,863.46,863.46,863.46,863.46,0,0
ARSKRW,D,19960926,000000,863.45,863.45,863.45,863.45,0,0
ARSKRW,D,19960927,000000,863.45,863.45,863.45,863.45,0,0
ARSKRW,D,19960930,000000,868.05,868.05,868.05,868.05,0,0
ARSKRW,D,19961001,000000,863.06,863.06,863.06,863.06,0,0
ARSKRW,D,19961002,000000,863.28,863.28,863.28,863.28,0,0
ARSKRW,D,19961003,000000,863.23,863.23,863.23,863.23,0,0
ARSKRW,D,19961004,000000,866.73,866.73,866.73,866.73,0,0
ARSKRW,D,19961007,000000,870.19,870.19,870.19,870.19,0,0
ARSKRW,D,19961008,000000,871.45,871.45,871.45,871.45,0,0
ARSKRW,D,19961009,000000,871.95,871.95,871.95,871.95,0,0
ARSKRW,D,19961010,000000,866.11,866.11,866.11,866.11,0,0
ARSKRW,D,19961011,000000,871.12,871.12,871.12,871.12,0,0
ARSKRW,D,19961014,000000,871.24,871.24,871.24,871.24,0,0
ARSKRW,D,19961015,000000,871.57,871.57,871.57,871.57,0,0
ARSKRW,D,19961016,000000,869.99,869.99,869.99,869.99,0,0
ARSKRW,D,19961017,000000,868.73,868.73,868.73,868.73,0,0
ARSKRW,D,19961018,000000,869.55,869.55,869.55,869.55,0,0
ARSKRW,D,19961021,000000,870.8,870.8,870.8,870.8,0,0
ARSKRW,D,19961022,000000,869.77,869.77,869.77,869.77,0,0
ARSKRW,D,19961023,000000,869.36,869.36,869.36,869.36,0,0
ARSKRW,D,19961024,000000,868.38,868.38,868.38,868.38,0,0
ARSKRW,D,19961025,000000,868.92,868.92,868.92,868.92,0,0
ARSKRW,D,19961028,000000,870.67,870.67,870.67,870.67,0,0
ARSKRW,D,19961029,000000,873.77,873.77,873.77,873.77,0,0
ARSKRW,D,19961030,000000,871.83,871.83,871.83,871.83,0,0
ARSKRW,D,19961031,000000,866.4,866.4,866.4,866.4,0,0
ARSKRW,D,19961101,000000,864.24,864.24,864.24,864.24,0,0
ARSKRW,D,19961104,000000,865.01,865.01,865.01,865.01,0,0
ARSKRW,D,19961105,000000,866.49,866.49,866.49,866.49,0,0
ARSKRW,D,19961106,000000,867.26,867.26,867.26,867.26,0,0
ARSKRW,D,19961107,000000,870.4,870.4,870.4,870.4,0,0
ARSKRW,D,19961108,000000,871.05,871.05,871.05,871.05,0,0
ARSKRW,D,19961112,000000,868.22,868.22,868.22,868.22,0,0
ARSKRW,D,19961113,000000,868.01,868.01,868.01,868.01,0,0
ARSKRW,D,19961114,000000,868.14,868.14,868.14,868.14,0,0
ARSKRW,D,19961115,000000,868.37,868.37,868.37,868.37,0,0
ARSKRW,D,19961118,000000,867.44,867.44,867.44,867.44,0,0
ARSKRW,D,19961119,000000,867.24,867.24,867.24,867.24,0,0
ARSKRW,D,19961120,000000,869.27,869.27,869.27,869.27,0,0
ARSKRW,D,19961121,000000,869.61,869.61,869.61,869.61,0,0
ARSKRW,D,19961122,000000,867.4,867.4,867.4,867.4,0,0
ARSKRW,D,19961125,000000,867.46,867.46,867.46,867.46,0,0
ARSKRW,D,19961126,000000,869.2,869.2,869.2,869.2,0,0
ARSKRW,D,19961127,000000,869.6,869.6,869.6,869.6,0,0
ARSKRW,D,19961128,000000,870.94,870.94,870.94,870.94,0,0
ARSKRW,D,19961129,000000,871.51,871.51,871.51,871.51,0,0
ARSKRW,D,19961202,000000,869.22,869.22,869.22,869.22,0,0
ARSKRW,D,19961203,000000,870.27,870.27,870.27,870.27,0,0
ARSKRW,D,19961204,000000,869.3,869.3,869.3,869.3,0,0
ARSKRW,D,19961205,000000,870.05,870.05,870.05,870.05,0,0
ARSKRW,D,19961206,000000,871.3,871.3,871.3,871.3,0,0
ARSKRW,D,19961209,000000,874.82,874.82,874.82,874.82,0,0
ARSKRW,D,19961210,000000,875.68,875.68,875.68,875.68,0,0
ARSKRW,D,19961211,000000,880.09,880.09,880.09,880.09,0,0
ARSKRW,D,19961212,000000,882.23,882.23,882.23,882.23,0,0
ARSKRW,D,19961213,000000,883.83,883.83,883.83,883.83,0,0
ARSKRW,D,19961216,000000,883.15,883.15,883.15,883.15,0,0
ARSKRW,D,19961217,000000,883.01,883.01,883.01,883.01,0,0
ARSKRW,D,19961218,000000,886.96,886.96,886.96,886.96,0,0
ARSKRW,D,19961219,000000,887.03,887.03,887.03,887.03,0,0
ARSKRW,D,19961220,000000,887.54,887.54,887.54,887.54,0,0
ARSKRW,D,19961223,000000,888.16,888.16,888.16,888.16,0,0
ARSKRW,D,19961224,000000,884.9,884.9,884.9,884.9,0,0
ARSKRW,D,19961227,000000,885.52,885.52,885.52,885.52,0,0
ARSKRW,D,19961230,000000,885.24,885.24,885.24,885.24,0,0
ARSKRW,D,19961231,000000,885.38,885.38,885.38,885.38,0,0
ARSKRW,D,19970102,000000,885.42,885.42,885.42,885.42,0,0
ARSKRW,D,19970103,000000,884.52,884.52,884.52,884.52,0,0
ARSKRW,D,19970106,000000,885.54,885.54,885.54,885.54,0,0
ARSKRW,D,19970107,000000,886.51,886.51,886.51,886.51,0,0
ARSKRW,D,19970108,000000,886.89,886.89,886.89,886.89,0,0
ARSKRW,D,19970109,000000,889.25,889.25,889.25,889.25,0,0
ARSKRW,D,19970110,000000,889.01,889.01,889.01,889.01,0,0
ARSKRW,D,19970113,000000,889.52,889.52,889.52,889.52,0,0
