<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSRUB,D,19960806,000000,5.5188,5.5188,5.5188,5.5188,0,0
ARSRUB,D,19960807,000000,5.5244,5.5244,5.5244,5.5244,0,0
ARSRUB,D,19960808,000000,5.5536,5.5536,5.5536,5.5536,0,0
ARSRUB,D,19960809,000000,5.5497,5.5497,5.5497,5.5497,0,0
ARSRUB,D,19960812,000000,5.5641,5.5641,5.5641,5.5641,0,0
ARSRUB,D,19960813,000000,5.5636,5.5636,5.5636,5.5636,0,0
ARSRUB,D,19960814,000000,5.5626,5.5626,5.5626,5.5626,0,0
ARSRUB,D,19960815,000000,5.5747,5.5747,5.5747,5.5747,0,0
ARSRUB,D,19960816,000000,5.5743,5.5743,5.5743,5.5743,0,0
ARSRUB,D,19960819,000000,5.5736,5.5736,5.5736,5.5736,0,0
ARSRUB,D,19960820,000000,5.5729,5.5729,5.5729,5.5729,0,0
ARSRUB,D,19960821,000000,5.6044,5.6044,5.6044,5.6044,0,0
ARSRUB,D,19960822,000000,5.6084,5.6084,5.6084,5.6084,0,0
ARSRUB,D,19960823,000000,5.6017,5.6017,5.6017,5.6017,0,0
ARSRUB,D,19960826,000000,5.6047,5.6047,5.6047,5.6047,0,0
ARSRUB,D,19960827,000000,5.635,5.635,5.635,5.635,0,0
ARSRUB,D,19960828,000000,5.6305,5.6305,5.6305,5.6305,0,0
ARSRUB,D,19960829,000000,5.6314,5.6314,5.6314,5.6314,0,0
ARSRUB,D,19960830,000000,5.6385,5.6385,5.6385,5.6385,0,0
ARSRUB,D,19960902,000000,5.6393,5.6393,5.6393,5.6393,0,0
ARSRUB,D,19960903,000000,5.6446,5.6446,5.6446,5.6446,0,0
ARSRUB,D,19960904,000000,5.6449,5.6449,5.6449,5.6449,0,0
ARSRUB,D,19960905,000000,5.6458,5.6458,5.6458,5.6458,0,0
ARSRUB,D,19960906,000000,5.6454,5.6454,5.6454,5.6454,0,0
ARSRUB,D,19960909,000000,5.6558,5.6558,5.6558,5.6558,0,0
ARSRUB,D,19960910,000000,5.6491,5.6491,5.6491,5.6491,0,0
ARSRUB,D,19960911,000000,5.6516,5.6516,5.6516,5.6516,0,0
ARSRUB,D,19960912,000000,5.6512,5.6512,5.6512,5.6512,0,0
ARSRUB,D,19960913,000000,5.6761,5.6761,5.6761,5.6761,0,0
ARSRUB,D,19960916,000000,5.647,5.647,5.647,5.647,0,0
ARSRUB,D,19960917,000000,5.6776,5.6776,5.6776,5.6776,0,0
ARSRUB,D,19960918,000000,5.6815,5.6815,5.6815,5.6815,0,0
ARSRUB,D,19960919,000000,5.6782,5.6782,5.6782,5.6782,0,0
ARSRUB,D,19960920,000000,5.6796,5.6796,5.6796,5.6796,0,0
ARSRUB,D,19960923,000000,5.6733,5.6733,5.6733,5.6733,0,0
ARSRUB,D,19960924,000000,5.6781,5.6781,5.6781,5.6781,0,0
ARSRUB,D,19960925,000000,5.6739,5.6739,5.6739,5.6739,0,0
ARSRUB,D,19960926,000000,5.6792,5.6792,5.6792,5.6792,0,0
ARSRUB,D,19960927,000000,5.6611,5.6611,5.6611,5.6611,0,0
ARSRUB,D,19960930,000000,5.6849,5.6849,5.6849,5.6849,0,0
ARSRUB,D,19961001,000000,5.6844,5.6844,5.6844,5.6844,0,0
ARSRUB,D,19961002,000000,5.6976,5.6976,5.6976,5.6976,0,0
ARSRUB,D,19961003,000000,5.6939,5.6939,5.6939,5.6939,0,0
ARSRUB,D,19961004,000000,5.6992,5.6992,5.6992,5.6992,0,0
ARSRUB,D,19961007,000000,5.6913,5.6913,5.6913,5.6913,0,0
ARSRUB,D,19961008,000000,5.697,5.697,5.697,5.697,0,0
ARSRUB,D,19961009,000000,5.6957,5.6957,5.6957,5.6957,0,0
ARSRUB,D,19961010,000000,5.7103,5.7103,5.7103,5.7103,0,0
ARSRUB,D,19961011,000000,5.7166,5.7166,5.7166,5.7166,0,0
ARSRUB,D,19961014,000000,5.7163,5.7163,5.7163,5.7163,0,0
ARSRUB,D,19961015,000000,5.722,5.722,5.722,5.722,0,0
ARSRUB,D,19961016,000000,5.7284,5.7284,5.7284,5.7284,0,0
ARSRUB,D,19961017,000000,5.7143,5.7143,5.7143,5.7143,0,0
ARSRUB,D,19961018,000000,5.7158,5.7158,5.7158,5.7158,0,0
ARSRUB,D,19961021,000000,5.7066,5.7066,5.7066,5.7066,0,0
ARSRUB,D,19961022,000000,5.7251,5.7251,5.7251,5.7251,0,0
ARSRUB,D,19961023,000000,5.7212,5.7212,5.7212,5.7212,0,0
ARSRUB,D,19961024,000000,5.7287,5.7287,5.7287,5.7287,0,0
ARSRUB,D,19961025,000000,5.7518,5.7518,5.7518,5.7518,0,0
ARSRUB,D,19961028,000000,5.7258,5.7258,5.7258,5.7258,0,0
ARSRUB,D,19961029,000000,5.7268,5.7268,5.7268,5.7268,0,0
ARSRUB,D,19961030,000000,5.7383,5.7383,5.7383,5.7383,0,0
ARSRUB,D,19961031,000000,5.7368,5.7368,5.7368,5.7368,0,0
ARSRUB,D,19961101,000000,5.7543,5.7543,5.7543,5.7543,0,0
ARSRUB,D,19961104,000000,5.7572,5.7572,5.7572,5.7572,0,0
ARSRUB,D,19961105,000000,5.7441,5.7441,5.7441,5.7441,0,0
ARSRUB,D,19961106,000000,5.7631,5.7631,5.7631,5.7631,0,0
ARSRUB,D,19961112,000000,5.752,5.752,5.752,5.752,0,0
ARSRUB,D,19961113,000000,5.7765,5.7765,5.7765,5.7765,0,0
ARSRUB,D,19961114,000000,5.7768,5.7768,5.7768,5.7768,0,0
ARSRUB,D,19961115,000000,5.7649,5.7649,5.7649,5.7649,0,0
ARSRUB,D,19961118,000000,5.7824,5.7824,5.7824,5.7824,0,0
ARSRUB,D,19961119,000000,5.7845,5.7845,5.7845,5.7845,0,0
ARSRUB,D,19961120,000000,5.7855,5.7855,5.7855,5.7855,0,0
ARSRUB,D,19961121,000000,5.7713,5.7713,5.7713,5.7713,0,0
ARSRUB,D,19961122,000000,5.7725,5.7725,5.7725,5.7725,0,0
ARSRUB,D,19961125,000000,5.7802,5.7802,5.7802,5.7802,0,0
ARSRUB,D,19961126,000000,5.7851,5.7851,5.7851,5.7851,0,0
ARSRUB,D,19961127,000000,5.8041,5.8041,5.8041,5.8041,0,0
ARSRUB,D,19961128,000000,5.8069,5.8069,5.8069,5.8069,0,0
ARSRUB,D,19961129,000000,5.7848,5.7848,5.7848,5.7848,0,0
ARSRUB,D,19961202,000000,5.7948,5.7948,5.7948,5.7948,0,0
ARSRUB,D,19961203,000000,5.813,5.813,5.813,5.813,0,0
ARSRUB,D,19961204,000000,5.7987,5.7987,5.7987,5.7987,0,0
ARSRUB,D,19961205,000000,5.8105,5.8105,5.8105,5.8105,0,0
ARSRUB,D,19961206,000000,5.8148,5.8148,5.8148,5.8148,0,0
ARSRUB,D,19961209,000000,5.813,5.813,5.813,5.813,0,0
ARSRUB,D,19961210,000000,5.8046,5.8046,5.8046,5.8046,0,0
ARSRUB,D,19961211,000000,5.8278,5.8278,5.8278,5.8278,0,0
ARSRUB,D,19961216,000000,5.8159,5.8159,5.8159,5.8159,0,0
ARSRUB,D,19961217,000000,5.8153,5.8153,5.8153,5.8153,0,0
ARSRUB,D,19961218,000000,5.8186,5.8186,5.8186,5.8186,0,0
ARSRUB,D,19961219,000000,5.8327,5.8327,5.8327,5.8327,0,0
ARSRUB,D,19961220,000000,5.8444,5.8444,5.8444,5.8444,0,0
ARSRUB,D,19961223,000000,5.8428,5.8428,5.8428,5.8428,0,0
ARSRUB,D,19961224,000000,5.8415,5.8415,5.8415,5.8415,0,0
ARSRUB,D,19961227,000000,5.8519,5.8519,5.8519,5.8519,0,0
ARSRUB,D,19961230,000000,5.8547,5.8547,5.8547,5.8547,0,0
ARSRUB,D,19961231,000000,5.8749,5.8749,5.8749,5.8749,0,0
ARSRUB,D,19970106,000000,5.8698,5.8698,5.8698,5.8698,0,0
ARSRUB,D,19970108,000000,5.8788,5.8788,5.8788,5.8788,0,0
ARSRUB,D,19970109,000000,5.8706,5.8706,5.8706,5.8706,0,0
ARSRUB,D,19970110,000000,5.8782,5.8782,5.8782,5.8782,0,0
ARSRUB,D,19970113,000000,5.8821,5.8821,5.8821,5.8821,0,0
ARSRUB,D,19970114,000000,5.89,5.89,5.89,5.89,0,0
ARSRUB,D,19970115,000000,5.9022,5.9022,5.9022,5.9022,0,0
ARSRUB,D,19970116,000000,5.8885,5.8885,5.8885,5.8885,0,0
ARSRUB,D,19970117,000000,5.8915,5.8915,5.8915,5.8915,0,0
ARSRUB,D,19970120,000000,5.8971,5.8971,5.8971,5.8971,0,0
ARSRUB,D,19970121,000000,5.8876,5.8876,5.8876,5.8876,0,0
ARSRUB,D,19970122,000000,5.8984,5.8984,5.8984,5.8984,0,0
ARSRUB,D,19970123,000000,5.9004,5.9004,5.9004,5.9004,0,0
ARSRUB,D,19970124,000000,5.9071,5.9071,5.9071,5.9071,0,0
ARSRUB,D,19970127,000000,5.9114,5.9114,5.9114,5.9114,0,0
ARSRUB,D,19970128,000000,5.9202,5.9202,5.9202,5.9202,0,0
ARSRUB,D,19970129,000000,5.9176,5.9176,5.9176,5.9176,0,0
ARSRUB,D,19970130,000000,5.9286,5.9286,5.9286,5.9286,0,0
ARSRUB,D,19970131,000000,5.9259,5.9259,5.9259,5.9259,0,0
ARSRUB,D,19970203,000000,5.9337,5.9337,5.9337,5.9337,0,0
ARSRUB,D,19970204,000000,5.9324,5.9324,5.9324,5.9324,0,0
ARSRUB,D,19970205,000000,5.9326,5.9326,5.9326,5.9326,0,0
ARSRUB,D,19970206,000000,5.9303,5.9303,5.9303,5.9303,0,0
ARSRUB,D,19970207,000000,5.9341,5.9341,5.9341,5.9341,0,0
