<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSXDR,D,19960806,000000,0.7175,0.7175,0.7175,0.7175,0,0
ARSXDR,D,19960807,000000,0.7211,0.7211,0.7211,0.7211,0,0
ARSXDR,D,19960808,000000,0.7196,0.7196,0.7196,0.7196,0,0
ARSXDR,D,19960809,000000,0.7206,0.7206,0.7206,0.7206,0,0
ARSXDR,D,19960812,000000,0.7202,0.7202,0.7202,0.7202,0,0
ARSXDR,D,19960813,000000,0.7189,0.7189,0.7189,0.7189,0,0
ARSXDR,D,19960814,000000,0.7204,0.7204,0.7204,0.7204,0,0
ARSXDR,D,19960816,000000,0.7224,0.7224,0.7224,0.7224,0,0
ARSXDR,D,19960819,000000,0.7208,0.7208,0.7208,0.7208,0,0
ARSXDR,D,19960820,000000,0.7216,0.7216,0.7216,0.7216,0,0
ARSXDR,D,19960821,000000,0.7218,0.7218,0.7218,0.7218,0,0
ARSXDR,D,19960822,000000,0.7206,0.7206,0.7206,0.7206,0,0
ARSXDR,D,19960823,000000,0.7202,0.7202,0.7202,0.7202,0,0
ARSXDR,D,19960826,000000,0.7221,0.7221,0.7221,0.7221,0,0
ARSXDR,D,19960827,000000,0.7199,0.7199,0.7199,0.7199,0,0
ARSXDR,D,19960828,000000,0.7186,0.7186,0.7186,0.7186,0,0
ARSXDR,D,19960829,000000,0.7202,0.7202,0.7202,0.7202,0,0
ARSXDR,D,19960830,000000,0.7193,0.7193,0.7193,0.7193,0,0
ARSXDR,D,19960902,000000,0.7215,0.7215,0.7215,0.7215,0,0
ARSXDR,D,19960903,000000,0.7206,0.7206,0.7206,0.7206,0,0
ARSXDR,D,19960904,000000,0.7218,0.7218,0.7218,0.7218,0,0
ARSXDR,D,19960905,000000,0.7227,0.7227,0.7227,0.7227,0,0
ARSXDR,D,19960906,000000,0.7229,0.7229,0.7229,0.7229,0,0
ARSXDR,D,19960909,000000,0.7234,0.7234,0.7234,0.7234,0,0
ARSXDR,D,19960910,000000,0.7243,0.7243,0.7243,0.7243,0,0
ARSXDR,D,19960911,000000,0.7254,0.7254,0.7254,0.7254,0,0
ARSXDR,D,19960912,000000,0.7274,0.7274,0.7274,0.7274,0,0
ARSXDR,D,19960913,000000,0.7277,0.7277,0.7277,0.7277,0,0
ARSXDR,D,19960916,000000,0.727,0.727,0.727,0.727,0,0
ARSXDR,D,19960917,000000,0.7284,0.7284,0.7284,0.7284,0,0
ARSXDR,D,19960918,000000,0.7259,0.7259,0.7259,0.7259,0,0
ARSXDR,D,19960919,000000,0.7279,0.7279,0.7279,0.7279,0,0
ARSXDR,D,19960920,000000,0.7251,0.7251,0.7251,0.7251,0,0
ARSXDR,D,19960923,000000,0.726,0.726,0.726,0.726,0,0
ARSXDR,D,19960924,000000,0.7243,0.7243,0.7243,0.7243,0,0
ARSXDR,D,19960925,000000,0.7279,0.7279,0.7279,0.7279,0,0
ARSXDR,D,19960926,000000,0.7254,0.7254,0.7254,0.7254,0,0
ARSXDR,D,19960927,000000,0.728,0.728,0.728,0.728,0,0
ARSXDR,D,19960930,000000,0.7273,0.7273,0.7273,0.7273,0,0
ARSXDR,D,19961001,000000,0.7299,0.7299,0.7299,0.7299,0,0
ARSXDR,D,19961002,000000,0.7309,0.7309,0.7309,0.7309,0,0
ARSXDR,D,19961003,000000,0.7296,0.7296,0.7296,0.7296,0,0
ARSXDR,D,19961004,000000,0.7313,0.7313,0.7313,0.7313,0,0
ARSXDR,D,19961007,000000,0.731,0.731,0.731,0.731,0,0
ARSXDR,D,19961008,000000,0.731,0.731,0.731,0.731,0,0
ARSXDR,D,19961009,000000,0.7285,0.7285,0.7285,0.7285,0,0
ARSXDR,D,19961010,000000,0.7293,0.7293,0.7293,0.7293,0,0
ARSXDR,D,19961011,000000,0.7304,0.7304,0.7304,0.7304,0,0
ARSXDR,D,19961014,000000,0.7299,0.7299,0.7299,0.7299,0,0
ARSXDR,D,19961015,000000,0.7312,0.7312,0.7312,0.7312,0,0
ARSXDR,D,19961016,000000,0.7311,0.7311,0.7311,0.7311,0,0
ARSXDR,D,19961017,000000,0.7321,0.7321,0.7321,0.7321,0,0
ARSXDR,D,19961018,000000,0.7314,0.7314,0.7314,0.7314,0,0
ARSXDR,D,19961021,000000,0.7309,0.7309,0.7309,0.7309,0,0
ARSXDR,D,19961022,000000,0.7295,0.7295,0.7295,0.7295,0,0
ARSXDR,D,19961023,000000,0.7301,0.7301,0.7301,0.7301,0,0
ARSXDR,D,19961024,000000,0.7283,0.7283,0.7283,0.7283,0,0
ARSXDR,D,19961025,000000,0.7277,0.7277,0.7277,0.7277,0,0
ARSXDR,D,19961028,000000,0.7289,0.7289,0.7289,0.7289,0,0
ARSXDR,D,19961029,000000,0.7292,0.7292,0.7292,0.7292,0,0
ARSXDR,D,19961030,000000,0.7279,0.7279,0.7279,0.7279,0,0
ARSXDR,D,19961031,000000,0.7288,0.7288,0.7288,0.7288,0,0
ARSXDR,D,19961104,000000,0.7258,0.7258,0.7258,0.7258,0,0
ARSXDR,D,19961105,000000,0.7274,0.7274,0.7274,0.7274,0,0
ARSXDR,D,19961106,000000,0.7254,0.7254,0.7254,0.7254,0,0
ARSXDR,D,19961107,000000,0.728,0.728,0.728,0.728,0,0
ARSXDR,D,19961108,000000,0.7218,0.7218,0.7218,0.7218,0,0
ARSXDR,D,19961112,000000,0.7237,0.7237,0.7237,0.7237,0,0
ARSXDR,D,19961113,000000,0.7198,0.7198,0.7198,0.7198,0,0
ARSXDR,D,19961114,000000,0.7223,0.7223,0.7223,0.7223,0,0
ARSXDR,D,19961115,000000,0.7216,0.7216,0.7216,0.7216,0,0
ARSXDR,D,19961118,000000,0.7202,0.7202,0.7202,0.7202,0,0
ARSXDR,D,19961119,000000,0.7224,0.7224,0.7224,0.7224,0,0
ARSXDR,D,19961120,000000,0.7205,0.7205,0.7205,0.7205,0,0
ARSXDR,D,19961121,000000,0.7178,0.7178,0.7178,0.7178,0,0
ARSXDR,D,19961122,000000,0.7204,0.7204,0.7204,0.7204,0,0
ARSXDR,D,19961125,000000,0.7214,0.7214,0.7214,0.7214,0,0
ARSXDR,D,19961126,000000,0.723,0.723,0.723,0.723,0,0
ARSXDR,D,19961127,000000,0.726,0.726,0.726,0.726,0,0
ARSXDR,D,19961128,000000,0.7255,0.7255,0.7255,0.7255,0,0
ARSXDR,D,19961129,000000,0.7265,0.7265,0.7265,0.7265,0,0
ARSXDR,D,19961202,000000,0.7252,0.7252,0.7252,0.7252,0,0
ARSXDR,D,19961203,000000,0.7293,0.7293,0.7293,0.7293,0,0
ARSXDR,D,19961204,000000,0.732,0.732,0.732,0.732,0,0
ARSXDR,D,19961205,000000,0.7298,0.7298,0.7298,0.7298,0,0
ARSXDR,D,19961206,000000,0.7348,0.7348,0.7348,0.7348,0,0
ARSXDR,D,19961209,000000,0.7285,0.7285,0.7285,0.7285,0,0
ARSXDR,D,19961210,000000,0.7308,0.7308,0.7308,0.7308,0,0
ARSXDR,D,19961211,000000,0.7301,0.7301,0.7301,0.7301,0,0
ARSXDR,D,19961212,000000,0.7282,0.7282,0.7282,0.7282,0,0
ARSXDR,D,19961213,000000,0.7312,0.7312,0.7312,0.7312,0,0
ARSXDR,D,19961216,000000,0.7279,0.7279,0.7279,0.7279,0,0
ARSXDR,D,19961217,000000,0.7308,0.7308,0.7308,0.7308,0,0
ARSXDR,D,19961218,000000,0.7305,0.7305,0.7305,0.7305,0,0
ARSXDR,D,19961219,000000,0.7312,0.7312,0.7312,0.7312,0,0
ARSXDR,D,19961220,000000,0.7305,0.7305,0.7305,0.7305,0,0
ARSXDR,D,19961223,000000,0.7318,0.7318,0.7318,0.7318,0,0
ARSXDR,D,19961224,000000,0.7305,0.7305,0.7305,0.7305,0,0
ARSXDR,D,19961230,000000,0.732,0.732,0.732,0.732,0,0
ARSXDR,D,19961231,000000,0.7303,0.7303,0.7303,0.7303,0,0
ARSXDR,D,19970102,000000,0.7325,0.7325,0.7325,0.7325,0,0
ARSXDR,D,19970103,000000,0.73,0.73,0.73,0.73,0,0
ARSXDR,D,19970106,000000,0.7295,0.7295,0.7295,0.7295,0,0
ARSXDR,D,19970107,000000,0.7338,0.7338,0.7338,0.7338,0,0
ARSXDR,D,19970108,000000,0.7326,0.7326,0.7326,0.7326,0,0
ARSXDR,D,19970109,000000,0.7343,0.7343,0.7343,0.7343,0,0
ARSXDR,D,19970110,000000,0.7372,0.7372,0.7372,0.7372,0,0
ARSXDR,D,19970113,000000,0.7351,0.7351,0.7351,0.7351,0,0
ARSXDR,D,19970114,000000,0.74,0.74,0.74,0.74,0,0
ARSXDR,D,19970115,000000,0.7359,0.7359,0.7359,0.7359,0,0
ARSXDR,D,19970116,000000,0.7397,0.7397,0.7397,0.7397,0,0
ARSXDR,D,19970117,000000,0.7412,0.7412,0.7412,0.7412,0,0
ARSXDR,D,19970120,000000,0.7367,0.7367,0.7367,0.7367,0,0
ARSXDR,D,19970121,000000,0.7403,0.7403,0.7403,0.7403,0,0
ARSXDR,D,19970122,000000,0.7434,0.7434,0.7434,0.7434,0,0
ARSXDR,D,19970123,000000,0.7482,0.7482,0.7482,0.7482,0,0
ARSXDR,D,19970124,000000,0.749,0.749,0.749,0.749,0,0
ARSXDR,D,19970127,000000,0.749,0.749,0.749,0.749,0,0
ARSXDR,D,19970128,000000,0.7493,0.7493,0.7493,0.7493,0,0
ARSXDR,D,19970129,000000,0.7551,0.7551,0.7551,0.7551,0,0
ARSXDR,D,19970130,000000,0.7552,0.7552,0.7552,0.7552,0,0
ARSXDR,D,19970131,000000,0.7541,0.7541,0.7541,0.7541,0,0
ARSXDR,D,19970203,000000,0.7526,0.7526,0.7526,0.7526,0,0
ARSXDR,D,19970204,000000,0.7564,0.7564,0.7564,0.7564,0,0
ARSXDR,D,19970205,000000,0.753,0.753,0.753,0.753,0,0
ARSXDR,D,19970206,000000,0.755,0.755,0.755,0.755,0,0
ARSXDR,D,19970207,000000,0.7569,0.7569,0.7569,0.7569,0,0
ARSXDR,D,19970210,000000,0.7593,0.7593,0.7593,0.7593,0,0
ARSXDR,D,19970211,000000,0.7549,0.7549,0.7549,0.7549,0,0
ARSXDR,D,19970212,000000,0.7591,0.7591,0.7591,0.7591,0,0
ARSXDR,D,19970213,000000,0.7612,0.7612,0.7612,0.7612,0,0
ARSXDR,D,19970214,000000,0.7601,0.7601,0.7601,0.7601,0,0
ARSXDR,D,19970217,000000,0.7621,0.7621,0.7621,0.7621,0,0
ARSXDR,D,19970218,000000,0.7585,0.7585,0.7585,0.7585,0,0
ARSXDR,D,19970219,000000,0.7631,0.7631,0.7631,0.7631,0,0
ARSXDR,D,19970220,000000,0.7638,0.7638,0.7638,0.7638,0,0
ARSXDR,D,19970221,000000,0.762,0.762,0.762,0.762,0,0
ARSXDR,D,19970224,000000,0.7597,0.7597,0.7597,0.7597,0,0
ARSXDR,D,19970225,000000,0.7592,0.7592,0.7592,0.7592,0,0
ARSXDR,D,19970226,000000,0.7607,0.7607,0.7607,0.7607,0,0
ARSXDR,D,19970227,000000,0.7563,0.7563,0.7563,0.7563,0,0
ARSXDR,D,19970228,000000,0.7593,0.7593,0.7593,0.7593,0,0
ARSXDR,D,19970303,000000,0.7591,0.7591,0.7591,0.7591,0,0
ARSXDR,D,19970304,000000,0.7607,0.7607,0.7607,0.7607,0,0
ARSXDR,D,19970305,000000,0.7624,0.7624,0.7624,0.7624,0,0
ARSXDR,D,19970306,000000,0.763,0.763,0.763,0.763,0,0
ARSXDR,D,19970307,000000,0.7644,0.7644,0.7644,0.7644,0,0
ARSXDR,D,19970310,000000,0.7626,0.7626,0.7626,0.7626,0,0
ARSXDR,D,19970311,000000,0.7629,0.7629,0.7629,0.7629,0,0
ARSXDR,D,19970312,000000,0.762,0.762,0.762,0.762,0,0
ARSXDR,D,19970313,000000,0.7676,0.7676,0.7676,0.7676,0,0
ARSXDR,D,19970314,000000,0.7601,0.7601,0.7601,0.7601,0,0
ARSXDR,D,19970317,000000,0.7672,0.7672,0.7672,0.7672,0,0
ARSXDR,D,19970318,000000,0.7616,0.7616,0.7616,0.7616,0,0
ARSXDR,D,19970319,000000,0.7626,0.7626,0.7626,0.7626,0,0
ARSXDR,D,19970320,000000,0.7651,0.7651,0.7651,0.7651,0,0
ARSXDR,D,19970321,000000,0.7594,0.7594,0.7594,0.7594,0,0
ARSXDR,D,19970324,000000,0.7636,0.7636,0.7636,0.7636,0,0
ARSXDR,D,19970325,000000,0.7634,0.7634,0.7634,0.7634,0,0
ARSXDR,D,19970326,000000,0.762,0.762,0.762,0.762,0,0
ARSXDR,D,19970327,000000,0.7625,0.7625,0.7625,0.7625,0,0
ARSXDR,D,19970328,000000,0.7596,0.7596,0.7596,0.7596,0,0
ARSXDR,D,19970401,000000,0.7561,0.7561,0.7561,0.7561,0,0
ARSXDR,D,19970402,000000,0.7582,0.7582,0.7582,0.7582,0,0
ARSXDR,D,19970403,000000,0.7567,0.7567,0.7567,0.7567,0,0
ARSXDR,D,19970404,000000,0.7578,0.7578,0.7578,0.7578,0,0
ARSXDR,D,19970407,000000,0.7609,0.7609,0.7609,0.7609,0,0
ARSXDR,D,19970408,000000,0.7637,0.7637,0.7637,0.7637,0,0
ARSXDR,D,19970409,000000,0.7693,0.7693,0.7693,0.7693,0,0
ARSXDR,D,19970410,000000,0.768,0.768,0.768,0.768,0,0
