<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDKRW,D,19840109,000000,713.63,713.63,713.63,713.63,0,0
AUDKRW,D,19840116,000000,727.42,727.42,727.42,727.42,0,0
AUDKRW,D,19840123,000000,718.39,718.39,718.39,718.39,0,0
AUDKRW,D,19840130,000000,724.27,724.27,724.27,724.27,0,0
AUDKRW,D,19840206,000000,732.9,732.9,732.9,732.9,0,0
AUDKRW,D,19840213,000000,732.18,732.18,732.18,732.18,0,0
AUDKRW,D,19840220,000000,752.87,752.87,752.87,752.87,0,0
AUDKRW,D,19840301,000000,750.87,750.87,750.87,750.87,0,0
AUDKRW,D,19840305,000000,750.66,750.66,750.66,750.66,0,0
AUDKRW,D,19840312,000000,761.47,761.47,761.47,761.47,0,0
AUDKRW,D,19840319,000000,769.34,769.34,769.34,769.34,0,0
AUDKRW,D,19840326,000000,764.82,764.82,764.82,764.82,0,0
AUDKRW,D,19840402,000000,753.07,753.07,753.07,753.07,0,0
AUDKRW,D,19840409,000000,750.66,750.66,750.66,750.66,0,0
AUDKRW,D,19840416,000000,732.85,732.85,732.85,732.85,0,0
AUDKRW,D,19840424,000000,732.25,732.25,732.25,732.25,0,0
AUDKRW,D,19840502,000000,739.56,739.56,739.56,739.56,0,0
AUDKRW,D,19840507,000000,739.07,739.07,739.07,739.07,0,0
AUDKRW,D,19840514,000000,738.91,738.91,738.91,738.91,0,0
AUDKRW,D,19840521,000000,724.27,724.27,724.27,724.27,0,0
AUDKRW,D,19840528,000000,725.87,725.87,725.87,725.87,0,0
AUDKRW,D,19840604,000000,716.84,716.84,716.84,716.84,0,0
AUDKRW,D,19840611,000000,723.43,723.43,723.43,723.43,0,0
AUDKRW,D,19840618,000000,718.33,718.33,718.33,718.33,0,0
AUDKRW,D,19840625,000000,712.75,712.75,712.75,712.75,0,0
AUDKRW,D,19840702,000000,695.25,695.25,695.25,695.25,0,0
AUDKRW,D,19840709,000000,696.59,696.59,696.59,696.59,0,0
AUDKRW,D,19840716,000000,676.52,676.52,676.52,676.52,0,0
AUDKRW,D,19840723,000000,675.68,675.68,675.68,675.68,0,0
AUDKRW,D,19840730,000000,668.92,668.92,668.92,668.92,0,0
AUDKRW,D,19840806,000000,676.19,676.19,676.19,676.19,0,0
AUDKRW,D,19840813,000000,684.68,684.68,684.68,684.68,0,0
AUDKRW,D,19840820,000000,679.86,679.86,679.86,679.86,0,0
AUDKRW,D,19840827,000000,694.89,694.89,694.89,694.89,0,0
AUDKRW,D,19840901,000000,692.3,692.3,692.3,692.3,0,0
AUDKRW,D,19840910,000000,683.95,683.95,683.95,683.95,0,0
AUDKRW,D,19840917,000000,679.09,679.09,679.09,679.09,0,0
AUDKRW,D,19840924,000000,678.51,678.51,678.51,678.51,0,0
AUDKRW,D,19841001,000000,676.75,676.75,676.75,676.75,0,0
AUDKRW,D,19841008,000000,681.96,681.96,681.96,681.96,0,0
AUDKRW,D,19841015,000000,685.16,685.16,685.16,685.16,0,0
AUDKRW,D,19841022,000000,678.58,678.58,678.58,678.58,0,0
AUDKRW,D,19841029,000000,683.31,683.31,683.31,683.31,0,0
AUDKRW,D,19841105,000000,690.52,690.52,690.52,690.52,0,0
AUDKRW,D,19841112,000000,702.7,702.7,702.7,702.7,0,0
AUDKRW,D,19841119,000000,703.49,703.49,703.49,703.49,0,0
AUDKRW,D,19841126,000000,704.01,704.01,704.01,704.01,0,0
AUDKRW,D,19841201,000000,700.98,700.98,700.98,700.98,0,0
AUDKRW,D,19841210,000000,704.97,704.97,704.97,704.97,0,0
AUDKRW,D,19841217,000000,695.49,695.49,695.49,695.49,0,0
AUDKRW,D,19841224,000000,693.49,693.49,693.49,693.49,0,0
AUDKRW,D,19850101,000000,690,690,690,690,0,0
AUDKRW,D,19850107,000000,680.6,680.6,680.6,680.6,0,0
AUDKRW,D,19850114,000000,679.88,679.88,679.88,679.88,0,0
AUDKRW,D,19850121,000000,680.3,680.3,680.3,680.3,0,0
AUDKRW,D,19850128,000000,677.73,677.73,677.73,677.73,0,0
AUDKRW,D,19850204,000000,679.82,679.82,679.82,679.82,0,0
AUDKRW,D,19850211,000000,653.71,653.71,653.71,653.71,0,0
AUDKRW,D,19850218,000000,630.36,630.36,630.36,630.36,0,0
AUDKRW,D,19850225,000000,594.67,594.67,594.67,594.67,0,0
AUDKRW,D,19850304,000000,612.89,612.89,612.89,612.89,0,0
AUDKRW,D,19850311,000000,576.01,576.01,576.01,576.01,0,0
AUDKRW,D,19850318,000000,597.64,597.64,597.64,597.64,0,0
AUDKRW,D,19850325,000000,594.33,594.33,594.33,594.33,0,0
AUDKRW,D,19850329,000000,591.61,591.61,591.61,591.61,0,0
AUDKRW,D,19850401,000000,602.53,602.53,602.53,602.53,0,0
AUDKRW,D,19850409,000000,567.99,567.99,567.99,567.99,0,0
AUDKRW,D,19850415,000000,573.19,573.19,573.19,573.19,0,0
AUDKRW,D,19850422,000000,574.56,574.56,574.56,574.56,0,0
AUDKRW,D,19850429,000000,563.69,563.69,563.69,563.69,0,0
AUDKRW,D,19850506,000000,569.04,569.04,569.04,569.04,0,0
AUDKRW,D,19850513,000000,578.31,578.31,578.31,578.31,0,0
AUDKRW,D,19850520,000000,606.92,606.92,606.92,606.92,0,0
AUDKRW,D,19850527,000000,607.31,607.31,607.31,607.31,0,0
AUDKRW,D,19850601,000000,592.57,592.57,592.57,592.57,0,0
AUDKRW,D,19850610,000000,579.28,579.28,579.28,579.28,0,0
AUDKRW,D,19850617,000000,580.11,580.11,580.11,580.11,0,0
AUDKRW,D,19850624,000000,583.78,583.78,583.78,583.78,0,0
AUDKRW,D,19850701,000000,585.44,585.44,585.44,585.44,0,0
AUDKRW,D,19850708,000000,584.83,584.83,584.83,584.83,0,0
AUDKRW,D,19850715,000000,594.86,594.86,594.86,594.86,0,0
AUDKRW,D,19850723,000000,624.66,624.66,624.66,624.66,0,0
AUDKRW,D,19850729,000000,632.06,632.06,632.06,632.06,0,0
AUDKRW,D,19850805,000000,635.52,635.52,635.52,635.52,0,0
AUDKRW,D,19850812,000000,629.83,629.83,629.83,629.83,0,0
AUDKRW,D,19850819,000000,630.46,630.46,630.46,630.46,0,0
AUDKRW,D,19850826,000000,624.86,624.86,624.86,624.86,0,0
AUDKRW,D,19850902,000000,620.17,620.17,620.17,620.17,0,0
AUDKRW,D,19850909,000000,617.21,617.21,617.21,617.21,0,0
AUDKRW,D,19850916,000000,603.39,603.39,603.39,603.39,0,0
AUDKRW,D,19850923,000000,612.37,612.37,612.37,612.37,0,0
AUDKRW,D,19850930,000000,631,631,631,631,0,0
AUDKRW,D,19851007,000000,630.18,630.18,630.18,630.18,0,0
AUDKRW,D,19851014,000000,630.48,630.48,630.48,630.48,0,0
AUDKRW,D,19851021,000000,625.15,625.15,625.15,625.15,0,0
AUDKRW,D,19851028,000000,627.74,627.74,627.74,627.74,0,0
AUDKRW,D,19851104,000000,626.9,626.9,626.9,626.9,0,0
AUDKRW,D,19851111,000000,595.06,595.06,595.06,595.06,0,0
AUDKRW,D,19851118,000000,584.52,584.52,584.52,584.52,0,0
AUDKRW,D,19851125,000000,601.13,601.13,601.13,601.13,0,0
AUDKRW,D,19851202,000000,614.55,614.55,614.55,614.55,0,0
AUDKRW,D,19851209,000000,602.23,602.23,602.23,602.23,0,0
AUDKRW,D,19851216,000000,608.98,608.98,608.98,608.98,0,0
AUDKRW,D,19851223,000000,604.58,604.58,604.58,604.58,0,0
AUDKRW,D,19860101,000000,609.34,609.34,609.34,609.34,0,0
AUDKRW,D,19860106,000000,608,608,608,608,0,0
AUDKRW,D,19860113,000000,606.18,606.18,606.18,606.18,0,0
AUDKRW,D,19860120,000000,613.27,613.27,613.27,613.27,0,0
AUDKRW,D,19860127,000000,623.64,623.64,623.64,623.64,0,0
AUDKRW,D,19860201,000000,637.53,637.53,637.53,637.53,0,0
AUDKRW,D,19860210,000000,616.23,616.23,616.23,616.23,0,0
AUDKRW,D,19860217,000000,614.32,614.32,614.32,614.32,0,0
AUDKRW,D,19860224,000000,623.84,623.84,623.84,623.84,0,0
AUDKRW,D,19860301,000000,627.86,627.86,627.86,627.86,0,0
AUDKRW,D,19860303,000000,627.86,627.86,627.86,627.86,0,0
AUDKRW,D,19860310,000000,621.88,621.88,621.88,621.88,0,0
AUDKRW,D,19860317,000000,624.79,624.79,624.79,624.79,0,0
AUDKRW,D,19860318,000000,624.79,624.79,624.79,624.79,0,0
AUDKRW,D,19860324,000000,632.94,632.94,632.94,632.94,0,0
AUDKRW,D,19860401,000000,642.23,642.23,642.23,642.23,0,0
AUDKRW,D,19860407,000000,637.99,637.99,637.99,637.99,0,0
AUDKRW,D,19860409,000000,637.99,637.99,637.99,637.99,0,0
AUDKRW,D,19860414,000000,637.79,637.79,637.79,637.79,0,0
AUDKRW,D,19860421,000000,633.33,633.33,633.33,633.33,0,0
AUDKRW,D,19860428,000000,646.32,646.32,646.32,646.32,0,0
AUDKRW,D,19860505,000000,656.63,656.63,656.63,656.63,0,0
AUDKRW,D,19860512,000000,652.53,652.53,652.53,652.53,0,0
AUDKRW,D,19860519,000000,648.37,648.37,648.37,648.37,0,0
AUDKRW,D,19860526,000000,642.58,642.58,642.58,642.58,0,0
AUDKRW,D,19860602,000000,644.84,644.84,644.84,644.84,0,0
AUDKRW,D,19860609,000000,626.02,626.02,626.02,626.02,0,0
AUDKRW,D,19860616,000000,619.24,619.24,619.24,619.24,0,0
AUDKRW,D,19860623,000000,618.32,618.32,618.32,618.32,0,0
AUDKRW,D,19860630,000000,604.84,604.84,604.84,604.84,0,0
AUDKRW,D,19860707,000000,586.87,586.87,586.87,586.87,0,0
AUDKRW,D,19860714,000000,557.07,557.07,557.07,557.07,0,0
AUDKRW,D,19860721,000000,567.89,567.89,567.89,567.89,0,0
AUDKRW,D,19860728,000000,559.02,559.02,559.02,559.02,0,0
AUDKRW,D,19860804,000000,543.68,543.68,543.68,543.68,0,0
AUDKRW,D,19860811,000000,546.98,546.98,546.98,546.98,0,0
AUDKRW,D,19860818,000000,537.09,537.09,537.09,537.09,0,0
AUDKRW,D,19860825,000000,559.34,559.34,559.34,559.34,0,0
AUDKRW,D,19860901,000000,537.88,537.88,537.88,537.88,0,0
AUDKRW,D,19860908,000000,539.33,539.33,539.33,539.33,0,0
AUDKRW,D,19860915,000000,543.67,543.67,543.67,543.67,0,0
AUDKRW,D,19860922,000000,551.72,551.72,551.72,551.72,0,0
AUDKRW,D,19860929,000000,555.46,555.46,555.46,555.46,0,0
AUDKRW,D,19861006,000000,552.29,552.29,552.29,552.29,0,0
AUDKRW,D,19861013,000000,558.85,558.85,558.85,558.85,0,0
AUDKRW,D,19861020,000000,560.53,560.53,560.53,560.53,0,0
AUDKRW,D,19861027,000000,561.24,561.24,561.24,561.24,0,0
AUDKRW,D,19861101,000000,562.5,562.5,562.5,562.5,0,0
AUDKRW,D,19861110,000000,560.04,560.04,560.04,560.04,0,0
AUDKRW,D,19861117,000000,562.93,562.93,562.93,562.93,0,0
AUDKRW,D,19861124,000000,561.92,561.92,561.92,561.92,0,0
AUDKRW,D,19861201,000000,563.19,563.19,563.19,563.19,0,0
AUDKRW,D,19861208,000000,566.18,566.18,566.18,566.18,0,0
AUDKRW,D,19861215,000000,569.08,569.08,569.08,569.08,0,0
AUDKRW,D,19861222,000000,573.64,573.64,573.64,573.64,0,0
AUDKRW,D,19861231,000000,571.27,571.27,571.27,571.27,0,0
AUDKRW,D,19870112,000000,573.29,573.29,573.29,573.29,0,0
AUDKRW,D,19870119,000000,563.58,563.58,563.58,563.58,0,0
AUDKRW,D,19870126,000000,573.97,573.97,573.97,573.97,0,0
AUDKRW,D,19870201,000000,571.84,571.84,571.84,571.84,0,0
AUDKRW,D,19870209,000000,573.14,573.14,573.14,573.14,0,0
AUDKRW,D,19870216,000000,572.76,572.76,572.76,572.76,0,0
AUDKRW,D,19870223,000000,569.93,569.93,569.93,569.93,0,0
AUDKRW,D,19870302,000000,573.49,573.49,573.49,573.49,0,0
AUDKRW,D,19870309,000000,581.11,581.11,581.11,581.11,0,0
AUDKRW,D,19870316,000000,586.19,586.19,586.19,586.19,0,0
AUDKRW,D,19870323,000000,588.08,588.08,588.08,588.08,0,0
AUDKRW,D,19870330,000000,591.78,591.78,591.78,591.78,0,0
AUDKRW,D,19870406,000000,598.96,598.96,598.96,598.96,0,0
AUDKRW,D,19870413,000000,600.21,600.21,600.21,600.21,0,0
AUDKRW,D,19870421,000000,610.73,610.73,610.73,610.73,0,0
AUDKRW,D,19870427,000000,596.05,596.05,596.05,596.05,0,0
AUDKRW,D,19870504,000000,591.38,591.38,591.38,591.38,0,0
AUDKRW,D,19870511,000000,591.96,591.96,591.96,591.96,0,0
AUDKRW,D,19870518,000000,596.58,596.58,596.58,596.58,0,0
AUDKRW,D,19870525,000000,599.44,599.44,599.44,599.44,0,0
AUDKRW,D,19870601,000000,595.54,595.54,595.54,595.54,0,0
AUDKRW,D,19870608,000000,587.92,587.92,587.92,587.92,0,0
AUDKRW,D,19870615,000000,585.13,585.13,585.13,585.13,0,0
AUDKRW,D,19870622,000000,586.21,586.21,586.21,586.21,0,0
AUDKRW,D,19870629,000000,581.57,581.57,581.57,581.57,0,0
AUDKRW,D,19870706,000000,585.26,585.26,585.26,585.26,0,0
AUDKRW,D,19870713,000000,573.61,573.61,573.61,573.61,0,0
AUDKRW,D,19870720,000000,571.61,571.61,571.61,571.61,0,0
AUDKRW,D,19870727,000000,576.01,576.01,576.01,576.01,0,0
AUDKRW,D,19870803,000000,567.96,567.96,567.96,567.96,0,0
AUDKRW,D,19870810,000000,568.51,568.51,568.51,568.51,0,0
AUDKRW,D,19870817,000000,568.08,568.08,568.08,568.08,0,0
AUDKRW,D,19870824,000000,576.09,576.09,576.09,576.09,0,0
AUDKRW,D,19870831,000000,579.37,579.37,579.37,579.37,0,0
AUDKRW,D,19870907,000000,582.03,582.03,582.03,582.03,0,0
AUDKRW,D,19870914,000000,589.91,589.91,589.91,589.91,0,0
AUDKRW,D,19870921,000000,589.54,589.54,589.54,589.54,0,0
AUDKRW,D,19870928,000000,591.61,591.61,591.61,591.61,0,0
AUDKRW,D,19871005,000000,581.66,581.66,581.66,581.66,0,0
AUDKRW,D,19871012,000000,581.03,581.03,581.03,581.03,0,0
AUDKRW,D,19871019,000000,585.66,585.66,585.66,585.66,0,0
AUDKRW,D,19871026,000000,577.02,577.02,577.02,577.02,0,0
AUDKRW,D,19871102,000000,564.18,564.18,564.18,564.18,0,0
AUDKRW,D,19871109,000000,538.41,538.41,538.41,538.41,0,0
AUDKRW,D,19871116,000000,546.74,546.74,546.74,546.74,0,0
AUDKRW,D,19871123,000000,557.13,557.13,557.13,557.13,0,0
AUDKRW,D,19871130,000000,550.02,550.02,550.02,550.02,0,0
AUDKRW,D,19871207,000000,561.38,561.38,561.38,561.38,0,0
AUDKRW,D,19871214,000000,558.4,558.4,558.4,558.4,0,0
AUDKRW,D,19871221,000000,568.97,568.97,568.97,568.97,0,0
AUDKRW,D,19871228,000000,568.53,568.53,568.53,568.53,0,0
AUDKRW,D,19880104,000000,567.47,567.47,567.47,567.47,0,0
AUDKRW,D,19880111,000000,567.85,567.85,567.85,567.85,0,0
AUDKRW,D,19880118,000000,563.04,563.04,563.04,563.04,0,0
AUDKRW,D,19880125,000000,558.45,558.45,558.45,558.45,0,0
AUDKRW,D,19880201,000000,562.17,562.17,562.17,562.17,0,0
AUDKRW,D,19880208,000000,557.71,557.71,557.71,557.71,0,0
AUDKRW,D,19880215,000000,555.85,555.85,555.85,555.85,0,0
AUDKRW,D,19880222,000000,551.04,551.04,551.04,551.04,0,0
AUDKRW,D,19880229,000000,549.76,549.76,549.76,549.76,0,0
AUDKRW,D,19880307,000000,549.58,549.58,549.58,549.58,0,0
AUDKRW,D,19880314,000000,553.85,553.85,553.85,553.85,0,0
AUDKRW,D,19880321,000000,552.65,552.65,552.65,552.65,0,0
AUDKRW,D,19880328,000000,554.6,554.6,554.6,554.6,0,0
AUDKRW,D,19880405,000000,548.59,548.59,548.59,548.59,0,0
AUDKRW,D,19880411,000000,552.41,552.41,552.41,552.41,0,0
AUDKRW,D,19880418,000000,553.58,553.58,553.58,553.58,0,0
AUDKRW,D,19880425,000000,555.45,555.45,555.45,555.45,0,0
AUDKRW,D,19880502,000000,562.19,562.19,562.19,562.19,0,0
AUDKRW,D,19880509,000000,566.22,566.22,566.22,566.22,0,0
AUDKRW,D,19880516,000000,572.23,572.23,572.23,572.23,0,0
AUDKRW,D,19880523,000000,567.88,567.88,567.88,567.88,0,0
AUDKRW,D,19880530,000000,581.02,581.02,581.02,581.02,0,0
AUDKRW,D,19880606,000000,593.21,593.21,593.21,593.21,0,0
AUDKRW,D,19880613,000000,581.84,581.84,581.84,581.84,0,0
AUDKRW,D,19880620,000000,587.47,587.47,587.47,587.47,0,0
AUDKRW,D,19880627,000000,602.31,602.31,602.31,602.31,0,0
AUDKRW,D,19880704,000000,596.68,596.68,596.68,596.68,0,0
AUDKRW,D,19880711,000000,581.28,581.28,581.28,581.28,0,0
AUDKRW,D,19880718,000000,578.63,578.63,578.63,578.63,0,0
AUDKRW,D,19880725,000000,576.07,576.07,576.07,576.07,0,0
AUDKRW,D,19880801,000000,584.85,584.85,584.85,584.85,0,0
AUDKRW,D,19880808,000000,583.79,583.79,583.79,583.79,0,0
AUDKRW,D,19880815,000000,580.21,580.21,580.21,580.21,0,0
AUDKRW,D,19880822,000000,580.44,580.44,580.44,580.44,0,0
AUDKRW,D,19880829,000000,589.23,589.23,589.23,589.23,0,0
AUDKRW,D,19880905,000000,581.03,581.03,581.03,581.03,0,0
AUDKRW,D,19880912,000000,580.76,580.76,580.76,580.76,0,0
AUDKRW,D,19880919,000000,576.45,576.45,576.45,576.45,0,0
AUDKRW,D,19880926,000000,568.22,568.22,568.22,568.22,0,0
AUDKRW,D,19881003,000000,564.87,564.87,564.87,564.87,0,0
AUDKRW,D,19881010,000000,567.74,567.74,567.74,567.74,0,0
AUDKRW,D,19881017,000000,571.62,571.62,571.62,571.62,0,0
AUDKRW,D,19881024,000000,571.33,571.33,571.33,571.33,0,0
AUDKRW,D,19881031,000000,574.75,574.75,574.75,574.75,0,0
AUDKRW,D,19881107,000000,576.84,576.84,576.84,576.84,0,0
AUDKRW,D,19881114,000000,578.67,578.67,578.67,578.67,0,0
AUDKRW,D,19881121,000000,591.55,591.55,591.55,591.55,0,0
AUDKRW,D,19881128,000000,594.04,594.04,594.04,594.04,0,0
AUDKRW,D,19881205,000000,603.17,603.17,603.17,603.17,0,0
AUDKRW,D,19881212,000000,602.75,602.75,602.75,602.75,0,0
AUDKRW,D,19881219,000000,583.6,583.6,583.6,583.6,0,0
AUDKRW,D,19881227,000000,582.55,582.55,582.55,582.55,0,0
AUDKRW,D,19890102,000000,586.27,586.27,586.27,586.27,0,0
AUDKRW,D,19890109,000000,593.99,593.99,593.99,593.99,0,0
AUDKRW,D,19890116,000000,595.49,595.49,595.49,595.49,0,0
AUDKRW,D,19890123,000000,588.98,588.98,588.98,588.98,0,0
AUDKRW,D,19890130,000000,600.82,600.82,600.82,600.82,0,0
AUDKRW,D,19890206,000000,606.32,606.32,606.32,606.32,0,0
AUDKRW,D,19890213,000000,600.38,600.38,600.38,600.38,0,0
AUDKRW,D,19890220,000000,604.02,604.02,604.02,604.02,0,0
AUDKRW,D,19890227,000000,548.83,548.83,548.83,548.83,0,0
AUDKRW,D,19890306,000000,541.59,541.59,541.59,541.59,0,0
AUDKRW,D,19890313,000000,546.05,546.05,546.05,546.05,0,0
AUDKRW,D,19890320,000000,549.85,549.85,549.85,549.85,0,0
AUDKRW,D,19890328,000000,558.04,558.04,558.04,558.04,0,0
AUDKRW,D,19890403,000000,550.53,550.53,550.53,550.53,0,0
AUDKRW,D,19890410,000000,550.94,550.94,550.94,550.94,0,0
AUDKRW,D,19890417,000000,541.47,541.47,541.47,541.47,0,0
AUDKRW,D,19890424,000000,550.15,550.15,550.15,550.15,0,0
AUDKRW,D,19890502,000000,531.28,531.28,531.28,531.28,0,0
AUDKRW,D,19890508,000000,530,530,530,530,0,0
AUDKRW,D,19890515,000000,533.23,533.23,533.23,533.23,0,0
AUDKRW,D,19890522,000000,516.95,516.95,516.95,516.95,0,0
AUDKRW,D,19890529,000000,495.62,495.62,495.62,495.62,0,0
AUDKRW,D,19890605,000000,498.73,498.73,498.73,498.73,0,0
AUDKRW,D,19890612,000000,502.03,502.03,502.03,502.03,0,0
AUDKRW,D,19890619,000000,497.77,497.77,497.77,497.77,0,0
AUDKRW,D,19890626,000000,507.22,507.22,507.22,507.22,0,0
AUDKRW,D,19890703,000000,513.22,513.22,513.22,513.22,0,0
AUDKRW,D,19890710,000000,512.84,512.84,512.84,512.84,0,0
AUDKRW,D,19890717,000000,509.06,509.06,509.06,509.06,0,0
AUDKRW,D,19890724,000000,508.61,508.61,508.61,508.61,0,0
AUDKRW,D,19890731,000000,503.59,503.59,503.59,503.59,0,0
AUDKRW,D,19890807,000000,513.74,513.74,513.74,513.74,0,0
AUDKRW,D,19890814,000000,514.78,514.78,514.78,514.78,0,0
AUDKRW,D,19890821,000000,508.33,508.33,508.33,508.33,0,0
AUDKRW,D,19890828,000000,513.09,513.09,513.09,513.09,0,0
AUDKRW,D,19890904,000000,512.05,512.05,512.05,512.05,0,0
AUDKRW,D,19890911,000000,510.26,510.26,510.26,510.26,0,0
AUDKRW,D,19890918,000000,514.06,514.06,514.06,514.06,0,0
AUDKRW,D,19890925,000000,521.48,521.48,521.48,521.48,0,0
AUDKRW,D,19890928,000000,530.87,530.87,530.87,530.87,0,0
AUDKRW,D,19891002,000000,531.11,531.11,531.11,531.11,0,0
AUDKRW,D,19891009,000000,525.49,525.49,525.49,525.49,0,0
AUDKRW,D,19891016,000000,523.98,523.98,523.98,523.98,0,0
AUDKRW,D,19891023,000000,518.24,518.24,518.24,518.24,0,0
AUDKRW,D,19891030,000000,518.73,518.73,518.73,518.73,0,0
AUDKRW,D,19891106,000000,526.98,526.98,526.98,526.98,0,0
AUDKRW,D,19891113,000000,527.18,527.18,527.18,527.18,0,0
