<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDNAD,D,19840109,000000,1.1094,1.1094,1.1094,1.1094,0,0
AUDNAD,D,19840116,000000,1.1202,1.1202,1.1202,1.1202,0,0
AUDNAD,D,19840123,000000,1.1078,1.1078,1.1078,1.1078,0,0
AUDNAD,D,19840130,000000,1.1346,1.1346,1.1346,1.1346,0,0
AUDNAD,D,19840206,000000,1.1185,1.1185,1.1185,1.1185,0,0
AUDNAD,D,19840213,000000,1.1185,1.1185,1.1185,1.1185,0,0
AUDNAD,D,19840220,000000,1.1451,1.1451,1.1451,1.1451,0,0
AUDNAD,D,19840301,000000,1.1238,1.1238,1.1238,1.1238,0,0
AUDNAD,D,19840305,000000,1.113,1.113,1.113,1.113,0,0
AUDNAD,D,19840312,000000,1.149,1.149,1.149,1.149,0,0
AUDNAD,D,19840319,000000,1.1867,1.1867,1.1867,1.1867,0,0
AUDNAD,D,19840326,000000,1.1733,1.1733,1.1733,1.1733,0,0
AUDNAD,D,19840402,000000,1.1509,1.1509,1.1509,1.1509,0,0
AUDNAD,D,19840409,000000,1.1641,1.1641,1.1641,1.1641,0,0
AUDNAD,D,19840416,000000,1.1174,1.1174,1.1174,1.1174,0,0
AUDNAD,D,19840424,000000,1.1286,1.1286,1.1286,1.1286,0,0
AUDNAD,D,19840502,000000,1.1286,1.1286,1.1286,1.1286,0,0
AUDNAD,D,19840507,000000,1.1509,1.1509,1.1509,1.1509,0,0
AUDNAD,D,19840514,000000,1.1662,1.1662,1.1662,1.1662,0,0
AUDNAD,D,19840521,000000,1.1302,1.1302,1.1302,1.1302,0,0
AUDNAD,D,19840528,000000,1.1302,1.1302,1.1302,1.1302,0,0
AUDNAD,D,19840604,000000,1.1174,1.1174,1.1174,1.1174,0,0
AUDNAD,D,19840611,000000,1.1453,1.1453,1.1453,1.1453,0,0
AUDNAD,D,19840618,000000,1.1453,1.1453,1.1453,1.1453,0,0
AUDNAD,D,19840625,000000,1.1752,1.1752,1.1752,1.1752,0,0
AUDNAD,D,19840702,000000,1.1632,1.1632,1.1632,1.1632,0,0
AUDNAD,D,19840709,000000,1.2421,1.2421,1.2421,1.2421,0,0
AUDNAD,D,19840716,000000,1.2033,1.2033,1.2033,1.2033,0,0
AUDNAD,D,19840723,000000,1.2662,1.2662,1.2662,1.2662,0,0
AUDNAD,D,19840730,000000,1.3253,1.3253,1.3253,1.3253,0,0
AUDNAD,D,19840806,000000,1.2838,1.2838,1.2838,1.2838,0,0
AUDNAD,D,19840813,000000,1.3345,1.3345,1.3345,1.3345,0,0
AUDNAD,D,19840820,000000,1.2796,1.2796,1.2796,1.2796,0,0
AUDNAD,D,19840827,000000,1.3066,1.3066,1.3066,1.3066,0,0
AUDNAD,D,19840901,000000,1.3069,1.3069,1.3069,1.3069,0,0
AUDNAD,D,19840910,000000,1.3635,1.3635,1.3635,1.3635,0,0
AUDNAD,D,19840917,000000,1.3819,1.3819,1.3819,1.3819,0,0
AUDNAD,D,19840924,000000,1.3456,1.3456,1.3456,1.3456,0,0
AUDNAD,D,19841001,000000,1.3635,1.3635,1.3635,1.3635,0,0
AUDNAD,D,19841008,000000,1.3819,1.3819,1.3819,1.3819,0,0
AUDNAD,D,19841015,000000,1.4542,1.4542,1.4542,1.4542,0,0
AUDNAD,D,19841022,000000,1.4542,1.4542,1.4542,1.4542,0,0
AUDNAD,D,19841029,000000,1.5884,1.5884,1.5884,1.5884,0,0
AUDNAD,D,19841105,000000,1.489,1.489,1.489,1.489,0,0
AUDNAD,D,19841112,000000,1.5248,1.5248,1.5248,1.5248,0,0
AUDNAD,D,19841119,000000,1.5248,1.5248,1.5248,1.5248,0,0
AUDNAD,D,19841126,000000,1.5248,1.5248,1.5248,1.5248,0,0
AUDNAD,D,19841201,000000,1.5248,1.5248,1.5248,1.5248,0,0
AUDNAD,D,19841210,000000,1.5391,1.5391,1.5391,1.5391,0,0
AUDNAD,D,19841217,000000,1.5792,1.5792,1.5792,1.5792,0,0
AUDNAD,D,19841224,000000,1.6132,1.6132,1.6132,1.6132,0,0
AUDNAD,D,19850101,000000,1.6154,1.6154,1.6154,1.6154,0,0
AUDNAD,D,19850107,000000,1.6984,1.6984,1.6984,1.6984,0,0
AUDNAD,D,19850114,000000,1.8215,1.8215,1.8215,1.8215,0,0
AUDNAD,D,19850121,000000,1.808,1.808,1.808,1.808,0,0
AUDNAD,D,19850128,000000,1.7094,1.7094,1.7094,1.7094,0,0
AUDNAD,D,19850204,000000,1.6246,1.6246,1.6246,1.6246,0,0
AUDNAD,D,19850211,000000,1.4484,1.4484,1.4484,1.4484,0,0
AUDNAD,D,19850218,000000,1.3897,1.3897,1.3897,1.3897,0,0
AUDNAD,D,19850225,000000,1.4976,1.4976,1.4976,1.4976,0,0
AUDNAD,D,19850304,000000,1.475,1.475,1.475,1.475,0,0
AUDNAD,D,19850311,000000,1.3434,1.3434,1.3434,1.3434,0,0
AUDNAD,D,19850318,000000,1.3907,1.3907,1.3907,1.3907,0,0
AUDNAD,D,19850325,000000,1.3626,1.3626,1.3626,1.3626,0,0
AUDNAD,D,19850329,000000,1.2931,1.2931,1.2931,1.2931,0,0
AUDNAD,D,19850401,000000,1.3572,1.3572,1.3572,1.3572,0,0
AUDNAD,D,19850409,000000,1.2826,1.2826,1.2826,1.2826,0,0
AUDNAD,D,19850415,000000,1.2392,1.2392,1.2392,1.2392,0,0
AUDNAD,D,19850422,000000,1.2603,1.2603,1.2603,1.2603,0,0
AUDNAD,D,19850429,000000,1.2502,1.2502,1.2502,1.2502,0,0
AUDNAD,D,19850506,000000,1.3062,1.3062,1.3062,1.3062,0,0
AUDNAD,D,19850513,000000,1.288,1.288,1.288,1.288,0,0
AUDNAD,D,19850520,000000,1.3538,1.3538,1.3538,1.3538,0,0
AUDNAD,D,19850527,000000,1.3538,1.3538,1.3538,1.3538,0,0
AUDNAD,D,19850601,000000,1.3275,1.3275,1.3275,1.3275,0,0
AUDNAD,D,19850610,000000,1.3069,1.3069,1.3069,1.3069,0,0
AUDNAD,D,19850617,000000,1.3029,1.3029,1.3029,1.3029,0,0
AUDNAD,D,19850624,000000,1.2906,1.2906,1.2906,1.2906,0,0
AUDNAD,D,19850701,000000,1.2906,1.2906,1.2906,1.2906,0,0
AUDNAD,D,19850708,000000,1.2747,1.2747,1.2747,1.2747,0,0
AUDNAD,D,19850715,000000,1.2711,1.2711,1.2711,1.2711,0,0
AUDNAD,D,19850723,000000,1.3191,1.3191,1.3191,1.3191,0,0
AUDNAD,D,19850729,000000,1.4553,1.4553,1.4553,1.4553,0,0
AUDNAD,D,19850805,000000,1.5818,1.5818,1.5818,1.5818,0,0
AUDNAD,D,19850812,000000,1.4617,1.4617,1.4617,1.4617,0,0
AUDNAD,D,19850819,000000,1.7013,1.7013,1.7013,1.7013,0,0
AUDNAD,D,19850826,000000,1.7699,1.7699,1.7699,1.7699,0,0
AUDNAD,D,19850902,000000,1.7536,1.7536,1.7536,1.7536,0,0
AUDNAD,D,19850909,000000,1.7666,1.7666,1.7666,1.7666,0,0
AUDNAD,D,19850916,000000,1.6132,1.6132,1.6132,1.6132,0,0
AUDNAD,D,19850923,000000,1.6811,1.6811,1.6811,1.6811,0,0
AUDNAD,D,19850930,000000,1.7833,1.7833,1.7833,1.7833,0,0
AUDNAD,D,19851007,000000,1.8286,1.8286,1.8286,1.8286,0,0
AUDNAD,D,19851014,000000,1.8286,1.8286,1.8286,1.8286,0,0
AUDNAD,D,19851021,000000,1.7971,1.7971,1.7971,1.7971,0,0
AUDNAD,D,19851028,000000,1.8113,1.8113,1.8113,1.8113,0,0
AUDNAD,D,19851104,000000,1.7801,1.7801,1.7801,1.7801,0,0
AUDNAD,D,19851111,000000,1.6953,1.6953,1.6953,1.6953,0,0
AUDNAD,D,19851118,000000,1.7208,1.7208,1.7208,1.7208,0,0
AUDNAD,D,19851125,000000,1.7735,1.7735,1.7735,1.7735,0,0
AUDNAD,D,19851202,000000,1.9109,1.9109,1.9109,1.9109,0,0
AUDNAD,D,19851209,000000,1.7559,1.7559,1.7559,1.7559,0,0
AUDNAD,D,19851216,000000,1.7735,1.7735,1.7735,1.7735,0,0
AUDNAD,D,19851223,000000,1.7878,1.7878,1.7878,1.7878,0,0
AUDNAD,D,19860101,000000,1.8057,1.8057,1.8057,1.8057,0,0
AUDNAD,D,19860106,000000,1.6953,1.6953,1.6953,1.6953,0,0
