<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDRUB,D,19951023,000000,3.3729,3.3729,3.3729,3.3729,0,0
AUDRUB,D,19951024,000000,3.3752,3.3752,3.3752,3.3752,0,0
AUDRUB,D,19951025,000000,3.3816,3.3816,3.3816,3.3816,0,0
AUDRUB,D,19951026,000000,3.414,3.414,3.414,3.414,0,0
AUDRUB,D,19951027,000000,3.4023,3.4023,3.4023,3.4023,0,0
AUDRUB,D,19951030,000000,3.4244,3.4244,3.4244,3.4244,0,0
AUDRUB,D,19951031,000000,3.4287,3.4287,3.4287,3.4287,0,0
AUDRUB,D,19951102,000000,3.4322,3.4322,3.4322,3.4322,0,0
AUDRUB,D,19951103,000000,3.4249,3.4249,3.4249,3.4249,0,0
AUDRUB,D,19951106,000000,3.4228,3.4228,3.4228,3.4228,0,0
AUDRUB,D,19951107,000000,3.3978,3.3978,3.3978,3.3978,0,0
AUDRUB,D,19951108,000000,3.394,3.394,3.394,3.394,0,0
AUDRUB,D,19951109,000000,3.3372,3.3372,3.3372,3.3372,0,0
AUDRUB,D,19951110,000000,3.3469,3.3469,3.3469,3.3469,0,0
AUDRUB,D,19951113,000000,3.3461,3.3461,3.3461,3.3461,0,0
AUDRUB,D,19951114,000000,3.3692,3.3692,3.3692,3.3692,0,0
AUDRUB,D,19951115,000000,3.349,3.349,3.349,3.349,0,0
AUDRUB,D,19951116,000000,3.3426,3.3426,3.3426,3.3426,0,0
AUDRUB,D,19951117,000000,3.3669,3.3669,3.3669,3.3669,0,0
AUDRUB,D,19951120,000000,3.3965,3.3965,3.3965,3.3965,0,0
AUDRUB,D,19951121,000000,3.3938,3.3938,3.3938,3.3938,0,0
AUDRUB,D,19951122,000000,3.3895,3.3895,3.3895,3.3895,0,0
AUDRUB,D,19951123,000000,3.3754,3.3754,3.3754,3.3754,0,0
AUDRUB,D,19951124,000000,3.3802,3.3802,3.3802,3.3802,0,0
AUDRUB,D,19951127,000000,3.3887,3.3887,3.3887,3.3887,0,0
AUDRUB,D,19951128,000000,3.4337,3.4337,3.4337,3.4337,0,0
AUDRUB,D,19951129,000000,3.4346,3.4346,3.4346,3.4346,0,0
AUDRUB,D,19951130,000000,3.4065,3.4065,3.4065,3.4065,0,0
AUDRUB,D,19951201,000000,3.4008,3.4008,3.4008,3.4008,0,0
AUDRUB,D,19951204,000000,3.3925,3.3925,3.3925,3.3925,0,0
AUDRUB,D,19951205,000000,3.3857,3.3857,3.3857,3.3857,0,0
AUDRUB,D,19951206,000000,3.4,3.4,3.4,3.4,0,0
AUDRUB,D,19951207,000000,3.4068,3.4068,3.4068,3.4068,0,0
AUDRUB,D,19951208,000000,3.3773,3.3773,3.3773,3.3773,0,0
AUDRUB,D,19951211,000000,3.3764,3.3764,3.3764,3.3764,0,0
AUDRUB,D,19951212,000000,3.3946,3.3946,3.3946,3.3946,0,0
AUDRUB,D,19951213,000000,3.4368,3.4368,3.4368,3.4368,0,0
AUDRUB,D,19951214,000000,3.4292,3.4292,3.4292,3.4292,0,0
AUDRUB,D,19951215,000000,3.4261,3.4261,3.4261,3.4261,0,0
AUDRUB,D,19951218,000000,3.4364,3.4364,3.4364,3.4364,0,0
AUDRUB,D,19951219,000000,3.4402,3.4402,3.4402,3.4402,0,0
AUDRUB,D,19951220,000000,3.4405,3.4405,3.4405,3.4405,0,0
AUDRUB,D,19951221,000000,3.4412,3.4412,3.4412,3.4412,0,0
AUDRUB,D,19951222,000000,3.4377,3.4377,3.4377,3.4377,0,0
AUDRUB,D,19951227,000000,3.4674,3.4674,3.4674,3.4674,0,0
AUDRUB,D,19951228,000000,3.4511,3.4511,3.4511,3.4511,0,0
AUDRUB,D,19951229,000000,3.4542,3.4542,3.4542,3.4542,0,0
AUDRUB,D,19960102,000000,3.4449,3.4449,3.4449,3.4449,0,0
AUDRUB,D,19960103,000000,3.4657,3.4657,3.4657,3.4657,0,0
AUDRUB,D,19960104,000000,3.4622,3.4622,3.4622,3.4622,0,0
AUDRUB,D,19960105,000000,3.4541,3.4541,3.4541,3.4541,0,0
AUDRUB,D,19960108,000000,3.4594,3.4594,3.4594,3.4594,0,0
AUDRUB,D,19960109,000000,3.4627,3.4627,3.4627,3.4627,0,0
AUDRUB,D,19960110,000000,3.4714,3.4714,3.4714,3.4714,0,0
AUDRUB,D,19960111,000000,3.4848,3.4848,3.4848,3.4848,0,0
AUDRUB,D,19960112,000000,3.4692,3.4692,3.4692,3.4692,0,0
AUDRUB,D,19960115,000000,3.4658,3.4658,3.4658,3.4658,0,0
AUDRUB,D,19960116,000000,3.4817,3.4817,3.4817,3.4817,0,0
AUDRUB,D,19960117,000000,3.4645,3.4645,3.4645,3.4645,0,0
AUDRUB,D,19960118,000000,3.4739,3.4739,3.4739,3.4739,0,0
AUDRUB,D,19960119,000000,3.459,3.459,3.459,3.459,0,0
AUDRUB,D,19960122,000000,3.4268,3.4268,3.4268,3.4268,0,0
AUDRUB,D,19960123,000000,3.4339,3.4339,3.4339,3.4339,0,0
AUDRUB,D,19960124,000000,3.4716,3.4716,3.4716,3.4716,0,0
AUDRUB,D,19960125,000000,3.4625,3.4625,3.4625,3.4625,0,0
AUDRUB,D,19960126,000000,3.4821,3.4821,3.4821,3.4821,0,0
AUDRUB,D,19960129,000000,3.496,3.496,3.496,3.496,0,0
AUDRUB,D,19960130,000000,3.5156,3.5156,3.5156,3.5156,0,0
AUDRUB,D,19960131,000000,3.5308,3.5308,3.5308,3.5308,0,0
AUDRUB,D,19960201,000000,3.5299,3.5299,3.5299,3.5299,0,0
AUDRUB,D,19960202,000000,3.5845,3.5845,3.5845,3.5845,0,0
AUDRUB,D,19960205,000000,3.5743,3.5743,3.5743,3.5743,0,0
