<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNCAD,D,19951023,000000,19.939,19.939,19.939,19.939,0,0
BGNCAD,D,19951024,000000,20.111,20.111,20.111,20.111,0,0
BGNCAD,D,19951025,000000,19.963,19.963,19.963,19.963,0,0
BGNCAD,D,19951026,000000,19.936,19.936,19.936,19.936,0,0
BGNCAD,D,19951027,000000,20.003,20.003,20.003,20.003,0,0
BGNCAD,D,19951030,000000,19.883,19.883,19.883,19.883,0,0
BGNCAD,D,19951031,000000,19.509,19.509,19.509,19.509,0,0
BGNCAD,D,19951102,000000,19.623,19.623,19.623,19.623,0,0
BGNCAD,D,19951103,000000,19.542,19.542,19.542,19.542,0,0
BGNCAD,D,19951106,000000,19.613,19.613,19.613,19.613,0,0
BGNCAD,D,19951107,000000,19.732,19.732,19.732,19.732,0,0
BGNCAD,D,19951108,000000,19.751,19.751,19.751,19.751,0,0
BGNCAD,D,19951109,000000,19.682,19.682,19.682,19.682,0,0
BGNCAD,D,19951110,000000,19.611,19.611,19.611,19.611,0,0
BGNCAD,D,19951113,000000,19.577,19.577,19.577,19.577,0,0
BGNCAD,D,19951114,000000,19.612,19.612,19.612,19.612,0,0
BGNCAD,D,19951115,000000,19.662,19.662,19.662,19.662,0,0
BGNCAD,D,19951116,000000,19.589,19.589,19.589,19.589,0,0
BGNCAD,D,19951117,000000,19.597,19.597,19.597,19.597,0,0
BGNCAD,D,19951120,000000,19.509,19.509,19.509,19.509,0,0
BGNCAD,D,19951121,000000,19.472,19.472,19.472,19.472,0,0
BGNCAD,D,19951122,000000,19.513,19.513,19.513,19.513,0,0
BGNCAD,D,19951123,000000,19.475,19.475,19.475,19.475,0,0
BGNCAD,D,19951124,000000,19.459,19.459,19.459,19.459,0,0
BGNCAD,D,19951127,000000,19.402,19.402,19.402,19.402,0,0
BGNCAD,D,19951128,000000,19.422,19.422,19.422,19.422,0,0
BGNCAD,D,19951129,000000,19.46,19.46,19.46,19.46,0,0
BGNCAD,D,19951130,000000,19.424,19.424,19.424,19.424,0,0
BGNCAD,D,19951201,000000,19.473,19.473,19.473,19.473,0,0
BGNCAD,D,19951204,000000,19.516,19.516,19.516,19.516,0,0
BGNCAD,D,19951205,000000,19.528,19.528,19.528,19.528,0,0
BGNCAD,D,19951206,000000,19.479,19.479,19.479,19.479,0,0
BGNCAD,D,19951207,000000,19.463,19.463,19.463,19.463,0,0
BGNCAD,D,19951208,000000,19.457,19.457,19.457,19.457,0,0
BGNCAD,D,19951211,000000,19.633,19.633,19.633,19.633,0,0
BGNCAD,D,19951212,000000,19.665,19.665,19.665,19.665,0,0
BGNCAD,D,19951213,000000,19.585,19.585,19.585,19.585,0,0
BGNCAD,D,19951214,000000,19.535,19.535,19.535,19.535,0,0
BGNCAD,D,19951215,000000,19.552,19.552,19.552,19.552,0,0
BGNCAD,D,19951218,000000,19.515,19.515,19.515,19.515,0,0
BGNCAD,D,19951219,000000,19.613,19.613,19.613,19.613,0,0
BGNCAD,D,19951220,000000,19.488,19.488,19.488,19.488,0,0
BGNCAD,D,19951221,000000,19.341,19.341,19.341,19.341,0,0
BGNCAD,D,19951222,000000,19.315,19.315,19.315,19.315,0,0
BGNCAD,D,19951227,000000,19.247,19.247,19.247,19.247,0,0
BGNCAD,D,19951228,000000,19.181,19.181,19.181,19.181,0,0
BGNCAD,D,19951229,000000,19.234,19.234,19.234,19.234,0,0
BGNCAD,D,19960102,000000,19.206,19.206,19.206,19.206,0,0
BGNCAD,D,19960103,000000,19.031,19.031,19.031,19.031,0,0
BGNCAD,D,19960104,000000,18.895,18.895,18.895,18.895,0,0
BGNCAD,D,19960105,000000,18.913,18.913,18.913,18.913,0,0
BGNCAD,D,19960108,000000,18.82,18.82,18.82,18.82,0,0
BGNCAD,D,19960109,000000,18.794,18.794,18.794,18.794,0,0
BGNCAD,D,19960110,000000,18.871,18.871,18.871,18.871,0,0
BGNCAD,D,19960111,000000,18.88,18.88,18.88,18.88,0,0
BGNCAD,D,19960112,000000,18.796,18.796,18.796,18.796,0,0
BGNCAD,D,19960115,000000,18.775,18.775,18.775,18.775,0,0
BGNCAD,D,19960116,000000,18.736,18.736,18.736,18.736,0,0
BGNCAD,D,19960117,000000,18.815,18.815,18.815,18.815,0,0
BGNCAD,D,19960118,000000,18.734,18.734,18.734,18.734,0,0
BGNCAD,D,19960119,000000,18.675,18.675,18.675,18.675,0,0
BGNCAD,D,19960122,000000,18.697,18.697,18.697,18.697,0,0
BGNCAD,D,19960123,000000,18.753,18.753,18.753,18.753,0,0
BGNCAD,D,19960124,000000,18.688,18.688,18.688,18.688,0,0
BGNCAD,D,19960125,000000,18.698,18.698,18.698,18.698,0,0
BGNCAD,D,19960126,000000,18.709,18.709,18.709,18.709,0,0
BGNCAD,D,19960129,000000,18.685,18.685,18.685,18.685,0,0
BGNCAD,D,19960130,000000,18.63,18.63,18.63,18.63,0,0
BGNCAD,D,19960131,000000,18.699,18.699,18.699,18.699,0,0
BGNCAD,D,19960201,000000,18.55,18.55,18.55,18.55,0,0
BGNCAD,D,19960202,000000,18.624,18.624,18.624,18.624,0,0
BGNCAD,D,19960205,000000,18.633,18.633,18.633,18.633,0,0
BGNCAD,D,19960206,000000,18.652,18.652,18.652,18.652,0,0
BGNCAD,D,19960207,000000,18.552,18.552,18.552,18.552,0,0
BGNCAD,D,19960208,000000,18.47,18.47,18.47,18.47,0,0
BGNCAD,D,19960209,000000,18.541,18.541,18.541,18.541,0,0
BGNCAD,D,19960212,000000,18.468,18.468,18.468,18.468,0,0
BGNCAD,D,19960213,000000,18.475,18.475,18.475,18.475,0,0
BGNCAD,D,19960214,000000,18.514,18.514,18.514,18.514,0,0
BGNCAD,D,19960215,000000,18.497,18.497,18.497,18.497,0,0
BGNCAD,D,19960216,000000,18.478,18.478,18.478,18.478,0,0
BGNCAD,D,19960219,000000,18.435,18.435,18.435,18.435,0,0
BGNCAD,D,19960220,000000,18.359,18.359,18.359,18.359,0,0
BGNCAD,D,19960221,000000,18.383,18.383,18.383,18.383,0,0
BGNCAD,D,19960222,000000,18.277,18.277,18.277,18.277,0,0
BGNCAD,D,19960223,000000,18.267,18.267,18.267,18.267,0,0
BGNCAD,D,19960226,000000,18.236,18.236,18.236,18.236,0,0
BGNCAD,D,19960227,000000,18.107,18.107,18.107,18.107,0,0
BGNCAD,D,19960228,000000,18.074,18.074,18.074,18.074,0,0
BGNCAD,D,19960229,000000,17.866,17.866,17.866,17.866,0,0
BGNCAD,D,19960301,000000,17.761,17.761,17.761,17.761,0,0
BGNCAD,D,19960304,000000,17.756,17.756,17.756,17.756,0,0
BGNCAD,D,19960305,000000,17.685,17.685,17.685,17.685,0,0
BGNCAD,D,19960306,000000,17.575,17.575,17.575,17.575,0,0
BGNCAD,D,19960307,000000,17.664,17.664,17.664,17.664,0,0
BGNCAD,D,19960308,000000,17.987,17.987,17.987,17.987,0,0
BGNCAD,D,19960311,000000,17.537,17.537,17.537,17.537,0,0
BGNCAD,D,19960312,000000,17.514,17.514,17.514,17.514,0,0
BGNCAD,D,19960313,000000,17.561,17.561,17.561,17.561,0,0
BGNCAD,D,19960314,000000,17.539,17.539,17.539,17.539,0,0
BGNCAD,D,19960315,000000,17.561,17.561,17.561,17.561,0,0
BGNCAD,D,19960318,000000,17.447,17.447,17.447,17.447,0,0
BGNCAD,D,19960319,000000,17.401,17.401,17.401,17.401,0,0
BGNCAD,D,19960320,000000,17.407,17.407,17.407,17.407,0,0
BGNCAD,D,19960321,000000,17.319,17.319,17.319,17.319,0,0
BGNCAD,D,19960322,000000,17.335,17.335,17.335,17.335,0,0
BGNCAD,D,19960325,000000,17.283,17.283,17.283,17.283,0,0
BGNCAD,D,19960326,000000,17.328,17.328,17.328,17.328,0,0
BGNCAD,D,19960327,000000,17.291,17.291,17.291,17.291,0,0
BGNCAD,D,19960328,000000,17.251,17.251,17.251,17.251,0,0
