<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNHUF,D,19951023,000000,1899.91,1899.91,1899.91,1899.91,0,0
BGNHUF,D,19951024,000000,1900.71,1900.71,1900.71,1900.71,0,0
BGNHUF,D,19951025,000000,1903.94,1903.94,1903.94,1903.94,0,0
BGNHUF,D,19951026,000000,1907.1,1907.1,1907.1,1907.1,0,0
BGNHUF,D,19951027,000000,1907.16,1907.16,1907.16,1907.16,0,0
BGNHUF,D,19951030,000000,1912.83,1912.83,1912.83,1912.83,0,0
BGNHUF,D,19951031,000000,1915.61,1915.61,1915.61,1915.61,0,0
BGNHUF,D,19951102,000000,1923.75,1923.75,1923.75,1923.75,0,0
BGNHUF,D,19951103,000000,1925.81,1925.81,1925.81,1925.81,0,0
BGNHUF,D,19951106,000000,1924.49,1924.49,1924.49,1924.49,0,0
BGNHUF,D,19951107,000000,1923.91,1923.91,1923.91,1923.91,0,0
BGNHUF,D,19951108,000000,1924.93,1924.93,1924.93,1924.93,0,0
BGNHUF,D,19951109,000000,1927.06,1927.06,1927.06,1927.06,0,0
BGNHUF,D,19951110,000000,1922.17,1922.17,1922.17,1922.17,0,0
BGNHUF,D,19951113,000000,1922.62,1922.62,1922.62,1922.62,0,0
BGNHUF,D,19951114,000000,1925.82,1925.82,1925.82,1925.82,0,0
BGNHUF,D,19951115,000000,1913.38,1913.38,1913.38,1913.38,0,0
BGNHUF,D,19951116,000000,1917.8,1917.8,1917.8,1917.8,0,0
BGNHUF,D,19951117,000000,1912.87,1912.87,1912.87,1912.87,0,0
BGNHUF,D,19951120,000000,1922.18,1922.18,1922.18,1922.18,0,0
BGNHUF,D,19951121,000000,1917.13,1917.13,1917.13,1917.13,0,0
BGNHUF,D,19951122,000000,1911.79,1911.79,1911.79,1911.79,0,0
BGNHUF,D,19951123,000000,1911.93,1911.93,1911.93,1911.93,0,0
BGNHUF,D,19951124,000000,1912.77,1912.77,1912.77,1912.77,0,0
BGNHUF,D,19951127,000000,1914.49,1914.49,1914.49,1914.49,0,0
BGNHUF,D,19951128,000000,1918.04,1918.04,1918.04,1918.04,0,0
BGNHUF,D,19951129,000000,1921.35,1921.35,1921.35,1921.35,0,0
BGNHUF,D,19951130,000000,1940.6,1940.6,1940.6,1940.6,0,0
BGNHUF,D,19951201,000000,1938.81,1938.81,1938.81,1938.81,0,0
BGNHUF,D,19951204,000000,1938.43,1938.43,1938.43,1938.43,0,0
BGNHUF,D,19951205,000000,1924.76,1924.76,1924.76,1924.76,0,0
BGNHUF,D,19951206,000000,1927.08,1927.08,1927.08,1927.08,0,0
BGNHUF,D,19951207,000000,1926.61,1926.61,1926.61,1926.61,0,0
BGNHUF,D,19951208,000000,1930.83,1930.83,1930.83,1930.83,0,0
BGNHUF,D,19951211,000000,1931.18,1931.18,1931.18,1931.18,0,0
BGNHUF,D,19951212,000000,1942.12,1942.12,1942.12,1942.12,0,0
BGNHUF,D,19951213,000000,1949.13,1949.13,1949.13,1949.13,0,0
BGNHUF,D,19951214,000000,1940.56,1940.56,1940.56,1940.56,0,0
BGNHUF,D,19951215,000000,1938.02,1938.02,1938.02,1938.02,0,0
BGNHUF,D,19951218,000000,1929.33,1929.33,1929.33,1929.33,0,0
BGNHUF,D,19951219,000000,1933.28,1933.28,1933.28,1933.28,0,0
BGNHUF,D,19951220,000000,1932.63,1932.63,1932.63,1932.63,0,0
BGNHUF,D,19951221,000000,1927.88,1927.88,1927.88,1927.88,0,0
BGNHUF,D,19951222,000000,1926.54,1926.54,1926.54,1926.54,0,0
BGNHUF,D,19951227,000000,1943.52,1943.52,1943.52,1943.52,0,0
BGNHUF,D,19951228,000000,1940.01,1940.01,1940.01,1940.01,0,0
BGNHUF,D,19951229,000000,1946.78,1946.78,1946.78,1946.78,0,0
BGNHUF,D,19960102,000000,1933.96,1933.96,1933.96,1933.96,0,0
BGNHUF,D,19960103,000000,1926.8,1926.8,1926.8,1926.8,0,0
BGNHUF,D,19960104,000000,1917.54,1917.54,1917.54,1917.54,0,0
BGNHUF,D,19960105,000000,1888.13,1888.13,1888.13,1888.13,0,0
BGNHUF,D,19960108,000000,1882.8,1882.8,1882.8,1882.8,0,0
BGNHUF,D,19960109,000000,1876.88,1876.88,1876.88,1876.88,0,0
BGNHUF,D,19960110,000000,1884.49,1884.49,1884.49,1884.49,0,0
BGNHUF,D,19960111,000000,1881.55,1881.55,1881.55,1881.55,0,0
BGNHUF,D,19960112,000000,1899.24,1899.24,1899.24,1899.24,0,0
BGNHUF,D,19960115,000000,1896.21,1896.21,1896.21,1896.21,0,0
