<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNMYR,D,19951023,000000,36.749,36.749,36.749,36.749,0,0
BGNMYR,D,19951024,000000,36.83,36.83,36.83,36.83,0,0
BGNMYR,D,19951025,000000,36.959,36.959,36.959,36.959,0,0
BGNMYR,D,19951026,000000,37.028,37.028,37.028,37.028,0,0
BGNMYR,D,19951027,000000,36.893,36.893,36.893,36.893,0,0
BGNMYR,D,19951030,000000,37.058,37.058,37.058,37.058,0,0
BGNMYR,D,19951031,000000,37.022,37.022,37.022,37.022,0,0
BGNMYR,D,19951102,000000,37.021,37.021,37.021,37.021,0,0
BGNMYR,D,19951103,000000,37.018,37.018,37.018,37.018,0,0
BGNMYR,D,19951106,000000,36.962,36.962,36.962,36.962,0,0
BGNMYR,D,19951107,000000,36.975,36.975,36.975,36.975,0,0
BGNMYR,D,19951108,000000,36.875,36.875,36.875,36.875,0,0
BGNMYR,D,19951109,000000,36.776,36.776,36.776,36.776,0,0
BGNMYR,D,19951110,000000,36.777,36.777,36.777,36.777,0,0
BGNMYR,D,19951113,000000,36.777,36.777,36.777,36.777,0,0
BGNMYR,D,19951114,000000,36.684,36.684,36.684,36.684,0,0
BGNMYR,D,19951115,000000,36.685,36.685,36.685,36.685,0,0
BGNMYR,D,19951116,000000,36.654,36.654,36.654,36.654,0,0
BGNMYR,D,19951117,000000,36.567,36.567,36.567,36.567,0,0
BGNMYR,D,19951120,000000,36.639,36.639,36.639,36.639,0,0
BGNMYR,D,19951121,000000,36.623,36.623,36.623,36.623,0,0
BGNMYR,D,19951122,000000,36.622,36.622,36.622,36.622,0,0
BGNMYR,D,19951123,000000,36.529,36.529,36.529,36.529,0,0
BGNMYR,D,19951124,000000,36.523,36.523,36.523,36.523,0,0
BGNMYR,D,19951127,000000,36.469,36.469,36.469,36.469,0,0
BGNMYR,D,19951128,000000,36.421,36.421,36.421,36.421,0,0
BGNMYR,D,19951129,000000,36.433,36.433,36.433,36.433,0,0
BGNMYR,D,19951130,000000,36.307,36.307,36.307,36.307,0,0
