<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNNOK,D,19951023,000000,90.078,90.078,90.078,90.078,0,0
BGNNOK,D,19951024,000000,90.096,90.096,90.096,90.096,0,0
BGNNOK,D,19951025,000000,90.26,90.26,90.26,90.26,0,0
BGNNOK,D,19951026,000000,90.578,90.578,90.578,90.578,0,0
BGNNOK,D,19951027,000000,89.912,89.912,89.912,89.912,0,0
BGNNOK,D,19951030,000000,90.807,90.807,90.807,90.807,0,0
BGNNOK,D,19951031,000000,90.956,90.956,90.956,90.956,0,0
BGNNOK,D,19951102,000000,91.171,91.171,91.171,91.171,0,0
BGNNOK,D,19951103,000000,91.098,91.098,91.098,91.098,0,0
BGNNOK,D,19951106,000000,90.728,90.728,90.728,90.728,0,0
BGNNOK,D,19951107,000000,90.954,90.954,90.954,90.954,0,0
BGNNOK,D,19951108,000000,90.761,90.761,90.761,90.761,0,0
BGNNOK,D,19951109,000000,90.978,90.978,90.978,90.978,0,0
BGNNOK,D,19951110,000000,90.544,90.544,90.544,90.544,0,0
BGNNOK,D,19951113,000000,90.173,90.173,90.173,90.173,0,0
BGNNOK,D,19951114,000000,90.7,90.7,90.7,90.7,0,0
BGNNOK,D,19951115,000000,89.779,89.779,89.779,89.779,0,0
BGNNOK,D,19951116,000000,89.775,89.775,89.775,89.775,0,0
BGNNOK,D,19951117,000000,89.492,89.492,89.492,89.492,0,0
BGNNOK,D,19951120,000000,90.067,90.067,90.067,90.067,0,0
BGNNOK,D,19951121,000000,89.744,89.744,89.744,89.744,0,0
BGNNOK,D,19951122,000000,89.662,89.662,89.662,89.662,0,0
BGNNOK,D,19951123,000000,89.602,89.602,89.602,89.602,0,0
BGNNOK,D,19951124,000000,89.649,89.649,89.649,89.649,0,0
BGNNOK,D,19951127,000000,90.272,90.272,90.272,90.272,0,0
BGNNOK,D,19951128,000000,90.495,90.495,90.495,90.495,0,0
BGNNOK,D,19951129,000000,90.714,90.714,90.714,90.714,0,0
BGNNOK,D,19951130,000000,90.799,90.799,90.799,90.799,0,0
BGNNOK,D,19951201,000000,91.237,91.237,91.237,91.237,0,0
BGNNOK,D,19951204,000000,90.386,90.386,90.386,90.386,0,0
BGNNOK,D,19951205,000000,90.28,90.28,90.28,90.28,0,0
BGNNOK,D,19951206,000000,90.586,90.586,90.586,90.586,0,0
BGNNOK,D,19951207,000000,90.188,90.188,90.188,90.188,0,0
BGNNOK,D,19951208,000000,90.432,90.432,90.432,90.432,0,0
BGNNOK,D,19951211,000000,90.795,90.795,90.795,90.795,0,0
BGNNOK,D,19951212,000000,90.986,90.986,90.986,90.986,0,0
BGNNOK,D,19951213,000000,91.393,91.393,91.393,91.393,0,0
BGNNOK,D,19951214,000000,90.968,90.968,90.968,90.968,0,0
BGNNOK,D,19951215,000000,90.6,90.6,90.6,90.6,0,0
BGNNOK,D,19951218,000000,90.286,90.286,90.286,90.286,0,0
BGNNOK,D,19951219,000000,90.268,90.268,90.268,90.268,0,0
BGNNOK,D,19951220,000000,90.576,90.576,90.576,90.576,0,0
BGNNOK,D,19951221,000000,90.223,90.223,90.223,90.223,0,0
BGNNOK,D,19951222,000000,90.149,90.149,90.149,90.149,0,0
BGNNOK,D,19951227,000000,89.704,89.704,89.704,89.704,0,0
BGNNOK,D,19951228,000000,89.3,89.3,89.3,89.3,0,0
BGNNOK,D,19951229,000000,89.275,89.275,89.275,89.275,0,0
BGNNOK,D,19960102,000000,89.069,89.069,89.069,89.069,0,0
BGNNOK,D,19960103,000000,89.073,89.073,89.073,89.073,0,0
BGNNOK,D,19960104,000000,89.263,89.263,89.263,89.263,0,0
BGNNOK,D,19960105,000000,88.439,88.439,88.439,88.439,0,0
BGNNOK,D,19960108,000000,87.803,87.803,87.803,87.803,0,0
BGNNOK,D,19960109,000000,87.647,87.647,87.647,87.647,0,0
BGNNOK,D,19960110,000000,87.654,87.654,87.654,87.654,0,0
BGNNOK,D,19960111,000000,87.308,87.308,87.308,87.308,0,0
BGNNOK,D,19960112,000000,87.596,87.596,87.596,87.596,0,0
BGNNOK,D,19960115,000000,87.244,87.244,87.244,87.244,0,0
BGNNOK,D,19960116,000000,87.699,87.699,87.699,87.699,0,0
BGNNOK,D,19960117,000000,88.121,88.121,88.121,88.121,0,0
BGNNOK,D,19960118,000000,88.343,88.343,88.343,88.343,0,0
BGNNOK,D,19960119,000000,88.558,88.558,88.558,88.558,0,0
BGNNOK,D,19960122,000000,88.642,88.642,88.642,88.642,0,0
BGNNOK,D,19960123,000000,88.376,88.376,88.376,88.376,0,0
BGNNOK,D,19960124,000000,88.846,88.846,88.846,88.846,0,0
BGNNOK,D,19960125,000000,88.081,88.081,88.081,88.081,0,0
BGNNOK,D,19960126,000000,88.363,88.363,88.363,88.363,0,0
BGNNOK,D,19960129,000000,88.517,88.517,88.517,88.517,0,0
BGNNOK,D,19960130,000000,88.153,88.153,88.153,88.153,0,0
BGNNOK,D,19960131,000000,88.066,88.066,88.066,88.066,0,0
BGNNOK,D,19960201,000000,87.622,87.622,87.622,87.622,0,0
BGNNOK,D,19960202,000000,88.132,88.132,88.132,88.132,0,0
BGNNOK,D,19960205,000000,87.232,87.232,87.232,87.232,0,0
BGNNOK,D,19960206,000000,87.103,87.103,87.103,87.103,0,0
BGNNOK,D,19960207,000000,87.434,87.434,87.434,87.434,0,0
BGNNOK,D,19960208,000000,87.149,87.149,87.149,87.149,0,0
BGNNOK,D,19960209,000000,86.76,86.76,86.76,86.76,0,0
BGNNOK,D,19960212,000000,86.73,86.73,86.73,86.73,0,0
BGNNOK,D,19960213,000000,86.74,86.74,86.74,86.74,0,0
BGNNOK,D,19960214,000000,86.398,86.398,86.398,86.398,0,0
BGNNOK,D,19960215,000000,86.029,86.029,86.029,86.029,0,0
BGNNOK,D,19960216,000000,85.688,85.688,85.688,85.688,0,0
BGNNOK,D,19960219,000000,83.99,83.99,83.99,83.99,0,0
