<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNRON,D,19951023,000000,3.2422,3.2422,3.2422,3.2422,0,0
BGNRON,D,19951024,000000,3.2435,3.2435,3.2435,3.2435,0,0
BGNRON,D,19951025,000000,3.2628,3.2628,3.2628,3.2628,0,0
BGNRON,D,19951026,000000,3.2595,3.2595,3.2595,3.2595,0,0
BGNRON,D,19951027,000000,3.2575,3.2575,3.2575,3.2575,0,0
BGNRON,D,19951030,000000,3.2653,3.2653,3.2653,3.2653,0,0
BGNRON,D,19951031,000000,3.2648,3.2648,3.2648,3.2648,0,0
BGNRON,D,19951102,000000,3.3033,3.3033,3.3033,3.3033,0,0
BGNRON,D,19951103,000000,3.3423,3.3423,3.3423,3.3423,0,0
BGNRON,D,19951106,000000,3.345,3.345,3.345,3.345,0,0
BGNRON,D,19951107,000000,3.4155,3.4155,3.4155,3.4155,0,0
BGNRON,D,19951108,000000,3.3901,3.3901,3.3901,3.3901,0,0
BGNRON,D,19951109,000000,3.4106,3.4106,3.4106,3.4106,0,0
BGNRON,D,19951110,000000,3.4413,3.4413,3.4413,3.4413,0,0
BGNRON,D,19951113,000000,3.4415,3.4415,3.4415,3.4415,0,0
BGNRON,D,19951114,000000,3.4432,3.4432,3.4432,3.4432,0,0
BGNRON,D,19951115,000000,3.4478,3.4478,3.4478,3.4478,0,0
BGNRON,D,19951116,000000,3.5528,3.5528,3.5528,3.5528,0,0
BGNRON,D,19951117,000000,3.6844,3.6844,3.6844,3.6844,0,0
BGNRON,D,19951120,000000,3.6818,3.6818,3.6818,3.6818,0,0
BGNRON,D,19951121,000000,3.6754,3.6754,3.6754,3.6754,0,0
BGNRON,D,19951122,000000,3.6754,3.6754,3.6754,3.6754,0,0
BGNRON,D,19951123,000000,3.6696,3.6696,3.6696,3.6696,0,0
BGNRON,D,19951124,000000,3.6643,3.6643,3.6643,3.6643,0,0
BGNRON,D,19951127,000000,3.6478,3.6478,3.6478,3.6478,0,0
BGNRON,D,19951128,000000,3.6968,3.6968,3.6968,3.6968,0,0
BGNRON,D,19951129,000000,3.6461,3.6461,3.6461,3.6461,0,0
BGNRON,D,19951130,000000,3.6358,3.6358,3.6358,3.6358,0,0
BGNRON,D,19951201,000000,3.6312,3.6312,3.6312,3.6312,0,0
BGNRON,D,19951204,000000,3.6857,3.6857,3.6857,3.6857,0,0
BGNRON,D,19951205,000000,3.705,3.705,3.705,3.705,0,0
BGNRON,D,19951206,000000,3.6672,3.6672,3.6672,3.6672,0,0
BGNRON,D,19951207,000000,3.7219,3.7219,3.7219,3.7219,0,0
BGNRON,D,19951208,000000,3.7003,3.7003,3.7003,3.7003,0,0
BGNRON,D,19951211,000000,3.7155,3.7155,3.7155,3.7155,0,0
BGNRON,D,19951212,000000,3.6891,3.6891,3.6891,3.6891,0,0
BGNRON,D,19951213,000000,3.7048,3.7048,3.7048,3.7048,0,0
BGNRON,D,19951214,000000,3.6832,3.6832,3.6832,3.6832,0,0
BGNRON,D,19951215,000000,3.71,3.71,3.71,3.71,0,0
BGNRON,D,19951218,000000,3.7111,3.7111,3.7111,3.7111,0,0
BGNRON,D,19951219,000000,3.7127,3.7127,3.7127,3.7127,0,0
BGNRON,D,19951220,000000,3.7095,3.7095,3.7095,3.7095,0,0
BGNRON,D,19951221,000000,3.6985,3.6985,3.6985,3.6985,0,0
BGNRON,D,19951222,000000,3.6943,3.6943,3.6943,3.6943,0,0
BGNRON,D,19951227,000000,3.6943,3.6943,3.6943,3.6943,0,0
BGNRON,D,19951228,000000,3.6844,3.6844,3.6844,3.6844,0,0
BGNRON,D,19951229,000000,3.7103,3.7103,3.7103,3.7103,0,0
BGNRON,D,19960102,000000,3.7082,3.7082,3.7082,3.7082,0,0
BGNRON,D,19960103,000000,3.6912,3.6912,3.6912,3.6912,0,0
BGNRON,D,19960104,000000,3.6681,3.6681,3.6681,3.6681,0,0
BGNRON,D,19960105,000000,3.6636,3.6636,3.6636,3.6636,0,0
BGNRON,D,19960108,000000,3.6322,3.6322,3.6322,3.6322,0,0
BGNRON,D,19960109,000000,3.6337,3.6337,3.6337,3.6337,0,0
BGNRON,D,19960110,000000,3.6842,3.6842,3.6842,3.6842,0,0
BGNRON,D,19960111,000000,3.6213,3.6213,3.6213,3.6213,0,0
BGNRON,D,19960112,000000,3.6473,3.6473,3.6473,3.6473,0,0
BGNRON,D,19960115,000000,3.682,3.682,3.682,3.682,0,0
BGNRON,D,19960116,000000,3.6862,3.6862,3.6862,3.6862,0,0
BGNRON,D,19960117,000000,3.6585,3.6585,3.6585,3.6585,0,0
BGNRON,D,19960118,000000,3.6926,3.6926,3.6926,3.6926,0,0
BGNRON,D,19960119,000000,3.6795,3.6795,3.6795,3.6795,0,0
BGNRON,D,19960122,000000,3.6627,3.6627,3.6627,3.6627,0,0
BGNRON,D,19960123,000000,3.6095,3.6095,3.6095,3.6095,0,0
BGNRON,D,19960124,000000,3.7561,3.7561,3.7561,3.7561,0,0
BGNRON,D,19960125,000000,3.8367,3.8367,3.8367,3.8367,0,0
BGNRON,D,19960126,000000,3.8334,3.8334,3.8334,3.8334,0,0
BGNRON,D,19960129,000000,3.8404,3.8404,3.8404,3.8404,0,0
BGNRON,D,19960130,000000,3.7575,3.7575,3.7575,3.7575,0,0
BGNRON,D,19960131,000000,3.7297,3.7297,3.7297,3.7297,0,0
BGNRON,D,19960201,000000,3.7289,3.7289,3.7289,3.7289,0,0
BGNRON,D,19960202,000000,3.7458,3.7458,3.7458,3.7458,0,0
BGNRON,D,19960205,000000,3.7566,3.7566,3.7566,3.7566,0,0
BGNRON,D,19960206,000000,3.7632,3.7632,3.7632,3.7632,0,0
BGNRON,D,19960207,000000,3.7612,3.7612,3.7612,3.7612,0,0
BGNRON,D,19960208,000000,3.752,3.752,3.752,3.752,0,0
BGNRON,D,19960209,000000,3.8264,3.8264,3.8264,3.8264,0,0
BGNRON,D,19960212,000000,3.783,3.783,3.783,3.783,0,0
BGNRON,D,19960213,000000,3.8645,3.8645,3.8645,3.8645,0,0
BGNRON,D,19960214,000000,3.8749,3.8749,3.8749,3.8749,0,0
BGNRON,D,19960215,000000,3.8895,3.8895,3.8895,3.8895,0,0
BGNRON,D,19960216,000000,3.8822,3.8822,3.8822,3.8822,0,0
BGNRON,D,19960219,000000,3.9096,3.9096,3.9096,3.9096,0,0
BGNRON,D,19960220,000000,3.882,3.882,3.882,3.882,0,0
BGNRON,D,19960221,000000,3.8646,3.8646,3.8646,3.8646,0,0
BGNRON,D,19960222,000000,3.8503,3.8503,3.8503,3.8503,0,0
BGNRON,D,19960223,000000,3.8235,3.8235,3.8235,3.8235,0,0
BGNRON,D,19960226,000000,3.8105,3.8105,3.8105,3.8105,0,0
BGNRON,D,19960227,000000,3.7965,3.7965,3.7965,3.7965,0,0
BGNRON,D,19960228,000000,3.8527,3.8527,3.8527,3.8527,0,0
BGNRON,D,19960229,000000,3.724,3.724,3.724,3.724,0,0
BGNRON,D,19960301,000000,3.809,3.809,3.809,3.809,0,0
BGNRON,D,19960304,000000,3.7558,3.7558,3.7558,3.7558,0,0
BGNRON,D,19960305,000000,3.8315,3.8315,3.8315,3.8315,0,0
BGNRON,D,19960306,000000,3.7252,3.7252,3.7252,3.7252,0,0
BGNRON,D,19960307,000000,3.7568,3.7568,3.7568,3.7568,0,0
BGNRON,D,19960308,000000,3.9193,3.9193,3.9193,3.9193,0,0
BGNRON,D,19960311,000000,3.7819,3.7819,3.7819,3.7819,0,0
BGNRON,D,19960312,000000,3.7882,3.7882,3.7882,3.7882,0,0
BGNRON,D,19960313,000000,3.8893,3.8893,3.8893,3.8893,0,0
BGNRON,D,19960314,000000,3.6612,3.6612,3.6612,3.6612,0,0
BGNRON,D,19960315,000000,3.713,3.713,3.713,3.713,0,0
BGNRON,D,19960318,000000,3.7996,3.7996,3.7996,3.7996,0,0
BGNRON,D,19960319,000000,3.7801,3.7801,3.7801,3.7801,0,0
BGNRON,D,19960320,000000,3.8668,3.8668,3.8668,3.8668,0,0
BGNRON,D,19960321,000000,3.7885,3.7885,3.7885,3.7885,0,0
BGNRON,D,19960322,000000,3.7639,3.7639,3.7639,3.7639,0,0
BGNRON,D,19960325,000000,3.6863,3.6863,3.6863,3.6863,0,0
BGNRON,D,19960326,000000,3.7026,3.7026,3.7026,3.7026,0,0
BGNRON,D,19960327,000000,3.6835,3.6835,3.6835,3.6835,0,0
BGNRON,D,19960328,000000,3.6749,3.6749,3.6749,3.6749,0,0
BGNRON,D,19960329,000000,3.6786,3.6786,3.6786,3.6786,0,0
BGNRON,D,19960401,000000,3.6749,3.6749,3.6749,3.6749,0,0
BGNRON,D,19960402,000000,3.6784,3.6784,3.6784,3.6784,0,0
BGNRON,D,19960403,000000,3.6722,3.6722,3.6722,3.6722,0,0
BGNRON,D,19960404,000000,3.6691,3.6691,3.6691,3.6691,0,0
BGNRON,D,19960405,000000,3.6708,3.6708,3.6708,3.6708,0,0
BGNRON,D,19960409,000000,3.6667,3.6667,3.6667,3.6667,0,0
BGNRON,D,19960410,000000,3.6649,3.6649,3.6649,3.6649,0,0
BGNRON,D,19960411,000000,3.6633,3.6633,3.6633,3.6633,0,0
BGNRON,D,19960412,000000,3.6608,3.6608,3.6608,3.6608,0,0
BGNRON,D,19960415,000000,3.6466,3.6466,3.6466,3.6466,0,0
BGNRON,D,19960416,000000,3.6254,3.6254,3.6254,3.6254,0,0
BGNRON,D,19960417,000000,3.5926,3.5926,3.5926,3.5926,0,0
BGNRON,D,19960418,000000,3.5187,3.5187,3.5187,3.5187,0,0
BGNRON,D,19960419,000000,3.4868,3.4868,3.4868,3.4868,0,0
BGNRON,D,19960422,000000,3.4475,3.4475,3.4475,3.4475,0,0
