<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNTRY,D,19951023,000000,0.732,0.732,0.732,0.732,0,0
BGNTRY,D,19951024,000000,0.7359,0.7359,0.7359,0.7359,0,0
BGNTRY,D,19951025,000000,0.7343,0.7343,0.7343,0.7343,0,0
BGNTRY,D,19951026,000000,0.735,0.735,0.735,0.735,0,0
BGNTRY,D,19951027,000000,0.7404,0.7404,0.7404,0.7404,0,0
BGNTRY,D,19951030,000000,0.7434,0.7434,0.7434,0.7434,0,0
BGNTRY,D,19951031,000000,0.7419,0.7419,0.7419,0.7419,0,0
BGNTRY,D,19951102,000000,0.7465,0.7465,0.7465,0.7465,0,0
BGNTRY,D,19951103,000000,0.7507,0.7507,0.7507,0.7507,0,0
BGNTRY,D,19951106,000000,0.7493,0.7493,0.7493,0.7493,0,0
BGNTRY,D,19951107,000000,0.7508,0.7508,0.7508,0.7508,0,0
BGNTRY,D,19951108,000000,0.7522,0.7522,0.7522,0.7522,0,0
BGNTRY,D,19951109,000000,0.7526,0.7526,0.7526,0.7526,0,0
BGNTRY,D,19951110,000000,0.7507,0.7507,0.7507,0.7507,0,0
BGNTRY,D,19951113,000000,0.7521,0.7521,0.7521,0.7521,0,0
BGNTRY,D,19951114,000000,0.7563,0.7563,0.7563,0.7563,0,0
BGNTRY,D,19951115,000000,0.7562,0.7562,0.7562,0.7562,0,0
BGNTRY,D,19951116,000000,0.7583,0.7583,0.7583,0.7583,0,0
BGNTRY,D,19951117,000000,0.7571,0.7571,0.7571,0.7571,0,0
BGNTRY,D,19951120,000000,0.7638,0.7638,0.7638,0.7638,0,0
BGNTRY,D,19951121,000000,0.7625,0.7625,0.7625,0.7625,0,0
BGNTRY,D,19951122,000000,0.7639,0.7639,0.7639,0.7639,0,0
BGNTRY,D,19951123,000000,0.7627,0.7627,0.7627,0.7627,0,0
BGNTRY,D,19951124,000000,0.7717,0.7717,0.7717,0.7717,0,0
BGNTRY,D,19951127,000000,0.7748,0.7748,0.7748,0.7748,0,0
BGNTRY,D,19951128,000000,0.7781,0.7781,0.7781,0.7781,0,0
BGNTRY,D,19951129,000000,0.7794,0.7794,0.7794,0.7794,0,0
BGNTRY,D,19951130,000000,0.7801,0.7801,0.7801,0.7801,0,0
BGNTRY,D,19951201,000000,0.7849,0.7849,0.7849,0.7849,0,0
BGNTRY,D,19951204,000000,0.7829,0.7829,0.7829,0.7829,0,0
BGNTRY,D,19951205,000000,0.7853,0.7853,0.7853,0.7853,0,0
BGNTRY,D,19951206,000000,0.7877,0.7877,0.7877,0.7877,0,0
BGNTRY,D,19951207,000000,0.7894,0.7894,0.7894,0.7894,0,0
