<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNTWD,D,19951023,000000,394.85,394.85,394.85,394.85,0,0
BGNTWD,D,19951024,000000,393.03,393.03,393.03,393.03,0,0
BGNTWD,D,19951025,000000,393.43,393.43,393.43,393.43,0,0
BGNTWD,D,19951026,000000,393.4,393.4,393.4,393.4,0,0
BGNTWD,D,19951027,000000,391.54,391.54,391.54,391.54,0,0
BGNTWD,D,19951030,000000,394.27,394.27,394.27,394.27,0,0
BGNTWD,D,19951031,000000,393.27,393.27,393.27,393.27,0,0
BGNTWD,D,19951102,000000,396.27,396.27,396.27,396.27,0,0
BGNTWD,D,19951103,000000,397.03,397.03,397.03,397.03,0,0
BGNTWD,D,19951106,000000,395.81,395.81,395.81,395.81,0,0
BGNTWD,D,19951107,000000,395.51,395.51,395.51,395.51,0,0
BGNTWD,D,19951108,000000,395.97,395.97,395.97,395.97,0,0
BGNTWD,D,19951109,000000,395.99,395.99,395.99,395.99,0,0
BGNTWD,D,19951110,000000,395.01,395.01,395.01,395.01,0,0
BGNTWD,D,19951113,000000,394.23,394.23,394.23,394.23,0,0
BGNTWD,D,19951114,000000,395.26,395.26,395.26,395.26,0,0
BGNTWD,D,19951115,000000,394.52,394.52,394.52,394.52,0,0
BGNTWD,D,19951116,000000,394.57,394.57,394.57,394.57,0,0
BGNTWD,D,19951117,000000,393.98,393.98,393.98,393.98,0,0
BGNTWD,D,19951120,000000,395.15,395.15,395.15,395.15,0,0
BGNTWD,D,19951121,000000,393.69,393.69,393.69,393.69,0,0
BGNTWD,D,19951122,000000,394.67,394.67,394.67,394.67,0,0
BGNTWD,D,19951123,000000,389.59,389.59,389.59,389.59,0,0
BGNTWD,D,19951124,000000,392.06,392.06,392.06,392.06,0,0
BGNTWD,D,19951127,000000,390.87,390.87,390.87,390.87,0,0
BGNTWD,D,19951128,000000,391.27,391.27,391.27,391.27,0,0
BGNTWD,D,19951129,000000,391.16,391.16,391.16,391.16,0,0
BGNTWD,D,19951130,000000,389.42,389.42,389.42,389.42,0,0
BGNTWD,D,19951201,000000,392.01,392.01,392.01,392.01,0,0
BGNTWD,D,19951204,000000,389.9,389.9,389.9,389.9,0,0
BGNTWD,D,19951205,000000,389.75,389.75,389.75,389.75,0,0
BGNTWD,D,19951206,000000,389.12,389.12,389.12,389.12,0,0
BGNTWD,D,19951207,000000,389.13,389.13,389.13,389.13,0,0
BGNTWD,D,19951208,000000,387.66,387.66,387.66,387.66,0,0
BGNTWD,D,19951211,000000,389.23,389.23,389.23,389.23,0,0
BGNTWD,D,19951212,000000,389,389,389,389,0,0
BGNTWD,D,19951213,000000,389.3,389.3,389.3,389.3,0,0
BGNTWD,D,19951214,000000,389.48,389.48,389.48,389.48,0,0
BGNTWD,D,19951215,000000,388.29,388.29,388.29,388.29,0,0
BGNTWD,D,19951218,000000,390.14,390.14,390.14,390.14,0,0
BGNTWD,D,19951219,000000,389.07,389.07,389.07,389.07,0,0
BGNTWD,D,19951220,000000,388.31,388.31,388.31,388.31,0,0
BGNTWD,D,19951221,000000,387.35,387.35,387.35,387.35,0,0
BGNTWD,D,19951222,000000,386.95,386.95,386.95,386.95,0,0
BGNTWD,D,19951227,000000,386.56,386.56,386.56,386.56,0,0
BGNTWD,D,19951228,000000,385.68,385.68,385.68,385.68,0,0
BGNTWD,D,19951229,000000,385.83,385.83,385.83,385.83,0,0
