<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLCLP,D,19950103,000000,477.16,477.16,477.16,477.16,0,0
BRLCLP,D,19950104,000000,476.8,476.8,476.8,476.8,0,0
BRLCLP,D,19950105,000000,479.66,479.66,479.66,479.66,0,0
BRLCLP,D,19950106,000000,482.5,482.5,482.5,482.5,0,0
BRLCLP,D,19950109,000000,479.32,479.32,479.32,479.32,0,0
BRLCLP,D,19950110,000000,477.62,477.62,477.62,477.62,0,0
BRLCLP,D,19950111,000000,477.91,477.91,477.91,477.91,0,0
BRLCLP,D,19950112,000000,479.71,479.71,479.71,479.71,0,0
BRLCLP,D,19950113,000000,477.51,477.51,477.51,477.51,0,0
BRLCLP,D,19950116,000000,477.8,477.8,477.8,477.8,0,0
BRLCLP,D,19950117,000000,478.61,478.61,478.61,478.61,0,0
BRLCLP,D,19950118,000000,479.37,479.37,479.37,479.37,0,0
BRLCLP,D,19950119,000000,478.65,478.65,478.65,478.65,0,0
BRLCLP,D,19950120,000000,481.08,481.08,481.08,481.08,0,0
BRLCLP,D,19950123,000000,480.35,480.35,480.35,480.35,0,0
BRLCLP,D,19950124,000000,478.38,478.38,478.38,478.38,0,0
BRLCLP,D,19950125,000000,477.44,477.44,477.44,477.44,0,0
BRLCLP,D,19950126,000000,481.66,481.66,481.66,481.66,0,0
BRLCLP,D,19950127,000000,483.18,483.18,483.18,483.18,0,0
BRLCLP,D,19950130,000000,484.22,484.22,484.22,484.22,0,0
BRLCLP,D,19950131,000000,487.81,487.81,487.81,487.81,0,0
BRLCLP,D,19950201,000000,483.97,483.97,483.97,483.97,0,0
BRLCLP,D,19950202,000000,487.34,487.34,487.34,487.34,0,0
BRLCLP,D,19950203,000000,487.79,487.79,487.79,487.79,0,0
BRLCLP,D,19950206,000000,490.49,490.49,490.49,490.49,0,0
BRLCLP,D,19950207,000000,490.82,490.82,490.82,490.82,0,0
BRLCLP,D,19950208,000000,490,490,490,490,0,0
BRLCLP,D,19950209,000000,491.24,491.24,491.24,491.24,0,0
BRLCLP,D,19950210,000000,492.8,492.8,492.8,492.8,0,0
BRLCLP,D,19950213,000000,494.41,494.41,494.41,494.41,0,0
BRLCLP,D,19950214,000000,494.16,494.16,494.16,494.16,0,0
BRLCLP,D,19950215,000000,494.31,494.31,494.31,494.31,0,0
BRLCLP,D,19950216,000000,494.55,494.55,494.55,494.55,0,0
BRLCLP,D,19950217,000000,492.5,492.5,492.5,492.5,0,0
BRLCLP,D,19950220,000000,497.92,497.92,497.92,497.92,0,0
BRLCLP,D,19950221,000000,493.05,493.05,493.05,493.05,0,0
BRLCLP,D,19950222,000000,487.33,487.33,487.33,487.33,0,0
BRLCLP,D,19950223,000000,486.78,486.78,486.78,486.78,0,0
BRLCLP,D,19950224,000000,481.94,481.94,481.94,481.94,0,0
