<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLDKK,D,19950103,000000,7.2336,7.2336,7.2336,7.2336,0,0
BRLDKK,D,19950104,000000,7.2425,7.2425,7.2425,7.2425,0,0
BRLDKK,D,19950105,000000,7.2713,7.2713,7.2713,7.2713,0,0
BRLDKK,D,19950106,000000,7.2767,7.2767,7.2767,7.2767,0,0
BRLDKK,D,19950109,000000,7.2231,7.2231,7.2231,7.2231,0,0
BRLDKK,D,19950110,000000,7.2325,7.2325,7.2325,7.2325,0,0
BRLDKK,D,19950111,000000,7.1182,7.1182,7.1182,7.1182,0,0
BRLDKK,D,19950112,000000,7.1586,7.1586,7.1586,7.1586,0,0
BRLDKK,D,19950113,000000,7.1609,7.1609,7.1609,7.1609,0,0
BRLDKK,D,19950116,000000,7.1305,7.1305,7.1305,7.1305,0,0
BRLDKK,D,19950117,000000,7.153,7.153,7.153,7.153,0,0
BRLDKK,D,19950118,000000,7.1265,7.1265,7.1265,7.1265,0,0
BRLDKK,D,19950119,000000,7.0971,7.0971,7.0971,7.0971,0,0
BRLDKK,D,19950120,000000,7.1295,7.1295,7.1295,7.1295,0,0
BRLDKK,D,19950123,000000,7.0284,7.0284,7.0284,7.0284,0,0
BRLDKK,D,19950124,000000,7.0204,7.0204,7.0204,7.0204,0,0
BRLDKK,D,19950125,000000,7.0005,7.0005,7.0005,7.0005,0,0
BRLDKK,D,19950126,000000,7.0381,7.0381,7.0381,7.0381,0,0
BRLDKK,D,19950127,000000,7.0918,7.0918,7.0918,7.0918,0,0
BRLDKK,D,19950130,000000,7.0695,7.0695,7.0695,7.0695,0,0
BRLDKK,D,19950131,000000,7.1066,7.1066,7.1066,7.1066,0,0
BRLDKK,D,19950201,000000,7.0752,7.0752,7.0752,7.0752,0,0
BRLDKK,D,19950202,000000,7.1643,7.1643,7.1643,7.1643,0,0
BRLDKK,D,19950203,000000,7.1444,7.1444,7.1444,7.1444,0,0
BRLDKK,D,19950206,000000,7.1674,7.1674,7.1674,7.1674,0,0
BRLDKK,D,19950207,000000,7.2102,7.2102,7.2102,7.2102,0,0
BRLDKK,D,19950208,000000,7.23,7.23,7.23,7.23,0,0
BRLDKK,D,19950209,000000,7.2473,7.2473,7.2473,7.2473,0,0
BRLDKK,D,19950210,000000,7.2271,7.2271,7.2271,7.2271,0,0
BRLDKK,D,19950213,000000,7.2365,7.2365,7.2365,7.2365,0,0
BRLDKK,D,19950214,000000,7.1718,7.1718,7.1718,7.1718,0,0
BRLDKK,D,19950215,000000,7.1599,7.1599,7.1599,7.1599,0,0
BRLDKK,D,19950216,000000,7.0381,7.0381,7.0381,7.0381,0,0
BRLDKK,D,19950217,000000,6.9538,6.9538,6.9538,6.9538,0,0
BRLDKK,D,19950220,000000,6.9724,6.9724,6.9724,6.9724,0,0
BRLDKK,D,19950221,000000,6.9166,6.9166,6.9166,6.9166,0,0
