<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLHRK,D,19951023,000000,5.4738,5.4738,5.4738,5.4738,0,0
BRLHRK,D,19951024,000000,5.4721,5.4721,5.4721,5.4721,0,0
BRLHRK,D,19951025,000000,5.3423,5.3423,5.3423,5.3423,0,0
BRLHRK,D,19951026,000000,5.3594,5.3594,5.3594,5.3594,0,0
BRLHRK,D,19951027,000000,5.3593,5.3593,5.3593,5.3593,0,0
BRLHRK,D,19951030,000000,5.3636,5.3636,5.3636,5.3636,0,0
BRLHRK,D,19951031,000000,5.3598,5.3598,5.3598,5.3598,0,0
BRLHRK,D,19951102,000000,5.4223,5.4223,5.4223,5.4223,0,0
BRLHRK,D,19951103,000000,5.4563,5.4563,5.4563,5.4563,0,0
BRLHRK,D,19951106,000000,5.4581,5.4581,5.4581,5.4581,0,0
BRLHRK,D,19951107,000000,5.4363,5.4363,5.4363,5.4363,0,0
BRLHRK,D,19951108,000000,5.4362,5.4362,5.4362,5.4362,0,0
BRLHRK,D,19951109,000000,5.4712,5.4712,5.4712,5.4712,0,0
BRLHRK,D,19951110,000000,5.4712,5.4712,5.4712,5.4712,0,0
BRLHRK,D,19951113,000000,5.4672,5.4672,5.4672,5.4672,0,0
BRLHRK,D,19951114,000000,5.461,5.461,5.461,5.461,0,0
BRLHRK,D,19951115,000000,5.4638,5.4638,5.4638,5.4638,0,0
BRLHRK,D,19951116,000000,5.4627,5.4627,5.4627,5.4627,0,0
BRLHRK,D,19951117,000000,5.4684,5.4684,5.4684,5.4684,0,0
BRLHRK,D,19951120,000000,5.4638,5.4638,5.4638,5.4638,0,0
BRLHRK,D,19951121,000000,5.4542,5.4542,5.4542,5.4542,0,0
BRLHRK,D,19951122,000000,5.4513,5.4513,5.4513,5.4513,0,0
BRLHRK,D,19951123,000000,5.4513,5.4513,5.4513,5.4513,0,0
BRLHRK,D,19951124,000000,5.4502,5.4502,5.4502,5.4502,0,0
BRLHRK,D,19951127,000000,5.4525,5.4525,5.4525,5.4525,0,0
BRLHRK,D,19951128,000000,5.4592,5.4592,5.4592,5.4592,0,0
BRLHRK,D,19951129,000000,5.4591,5.4591,5.4591,5.4591,0,0
BRLHRK,D,19951130,000000,5.4879,5.4879,5.4879,5.4879,0,0
BRLHRK,D,19951201,000000,5.4879,5.4879,5.4879,5.4879,0,0
BRLHRK,D,19951204,000000,5.5435,5.5435,5.5435,5.5435,0,0
BRLHRK,D,19951205,000000,5.496,5.496,5.496,5.496,0,0
BRLHRK,D,19951206,000000,5.4944,5.4944,5.4944,5.4944,0,0
BRLHRK,D,19951207,000000,5.4943,5.4943,5.4943,5.4943,0,0
BRLHRK,D,19951208,000000,5.4955,5.4955,5.4955,5.4955,0,0
BRLHRK,D,19951211,000000,5.5354,5.5354,5.5354,5.5354,0,0
BRLHRK,D,19951212,000000,5.5365,5.5365,5.5365,5.5365,0,0
BRLHRK,D,19951213,000000,5.5336,5.5336,5.5336,5.5336,0,0
BRLHRK,D,19951214,000000,5.5331,5.5331,5.5331,5.5331,0,0
BRLHRK,D,19951215,000000,5.5463,5.5463,5.5463,5.5463,0,0
BRLHRK,D,19951218,000000,5.5446,5.5446,5.5446,5.5446,0,0
BRLHRK,D,19951219,000000,5.5423,5.5423,5.5423,5.5423,0,0
BRLHRK,D,19951220,000000,5.5423,5.5423,5.5423,5.5423,0,0
BRLHRK,D,19951221,000000,5.5314,5.5314,5.5314,5.5314,0,0
BRLHRK,D,19951222,000000,5.5252,5.5252,5.5252,5.5252,0,0
BRLHRK,D,19951227,000000,5.5274,5.5274,5.5274,5.5274,0,0
BRLHRK,D,19951228,000000,5.4595,5.4595,5.4595,5.4595,0,0
BRLHRK,D,19951229,000000,5.4595,5.4595,5.4595,5.4595,0,0
BRLHRK,D,19960102,000000,5.4659,5.4659,5.4659,5.4659,0,0
BRLHRK,D,19960103,000000,5.4512,5.4512,5.4512,5.4512,0,0
BRLHRK,D,19960104,000000,5.4705,5.4705,5.4705,5.4705,0,0
BRLHRK,D,19960105,000000,5.4946,5.4946,5.4946,5.4946,0,0
BRLHRK,D,19960108,000000,5.4903,5.4903,5.4903,5.4903,0,0
BRLHRK,D,19960109,000000,5.4659,5.4659,5.4659,5.4659,0,0
BRLHRK,D,19960110,000000,5.481,5.481,5.481,5.481,0,0
BRLHRK,D,19960111,000000,5.4622,5.4622,5.4622,5.4622,0,0
BRLHRK,D,19960112,000000,5.4617,5.4617,5.4617,5.4617,0,0
BRLHRK,D,19960115,000000,5.4617,5.4617,5.4617,5.4617,0,0
BRLHRK,D,19960116,000000,5.4417,5.4417,5.4417,5.4417,0,0
BRLHRK,D,19960117,000000,5.4853,5.4853,5.4853,5.4853,0,0
BRLHRK,D,19960118,000000,5.5584,5.5584,5.5584,5.5584,0,0
BRLHRK,D,19960119,000000,5.5567,5.5567,5.5567,5.5567,0,0
BRLHRK,D,19960122,000000,5.5853,5.5853,5.5853,5.5853,0,0
BRLHRK,D,19960123,000000,5.5735,5.5735,5.5735,5.5735,0,0
BRLHRK,D,19960124,000000,5.5637,5.5637,5.5637,5.5637,0,0
BRLHRK,D,19960125,000000,5.6066,5.6066,5.6066,5.6066,0,0
BRLHRK,D,19960126,000000,5.5998,5.5998,5.5998,5.5998,0,0
BRLHRK,D,19960129,000000,5.6322,5.6322,5.6322,5.6322,0,0
BRLHRK,D,19960130,000000,5.6178,5.6178,5.6178,5.6178,0,0
BRLHRK,D,19960131,000000,5.5984,5.5984,5.5984,5.5984,0,0
BRLHRK,D,19960201,000000,5.5996,5.5996,5.5996,5.5996,0,0
BRLHRK,D,19960202,000000,5.5978,5.5978,5.5978,5.5978,0,0
BRLHRK,D,19960205,000000,5.616,5.616,5.616,5.616,0,0
BRLHRK,D,19960206,000000,5.6172,5.6172,5.6172,5.6172,0,0
BRLHRK,D,19960207,000000,5.5735,5.5735,5.5735,5.5735,0,0
BRLHRK,D,19960208,000000,5.5665,5.5665,5.5665,5.5665,0,0
BRLHRK,D,19960209,000000,5.5839,5.5839,5.5839,5.5839,0,0
BRLHRK,D,19960212,000000,5.5833,5.5833,5.5833,5.5833,0,0
BRLHRK,D,19960213,000000,5.5608,5.5608,5.5608,5.5608,0,0
BRLHRK,D,19960214,000000,5.5446,5.5446,5.5446,5.5446,0,0
BRLHRK,D,19960215,000000,5.5249,5.5249,5.5249,5.5249,0,0
BRLHRK,D,19960216,000000,5.5293,5.5293,5.5293,5.5293,0,0
BRLHRK,D,19960219,000000,5.5293,5.5293,5.5293,5.5293,0,0
BRLHRK,D,19960220,000000,5.5095,5.5095,5.5095,5.5095,0,0
BRLHRK,D,19960221,000000,5.4314,5.4314,5.4314,5.4314,0,0
BRLHRK,D,19960222,000000,5.4453,5.4453,5.4453,5.4453,0,0
BRLHRK,D,19960223,000000,5.4551,5.4551,5.4551,5.4551,0,0
BRLHRK,D,19960226,000000,5.4567,5.4567,5.4567,5.4567,0,0
BRLHRK,D,19960227,000000,5.4204,5.4204,5.4204,5.4204,0,0
BRLHRK,D,19960228,000000,5.4437,5.4437,5.4437,5.4437,0,0
BRLHRK,D,19960229,000000,5.4332,5.4332,5.4332,5.4332,0,0
BRLHRK,D,19960301,000000,5.4809,5.4809,5.4809,5.4809,0,0
BRLHRK,D,19960304,000000,5.4877,5.4877,5.4877,5.4877,0,0
BRLHRK,D,19960305,000000,5.5111,5.5111,5.5111,5.5111,0,0
BRLHRK,D,19960306,000000,5.5361,5.5361,5.5361,5.5361,0,0
BRLHRK,D,19960307,000000,5.5228,5.5228,5.5228,5.5228,0,0
BRLHRK,D,19960308,000000,5.5464,5.5464,5.5464,5.5464,0,0
BRLHRK,D,19960311,000000,5.5407,5.5407,5.5407,5.5407,0,0
BRLHRK,D,19960312,000000,5.5397,5.5397,5.5397,5.5397,0,0
BRLHRK,D,19960313,000000,5.5293,5.5293,5.5293,5.5293,0,0
BRLHRK,D,19960314,000000,5.5255,5.5255,5.5255,5.5255,0,0
BRLHRK,D,19960315,000000,5.4635,5.4635,5.4635,5.4635,0,0
BRLHRK,D,19960318,000000,5.4707,5.4707,5.4707,5.4707,0,0
BRLHRK,D,19960319,000000,5.4696,5.4696,5.4696,5.4696,0,0
BRLHRK,D,19960320,000000,5.4503,5.4503,5.4503,5.4503,0,0
BRLHRK,D,19960321,000000,5.4669,5.4669,5.4669,5.4669,0,0
BRLHRK,D,19960322,000000,5.4641,5.4641,5.4641,5.4641,0,0
BRLHRK,D,19960325,000000,5.4613,5.4613,5.4613,5.4613,0,0
BRLHRK,D,19960326,000000,5.4602,5.4602,5.4602,5.4602,0,0
BRLHRK,D,19960327,000000,5.4597,5.4597,5.4597,5.4597,0,0
BRLHRK,D,19960328,000000,5.4657,5.4657,5.4657,5.4657,0,0
BRLHRK,D,19960329,000000,5.4602,5.4602,5.4602,5.4602,0,0
BRLHRK,D,19960401,000000,5.4641,5.4641,5.4641,5.4641,0,0
BRLHRK,D,19960402,000000,5.4646,5.4646,5.4646,5.4646,0,0
BRLHRK,D,19960403,000000,5.4664,5.4664,5.4664,5.4664,0,0
BRLHRK,D,19960404,000000,5.4647,5.4647,5.4647,5.4647,0,0
BRLHRK,D,19960405,000000,5.4658,5.4658,5.4658,5.4658,0,0
BRLHRK,D,19960409,000000,5.4541,5.4541,5.4541,5.4541,0,0
BRLHRK,D,19960410,000000,5.453,5.453,5.453,5.453,0,0
BRLHRK,D,19960411,000000,5.441,5.441,5.441,5.441,0,0
BRLHRK,D,19960412,000000,5.4481,5.4481,5.4481,5.4481,0,0
BRLHRK,D,19960415,000000,5.4503,5.4503,5.4503,5.4503,0,0
BRLHRK,D,19960416,000000,5.452,5.452,5.452,5.452,0,0
BRLHRK,D,19960417,000000,5.4536,5.4536,5.4536,5.4536,0,0
BRLHRK,D,19960418,000000,5.4547,5.4547,5.4547,5.4547,0,0
BRLHRK,D,19960419,000000,5.4431,5.4431,5.4431,5.4431,0,0
BRLHRK,D,19960422,000000,5.442,5.442,5.442,5.442,0,0
BRLHRK,D,19960423,000000,5.4431,5.4431,5.4431,5.4431,0,0
BRLHRK,D,19960424,000000,5.4409,5.4409,5.4409,5.4409,0,0
BRLHRK,D,19960425,000000,5.4421,5.4421,5.4421,5.4421,0,0
BRLHRK,D,19960426,000000,5.4278,5.4278,5.4278,5.4278,0,0
BRLHRK,D,19960429,000000,5.4372,5.4372,5.4372,5.4372,0,0
BRLHRK,D,19960430,000000,5.4354,5.4354,5.4354,5.4354,0,0
BRLHRK,D,19960506,000000,5.4366,5.4366,5.4366,5.4366,0,0
BRLHRK,D,19960507,000000,5.43,5.43,5.43,5.43,0,0
BRLHRK,D,19960508,000000,5.436,5.436,5.436,5.436,0,0
BRLHRK,D,19960509,000000,5.4311,5.4311,5.4311,5.4311,0,0
BRLHRK,D,19960510,000000,5.4256,5.4256,5.4256,5.4256,0,0
BRLHRK,D,19960513,000000,5.4246,5.4246,5.4246,5.4246,0,0
BRLHRK,D,19960514,000000,5.411,5.411,5.411,5.411,0,0
BRLHRK,D,19960515,000000,5.4207,5.4207,5.4207,5.4207,0,0
BRLHRK,D,19960516,000000,5.4121,5.4121,5.4121,5.4121,0,0
BRLHRK,D,19960517,000000,5.4191,5.4191,5.4191,5.4191,0,0
BRLHRK,D,19960520,000000,5.5535,5.5535,5.5535,5.5535,0,0
BRLHRK,D,19960521,000000,5.5032,5.5032,5.5032,5.5032,0,0
BRLHRK,D,19960522,000000,5.5721,5.5721,5.5721,5.5721,0,0
BRLHRK,D,19960523,000000,5.5718,5.5718,5.5718,5.5718,0,0
BRLHRK,D,19960524,000000,5.5716,5.5716,5.5716,5.5716,0,0
BRLHRK,D,19960527,000000,5.5654,5.5654,5.5654,5.5654,0,0
BRLHRK,D,19960528,000000,5.5749,5.5749,5.5749,5.5749,0,0
BRLHRK,D,19960529,000000,5.5721,5.5721,5.5721,5.5721,0,0
BRLHRK,D,19960530,000000,5.5665,5.5665,5.5665,5.5665,0,0
BRLHRK,D,19960531,000000,5.5658,5.5658,5.5658,5.5658,0,0
BRLHRK,D,19960603,000000,5.498,5.498,5.498,5.498,0,0
BRLHRK,D,19960604,000000,5.4765,5.4765,5.4765,5.4765,0,0
BRLHRK,D,19960605,000000,5.4764,5.4764,5.4764,5.4764,0,0
BRLHRK,D,19960607,000000,5.4715,5.4715,5.4715,5.4715,0,0
BRLHRK,D,19960610,000000,5.4694,5.4694,5.4694,5.4694,0,0
BRLHRK,D,19960611,000000,5.4951,5.4951,5.4951,5.4951,0,0
BRLHRK,D,19960612,000000,5.4876,5.4876,5.4876,5.4876,0,0
BRLHRK,D,19960613,000000,5.488,5.488,5.488,5.488,0,0
BRLHRK,D,19960614,000000,5.4732,5.4732,5.4732,5.4732,0,0
BRLHRK,D,19960617,000000,5.4085,5.4085,5.4085,5.4085,0,0
BRLHRK,D,19960618,000000,5.4092,5.4092,5.4092,5.4092,0,0
BRLHRK,D,19960619,000000,5.3864,5.3864,5.3864,5.3864,0,0
BRLHRK,D,19960620,000000,5.4115,5.4115,5.4115,5.4115,0,0
BRLHRK,D,19960621,000000,5.4086,5.4086,5.4086,5.4086,0,0
BRLHRK,D,19960624,000000,5.4229,5.4229,5.4229,5.4229,0,0
BRLHRK,D,19960625,000000,5.4434,5.4434,5.4434,5.4434,0,0
