<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLMYR,D,19950103,000000,3.0175,3.0175,3.0175,3.0175,0,0
BRLMYR,D,19950104,000000,3.0205,3.0205,3.0205,3.0205,0,0
BRLMYR,D,19950105,000000,3.0248,3.0248,3.0248,3.0248,0,0
BRLMYR,D,19950106,000000,3.0372,3.0372,3.0372,3.0372,0,0
BRLMYR,D,19950109,000000,3.0233,3.0233,3.0233,3.0233,0,0
BRLMYR,D,19950110,000000,3.017,3.017,3.017,3.017,0,0
BRLMYR,D,19950111,000000,3.0018,3.0018,3.0018,3.0018,0,0
BRLMYR,D,19950112,000000,3.0291,3.0291,3.0291,3.0291,0,0
BRLMYR,D,19950113,000000,3.0217,3.0217,3.0217,3.0217,0,0
BRLMYR,D,19950116,000000,3.0217,3.0217,3.0217,3.0217,0,0
BRLMYR,D,19950117,000000,3.0136,3.0136,3.0136,3.0136,0,0
BRLMYR,D,19950118,000000,3.0184,3.0184,3.0184,3.0184,0,0
BRLMYR,D,19950119,000000,3.0093,3.0093,3.0093,3.0093,0,0
BRLMYR,D,19950120,000000,3.0089,3.0089,3.0089,3.0089,0,0
BRLMYR,D,19950123,000000,3.008,3.008,3.008,3.008,0,0
BRLMYR,D,19950124,000000,3.0092,3.0092,3.0092,3.0092,0,0
BRLMYR,D,19950125,000000,3.0101,3.0101,3.0101,3.0101,0,0
BRLMYR,D,19950126,000000,3.029,3.029,3.029,3.029,0,0
BRLMYR,D,19950127,000000,3.0295,3.0295,3.0295,3.0295,0,0
BRLMYR,D,19950130,000000,3.0248,3.0248,3.0248,3.0248,0,0
BRLMYR,D,19950131,000000,3.0403,3.0403,3.0403,3.0403,0,0
BRLMYR,D,19950201,000000,3.0325,3.0325,3.0325,3.0325,0,0
BRLMYR,D,19950202,000000,3.0448,3.0448,3.0448,3.0448,0,0
BRLMYR,D,19950203,000000,3.0441,3.0441,3.0441,3.0441,0,0
BRLMYR,D,19950206,000000,3.054,3.054,3.054,3.054,0,0
BRLMYR,D,19950207,000000,3.0524,3.0524,3.0524,3.0524,0,0
BRLMYR,D,19950208,000000,3.0535,3.0535,3.0535,3.0535,0,0
BRLMYR,D,19950209,000000,3.0584,3.0584,3.0584,3.0584,0,0
BRLMYR,D,19950210,000000,3.0554,3.0554,3.0554,3.0554,0,0
BRLMYR,D,19950213,000000,3.0631,3.0631,3.0631,3.0631,0,0
BRLMYR,D,19950214,000000,3.0594,3.0594,3.0594,3.0594,0,0
BRLMYR,D,19950215,000000,3.0523,3.0523,3.0523,3.0523,0,0
BRLMYR,D,19950216,000000,3.0232,3.0232,3.0232,3.0232,0,0
BRLMYR,D,19950217,000000,3.0051,3.0051,3.0051,3.0051,0,0
BRLMYR,D,19950220,000000,3.0372,3.0372,3.0372,3.0372,0,0
BRLMYR,D,19950221,000000,3.033,3.033,3.033,3.033,0,0
BRLMYR,D,19950222,000000,3.0117,3.0117,3.0117,3.0117,0,0
BRLMYR,D,19950223,000000,3.0144,3.0144,3.0144,3.0144,0,0
BRLMYR,D,19950224,000000,2.9936,2.9936,2.9936,2.9936,0,0
BRLMYR,D,19950227,000000,3.0011,3.0011,3.0011,3.0011,0,0
BRLMYR,D,19950228,000000,2.9999,2.9999,2.9999,2.9999,0,0
BRLMYR,D,19950301,000000,2.9959,2.9959,2.9959,2.9959,0,0
BRLMYR,D,19950302,000000,2.9942,2.9942,2.9942,2.9942,0,0
BRLMYR,D,19950303,000000,2.9686,2.9686,2.9686,2.9686,0,0
BRLMYR,D,19950306,000000,2.9377,2.9377,2.9377,2.9377,0,0
BRLMYR,D,19950307,000000,2.8677,2.8677,2.8677,2.8677,0,0
BRLMYR,D,19950308,000000,2.8678,2.8678,2.8678,2.8678,0,0
BRLMYR,D,19950309,000000,2.8648,2.8648,2.8648,2.8648,0,0
BRLMYR,D,19950310,000000,2.8927,2.8927,2.8927,2.8927,0,0
BRLMYR,D,19950313,000000,2.8957,2.8957,2.8957,2.8957,0,0
BRLMYR,D,19950314,000000,2.8969,2.8969,2.8969,2.8969,0,0
BRLMYR,D,19950315,000000,2.8754,2.8754,2.8754,2.8754,0,0
BRLMYR,D,19950316,000000,2.8329,2.8329,2.8329,2.8329,0,0
BRLMYR,D,19950317,000000,2.8411,2.8411,2.8411,2.8411,0,0
BRLMYR,D,19950320,000000,2.7927,2.7927,2.7927,2.7927,0,0
BRLMYR,D,19950321,000000,2.838,2.838,2.838,2.838,0,0
BRLMYR,D,19950322,000000,2.8138,2.8138,2.8138,2.8138,0,0
BRLMYR,D,19950323,000000,2.8079,2.8079,2.8079,2.8079,0,0
BRLMYR,D,19950324,000000,2.8007,2.8007,2.8007,2.8007,0,0
BRLMYR,D,19950327,000000,2.7896,2.7896,2.7896,2.7896,0,0
BRLMYR,D,19950328,000000,2.7863,2.7863,2.7863,2.7863,0,0
BRLMYR,D,19950329,000000,2.7965,2.7965,2.7965,2.7965,0,0
BRLMYR,D,19950330,000000,2.8146,2.8146,2.8146,2.8146,0,0
BRLMYR,D,19950331,000000,2.8117,2.8117,2.8117,2.8117,0,0
BRLMYR,D,19950403,000000,2.7929,2.7929,2.7929,2.7929,0,0
BRLMYR,D,19950404,000000,2.8058,2.8058,2.8058,2.8058,0,0
BRLMYR,D,19950405,000000,2.7834,2.7834,2.7834,2.7834,0,0
BRLMYR,D,19950406,000000,2.7645,2.7645,2.7645,2.7645,0,0
BRLMYR,D,19950407,000000,2.7735,2.7735,2.7735,2.7735,0,0
BRLMYR,D,19950410,000000,2.7645,2.7645,2.7645,2.7645,0,0
BRLMYR,D,19950411,000000,2.7615,2.7615,2.7615,2.7615,0,0
BRLMYR,D,19950412,000000,2.7275,2.7275,2.7275,2.7275,0,0
BRLMYR,D,19950413,000000,2.7141,2.7141,2.7141,2.7141,0,0
BRLMYR,D,19950414,000000,2.711,2.711,2.711,2.711,0,0
BRLMYR,D,19950418,000000,2.7239,2.7239,2.7239,2.7239,0,0
BRLMYR,D,19950419,000000,2.7011,2.7011,2.7011,2.7011,0,0
BRLMYR,D,19950420,000000,2.6931,2.6931,2.6931,2.6931,0,0
BRLMYR,D,19950421,000000,2.7154,2.7154,2.7154,2.7154,0,0
BRLMYR,D,19950424,000000,2.6939,2.6939,2.6939,2.6939,0,0
BRLMYR,D,19950425,000000,2.664,2.664,2.664,2.664,0,0
BRLMYR,D,19950426,000000,2.6907,2.6907,2.6907,2.6907,0,0
BRLMYR,D,19950427,000000,2.6914,2.6914,2.6914,2.6914,0,0
BRLMYR,D,19950428,000000,2.7073,2.7073,2.7073,2.7073,0,0
BRLMYR,D,19950504,000000,2.7249,2.7249,2.7249,2.7249,0,0
BRLMYR,D,19950505,000000,2.7384,2.7384,2.7384,2.7384,0,0
BRLMYR,D,19950509,000000,2.7475,2.7475,2.7475,2.7475,0,0
BRLMYR,D,19950510,000000,2.7588,2.7588,2.7588,2.7588,0,0
BRLMYR,D,19950511,000000,2.7586,2.7586,2.7586,2.7586,0,0
BRLMYR,D,19950512,000000,2.7804,2.7804,2.7804,2.7804,0,0
BRLMYR,D,19950515,000000,2.8046,2.8046,2.8046,2.8046,0,0
BRLMYR,D,19950516,000000,2.7888,2.7888,2.7888,2.7888,0,0
BRLMYR,D,19950517,000000,2.7768,2.7768,2.7768,2.7768,0,0
BRLMYR,D,19950518,000000,2.7793,2.7793,2.7793,2.7793,0,0
BRLMYR,D,19950519,000000,2.7649,2.7649,2.7649,2.7649,0,0
BRLMYR,D,19950522,000000,2.7697,2.7697,2.7697,2.7697,0,0
BRLMYR,D,19950523,000000,2.7688,2.7688,2.7688,2.7688,0,0
BRLMYR,D,19950524,000000,2.7684,2.7684,2.7684,2.7684,0,0
BRLMYR,D,19950525,000000,2.7487,2.7487,2.7487,2.7487,0,0
BRLMYR,D,19950526,000000,2.7396,2.7396,2.7396,2.7396,0,0
BRLMYR,D,19950529,000000,2.7396,2.7396,2.7396,2.7396,0,0
BRLMYR,D,19950530,000000,2.7188,2.7188,2.7188,2.7188,0,0
BRLMYR,D,19950531,000000,2.7143,2.7143,2.7143,2.7143,0,0
BRLMYR,D,19950601,000000,2.7108,2.7108,2.7108,2.7108,0,0
BRLMYR,D,19950602,000000,2.7174,2.7174,2.7174,2.7174,0,0
BRLMYR,D,19950605,000000,2.7155,2.7155,2.7155,2.7155,0,0
BRLMYR,D,19950606,000000,2.6834,2.6834,2.6834,2.6834,0,0
BRLMYR,D,19950607,000000,2.677,2.677,2.677,2.677,0,0
BRLMYR,D,19950608,000000,2.6764,2.6764,2.6764,2.6764,0,0
BRLMYR,D,19950609,000000,2.6594,2.6594,2.6594,2.6594,0,0
BRLMYR,D,19950612,000000,2.6546,2.6546,2.6546,2.6546,0,0
BRLMYR,D,19950613,000000,2.6606,2.6606,2.6606,2.6606,0,0
BRLMYR,D,19950614,000000,2.6336,2.6336,2.6336,2.6336,0,0
BRLMYR,D,19950616,000000,2.6859,2.6859,2.6859,2.6859,0,0
BRLMYR,D,19950619,000000,2.6764,2.6764,2.6764,2.6764,0,0
BRLMYR,D,19950620,000000,2.6652,2.6652,2.6652,2.6652,0,0
BRLMYR,D,19950621,000000,2.6516,2.6516,2.6516,2.6516,0,0
BRLMYR,D,19950622,000000,2.6531,2.6531,2.6531,2.6531,0,0
BRLMYR,D,19950623,000000,2.653,2.653,2.653,2.653,0,0
BRLMYR,D,19950626,000000,2.6549,2.6549,2.6549,2.6549,0,0
BRLMYR,D,19950627,000000,2.6507,2.6507,2.6507,2.6507,0,0
BRLMYR,D,19950628,000000,2.6539,2.6539,2.6539,2.6539,0,0
BRLMYR,D,19950629,000000,2.6537,2.6537,2.6537,2.6537,0,0
BRLMYR,D,19950630,000000,2.6461,2.6461,2.6461,2.6461,0,0
BRLMYR,D,19950703,000000,2.6508,2.6508,2.6508,2.6508,0,0
BRLMYR,D,19950704,000000,2.6508,2.6508,2.6508,2.6508,0,0
BRLMYR,D,19950705,000000,2.645,2.645,2.645,2.645,0,0
BRLMYR,D,19950706,000000,2.64,2.64,2.64,2.64,0,0
BRLMYR,D,19950707,000000,2.6417,2.6417,2.6417,2.6417,0,0
BRLMYR,D,19950710,000000,2.6477,2.6477,2.6477,2.6477,0,0
BRLMYR,D,19950711,000000,2.6564,2.6564,2.6564,2.6564,0,0
