<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLXAG,D,19950103,000000,24.967,24.967,24.967,24.967,0,0
BRLXAG,D,19950104,000000,25.671,25.671,25.671,25.671,0,0
BRLXAG,D,19950105,000000,25.239,25.239,25.239,25.239,0,0
BRLXAG,D,19950106,000000,25.712,25.712,25.712,25.712,0,0
BRLXAG,D,19950109,000000,25.371,25.371,25.371,25.371,0,0
BRLXAG,D,19950110,000000,25.227,25.227,25.227,25.227,0,0
BRLXAG,D,19950111,000000,24.843,24.843,24.843,24.843,0,0
BRLXAG,D,19950112,000000,24.451,24.451,24.451,24.451,0,0
BRLXAG,D,19950113,000000,24.546,24.546,24.546,24.546,0,0
BRLXAG,D,19950116,000000,24.495,24.495,24.495,24.495,0,0
BRLXAG,D,19950117,000000,24.272,24.272,24.272,24.272,0,0
BRLXAG,D,19950118,000000,24.222,24.222,24.222,24.222,0,0
BRLXAG,D,19950119,000000,24.165,24.165,24.165,24.165,0,0
BRLXAG,D,19950120,000000,24.017,24.017,24.017,24.017,0,0
BRLXAG,D,19950123,000000,24.459,24.459,24.459,24.459,0,0
BRLXAG,D,19950124,000000,24.329,24.329,24.329,24.329,0,0
BRLXAG,D,19950125,000000,24.635,24.635,24.635,24.635,0,0
BRLXAG,D,19950126,000000,24.706,24.706,24.706,24.706,0,0
BRLXAG,D,19950127,000000,25.371,25.371,25.371,25.371,0,0
BRLXAG,D,19950130,000000,25.043,25.043,25.043,25.043,0,0
BRLXAG,D,19950131,000000,25.516,25.516,25.516,25.516,0,0
BRLXAG,D,19950201,000000,25.377,25.377,25.377,25.377,0,0
BRLXAG,D,19950202,000000,25.306,25.306,25.306,25.306,0,0
BRLXAG,D,19950203,000000,25.577,25.577,25.577,25.577,0,0
BRLXAG,D,19950206,000000,25.397,25.397,25.397,25.397,0,0
BRLXAG,D,19950207,000000,25.614,25.614,25.614,25.614,0,0
BRLXAG,D,19950208,000000,25.373,25.373,25.373,25.373,0,0
BRLXAG,D,19950209,000000,25.273,25.273,25.273,25.273,0,0
BRLXAG,D,19950210,000000,25.19,25.19,25.19,25.19,0,0
BRLXAG,D,19950213,000000,25.411,25.411,25.411,25.411,0,0
BRLXAG,D,19950214,000000,25.19,25.19,25.19,25.19,0,0
BRLXAG,D,19950215,000000,25.236,25.236,25.236,25.236,0,0
BRLXAG,D,19950216,000000,25.049,25.049,25.049,25.049,0,0
BRLXAG,D,19950217,000000,24.664,24.664,24.664,24.664,0,0
BRLXAG,D,19950220,000000,24.876,24.876,24.876,24.876,0,0
BRLXAG,D,19950221,000000,25.056,25.056,25.056,25.056,0,0
BRLXAG,D,19950222,000000,24.415,24.415,24.415,24.415,0,0
BRLXAG,D,19950223,000000,24.546,24.546,24.546,24.546,0,0
BRLXAG,D,19950224,000000,25.32,25.32,25.32,25.32,0,0
BRLXAG,D,19950227,000000,26.171,26.171,26.171,26.171,0,0
BRLXAG,D,19950228,000000,25.998,25.998,25.998,25.998,0,0
BRLXAG,D,19950301,000000,26.797,26.797,26.797,26.797,0,0
BRLXAG,D,19950302,000000,26.495,26.495,26.495,26.495,0,0
BRLXAG,D,19950303,000000,26.458,26.458,26.458,26.458,0,0
BRLXAG,D,19950306,000000,25.775,25.775,25.775,25.775,0,0
BRLXAG,D,19950307,000000,24.038,24.038,24.038,24.038,0,0
BRLXAG,D,19950308,000000,24.722,24.722,24.722,24.722,0,0
BRLXAG,D,19950309,000000,24.4,24.4,24.4,24.4,0,0
BRLXAG,D,19950310,000000,24.701,24.701,24.701,24.701,0,0
BRLXAG,D,19950313,000000,24.099,24.099,24.099,24.099,0,0
BRLXAG,D,19950314,000000,24.151,24.151,24.151,24.151,0,0
BRLXAG,D,19950315,000000,23.788,23.788,23.788,23.788,0,0
BRLXAG,D,19950316,000000,23.517,23.517,23.517,23.517,0,0
BRLXAG,D,19950317,000000,23.543,23.543,23.543,23.543,0,0
BRLXAG,D,19950320,000000,23.354,23.354,23.354,23.354,0,0
BRLXAG,D,19950321,000000,24.209,24.209,24.209,24.209,0,0
BRLXAG,D,19950322,000000,23.737,23.737,23.737,23.737,0,0
BRLXAG,D,19950323,000000,23.482,23.482,23.482,23.482,0,0
BRLXAG,D,19950324,000000,23.812,23.812,23.812,23.812,0,0
BRLXAG,D,19950327,000000,23.786,23.786,23.786,23.786,0,0
BRLXAG,D,19950328,000000,23.184,23.184,23.184,23.184,0,0
BRLXAG,D,19950329,000000,23.188,23.188,23.188,23.188,0,0
BRLXAG,D,19950330,000000,21.403,21.403,21.403,21.403,0,0
BRLXAG,D,19950331,000000,21.004,21.004,21.004,21.004,0,0
BRLXAG,D,19950403,000000,20.911,20.911,20.911,20.911,0,0
BRLXAG,D,19950404,000000,21.027,21.027,21.027,21.027,0,0
BRLXAG,D,19950405,000000,20.47,20.47,20.47,20.47,0,0
BRLXAG,D,19950406,000000,20.615,20.615,20.615,20.615,0,0
BRLXAG,D,19950407,000000,20.714,20.714,20.714,20.714,0,0
BRLXAG,D,19950410,000000,21.228,21.228,21.228,21.228,0,0
BRLXAG,D,19950411,000000,20.784,20.784,20.784,20.784,0,0
BRLXAG,D,19950412,000000,20.724,20.724,20.724,20.724,0,0
BRLXAG,D,19950413,000000,20.525,20.525,20.525,20.525,0,0
BRLXAG,D,19950414,000000,20.186,20.186,20.186,20.186,0,0
BRLXAG,D,19950418,000000,18.304,18.304,18.304,18.304,0,0
BRLXAG,D,19950419,000000,19.016,19.016,19.016,19.016,0,0
BRLXAG,D,19950420,000000,19.145,19.145,19.145,19.145,0,0
BRLXAG,D,19950421,000000,19.39,19.39,19.39,19.39,0,0
BRLXAG,D,19950424,000000,19.352,19.352,19.352,19.352,0,0
BRLXAG,D,19950425,000000,19.015,19.015,19.015,19.015,0,0
BRLXAG,D,19950426,000000,19.508,19.508,19.508,19.508,0,0
BRLXAG,D,19950427,000000,18.673,18.673,18.673,18.673,0,0
BRLXAG,D,19950428,000000,19.148,19.148,19.148,19.148,0,0
BRLXAG,D,19950504,000000,18.214,18.214,18.214,18.214,0,0
BRLXAG,D,19950505,000000,18.375,18.375,18.375,18.375,0,0
BRLXAG,D,19950509,000000,20.27,20.27,20.27,20.27,0,0
BRLXAG,D,19950510,000000,20.638,20.638,20.638,20.638,0,0
BRLXAG,D,19950511,000000,20.939,20.939,20.939,20.939,0,0
BRLXAG,D,19950512,000000,20.979,20.979,20.979,20.979,0,0
BRLXAG,D,19950515,000000,20.716,20.716,20.716,20.716,0,0
BRLXAG,D,19950516,000000,20.769,20.769,20.769,20.769,0,0
BRLXAG,D,19950517,000000,20.924,20.924,20.924,20.924,0,0
BRLXAG,D,19950518,000000,20.769,20.769,20.769,20.769,0,0
BRLXAG,D,19950519,000000,20.861,20.861,20.861,20.861,0,0
BRLXAG,D,19950522,000000,21.264,21.264,21.264,21.264,0,0
BRLXAG,D,19950523,000000,20.792,20.792,20.792,20.792,0,0
BRLXAG,D,19950524,000000,20.415,20.415,20.415,20.415,0,0
BRLXAG,D,19950525,000000,20.449,20.449,20.449,20.449,0,0
BRLXAG,D,19950526,000000,20.47,20.47,20.47,20.47,0,0
BRLXAG,D,19950529,000000,20.358,20.358,20.358,20.358,0,0
BRLXAG,D,19950530,000000,20.842,20.842,20.842,20.842,0,0
BRLXAG,D,19950531,000000,20.78,20.78,20.78,20.78,0,0
BRLXAG,D,19950601,000000,20.585,20.585,20.585,20.585,0,0
BRLXAG,D,19950602,000000,21.151,21.151,21.151,21.151,0,0
BRLXAG,D,19950605,000000,20.816,20.816,20.816,20.816,0,0
BRLXAG,D,19950606,000000,20.819,20.819,20.819,20.819,0,0
BRLXAG,D,19950607,000000,20.479,20.479,20.479,20.479,0,0
BRLXAG,D,19950608,000000,20.672,20.672,20.672,20.672,0,0
BRLXAG,D,19950609,000000,19.988,19.988,19.988,19.988,0,0
BRLXAG,D,19950612,000000,20.263,20.263,20.263,20.263,0,0
BRLXAG,D,19950613,000000,20.383,20.383,20.383,20.383,0,0
BRLXAG,D,19950614,000000,20.764,20.764,20.764,20.764,0,0
BRLXAG,D,19950616,000000,20.297,20.297,20.297,20.297,0,0
BRLXAG,D,19950619,000000,19.973,19.973,19.973,19.973,0,0
BRLXAG,D,19950620,000000,19.98,19.98,19.98,19.98,0,0
BRLXAG,D,19950621,000000,19.929,19.929,19.929,19.929,0,0
BRLXAG,D,19950622,000000,20.263,20.263,20.263,20.263,0,0
BRLXAG,D,19950623,000000,20.301,20.301,20.301,20.301,0,0
BRLXAG,D,19950626,000000,20.553,20.553,20.553,20.553,0,0
BRLXAG,D,19950627,000000,20.415,20.415,20.415,20.415,0,0
BRLXAG,D,19950628,000000,20.766,20.766,20.766,20.766,0,0
BRLXAG,D,19950629,000000,20.492,20.492,20.492,20.492,0,0
BRLXAG,D,19950630,000000,21.543,21.543,21.543,21.543,0,0
BRLXAG,D,19950703,000000,21.397,21.397,21.397,21.397,0,0
BRLXAG,D,19950704,000000,21.439,21.439,21.439,21.439,0,0
BRLXAG,D,19950705,000000,21.411,21.411,21.411,21.411,0,0
BRLXAG,D,19950706,000000,21.156,21.156,21.156,21.156,0,0
BRLXAG,D,19950707,000000,20.951,20.951,20.951,20.951,0,0
BRLXAG,D,19950710,000000,20.992,20.992,20.992,20.992,0,0
