<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLXDR,D,19950103,000000,0.8107,0.8107,0.8107,0.8107,0,0
BRLXDR,D,19950104,000000,0.8106,0.8106,0.8106,0.8106,0,0
BRLXDR,D,19950105,000000,0.8149,0.8149,0.8149,0.8149,0,0
BRLXDR,D,19950106,000000,0.8199,0.8199,0.8199,0.8199,0,0
BRLXDR,D,19950109,000000,0.815,0.815,0.815,0.815,0,0
BRLXDR,D,19950110,000000,0.8112,0.8112,0.8112,0.8112,0,0
BRLXDR,D,19950111,000000,0.8089,0.8089,0.8089,0.8089,0,0
BRLXDR,D,19950112,000000,0.8101,0.8101,0.8101,0.8101,0,0
BRLXDR,D,19950113,000000,0.8072,0.8072,0.8072,0.8072,0,0
BRLXDR,D,19950116,000000,0.8071,0.8071,0.8071,0.8071,0,0
BRLXDR,D,19950117,000000,0.8045,0.8045,0.8045,0.8045,0,0
BRLXDR,D,19950118,000000,0.8045,0.8045,0.8045,0.8045,0,0
BRLXDR,D,19950119,000000,0.8029,0.8029,0.8029,0.8029,0,0
BRLXDR,D,19950120,000000,0.8027,0.8027,0.8027,0.8027,0,0
BRLXDR,D,19950123,000000,0.8037,0.8037,0.8037,0.8037,0,0
BRLXDR,D,19950124,000000,0.7979,0.7979,0.7979,0.7979,0,0
BRLXDR,D,19950125,000000,0.7993,0.7993,0.7993,0.7993,0,0
BRLXDR,D,19950126,000000,0.8026,0.8026,0.8026,0.8026,0,0
BRLXDR,D,19950127,000000,0.8031,0.8031,0.8031,0.8031,0,0
BRLXDR,D,19950130,000000,0.8027,0.8027,0.8027,0.8027,0,0
BRLXDR,D,19950131,000000,0.8075,0.8075,0.8075,0.8075,0,0
BRLXDR,D,19950201,000000,0.8057,0.8057,0.8057,0.8057,0,0
BRLXDR,D,19950202,000000,0.8072,0.8072,0.8072,0.8072,0,0
BRLXDR,D,19950203,000000,0.8117,0.8117,0.8117,0.8117,0,0
BRLXDR,D,19950206,000000,0.8141,0.8141,0.8141,0.8141,0,0
BRLXDR,D,19950207,000000,0.814,0.814,0.814,0.814,0,0
BRLXDR,D,19950208,000000,0.8171,0.8171,0.8171,0.8171,0,0
BRLXDR,D,19950209,000000,0.8196,0.8196,0.8196,0.8196,0,0
BRLXDR,D,19950210,000000,0.8186,0.8186,0.8186,0.8186,0,0
BRLXDR,D,19950213,000000,0.8197,0.8197,0.8197,0.8197,0,0
BRLXDR,D,19950214,000000,0.8175,0.8175,0.8175,0.8175,0,0
BRLXDR,D,19950215,000000,0.8129,0.8129,0.8129,0.8129,0,0
BRLXDR,D,19950216,000000,0.8062,0.8062,0.8062,0.8062,0,0
BRLXDR,D,19950217,000000,0.7977,0.7977,0.7977,0.7977,0,0
BRLXDR,D,19950220,000000,0.8028,0.8028,0.8028,0.8028,0,0
BRLXDR,D,19950221,000000,0.7986,0.7986,0.7986,0.7986,0,0
BRLXDR,D,19950222,000000,0.7929,0.7929,0.7929,0.7929,0,0
BRLXDR,D,19950223,000000,0.792,0.792,0.792,0.792,0,0
BRLXDR,D,19950224,000000,0.7871,0.7871,0.7871,0.7871,0,0
BRLXDR,D,19950227,000000,0.7876,0.7876,0.7876,0.7876,0,0
BRLXDR,D,19950228,000000,0.7871,0.7871,0.7871,0.7871,0,0
BRLXDR,D,19950301,000000,0.7846,0.7846,0.7846,0.7846,0,0
BRLXDR,D,19950302,000000,0.7855,0.7855,0.7855,0.7855,0,0
BRLXDR,D,19950303,000000,0.7796,0.7796,0.7796,0.7796,0,0
BRLXDR,D,19950306,000000,0.7717,0.7717,0.7717,0.7717,0,0
BRLXDR,D,19950307,000000,0.7484,0.7484,0.7484,0.7484,0,0
BRLXDR,D,19950308,000000,0.7337,0.7337,0.7337,0.7337,0,0
BRLXDR,D,19950309,000000,0.7327,0.7327,0.7327,0.7327,0,0
BRLXDR,D,19950310,000000,0.7305,0.7305,0.7305,0.7305,0,0
BRLXDR,D,19950313,000000,0.7383,0.7383,0.7383,0.7383,0,0
BRLXDR,D,19950314,000000,0.7425,0.7425,0.7425,0.7425,0,0
BRLXDR,D,19950315,000000,0.7365,0.7365,0.7365,0.7365,0,0
BRLXDR,D,19950316,000000,0.727,0.727,0.727,0.727,0,0
BRLXDR,D,19950317,000000,0.7262,0.7262,0.7262,0.7262,0,0
BRLXDR,D,19950320,000000,0.7104,0.7104,0.7104,0.7104,0,0
BRLXDR,D,19950321,000000,0.7223,0.7223,0.7223,0.7223,0,0
BRLXDR,D,19950322,000000,0.7159,0.7159,0.7159,0.7159,0,0
BRLXDR,D,19950323,000000,0.7134,0.7134,0.7134,0.7134,0,0
BRLXDR,D,19950324,000000,0.7147,0.7147,0.7147,0.7147,0,0
BRLXDR,D,19950327,000000,0.7109,0.7109,0.7109,0.7109,0,0
BRLXDR,D,19950328,000000,0.7114,0.7114,0.7114,0.7114,0,0
BRLXDR,D,19950329,000000,0.7178,0.7178,0.7178,0.7178,0,0
BRLXDR,D,19950330,000000,0.7181,0.7181,0.7181,0.7181,0,0
BRLXDR,D,19950331,000000,0.7141,0.7141,0.7141,0.7141,0,0
BRLXDR,D,19950403,000000,0.7106,0.7106,0.7106,0.7106,0,0
BRLXDR,D,19950404,000000,0.7128,0.7128,0.7128,0.7128,0,0
BRLXDR,D,19950405,000000,0.7109,0.7109,0.7109,0.7109,0,0
BRLXDR,D,19950406,000000,0.7135,0.7135,0.7135,0.7135,0,0
BRLXDR,D,19950407,000000,0.7084,0.7084,0.7084,0.7084,0,0
BRLXDR,D,19950410,000000,0.7079,0.7079,0.7079,0.7079,0,0
BRLXDR,D,19950411,000000,0.704,0.704,0.704,0.704,0,0
BRLXDR,D,19950412,000000,0.7009,0.7009,0.7009,0.7009,0,0
BRLXDR,D,19950413,000000,0.7037,0.7037,0.7037,0.7037,0,0
BRLXDR,D,19950414,000000,0.7027,0.7027,0.7027,0.7027,0,0
BRLXDR,D,19950418,000000,0.7029,0.7029,0.7029,0.7029,0,0
BRLXDR,D,19950419,000000,0.6894,0.6894,0.6894,0.6894,0,0
BRLXDR,D,19950420,000000,0.6837,0.6837,0.6837,0.6837,0,0
BRLXDR,D,19950421,000000,0.6914,0.6914,0.6914,0.6914,0,0
BRLXDR,D,19950424,000000,0.6921,0.6921,0.6921,0.6921,0,0
BRLXDR,D,19950425,000000,0.6898,0.6898,0.6898,0.6898,0,0
BRLXDR,D,19950426,000000,0.6891,0.6891,0.6891,0.6891,0,0
BRLXDR,D,19950427,000000,0.688,0.688,0.688,0.688,0,0
BRLXDR,D,19950428,000000,0.6951,0.6951,0.6951,0.6951,0,0
BRLXDR,D,19950504,000000,0.7023,0.7023,0.7023,0.7023,0,0
BRLXDR,D,19950505,000000,0.7035,0.7035,0.7035,0.7035,0,0
BRLXDR,D,19950509,000000,0.708,0.708,0.708,0.708,0,0
BRLXDR,D,19950510,000000,0.7065,0.7065,0.7065,0.7065,0,0
BRLXDR,D,19950511,000000,0.7069,0.7069,0.7069,0.7069,0,0
BRLXDR,D,19950512,000000,0.7078,0.7078,0.7078,0.7078,0,0
BRLXDR,D,19950515,000000,0.7221,0.7221,0.7221,0.7221,0,0
BRLXDR,D,19950516,000000,0.7307,0.7307,0.7307,0.7307,0,0
BRLXDR,D,19950517,000000,0.7333,0.7333,0.7333,0.7333,0,0
BRLXDR,D,19950518,000000,0.7294,0.7294,0.7294,0.7294,0,0
BRLXDR,D,19950519,000000,0.7313,0.7313,0.7313,0.7313,0,0
BRLXDR,D,19950522,000000,0.7307,0.7307,0.7307,0.7307,0,0
BRLXDR,D,19950523,000000,0.7336,0.7336,0.7336,0.7336,0,0
BRLXDR,D,19950524,000000,0.7323,0.7323,0.7323,0.7323,0,0
BRLXDR,D,19950525,000000,0.7298,0.7298,0.7298,0.7298,0,0
BRLXDR,D,19950526,000000,0.7217,0.7217,0.7217,0.7217,0,0
BRLXDR,D,19950529,000000,0.7217,0.7217,0.7217,0.7217,0,0
BRLXDR,D,19950530,000000,0.7146,0.7146,0.7146,0.7146,0,0
BRLXDR,D,19950531,000000,0.699,0.699,0.699,0.699,0,0
BRLXDR,D,19950601,000000,0.6989,0.6989,0.6989,0.6989,0,0
BRLXDR,D,19950602,000000,0.7147,0.7147,0.7147,0.7147,0,0
BRLXDR,D,19950605,000000,0.7092,0.7092,0.7092,0.7092,0,0
BRLXDR,D,19950606,000000,0.7063,0.7063,0.7063,0.7063,0,0
BRLXDR,D,19950607,000000,0.705,0.705,0.705,0.705,0,0
BRLXDR,D,19950608,000000,0.7039,0.7039,0.7039,0.7039,0,0
BRLXDR,D,19950609,000000,0.6991,0.6991,0.6991,0.6991,0,0
BRLXDR,D,19950612,000000,0.696,0.696,0.696,0.696,0,0
BRLXDR,D,19950613,000000,0.6975,0.6975,0.6975,0.6975,0,0
BRLXDR,D,19950614,000000,0.7034,0.7034,0.7034,0.7034,0,0
BRLXDR,D,19950616,000000,0.7048,0.7048,0.7048,0.7048,0,0
BRLXDR,D,19950619,000000,0.7017,0.7017,0.7017,0.7017,0,0
BRLXDR,D,19950620,000000,0.698,0.698,0.698,0.698,0,0
BRLXDR,D,19950621,000000,0.6946,0.6946,0.6946,0.6946,0,0
BRLXDR,D,19950622,000000,0.694,0.694,0.694,0.694,0,0
BRLXDR,D,19950623,000000,0.6914,0.6914,0.6914,0.6914,0,0
BRLXDR,D,19950626,000000,0.6953,0.6953,0.6953,0.6953,0,0
BRLXDR,D,19950627,000000,0.6928,0.6928,0.6928,0.6928,0,0
BRLXDR,D,19950628,000000,0.6928,0.6928,0.6928,0.6928,0,0
BRLXDR,D,19950629,000000,0.6948,0.6948,0.6948,0.6948,0,0
BRLXDR,D,19950630,000000,0.6933,0.6933,0.6933,0.6933,0,0
BRLXDR,D,19950703,000000,0.6928,0.6928,0.6928,0.6928,0,0
BRLXDR,D,19950704,000000,0.6925,0.6925,0.6925,0.6925,0,0
BRLXDR,D,19950705,000000,0.6903,0.6903,0.6903,0.6903,0,0
BRLXDR,D,19950706,000000,0.6895,0.6895,0.6895,0.6895,0,0
BRLXDR,D,19950707,000000,0.6894,0.6894,0.6894,0.6894,0,0
BRLXDR,D,19950710,000000,0.6914,0.6914,0.6914,0.6914,0,0
BRLXDR,D,19950711,000000,0.6954,0.6954,0.6954,0.6954,0,0
BRLXDR,D,19950712,000000,0.697,0.697,0.697,0.697,0,0
BRLXDR,D,19950713,000000,0.6966,0.6966,0.6966,0.6966,0,0
BRLXDR,D,19950714,000000,0.6995,0.6995,0.6995,0.6995,0,0
