<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCARS,D,20100719,000000,0.3179,0.3179,0.3179,0.3179,0,0
BTCARS,D,20100720,000000,0.29412,0.29412,0.29412,0.29412,0,0
BTCARS,D,20100721,000000,0.31167,0.31167,0.31167,0.31167,0,0
BTCARS,D,20100722,000000,0.19864,0.19864,0.19864,0.19864,0,0
BTCARS,D,20100723,000000,0.24621,0.24621,0.24621,0.24621,0,0
BTCARS,D,20100726,000000,0.2202,0.2202,0.2202,0.2202,0,0
BTCARS,D,20100727,000000,0.23589,0.23589,0.23589,0.23589,0,0
BTCARS,D,20100728,000000,0.23171,0.23171,0.23171,0.23171,0,0
BTCARS,D,20100729,000000,0.27518,0.27518,0.27518,0.27518,0,0
BTCARS,D,20100730,000000,0.24701,0.24701,0.24701,0.24701,0,0
BTCARS,D,20100802,000000,0.23633,0.23633,0.23633,0.23633,0,0
BTCARS,D,20100803,000000,0.23611,0.23611,0.23611,0.23611,0,0
BTCARS,D,20100804,000000,0.22416,0.22416,0.22416,0.22416,0,0
BTCARS,D,20100805,000000,0.24001,0.24001,0.24001,0.24001,0,0
BTCARS,D,20100806,000000,0.245,0.245,0.245,0.245,0,0
BTCARS,D,20100809,000000,0.27909,0.27909,0.27909,0.27909,0,0
BTCARS,D,20100810,000000,0.2753,0.2753,0.2753,0.2753,0,0
BTCARS,D,20100811,000000,0.26361,0.26361,0.26361,0.26361,0,0
BTCARS,D,20100812,000000,0.27537,0.27537,0.27537,0.27537,0,0
BTCARS,D,20100813,000000,0.25367,0.25367,0.25367,0.25367,0,0
BTCARS,D,20100816,000000,0.2576,0.2576,0.2576,0.2576,0,0
BTCARS,D,20100817,000000,0.27533,0.27533,0.27533,0.27533,0,0
BTCARS,D,20100818,000000,0.2675,0.2675,0.2675,0.2675,0,0
BTCARS,D,20100819,000000,0.26238,0.26238,0.26238,0.26238,0,0
BTCARS,D,20100820,000000,0.25795,0.25795,0.25795,0.25795,0,0
BTCARS,D,20100823,000000,0.25572,0.25572,0.25572,0.25572,0,0
BTCARS,D,20100824,000000,0.25619,0.25619,0.25619,0.25619,0,0
BTCARS,D,20100825,000000,0.25567,0.25567,0.25567,0.25567,0,0
BTCARS,D,20100826,000000,0.25246,0.25246,0.25246,0.25246,0,0
BTCARS,D,20100827,000000,0.25634,0.25634,0.25634,0.25634,0,0
BTCARS,D,20100830,000000,0.25627,0.25627,0.25627,0.25627,0,0
BTCARS,D,20100831,000000,0.23698,0.23698,0.23698,0.23698,0,0
BTCARS,D,20100901,000000,0.24838,0.24838,0.24838,0.24838,0,0
BTCARS,D,20100902,000000,0.25036,0.25036,0.25036,0.25036,0,0
BTCARS,D,20100903,000000,0.24001,0.24001,0.24001,0.24001,0,0
BTCARS,D,20100906,000000,0.24304,0.24304,0.24304,0.24304,0,0
BTCARS,D,20100907,000000,0.24071,0.24071,0.24071,0.24071,0,0
