<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCDKK,D,20100719,000000,0.46472,0.46472,0.46472,0.46472,0,0
BTCDKK,D,20100720,000000,0.43045,0.43045,0.43045,0.43045,0,0
BTCDKK,D,20100721,000000,0.45897,0.45897,0.45897,0.45897,0,0
BTCDKK,D,20100722,000000,0.29075,0.29075,0.29075,0.29075,0,0
BTCDKK,D,20100723,000000,0.36314,0.36314,0.36314,0.36314,0,0
BTCDKK,D,20100726,000000,0.31928,0.31928,0.31928,0.31928,0,0
BTCDKK,D,20100727,000000,0.34352,0.34352,0.34352,0.34352,0,0
BTCDKK,D,20100728,000000,0.33746,0.33746,0.33746,0.33746,0,0
BTCDKK,D,20100729,000000,0.39885,0.39885,0.39885,0.39885,0,0
BTCDKK,D,20100730,000000,0.35754,0.35754,0.35754,0.35754,0,0
BTCDKK,D,20100802,000000,0.33875,0.33875,0.33875,0.33875,0,0
BTCDKK,D,20100803,000000,0.3389,0.3389,0.3389,0.3389,0,0
BTCDKK,D,20100804,000000,0.3197,0.3197,0.3197,0.3197,0,0
BTCDKK,D,20100805,000000,0.34525,0.34525,0.34525,0.34525,0,0
BTCDKK,D,20100806,000000,0.35,0.35,0.35,0.35,0,0
BTCDKK,D,20100809,000000,0.3974,0.3974,0.3974,0.3974,0,0
BTCDKK,D,20100810,000000,0.39902,0.39902,0.39902,0.39902,0,0
BTCDKK,D,20100811,000000,0.38761,0.38761,0.38761,0.38761,0,0
BTCDKK,D,20100812,000000,0.40423,0.40423,0.40423,0.40423,0,0
BTCDKK,D,20100813,000000,0.3754,0.3754,0.3754,0.3754,0,0
BTCDKK,D,20100816,000000,0.37739,0.37739,0.37739,0.37739,0,0
BTCDKK,D,20100817,000000,0.40233,0.40233,0.40233,0.40233,0,0
BTCDKK,D,20100818,000000,0.39109,0.39109,0.39109,0.39109,0,0
BTCDKK,D,20100819,000000,0.38863,0.38863,0.38863,0.38863,0,0
BTCDKK,D,20100820,000000,0.38402,0.38402,0.38402,0.38402,0,0
BTCDKK,D,20100823,000000,0.38394,0.38394,0.38394,0.38394,0,0
BTCDKK,D,20100824,000000,0.38169,0.38169,0.38169,0.38169,0,0
BTCDKK,D,20100825,000000,0.3815,0.3815,0.3815,0.3815,0,0
BTCDKK,D,20100826,000000,0.37404,0.37404,0.37404,0.37404,0,0
BTCDKK,D,20100827,000000,0.37847,0.37847,0.37847,0.37847,0,0
BTCDKK,D,20100830,000000,0.38316,0.38316,0.38316,0.38316,0,0
BTCDKK,D,20100831,000000,0.35097,0.35097,0.35097,0.35097,0,0
BTCDKK,D,20100901,000000,0.3636,0.3636,0.3636,0.3636,0,0
BTCDKK,D,20100902,000000,0.36812,0.36812,0.36812,0.36812,0,0
BTCDKK,D,20100903,000000,0.34887,0.34887,0.34887,0.34887,0,0
BTCDKK,D,20100906,000000,0.35567,0.35567,0.35567,0.35567,0,0
BTCDKK,D,20100907,000000,0.35603,0.35603,0.35603,0.35603,0,0
BTCDKK,D,20100908,000000,0.36085,0.36085,0.36085,0.36085,0,0
BTCDKK,D,20100909,000000,0.3581,0.3581,0.3581,0.3581,0,0
BTCDKK,D,20100910,000000,0.36241,0.36241,0.36241,0.36241,0,0
BTCDKK,D,20100913,000000,0.35913,0.35913,0.35913,0.35913,0,0
BTCDKK,D,20100914,000000,0.35234,0.35234,0.35234,0.35234,0,0
BTCDKK,D,20100915,000000,0.34612,0.34612,0.34612,0.34612,0,0
BTCDKK,D,20100916,000000,0.3539,0.3539,0.3539,0.3539,0,0
BTCDKK,D,20100917,000000,0.33684,0.33684,0.33684,0.33684,0,0
BTCDKK,D,20100920,000000,0.35252,0.35252,0.35252,0.35252,0,0
BTCDKK,D,20100921,000000,0.35591,0.35591,0.35591,0.35591,0,0
BTCDKK,D,20100922,000000,0.34694,0.34694,0.34694,0.34694,0,0
BTCDKK,D,20100923,000000,0.34607,0.34607,0.34607,0.34607,0,0
BTCDKK,D,20100924,000000,0.34193,0.34193,0.34193,0.34193,0,0
BTCDKK,D,20100927,000000,0.34312,0.34312,0.34312,0.34312,0,0
BTCDKK,D,20100928,000000,0.33894,0.33894,0.33894,0.33894,0,0
BTCDKK,D,20100929,000000,0.33856,0.33856,0.33856,0.33856,0,0
BTCDKK,D,20100930,000000,0.3371,0.3371,0.3371,0.3371,0,0
BTCDKK,D,20101001,000000,0.33501,0.33501,0.33501,0.33501,0,0
BTCDKK,D,20101004,000000,0.33432,0.33432,0.33432,0.33432,0,0
BTCDKK,D,20101005,000000,0.32878,0.32878,0.32878,0.32878,0,0
BTCDKK,D,20101006,000000,0.33817,0.33817,0.33817,0.33817,0,0
BTCDKK,D,20101007,000000,0.36116,0.36116,0.36116,0.36116,0,0
BTCDKK,D,20101008,000000,0.46235,0.46235,0.46235,0.46235,0,0
BTCDKK,D,20101011,000000,0.5071,0.5071,0.5071,0.5071,0,0
BTCDKK,D,20101012,000000,0.5083,0.5083,0.5083,0.5083,0,0
BTCDKK,D,20101013,000000,0.5531,0.5531,0.5531,0.5531,0,0
BTCDKK,D,20101014,000000,0.5418,0.5418,0.5418,0.5418,0,0
BTCDKK,D,20101015,000000,0.5578,0.5578,0.5578,0.5578,0,0
BTCDKK,D,20101018,000000,0.5453,0.5453,0.5453,0.5453,0,0
BTCDKK,D,20101019,000000,0.5276,0.5276,0.5276,0.5276,0,0
BTCDKK,D,20101020,000000,0.5264,0.5264,0.5264,0.5264,0,0
BTCDKK,D,20101021,000000,0.5744,0.5744,0.5744,0.5744,0,0
BTCDKK,D,20101022,000000,0.5476,0.5476,0.5476,0.5476,0,0
BTCDKK,D,20101025,000000,0.7023,0.7023,0.7023,0.7023,0,0
BTCDKK,D,20101026,000000,0.8073,0.8073,0.8073,0.8073,0,0
BTCDKK,D,20101027,000000,1.0217,1.0217,1.0217,1.0217,0,0
BTCDKK,D,20101028,000000,0.9279,0.9279,0.9279,0.9279,0,0
BTCDKK,D,20101029,000000,1.0097,1.0097,1.0097,1.0097,0,0
BTCDKK,D,20101102,000000,1.0275,1.0275,1.0275,1.0275,0,0
BTCDKK,D,20101103,000000,1.023,1.023,1.023,1.023,0,0
BTCDKK,D,20101104,000000,1.2049,1.2049,1.2049,1.2049,0,0
BTCDKK,D,20101105,000000,1.378,1.378,1.378,1.378,0,0
BTCDKK,D,20101108,000000,1.3009,1.3009,1.3009,1.3009,0,0
BTCDKK,D,20101109,000000,1.1183,1.1183,1.1183,1.1183,0,0
BTCDKK,D,20101110,000000,1.3008,1.3008,1.3008,1.3008,0,0
BTCDKK,D,20101112,000000,1.4647,1.4647,1.4647,1.4647,0,0
BTCDKK,D,20101115,000000,1.4606,1.4606,1.4606,1.4606,0,0
BTCDKK,D,20101116,000000,1.242,1.242,1.242,1.242,0,0
BTCDKK,D,20101117,000000,1.2661,1.2661,1.2661,1.2661,0,0
BTCDKK,D,20101118,000000,1.4654,1.4654,1.4654,1.4654,0,0
BTCDKK,D,20101119,000000,1.5291,1.5291,1.5291,1.5291,0,0
BTCDKK,D,20101122,000000,1.5897,1.5897,1.5897,1.5897,0,0
BTCDKK,D,20101123,000000,1.5855,1.5855,1.5855,1.5855,0,0
BTCDKK,D,20101124,000000,1.5722,1.5722,1.5722,1.5722,0,0
BTCDKK,D,20101125,000000,1.5618,1.5618,1.5618,1.5618,0,0
BTCDKK,D,20101126,000000,1.603,1.603,1.603,1.603,0,0
BTCDKK,D,20101129,000000,1.3332,1.3332,1.3332,1.3332,0,0
BTCDKK,D,20101130,000000,1.175,1.175,1.175,1.175,0,0
BTCDKK,D,20101201,000000,1.2845,1.2845,1.2845,1.2845,0,0
BTCDKK,D,20101202,000000,1.4378,1.4378,1.4378,1.4378,0,0
BTCDKK,D,20101203,000000,1.3939,1.3939,1.3939,1.3939,0,0
BTCDKK,D,20101206,000000,1.1457,1.1457,1.1457,1.1457,0,0
BTCDKK,D,20101207,000000,1.3095,1.3095,1.3095,1.3095,0,0
BTCDKK,D,20101208,000000,1.344,1.344,1.344,1.344,0,0
BTCDKK,D,20101209,000000,1.128,1.128,1.128,1.128,0,0
BTCDKK,D,20101210,000000,1.1476,1.1476,1.1476,1.1476,0,0
BTCDKK,D,20101213,000000,1.2709,1.2709,1.2709,1.2709,0,0
BTCDKK,D,20101214,000000,1.3693,1.3693,1.3693,1.3693,0,0
BTCDKK,D,20101215,000000,1.3364,1.3364,1.3364,1.3364,0,0
BTCDKK,D,20101216,000000,1.4037,1.4037,1.4037,1.4037,0,0
BTCDKK,D,20101217,000000,1.3592,1.3592,1.3592,1.3592,0,0
BTCDKK,D,20101220,000000,1.514,1.514,1.514,1.514,0,0
BTCDKK,D,20101221,000000,1.3634,1.3634,1.3634,1.3634,0,0
BTCDKK,D,20101222,000000,1.4209,1.4209,1.4209,1.4209,0,0
BTCDKK,D,20101223,000000,1.4161,1.4161,1.4161,1.4161,0,0
BTCDKK,D,20101224,000000,1.4091,1.4091,1.4091,1.4091,0,0
BTCDKK,D,20101227,000000,1.5064,1.5064,1.5064,1.5064,0,0
BTCDKK,D,20101228,000000,1.5982,1.5982,1.5982,1.5982,0,0
BTCDKK,D,20101229,000000,1.6833,1.6833,1.6833,1.6833,0,0
BTCDKK,D,20101230,000000,1.6836,1.6836,1.6836,1.6836,0,0
BTCDKK,D,20101231,000000,1.6702,1.6702,1.6702,1.6702,0,0
BTCDKK,D,20110103,000000,1.6368,1.6368,1.6368,1.6368,0,0
BTCDKK,D,20110104,000000,1.6627,1.6627,1.6627,1.6627,0,0
BTCDKK,D,20110105,000000,1.6747,1.6747,1.6747,1.6747,0,0
BTCDKK,D,20110107,000000,1.8473,1.8473,1.8473,1.8473,0,0
BTCDKK,D,20110110,000000,1.8743,1.8743,1.8743,1.8743,0,0
BTCDKK,D,20110111,000000,1.858,1.858,1.858,1.858,0,0
BTCDKK,D,20110112,000000,1.8147,1.8147,1.8147,1.8147,0,0
BTCDKK,D,20110113,000000,1.7741,1.7741,1.7741,1.7741,0,0
BTCDKK,D,20110114,000000,2.2257,2.2257,2.2257,2.2257,0,0
BTCDKK,D,20110117,000000,1.9576,1.9576,1.9576,1.9576,0,0
BTCDKK,D,20110118,000000,1.7472,1.7472,1.7472,1.7472,0,0
BTCDKK,D,20110119,000000,1.7231,1.7231,1.7231,1.7231,0,0
BTCDKK,D,20110120,000000,2.1623,2.1623,2.1623,2.1623,0,0
BTCDKK,D,20110121,000000,2.2923,2.2923,2.2923,2.2923,0,0
BTCDKK,D,20110124,000000,2.2935,2.2935,2.2935,2.2935,0,0
BTCDKK,D,20110125,000000,2.2382,2.2382,2.2382,2.2382,0,0
BTCDKK,D,20110126,000000,2.2731,2.2731,2.2731,2.2731,0,0
BTCDKK,D,20110127,000000,2.2896,2.2896,2.2896,2.2896,0,0
BTCDKK,D,20110128,000000,2.4622,2.4622,2.4622,2.4622,0,0
BTCDKK,D,20110131,000000,2.8254,2.8254,2.8254,2.8254,0,0
BTCDKK,D,20110201,000000,3.7613,3.7613,3.7613,3.7613,0,0
BTCDKK,D,20110202,000000,3.8751,3.8751,3.8751,3.8751,0,0
BTCDKK,D,20110203,000000,3.7561,3.7561,3.7561,3.7561,0,0
BTCDKK,D,20110204,000000,4.4311,4.4311,4.4311,4.4311,0,0
BTCDKK,D,20110207,000000,4.909,4.909,4.909,4.909,0,0
BTCDKK,D,20110208,000000,5.024,5.024,5.024,5.024,0,0
BTCDKK,D,20110209,000000,5.9385,5.9385,5.9385,5.9385,0,0
BTCDKK,D,20110210,000000,5.3591,5.3591,5.3591,5.3591,0,0
BTCDKK,D,20110211,000000,5.8733,5.8733,5.8733,5.8733,0,0
BTCDKK,D,20110214,000000,5.9279,5.9279,5.9279,5.9279,0,0
BTCDKK,D,20110215,000000,5.7661,5.7661,5.7661,5.7661,0,0
BTCDKK,D,20110216,000000,5.7532,5.7532,5.7532,5.7532,0,0
BTCDKK,D,20110217,000000,5.6978,5.6978,5.6978,5.6978,0,0
BTCDKK,D,20110218,000000,4.9013,4.9013,4.9013,4.9013,0,0
BTCDKK,D,20110221,000000,4.5653,4.5653,4.5653,4.5653,0,0
BTCDKK,D,20110222,000000,4.7503,4.7503,4.7503,4.7503,0,0
BTCDKK,D,20110223,000000,4.9149,4.9149,4.9149,4.9149,0,0
BTCDKK,D,20110224,000000,5.3877,5.3877,5.3877,5.3877,0,0
BTCDKK,D,20110225,000000,4.9396,4.9396,4.9396,4.9396,0,0
BTCDKK,D,20110228,000000,4.6269,4.6269,4.6269,4.6269,0,0
BTCDKK,D,20110301,000000,4.9887,4.9887,4.9887,4.9887,0,0
BTCDKK,D,20110302,000000,5.0452,5.0452,5.0452,5.0452,0,0
BTCDKK,D,20110303,000000,5.0409,5.0409,5.0409,5.0409,0,0
BTCDKK,D,20110304,000000,4.7795,4.7795,4.7795,4.7795,0,0
BTCDKK,D,20110307,000000,4.7153,4.7153,4.7153,4.7153,0,0
BTCDKK,D,20110308,000000,4.6577,4.6577,4.6577,4.6577,0,0
BTCDKK,D,20110309,000000,4.6477,4.6477,4.6477,4.6477,0,0
BTCDKK,D,20110310,000000,5.0609,5.0609,5.0609,5.0609,0,0
BTCDKK,D,20110311,000000,4.7039,4.7039,4.7039,4.7039,0,0
BTCDKK,D,20110314,000000,4.7879,4.7879,4.7879,4.7879,0,0
BTCDKK,D,20110315,000000,4.6331,4.6331,4.6331,4.6331,0,0
BTCDKK,D,20110316,000000,4.6701,4.6701,4.6701,4.6701,0,0
BTCDKK,D,20110317,000000,4.3788,4.3788,4.3788,4.3788,0,0
BTCDKK,D,20110318,000000,4.3107,4.3107,4.3107,4.3107,0,0
BTCDKK,D,20110321,000000,3.9555,3.9555,3.9555,3.9555,0,0
BTCDKK,D,20110322,000000,4.245,4.245,4.245,4.245,0,0
BTCDKK,D,20110323,000000,4.4855,4.4855,4.4855,4.4855,0,0
BTCDKK,D,20110324,000000,4.5499,4.5499,4.5499,4.5499,0,0
BTCDKK,D,20110325,000000,4.6719,4.6719,4.6719,4.6719,0,0
BTCDKK,D,20110328,000000,4.2216,4.2216,4.2216,4.2216,0,0
BTCDKK,D,20110329,000000,4.1989,4.1989,4.1989,4.1989,0,0
BTCDKK,D,20110330,000000,4.2017,4.2017,4.2017,4.2017,0,0
BTCDKK,D,20110331,000000,4.1398,4.1398,4.1398,4.1398,0,0
BTCDKK,D,20110401,000000,4.0505,4.0505,4.0505,4.0505,0,0
BTCDKK,D,20110404,000000,3.5594,3.5594,3.5594,3.5594,0,0
BTCDKK,D,20110405,000000,3.6974,3.6974,3.6974,3.6974,0,0
BTCDKK,D,20110406,000000,3.8264,3.8264,3.8264,3.8264,0,0
BTCDKK,D,20110407,000000,3.9192,3.9192,3.9192,3.9192,0,0
BTCDKK,D,20110408,000000,3.8764,3.8764,3.8764,3.8764,0,0
BTCDKK,D,20110411,000000,3.9713,3.9713,3.9713,3.9713,0,0
BTCDKK,D,20110412,000000,4.4429,4.4429,4.4429,4.4429,0,0
