<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCEGP,D,20100719,000000,0.46035,0.46035,0.46035,0.46035,0,0
BTCEGP,D,20100720,000000,0.42582,0.42582,0.42582,0.42582,0,0
BTCEGP,D,20100721,000000,0.45144,0.45144,0.45144,0.45144,0,0
BTCEGP,D,20100722,000000,0.28794,0.28794,0.28794,0.28794,0,0
BTCEGP,D,20100723,000000,0.35716,0.35716,0.35716,0.35716,0,0
BTCEGP,D,20100726,000000,0.31937,0.31937,0.31937,0.31937,0,0
BTCEGP,D,20100727,000000,0.34216,0.34216,0.34216,0.34216,0,0
BTCEGP,D,20100728,000000,0.33591,0.33591,0.33591,0.33591,0,0
BTCEGP,D,20100729,000000,0.39849,0.39849,0.39849,0.39849,0,0
BTCEGP,D,20100730,000000,0.35651,0.35651,0.35651,0.35651,0,0
BTCEGP,D,20100802,000000,0.34116,0.34116,0.34116,0.34116,0,0
BTCEGP,D,20100803,000000,0.34143,0.34143,0.34143,0.34143,0,0
BTCEGP,D,20100804,000000,0.32382,0.32382,0.32382,0.32382,0,0
BTCEGP,D,20100805,000000,0.34616,0.34616,0.34616,0.34616,0,0
BTCEGP,D,20100806,000000,0.35262,0.35262,0.35262,0.35262,0,0
BTCEGP,D,20100809,000000,0.40303,0.40303,0.40303,0.40303,0,0
BTCEGP,D,20100810,000000,0.39735,0.39735,0.39735,0.39735,0,0
BTCEGP,D,20100811,000000,0.38024,0.38024,0.38024,0.38024,0,0
BTCEGP,D,20100812,000000,0.39708,0.39708,0.39708,0.39708,0,0
BTCEGP,D,20100813,000000,0.3664,0.3664,0.3664,0.3664,0,0
BTCEGP,D,20100816,000000,0.3729,0.3729,0.3729,0.3729,0,0
BTCEGP,D,20100817,000000,0.39746,0.39746,0.39746,0.39746,0,0
BTCEGP,D,20100818,000000,0.38605,0.38605,0.38605,0.38605,0,0
BTCEGP,D,20100819,000000,0.37924,0.37924,0.37924,0.37924,0,0
BTCEGP,D,20100820,000000,0.37194,0.37194,0.37194,0.37194,0,0
BTCEGP,D,20100823,000000,0.36976,0.36976,0.36976,0.36976,0,0
BTCEGP,D,20100824,000000,0.36911,0.36911,0.36911,0.36911,0,0
BTCEGP,D,20100825,000000,0.36955,0.36955,0.36955,0.36955,0,0
BTCEGP,D,20100826,000000,0.36503,0.36503,0.36503,0.36503,0,0
BTCEGP,D,20100827,000000,0.37073,0.37073,0.37073,0.37073,0,0
BTCEGP,D,20100830,000000,0.37065,0.37065,0.37065,0.37065,0,0
BTCEGP,D,20100831,000000,0.3423,0.3423,0.3423,0.3423,0,0
BTCEGP,D,20100901,000000,0.35884,0.35884,0.35884,0.35884,0,0
BTCEGP,D,20100902,000000,0.3617,0.3617,0.3617,0.3617,0,0
BTCEGP,D,20100903,000000,0.34715,0.34715,0.34715,0.34715,0,0
BTCEGP,D,20100906,000000,0.35142,0.35142,0.35142,0.35142,0,0
BTCEGP,D,20100907,000000,0.34797,0.34797,0.34797,0.34797,0,0
BTCEGP,D,20100908,000000,0.35366,0.35366,0.35366,0.35366,0,0
BTCEGP,D,20100909,000000,0.34858,0.34858,0.34858,0.34858,0,0
BTCEGP,D,20100910,000000,0.35259,0.35259,0.35259,0.35259,0,0
BTCEGP,D,20100913,000000,0.35473,0.35473,0.35473,0.35473,0,0
BTCEGP,D,20100914,000000,0.3536,0.3536,0.3536,0.3536,0,0
BTCEGP,D,20100915,000000,0.34451,0.34451,0.34451,0.34451,0,0
BTCEGP,D,20100916,000000,0.35308,0.35308,0.35308,0.35308,0,0
BTCEGP,D,20100917,000000,0.33653,0.33653,0.33653,0.33653,0,0
BTCEGP,D,20100920,000000,0.35422,0.35422,0.35422,0.35422,0,0
BTCEGP,D,20100921,000000,0.35736,0.35736,0.35736,0.35736,0,0
BTCEGP,D,20100922,000000,0.3548,0.3548,0.3548,0.3548,0,0
BTCEGP,D,20100923,000000,0.35541,0.35541,0.35541,0.35541,0,0
BTCEGP,D,20100924,000000,0.35479,0.35479,0.35479,0.35479,0,0
BTCEGP,D,20100927,000000,0.3548,0.3548,0.3548,0.3548,0,0
BTCEGP,D,20100928,000000,0.35296,0.35296,0.35296,0.35296,0,0
BTCEGP,D,20100929,000000,0.35314,0.35314,0.35314,0.35314,0,0
BTCEGP,D,20100930,000000,0.35307,0.35307,0.35307,0.35307,0,0
BTCEGP,D,20101001,000000,0.35348,0.35348,0.35348,0.35348,0,0
BTCEGP,D,20101004,000000,0.34966,0.34966,0.34966,0.34966,0,0
BTCEGP,D,20101005,000000,0.35023,0.35023,0.35023,0.35023,0,0
BTCEGP,D,20101006,000000,0.35827,0.35827,0.35827,0.35827,0,0
BTCEGP,D,20101007,000000,0.38157,0.38157,0.38157,0.38157,0,0
BTCEGP,D,20101008,000000,0.49471,0.49471,0.49471,0.49471,0,0
BTCEGP,D,20101011,000000,0.5411,0.5411,0.5411,0.5411,0,0
BTCEGP,D,20101012,000000,0.5413,0.5413,0.5413,0.5413,0,0
BTCEGP,D,20101013,000000,0.5987,0.5987,0.5987,0.5987,0,0
BTCEGP,D,20101014,000000,0.5814,0.5814,0.5814,0.5814,0,0
BTCEGP,D,20101015,000000,0.5985,0.5985,0.5985,0.5985,0,0
BTCEGP,D,20101018,000000,0.5852,0.5852,0.5852,0.5852,0,0
BTCEGP,D,20101019,000000,0.5565,0.5565,0.5565,0.5565,0,0
BTCEGP,D,20101020,000000,0.5702,0.5702,0.5702,0.5702,0,0
BTCEGP,D,20101021,000000,0.6163,0.6163,0.6163,0.6163,0,0
BTCEGP,D,20101022,000000,0.5903,0.5903,0.5903,0.5903,0,0
BTCEGP,D,20101025,000000,0.7613,0.7613,0.7613,0.7613,0,0
BTCEGP,D,20101026,000000,0.8677,0.8677,0.8677,0.8677,0,0
BTCEGP,D,20101027,000000,1.0841,1.0841,1.0841,1.0841,0,0
BTCEGP,D,20101028,000000,0.9998,0.9998,0.9998,0.9998,0,0
BTCEGP,D,20101029,000000,1.0975,1.0975,1.0975,1.0975,0,0
BTCEGP,D,20101101,000000,1.1292,1.1292,1.1292,1.1292,0,0
BTCEGP,D,20101102,000000,1.1197,1.1197,1.1197,1.1197,0,0
BTCEGP,D,20101103,000000,1.1157,1.1157,1.1157,1.1157,0,0
BTCEGP,D,20101104,000000,1.3147,1.3147,1.3147,1.3147,0,0
BTCEGP,D,20101105,000000,1.495,1.495,1.495,1.495,0,0
BTCEGP,D,20101108,000000,1.3922,1.3922,1.3922,1.3922,0,0
BTCEGP,D,20101109,000000,1.2068,1.2068,1.2068,1.2068,0,0
BTCEGP,D,20101110,000000,1.3807,1.3807,1.3807,1.3807,0,0
BTCEGP,D,20101111,000000,1.2835,1.2835,1.2835,1.2835,0,0
BTCEGP,D,20101112,000000,1.543,1.543,1.543,1.543,0,0
BTCEGP,D,20101115,000000,1.543,1.543,1.543,1.543,0,0
BTCEGP,D,20101116,000000,1.2829,1.2829,1.2829,1.2829,0,0
BTCEGP,D,20101117,000000,1.3226,1.3226,1.3226,1.3226,0,0
BTCEGP,D,20101118,000000,1.5399,1.5399,1.5399,1.5399,0,0
BTCEGP,D,20101119,000000,1.6103,1.6103,1.6103,1.6103,0,0
BTCEGP,D,20101122,000000,1.6554,1.6554,1.6554,1.6554,0,0
BTCEGP,D,20101123,000000,1.629,1.629,1.629,1.629,0,0
BTCEGP,D,20101124,000000,1.6331,1.6331,1.6331,1.6331,0,0
BTCEGP,D,20101125,000000,1.6173,1.6173,1.6173,1.6173,0,0
BTCEGP,D,20101126,000000,1.6427,1.6427,1.6427,1.6427,0,0
BTCEGP,D,20101129,000000,1.3304,1.3304,1.3304,1.3304,0,0
BTCEGP,D,20101130,000000,1.2055,1.2055,1.2055,1.2055,0,0
BTCEGP,D,20101201,000000,1.3163,1.3163,1.3163,1.3163,0,0
BTCEGP,D,20101202,000000,1.4758,1.4758,1.4758,1.4758,0,0
BTCEGP,D,20101203,000000,1.4528,1.4528,1.4528,1.4528,0,0
BTCEGP,D,20101206,000000,1.1796,1.1796,1.1796,1.1796,0,0
BTCEGP,D,20101207,000000,1.3472,1.3472,1.3472,1.3472,0,0
BTCEGP,D,20101208,000000,1.3822,1.3822,1.3822,1.3822,0,0
BTCEGP,D,20101209,000000,1.1568,1.1568,1.1568,1.1568,0,0
BTCEGP,D,20101210,000000,1.1812,1.1812,1.1812,1.1812,0,0
BTCEGP,D,20101213,000000,1.3332,1.3332,1.3332,1.3332,0,0
BTCEGP,D,20101214,000000,1.4288,1.4288,1.4288,1.4288,0,0
BTCEGP,D,20101215,000000,1.3788,1.3788,1.3788,1.3788,0,0
BTCEGP,D,20101216,000000,1.4488,1.4488,1.4488,1.4488,0,0
BTCEGP,D,20101217,000000,1.391,1.391,1.391,1.391,0,0
BTCEGP,D,20101220,000000,1.5502,1.5502,1.5502,1.5502,0,0
BTCEGP,D,20101221,000000,1.3939,1.3939,1.3939,1.3939,0,0
BTCEGP,D,20101222,000000,1.4518,1.4518,1.4518,1.4518,0,0
BTCEGP,D,20101223,000000,1.4518,1.4518,1.4518,1.4518,0,0
BTCEGP,D,20101224,000000,1.4402,1.4402,1.4402,1.4402,0,0
BTCEGP,D,20101227,000000,1.5389,1.5389,1.5389,1.5389,0,0
