<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCJPY,D,20100719,000000,0.07017,0.07017,0.07017,0.07017,0,0
BTCJPY,D,20100720,000000,0.0652,0.0652,0.0652,0.0652,0,0
BTCJPY,D,20100721,000000,0.0691,0.0691,0.0691,0.0691,0,0
BTCJPY,D,20100722,000000,0.04396,0.04396,0.04396,0.04396,0,0
BTCJPY,D,20100723,000000,0.05464,0.05464,0.05464,0.05464,0,0
BTCJPY,D,20100726,000000,0.04867,0.04867,0.04867,0.04867,0,0
BTCJPY,D,20100727,000000,0.0527,0.0527,0.0527,0.0527,0,0
BTCJPY,D,20100728,000000,0.05164,0.05164,0.05164,0.05164,0,0
BTCJPY,D,20100729,000000,0.0606,0.0606,0.0606,0.0606,0,0
BTCJPY,D,20100730,000000,0.0542,0.0542,0.0542,0.0542,0,0
BTCJPY,D,20100802,000000,0.05187,0.05187,0.05187,0.05187,0,0
BTCJPY,D,20100803,000000,0.05146,0.05146,0.05146,0.05146,0,0
BTCJPY,D,20100804,000000,0.04916,0.04916,0.04916,0.04916,0,0
BTCJPY,D,20100805,000000,0.05242,0.05242,0.05242,0.05242,0,0
BTCJPY,D,20100806,000000,0.05312,0.05312,0.05312,0.05312,0,0
BTCJPY,D,20100809,000000,0.06096,0.06096,0.06096,0.06096,0,0
BTCJPY,D,20100810,000000,0.06005,0.06005,0.06005,0.06005,0,0
BTCJPY,D,20100811,000000,0.05714,0.05714,0.05714,0.05714,0,0
BTCJPY,D,20100812,000000,0.06016,0.06016,0.06016,0.06016,0,0
BTCJPY,D,20100813,000000,0.0556,0.0556,0.0556,0.0556,0,0
BTCJPY,D,20100816,000000,0.0559,0.0559,0.0559,0.0559,0,0
BTCJPY,D,20100817,000000,0.05986,0.05986,0.05986,0.05986,0,0
BTCJPY,D,20100818,000000,0.05803,0.05803,0.05803,0.05803,0,0
BTCJPY,D,20100819,000000,0.0569,0.0569,0.0569,0.0569,0,0
BTCJPY,D,20100820,000000,0.05612,0.05612,0.05612,0.05612,0,0
BTCJPY,D,20100823,000000,0.05535,0.05535,0.05535,0.05535,0,0
BTCJPY,D,20100824,000000,0.05466,0.05466,0.05466,0.05466,0,0
BTCJPY,D,20100825,000000,0.05475,0.05475,0.05475,0.05475,0,0
BTCJPY,D,20100826,000000,0.05418,0.05418,0.05418,0.05418,0,0
BTCJPY,D,20100827,000000,0.05541,0.05541,0.05541,0.05541,0,0
BTCJPY,D,20100830,000000,0.05504,0.05504,0.05504,0.05504,0,0
BTCJPY,D,20100831,000000,0.05046,0.05046,0.05046,0.05046,0,0
BTCJPY,D,20100901,000000,0.0531,0.0531,0.0531,0.0531,0,0
BTCJPY,D,20100902,000000,0.05339,0.05339,0.05339,0.05339,0,0
BTCJPY,D,20100903,000000,0.05139,0.05139,0.05139,0.05139,0,0
BTCJPY,D,20100906,000000,0.05185,0.05185,0.05185,0.05185,0,0
BTCJPY,D,20100907,000000,0.05107,0.05107,0.05107,0.05107,0,0
BTCJPY,D,20100908,000000,0.05202,0.05202,0.05202,0.05202,0,0
BTCJPY,D,20100909,000000,0.05121,0.05121,0.05121,0.05121,0,0
BTCJPY,D,20100910,000000,0.05202,0.05202,0.05202,0.05202,0,0
BTCJPY,D,20100913,000000,0.05202,0.05202,0.05202,0.05202,0,0
BTCJPY,D,20100914,000000,0.05145,0.05145,0.05145,0.05145,0,0
BTCJPY,D,20100915,000000,0.05165,0.05165,0.05165,0.05165,0,0
BTCJPY,D,20100916,000000,0.05305,0.05305,0.05305,0.05305,0,0
BTCJPY,D,20100917,000000,0.0506,0.0506,0.0506,0.0506,0,0
BTCJPY,D,20100920,000000,0.05327,0.05327,0.05327,0.05327,0,0
BTCJPY,D,20100921,000000,0.05348,0.05348,0.05348,0.05348,0,0
BTCJPY,D,20100922,000000,0.0525,0.0525,0.0525,0.0525,0,0
BTCJPY,D,20100923,000000,0.05254,0.05254,0.05254,0.05254,0,0
BTCJPY,D,20100924,000000,0.05247,0.05247,0.05247,0.05247,0,0
BTCJPY,D,20100927,000000,0.05234,0.05234,0.05234,0.05234,0,0
BTCJPY,D,20100928,000000,0.05183,0.05183,0.05183,0.05183,0,0
BTCJPY,D,20100929,000000,0.05176,0.05176,0.05176,0.05176,0,0
BTCJPY,D,20100930,000000,0.05165,0.05165,0.05165,0.05165,0,0
BTCJPY,D,20101001,000000,0.05167,0.05167,0.05167,0.05167,0,0
BTCJPY,D,20101004,000000,0.05111,0.05111,0.05111,0.05111,0,0
BTCJPY,D,20101005,000000,0.05111,0.05111,0.05111,0.05111,0,0
BTCJPY,D,20101006,000000,0.05205,0.05205,0.05205,0.05205,0,0
BTCJPY,D,20101007,000000,0.05516,0.05516,0.05516,0.05516,0,0
BTCJPY,D,20101008,000000,0.07115,0.07115,0.07115,0.07115,0,0
BTCJPY,D,20101011,000000,0.07792,0.07792,0.07792,0.07792,0,0
BTCJPY,D,20101012,000000,0.07765,0.07765,0.07765,0.07765,0,0
BTCJPY,D,20101013,000000,0.08594,0.08594,0.08594,0.08594,0,0
BTCJPY,D,20101014,000000,0.08308,0.08308,0.08308,0.08308,0,0
BTCJPY,D,20101015,000000,0.08537,0.08537,0.08537,0.08537,0,0
BTCJPY,D,20101018,000000,0.08314,0.08314,0.08314,0.08314,0,0
BTCJPY,D,20101019,000000,0.07908,0.07908,0.07908,0.07908,0,0
BTCJPY,D,20101020,000000,0.08022,0.08022,0.08022,0.08022,0,0
BTCJPY,D,20101021,000000,0.08696,0.08696,0.08696,0.08696,0,0
BTCJPY,D,20101022,000000,0.08349,0.08349,0.08349,0.08349,0,0
BTCJPY,D,20101025,000000,0.10654,0.10654,0.10654,0.10654,0,0
BTCJPY,D,20101026,000000,0.12233,0.12233,0.12233,0.12233,0,0
BTCJPY,D,20101027,000000,0.1532,0.1532,0.1532,0.1532,0,0
BTCJPY,D,20101028,000000,0.14024,0.14024,0.14024,0.14024,0,0
BTCJPY,D,20101029,000000,0.15294,0.15294,0.15294,0.15294,0,0
BTCJPY,D,20101101,000000,0.15757,0.15757,0.15757,0.15757,0,0
BTCJPY,D,20101102,000000,0.15643,0.15643,0.15643,0.15643,0,0
BTCJPY,D,20101103,000000,0.15675,0.15675,0.15675,0.15675,0,0
BTCJPY,D,20101104,000000,0.18557,0.18557,0.18557,0.18557,0,0
BTCJPY,D,20101105,000000,0.21154,0.21154,0.21154,0.21154,0,0
BTCJPY,D,20101108,000000,0.19724,0.19724,0.19724,0.19724,0,0
BTCJPY,D,20101109,000000,0.17042,0.17042,0.17042,0.17042,0,0
BTCJPY,D,20101110,000000,0.1982,0.1982,0.1982,0.1982,0,0
BTCJPY,D,20101111,000000,0.18397,0.18397,0.18397,0.18397,0,0
BTCJPY,D,20101112,000000,0.22146,0.22146,0.22146,0.22146,0,0
BTCJPY,D,20101115,000000,0.22204,0.22204,0.22204,0.22204,0,0
BTCJPY,D,20101116,000000,0.18611,0.18611,0.18611,0.18611,0,0
BTCJPY,D,20101117,000000,0.19131,0.19131,0.19131,0.19131,0,0
BTCJPY,D,20101118,000000,0.22389,0.22389,0.22389,0.22389,0,0
BTCJPY,D,20101119,000000,0.23387,0.23387,0.23387,0.23387,0,0
BTCJPY,D,20101122,000000,0.24016,0.24016,0.24016,0.24016,0,0
BTCJPY,D,20101123,000000,0.23441,0.23441,0.23441,0.23441,0,0
BTCJPY,D,20101124,000000,0.236,0.236,0.236,0.236,0,0
BTCJPY,D,20101125,000000,0.23404,0.23404,0.23404,0.23404,0,0
BTCJPY,D,20101126,000000,0.23894,0.23894,0.23894,0.23894,0,0
BTCJPY,D,20101129,000000,0.19381,0.19381,0.19381,0.19381,0,0
BTCJPY,D,20101130,000000,0.17407,0.17407,0.17407,0.17407,0,0
BTCJPY,D,20101201,000000,0.19157,0.19157,0.19157,0.19157,0,0
BTCJPY,D,20101202,000000,0.21348,0.21348,0.21348,0.21348,0,0
BTCJPY,D,20101203,000000,0.20768,0.20768,0.20768,0.20768,0,0
BTCJPY,D,20101206,000000,0.16866,0.16866,0.16866,0.16866,0,0
BTCJPY,D,20101207,000000,0.19398,0.19398,0.19398,0.19398,0,0
BTCJPY,D,20101208,000000,0.20117,0.20117,0.20117,0.20117,0,0
BTCJPY,D,20101209,000000,0.16748,0.16748,0.16748,0.16748,0,0
BTCJPY,D,20101210,000000,0.17123,0.17123,0.17123,0.17123,0,0
BTCJPY,D,20101213,000000,0.19181,0.19181,0.19181,0.19181,0,0
BTCJPY,D,20101214,000000,0.20575,0.20575,0.20575,0.20575,0,0
BTCJPY,D,20101215,000000,0.2,0.2,0.2,0.2,0,0
