<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCKRW,D,20100719,000000,0.00983,0.00983,0.00983,0.00983,0,0
BTCKRW,D,20100720,000000,0.009,0.009,0.009,0.009,0,0
BTCKRW,D,20100721,000000,0.00952,0.00952,0.00952,0.00952,0,0
BTCKRW,D,20100722,000000,0.00603,0.00603,0.00603,0.00603,0,0
BTCKRW,D,20100723,000000,0.00757,0.00757,0.00757,0.00757,0,0
BTCKRW,D,20100726,000000,0.00659,0.00659,0.00659,0.00659,0,0
BTCKRW,D,20100727,000000,0.00708,0.00708,0.00708,0.00708,0,0
BTCKRW,D,20100728,000000,0.00698,0.00698,0.00698,0.00698,0,0
BTCKRW,D,20100729,000000,0.0083,0.0083,0.0083,0.0083,0,0
BTCKRW,D,20100730,000000,0.00736,0.00736,0.00736,0.00736,0,0
BTCKRW,D,20100802,000000,0.00696,0.00696,0.00696,0.00696,0,0
BTCKRW,D,20100803,000000,0.00706,0.00706,0.00706,0.00706,0,0
BTCKRW,D,20100804,000000,0.00663,0.00663,0.00663,0.00663,0,0
BTCKRW,D,20100805,000000,0.00716,0.00716,0.00716,0.00716,0,0
BTCKRW,D,20100806,000000,0.00719,0.00719,0.00719,0.00719,0,0
BTCKRW,D,20100809,000000,0.00823,0.00823,0.00823,0.00823,0,0
BTCKRW,D,20100810,000000,0.00824,0.00824,0.00824,0.00824,0,0
BTCKRW,D,20100811,000000,0.008,0.008,0.008,0.008,0,0
BTCKRW,D,20100812,000000,0.00824,0.00824,0.00824,0.00824,0,0
BTCKRW,D,20100813,000000,0.00764,0.00764,0.00764,0.00764,0,0
BTCKRW,D,20100816,000000,0.00771,0.00771,0.00771,0.00771,0,0
BTCKRW,D,20100817,000000,0.00818,0.00818,0.00818,0.00818,0,0
BTCKRW,D,20100818,000000,0.00796,0.00796,0.00796,0.00796,0,0
BTCKRW,D,20100819,000000,0.00786,0.00786,0.00786,0.00786,0,0
BTCKRW,D,20100820,000000,0.00774,0.00774,0.00774,0.00774,0,0
BTCKRW,D,20100823,000000,0.00773,0.00773,0.00773,0.00773,0,0
BTCKRW,D,20100824,000000,0.00769,0.00769,0.00769,0.00769,0,0
BTCKRW,D,20100825,000000,0.00774,0.00774,0.00774,0.00774,0,0
