<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCRUB,D,20100719,000000,0.02463,0.02463,0.02463,0.02463,0,0
BTCRUB,D,20100720,000000,0.02273,0.02273,0.02273,0.02273,0,0
BTCRUB,D,20100721,000000,0.02413,0.02413,0.02413,0.02413,0,0
BTCRUB,D,20100722,000000,0.01534,0.01534,0.01534,0.01534,0,0
BTCRUB,D,20100723,000000,0.01897,0.01897,0.01897,0.01897,0,0
BTCRUB,D,20100726,000000,0.01686,0.01686,0.01686,0.01686,0,0
BTCRUB,D,20100727,000000,0.01813,0.01813,0.01813,0.01813,0,0
BTCRUB,D,20100728,000000,0.01781,0.01781,0.01781,0.01781,0,0
BTCRUB,D,20100729,000000,0.02116,0.02116,0.02116,0.02116,0,0
BTCRUB,D,20100730,000000,0.01897,0.01897,0.01897,0.01897,0,0
BTCRUB,D,20100802,000000,0.01798,0.01798,0.01798,0.01798,0,0
BTCRUB,D,20100803,000000,0.01783,0.01783,0.01783,0.01783,0,0
BTCRUB,D,20100804,000000,0.01694,0.01694,0.01694,0.01694,0,0
BTCRUB,D,20100805,000000,0.0182,0.0182,0.0182,0.0182,0,0
BTCRUB,D,20100806,000000,0.01858,0.01858,0.01858,0.01858,0,0
BTCRUB,D,20100809,000000,0.0212,0.0212,0.0212,0.0212,0,0
BTCRUB,D,20100810,000000,0.02111,0.02111,0.02111,0.02111,0,0
BTCRUB,D,20100811,000000,0.02038,0.02038,0.02038,0.02038,0,0
BTCRUB,D,20100812,000000,0.02137,0.02137,0.02137,0.02137,0,0
BTCRUB,D,20100813,000000,0.01956,0.01956,0.01956,0.01956,0,0
BTCRUB,D,20100816,000000,0.01996,0.01996,0.01996,0.01996,0,0
BTCRUB,D,20100817,000000,0.02123,0.02123,0.02123,0.02123,0,0
BTCRUB,D,20100818,000000,0.02059,0.02059,0.02059,0.02059,0,0
BTCRUB,D,20100819,000000,0.02042,0.02042,0.02042,0.02042,0,0
BTCRUB,D,20100820,000000,0.02003,0.02003,0.02003,0.02003,0,0
BTCRUB,D,20100823,000000,0.01988,0.01988,0.01988,0.01988,0,0
BTCRUB,D,20100824,000000,0.02003,0.02003,0.02003,0.02003,0,0
BTCRUB,D,20100825,000000,0.01998,0.01998,0.01998,0.01998,0,0
BTCRUB,D,20100826,000000,0.01972,0.01972,0.01972,0.01972,0,0
BTCRUB,D,20100827,000000,0.01991,0.01991,0.01991,0.01991,0,0
BTCRUB,D,20100830,000000,0.02001,0.02001,0.02001,0.02001,0,0
BTCRUB,D,20100831,000000,0.01849,0.01849,0.01849,0.01849,0,0
BTCRUB,D,20100901,000000,0.01936,0.01936,0.01936,0.01936,0,0
BTCRUB,D,20100902,000000,0.01945,0.01945,0.01945,0.01945,0,0
BTCRUB,D,20100903,000000,0.01857,0.01857,0.01857,0.01857,0,0
BTCRUB,D,20100906,000000,0.01882,0.01882,0.01882,0.01882,0,0
BTCRUB,D,20100907,000000,0.01883,0.01883,0.01883,0.01883,0,0
BTCRUB,D,20100908,000000,0.0191,0.0191,0.0191,0.0191,0,0
BTCRUB,D,20100909,000000,0.01892,0.01892,0.01892,0.01892,0,0
BTCRUB,D,20100910,000000,0.0191,0.0191,0.0191,0.0191,0,0
BTCRUB,D,20100913,000000,0.01908,0.01908,0.01908,0.01908,0,0
BTCRUB,D,20100914,000000,0.01893,0.01893,0.01893,0.01893,0,0
BTCRUB,D,20100915,000000,0.01875,0.01875,0.01875,0.01875,0,0
BTCRUB,D,20100916,000000,0.01942,0.01942,0.01942,0.01942,0,0
BTCRUB,D,20100917,000000,0.01827,0.01827,0.01827,0.01827,0,0
BTCRUB,D,20100920,000000,0.0193,0.0193,0.0193,0.0193,0,0
BTCRUB,D,20100921,000000,0.0195,0.0195,0.0195,0.0195,0,0
BTCRUB,D,20100922,000000,0.01935,0.01935,0.01935,0.01935,0,0
BTCRUB,D,20100923,000000,0.01928,0.01928,0.01928,0.01928,0,0
BTCRUB,D,20100924,000000,0.01912,0.01912,0.01912,0.01912,0,0
BTCRUB,D,20100927,000000,0.01897,0.01897,0.01897,0.01897,0,0
BTCRUB,D,20100928,000000,0.01878,0.01878,0.01878,0.01878,0,0
BTCRUB,D,20100929,000000,0.01879,0.01879,0.01879,0.01879,0,0
BTCRUB,D,20100930,000000,0.01892,0.01892,0.01892,0.01892,0,0
BTCRUB,D,20101001,000000,0.01885,0.01885,0.01885,0.01885,0,0
BTCRUB,D,20101004,000000,0.0187,0.0187,0.0187,0.0187,0,0
BTCRUB,D,20101005,000000,0.01841,0.01841,0.01841,0.01841,0,0
BTCRUB,D,20101006,000000,0.01872,0.01872,0.01872,0.01872,0,0
BTCRUB,D,20101007,000000,0.02009,0.02009,0.02009,0.02009,0,0
BTCRUB,D,20101008,000000,0.02585,0.02585,0.02585,0.02585,0,0
BTCRUB,D,20101011,000000,0.02843,0.02843,0.02843,0.02843,0,0
BTCRUB,D,20101012,000000,0.02849,0.02849,0.02849,0.02849,0,0
BTCRUB,D,20101013,000000,0.03141,0.03141,0.03141,0.03141,0,0
BTCRUB,D,20101014,000000,0.03076,0.03076,0.03076,0.03076,0,0
BTCRUB,D,20101015,000000,0.03173,0.03173,0.03173,0.03173,0,0
BTCRUB,D,20101018,000000,0.0311,0.0311,0.0311,0.0311,0,0
BTCRUB,D,20101019,000000,0.02969,0.02969,0.02969,0.02969,0,0
BTCRUB,D,20101020,000000,0.03036,0.03036,0.03036,0.03036,0,0
BTCRUB,D,20101021,000000,0.03292,0.03292,0.03292,0.03292,0,0
BTCRUB,D,20101022,000000,0.03116,0.03116,0.03116,0.03116,0,0
BTCRUB,D,20101025,000000,0.04,0.04,0.04,0.04,0,0
BTCRUB,D,20101026,000000,0.04576,0.04576,0.04576,0.04576,0,0
BTCRUB,D,20101027,000000,0.05772,0.05772,0.05772,0.05772,0,0
BTCRUB,D,20101028,000000,0.05303,0.05303,0.05303,0.05303,0,0
BTCRUB,D,20101029,000000,0.0584,0.0584,0.0584,0.0584,0,0
BTCRUB,D,20101101,000000,0.06015,0.06015,0.06015,0.06015,0,0
BTCRUB,D,20101102,000000,0.05945,0.05945,0.05945,0.05945,0,0
BTCRUB,D,20101103,000000,0.05931,0.05931,0.05931,0.05931,0,0
BTCRUB,D,20101108,000000,0.07464,0.07464,0.07464,0.07464,0,0
BTCRUB,D,20101109,000000,0.06462,0.06462,0.06462,0.06462,0,0
BTCRUB,D,20101110,000000,0.07368,0.07368,0.07368,0.07368,0,0
BTCRUB,D,20101111,000000,0.06832,0.06832,0.06832,0.06832,0,0
BTCRUB,D,20101112,000000,0.08329,0.08329,0.08329,0.08329,0,0
BTCRUB,D,20101115,000000,0.0829,0.0829,0.0829,0.0829,0,0
BTCRUB,D,20101116,000000,0.07004,0.07004,0.07004,0.07004,0,0
BTCRUB,D,20101117,000000,0.07192,0.07192,0.07192,0.07192,0,0
BTCRUB,D,20101118,000000,0.08298,0.08298,0.08298,0.08298,0,0
BTCRUB,D,20101119,000000,0.08703,0.08703,0.08703,0.08703,0,0
BTCRUB,D,20101122,000000,0.08998,0.08998,0.08998,0.08998,0,0
BTCRUB,D,20101123,000000,0.08923,0.08923,0.08923,0.08923,0,0
BTCRUB,D,20101124,000000,0.08839,0.08839,0.08839,0.08839,0,0
BTCRUB,D,20101125,000000,0.08718,0.08718,0.08718,0.08718,0,0
BTCRUB,D,20101126,000000,0.08924,0.08924,0.08924,0.08924,0,0
BTCRUB,D,20101129,000000,0.07246,0.07246,0.07246,0.07246,0,0
BTCRUB,D,20101130,000000,0.06526,0.06526,0.06526,0.06526,0,0
BTCRUB,D,20101201,000000,0.07086,0.07086,0.07086,0.07086,0,0
BTCRUB,D,20101202,000000,0.07934,0.07934,0.07934,0.07934,0,0
BTCRUB,D,20101203,000000,0.07828,0.07828,0.07828,0.07828,0,0
BTCRUB,D,20101206,000000,0.06342,0.06342,0.06342,0.06342,0,0
BTCRUB,D,20101207,000000,0.07252,0.07252,0.07252,0.07252,0,0
BTCRUB,D,20101208,000000,0.07404,0.07404,0.07404,0.07404,0,0
BTCRUB,D,20101209,000000,0.06183,0.06183,0.06183,0.06183,0,0
BTCRUB,D,20101210,000000,0.06304,0.06304,0.06304,0.06304,0,0
BTCRUB,D,20101213,000000,0.07058,0.07058,0.07058,0.07058,0,0
BTCRUB,D,20101214,000000,0.07558,0.07558,0.07558,0.07558,0,0
BTCRUB,D,20101215,000000,0.07349,0.07349,0.07349,0.07349,0,0
BTCRUB,D,20101216,000000,0.07655,0.07655,0.07655,0.07655,0,0
BTCRUB,D,20101217,000000,0.07387,0.07387,0.07387,0.07387,0,0
BTCRUB,D,20101220,000000,0.08219,0.08219,0.08219,0.08219,0,0
BTCRUB,D,20101221,000000,0.07398,0.07398,0.07398,0.07398,0,0
BTCRUB,D,20101222,000000,0.07672,0.07672,0.07672,0.07672,0,0
BTCRUB,D,20101223,000000,0.07604,0.07604,0.07604,0.07604,0,0
BTCRUB,D,20101224,000000,0.07556,0.07556,0.07556,0.07556,0,0
BTCRUB,D,20101227,000000,0.08077,0.08077,0.08077,0.08077,0,0
BTCRUB,D,20101228,000000,0.08517,0.08517,0.08517,0.08517,0,0
BTCRUB,D,20101229,000000,0.09105,0.09105,0.09105,0.09105,0,0
BTCRUB,D,20101230,000000,0.0918,0.0918,0.0918,0.0918,0,0
BTCRUB,D,20101231,000000,0.09129,0.09129,0.09129,0.09129,0,0
BTCRUB,D,20110111,000000,0.09931,0.09931,0.09931,0.09931,0,0
BTCRUB,D,20110112,000000,0.09614,0.09614,0.09614,0.09614,0,0
BTCRUB,D,20110113,000000,0.09509,0.09509,0.09509,0.09509,0,0
BTCRUB,D,20110114,000000,0.12023,0.12023,0.12023,0.12023,0,0
BTCRUB,D,20110117,000000,0.1045,0.1045,0.1045,0.1045,0,0
BTCRUB,D,20110118,000000,0.09364,0.09364,0.09364,0.09364,0,0
BTCRUB,D,20110119,000000,0.09323,0.09323,0.09323,0.09323,0,0
BTCRUB,D,20110120,000000,0.11645,0.11645,0.11645,0.11645,0,0
BTCRUB,D,20110121,000000,0.12568,0.12568,0.12568,0.12568,0,0
BTCRUB,D,20110124,000000,0.1253,0.1253,0.1253,0.1253,0,0
BTCRUB,D,20110125,000000,0.1223,0.1223,0.1223,0.1223,0,0
BTCRUB,D,20110126,000000,0.12397,0.12397,0.12397,0.12397,0,0
BTCRUB,D,20110127,000000,0.12496,0.12496,0.12496,0.12496,0,0
BTCRUB,D,20110128,000000,0.13305,0.13305,0.13305,0.13305,0,0
BTCRUB,D,20110131,000000,0.15485,0.15485,0.15485,0.15485,0,0
BTCRUB,D,20110201,000000,0.20648,0.20648,0.20648,0.20648,0,0
BTCRUB,D,20110202,000000,0.21105,0.21105,0.21105,0.21105,0,0
BTCRUB,D,20110203,000000,0.20303,0.20303,0.20303,0.20303,0,0
BTCRUB,D,20110204,000000,0.23823,0.23823,0.23823,0.23823,0,0
BTCRUB,D,20110207,000000,0.26099,0.26099,0.26099,0.26099,0,0
BTCRUB,D,20110208,000000,0.26834,0.26834,0.26834,0.26834,0,0
BTCRUB,D,20110209,000000,0.32019,0.32019,0.32019,0.32019,0,0
BTCRUB,D,20110210,000000,0.28698,0.28698,0.28698,0.28698,0,0
BTCRUB,D,20110211,000000,0.31451,0.31451,0.31451,0.31451,0,0
BTCRUB,D,20110214,000000,0.31238,0.31238,0.31238,0.31238,0,0
BTCRUB,D,20110215,000000,0.30714,0.30714,0.30714,0.30714,0,0
BTCRUB,D,20110216,000000,0.30584,0.30584,0.30584,0.30584,0,0
BTCRUB,D,20110217,000000,0.30311,0.30311,0.30311,0.30311,0,0
BTCRUB,D,20110218,000000,0.2613,0.2613,0.2613,0.2613,0,0
BTCRUB,D,20110221,000000,0.24331,0.24331,0.24331,0.24331,0,0
BTCRUB,D,20110222,000000,0.25585,0.25585,0.25585,0.25585,0,0
BTCRUB,D,20110224,000000,0.28932,0.28932,0.28932,0.28932,0,0
BTCRUB,D,20110225,000000,0.26369,0.26369,0.26369,0.26369,0,0
BTCRUB,D,20110228,000000,0.24824,0.24824,0.24824,0.24824,0,0
BTCRUB,D,20110301,000000,0.26478,0.26478,0.26478,0.26478,0,0
