<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCTHB,D,20100719,000000,0.0261,0.0261,0.0261,0.0261,0,0
BTCTHB,D,20100720,000000,0.02421,0.02421,0.02421,0.02421,0,0
BTCTHB,D,20100721,000000,0.02557,0.02557,0.02557,0.02557,0,0
BTCTHB,D,20100722,000000,0.01618,0.01618,0.01618,0.01618,0,0
BTCTHB,D,20100723,000000,0.02033,0.02033,0.02033,0.02033,0,0
BTCTHB,D,20100726,000000,0.0178,0.0178,0.0178,0.0178,0,0
BTCTHB,D,20100727,000000,0.01931,0.01931,0.01931,0.01931,0,0
BTCTHB,D,20100728,000000,0.01901,0.01901,0.01901,0.01901,0,0
BTCTHB,D,20100729,000000,0.02256,0.02256,0.02256,0.02256,0,0
BTCTHB,D,20100730,000000,0.0202,0.0202,0.0202,0.0202,0,0
BTCTHB,D,20100802,000000,0.01913,0.01913,0.01913,0.01913,0,0
BTCTHB,D,20100803,000000,0.01934,0.01934,0.01934,0.01934,0,0
BTCTHB,D,20100804,000000,0.01821,0.01821,0.01821,0.01821,0,0
BTCTHB,D,20100805,000000,0.01959,0.01959,0.01959,0.01959,0,0
BTCTHB,D,20100806,000000,0.01986,0.01986,0.01986,0.01986,0,0
BTCTHB,D,20100809,000000,0.02262,0.02262,0.02262,0.02262,0,0
BTCTHB,D,20100810,000000,0.02256,0.02256,0.02256,0.02256,0,0
BTCTHB,D,20100811,000000,0.0217,0.0217,0.0217,0.0217,0,0
BTCTHB,D,20100812,000000,0.02229,0.02229,0.02229,0.02229,0,0
BTCTHB,D,20100813,000000,0.02064,0.02064,0.02064,0.02064,0,0
BTCTHB,D,20100816,000000,0.02063,0.02063,0.02063,0.02063,0,0
BTCTHB,D,20100817,000000,0.02208,0.02208,0.02208,0.02208,0,0
BTCTHB,D,20100818,000000,0.02137,0.02137,0.02137,0.02137,0,0
BTCTHB,D,20100819,000000,0.02109,0.02109,0.02109,0.02109,0,0
BTCTHB,D,20100820,000000,0.02068,0.02068,0.02068,0.02068,0,0
BTCTHB,D,20100823,000000,0.02062,0.02062,0.02062,0.02062,0,0
BTCTHB,D,20100824,000000,0.02043,0.02043,0.02043,0.02043,0,0
BTCTHB,D,20100825,000000,0.02048,0.02048,0.02048,0.02048,0,0
BTCTHB,D,20100826,000000,0.02,0.02,0.02,0.02,0,0
BTCTHB,D,20100827,000000,0.02023,0.02023,0.02023,0.02023,0,0
BTCTHB,D,20100830,000000,0.02047,0.02047,0.02047,0.02047,0,0
BTCTHB,D,20100831,000000,0.01873,0.01873,0.01873,0.01873,0,0
BTCTHB,D,20100901,000000,0.01944,0.01944,0.01944,0.01944,0,0
BTCTHB,D,20100902,000000,0.01975,0.01975,0.01975,0.01975,0,0
BTCTHB,D,20100903,000000,0.01874,0.01874,0.01874,0.01874,0,0
BTCTHB,D,20100906,000000,0.01917,0.01917,0.01917,0.01917,0,0
BTCTHB,D,20100907,000000,0.01904,0.01904,0.01904,0.01904,0,0
BTCTHB,D,20100908,000000,0.01905,0.01905,0.01905,0.01905,0,0
BTCTHB,D,20100909,000000,0.0189,0.0189,0.0189,0.0189,0,0
BTCTHB,D,20100910,000000,0.0191,0.0191,0.0191,0.0191,0,0
BTCTHB,D,20100913,000000,0.01901,0.01901,0.01901,0.01901,0,0
BTCTHB,D,20100914,000000,0.01874,0.01874,0.01874,0.01874,0,0
BTCTHB,D,20100915,000000,0.01861,0.01861,0.01861,0.01861,0,0
BTCTHB,D,20100916,000000,0.01914,0.01914,0.01914,0.01914,0,0
BTCTHB,D,20100917,000000,0.01827,0.01827,0.01827,0.01827,0,0
BTCTHB,D,20100920,000000,0.01906,0.01906,0.01906,0.01906,0,0
BTCTHB,D,20100921,000000,0.0193,0.0193,0.0193,0.0193,0,0
BTCTHB,D,20100922,000000,0.01899,0.01899,0.01899,0.01899,0,0
BTCTHB,D,20100923,000000,0.01901,0.01901,0.01901,0.01901,0,0
BTCTHB,D,20100924,000000,0.01885,0.01885,0.01885,0.01885,0,0
BTCTHB,D,20100927,000000,0.01893,0.01893,0.01893,0.01893,0,0
BTCTHB,D,20100928,000000,0.01863,0.01863,0.01863,0.01863,0,0
BTCTHB,D,20100929,000000,0.01881,0.01881,0.01881,0.01881,0,0
BTCTHB,D,20100930,000000,0.01873,0.01873,0.01873,0.01873,0,0
BTCTHB,D,20101001,000000,0.01862,0.01862,0.01862,0.01862,0,0
BTCTHB,D,20101004,000000,0.01851,0.01851,0.01851,0.01851,0,0
BTCTHB,D,20101005,000000,0.01831,0.01831,0.01831,0.01831,0,0
BTCTHB,D,20101006,000000,0.0188,0.0188,0.0188,0.0188,0,0
BTCTHB,D,20101007,000000,0.02018,0.02018,0.02018,0.02018,0,0
BTCTHB,D,20101008,000000,0.02594,0.02594,0.02594,0.02594,0,0
BTCTHB,D,20101011,000000,0.02849,0.02849,0.02849,0.02849,0,0
BTCTHB,D,20101012,000000,0.0282,0.0282,0.0282,0.0282,0,0
BTCTHB,D,20101013,000000,0.03094,0.03094,0.03094,0.03094,0,0
BTCTHB,D,20101014,000000,0.0305,0.0305,0.0305,0.0305,0,0
BTCTHB,D,20101015,000000,0.03146,0.03146,0.03146,0.03146,0,0
BTCTHB,D,20101018,000000,0.03031,0.03031,0.03031,0.03031,0,0
BTCTHB,D,20101019,000000,0.02943,0.02943,0.02943,0.02943,0,0
BTCTHB,D,20101020,000000,0.02919,0.02919,0.02919,0.02919,0,0
BTCTHB,D,20101021,000000,0.03219,0.03219,0.03219,0.03219,0,0
BTCTHB,D,20101022,000000,0.03048,0.03048,0.03048,0.03048,0,0
BTCTHB,D,20101025,000000,0.0394,0.0394,0.0394,0.0394,0,0
BTCTHB,D,20101026,000000,0.04513,0.04513,0.04513,0.04513,0,0
BTCTHB,D,20101027,000000,0.05669,0.05669,0.05669,0.05669,0,0
BTCTHB,D,20101028,000000,0.05148,0.05148,0.05148,0.05148,0,0
BTCTHB,D,20101029,000000,0.0561,0.0561,0.0561,0.0561,0,0
BTCTHB,D,20101102,000000,0.05745,0.05745,0.05745,0.05745,0,0
BTCTHB,D,20101103,000000,0.05724,0.05724,0.05724,0.05724,0,0
BTCTHB,D,20101104,000000,0.06831,0.06831,0.06831,0.06831,0,0
BTCTHB,D,20101105,000000,0.07747,0.07747,0.07747,0.07747,0,0
BTCTHB,D,20101108,000000,0.07205,0.07205,0.07205,0.07205,0,0
BTCTHB,D,20101109,000000,0.06152,0.06152,0.06152,0.06152,0,0
BTCTHB,D,20101110,000000,0.07128,0.07128,0.07128,0.07128,0,0
BTCTHB,D,20101112,000000,0.07986,0.07986,0.07986,0.07986,0,0
BTCTHB,D,20101115,000000,0.0799,0.0799,0.0799,0.0799,0,0
BTCTHB,D,20101116,000000,0.06779,0.06779,0.06779,0.06779,0,0
BTCTHB,D,20101117,000000,0.06882,0.06882,0.06882,0.06882,0,0
BTCTHB,D,20101118,000000,0.08031,0.08031,0.08031,0.08031,0,0
BTCTHB,D,20101119,000000,0.08404,0.08404,0.08404,0.08404,0,0
BTCTHB,D,20101122,000000,0.08763,0.08763,0.08763,0.08763,0,0
BTCTHB,D,20101123,000000,0.08674,0.08674,0.08674,0.08674,0,0
BTCTHB,D,20101124,000000,0.08438,0.08438,0.08438,0.08438,0,0
BTCTHB,D,20101125,000000,0.08376,0.08376,0.08376,0.08376,0,0
BTCTHB,D,20101126,000000,0.08596,0.08596,0.08596,0.08596,0,0
BTCTHB,D,20101129,000000,0.07139,0.07139,0.07139,0.07139,0,0
BTCTHB,D,20101130,000000,0.06186,0.06186,0.06186,0.06186,0,0
BTCTHB,D,20101201,000000,0.06761,0.06761,0.06761,0.06761,0,0
BTCTHB,D,20101202,000000,0.07643,0.07643,0.07643,0.07643,0,0
BTCTHB,D,20101203,000000,0.07438,0.07438,0.07438,0.07438,0,0
BTCTHB,D,20101206,000000,0.0614,0.0614,0.0614,0.0614,0,0
BTCTHB,D,20101207,000000,0.07055,0.07055,0.07055,0.07055,0,0
BTCTHB,D,20101208,000000,0.07185,0.07185,0.07185,0.07185,0,0
BTCTHB,D,20101209,000000,0.06006,0.06006,0.06006,0.06006,0,0
BTCTHB,D,20101210,000000,0.06136,0.06136,0.06136,0.06136,0,0
BTCTHB,D,20101213,000000,0.06779,0.06779,0.06779,0.06779,0,0
BTCTHB,D,20101214,000000,0.07398,0.07398,0.07398,0.07398,0,0
BTCTHB,D,20101215,000000,0.07173,0.07173,0.07173,0.07173,0,0
BTCTHB,D,20101216,000000,0.07517,0.07517,0.07517,0.07517,0,0
BTCTHB,D,20101217,000000,0.07342,0.07342,0.07342,0.07342,0,0
BTCTHB,D,20101220,000000,0.08072,0.08072,0.08072,0.08072,0,0
BTCTHB,D,20101221,000000,0.07251,0.07251,0.07251,0.07251,0,0
BTCTHB,D,20101222,000000,0.07573,0.07573,0.07573,0.07573,0,0
BTCTHB,D,20101223,000000,0.07513,0.07513,0.07513,0.07513,0,0
BTCTHB,D,20101224,000000,0.07488,0.07488,0.07488,0.07488,0,0
BTCTHB,D,20101227,000000,0.08021,0.08021,0.08021,0.08021,0,0
BTCTHB,D,20101228,000000,0.08551,0.08551,0.08551,0.08551,0,0
BTCTHB,D,20101229,000000,0.08951,0.08951,0.08951,0.08951,0,0
BTCTHB,D,20101230,000000,0.09023,0.09023,0.09023,0.09023,0,0
BTCTHB,D,20101231,000000,0.08991,0.08991,0.08991,0.08991,0,0
BTCTHB,D,20110103,000000,0.08773,0.08773,0.08773,0.08773,0,0
BTCTHB,D,20110104,000000,0.08977,0.08977,0.08977,0.08977,0,0
BTCTHB,D,20110105,000000,0.08992,0.08992,0.08992,0.08992,0,0
BTCTHB,D,20110107,000000,0.09778,0.09778,0.09778,0.09778,0,0
BTCTHB,D,20110110,000000,0.09982,0.09982,0.09982,0.09982,0,0
BTCTHB,D,20110111,000000,0.09851,0.09851,0.09851,0.09851,0,0
BTCTHB,D,20110112,000000,0.09634,0.09634,0.09634,0.09634,0,0
BTCTHB,D,20110113,000000,0.09529,0.09529,0.09529,0.09529,0,0
BTCTHB,D,20110114,000000,0.12162,0.12162,0.12162,0.12162,0,0
BTCTHB,D,20110117,000000,0.10658,0.10658,0.10658,0.10658,0,0
BTCTHB,D,20110118,000000,0.09592,0.09592,0.09592,0.09592,0,0
BTCTHB,D,20110119,000000,0.0948,0.0948,0.0948,0.0948,0,0
BTCTHB,D,20110120,000000,0.11966,0.11966,0.11966,0.11966,0,0
BTCTHB,D,20110121,000000,0.12742,0.12742,0.12742,0.12742,0,0
BTCTHB,D,20110124,000000,0.12924,0.12924,0.12924,0.12924,0,0
BTCTHB,D,20110125,000000,0.12615,0.12615,0.12615,0.12615,0,0
BTCTHB,D,20110126,000000,0.12897,0.12897,0.12897,0.12897,0,0
BTCTHB,D,20110127,000000,0.12983,0.12983,0.12983,0.12983,0,0
BTCTHB,D,20110128,000000,0.14073,0.14073,0.14073,0.14073,0,0
BTCTHB,D,20110131,000000,0.15983,0.15983,0.15983,0.15983,0,0
BTCTHB,D,20110201,000000,0.21432,0.21432,0.21432,0.21432,0,0
BTCTHB,D,20110202,000000,0.22142,0.22142,0.22142,0.22142,0,0
BTCTHB,D,20110203,000000,0.21381,0.21381,0.21381,0.21381,0,0
BTCTHB,D,20110204,000000,0.24923,0.24923,0.24923,0.24923,0,0
BTCTHB,D,20110207,000000,0.27508,0.27508,0.27508,0.27508,0,0
BTCTHB,D,20110208,000000,0.28166,0.28166,0.28166,0.28166,0,0
BTCTHB,D,20110209,000000,0.33396,0.33396,0.33396,0.33396,0,0
BTCTHB,D,20110210,000000,0.30139,0.30139,0.30139,0.30139,0,0
BTCTHB,D,20110211,000000,0.32851,0.32851,0.32851,0.32851,0,0
BTCTHB,D,20110214,000000,0.32915,0.32915,0.32915,0.32915,0,0
BTCTHB,D,20110215,000000,0.32004,0.32004,0.32004,0.32004,0,0
BTCTHB,D,20110216,000000,0.32012,0.32012,0.32012,0.32012,0,0
BTCTHB,D,20110217,000000,0.31728,0.31728,0.31728,0.31728,0,0
BTCTHB,D,20110218,000000,0.27295,0.27295,0.27295,0.27295,0,0
BTCTHB,D,20110221,000000,0.25545,0.25545,0.25545,0.25545,0,0
BTCTHB,D,20110222,000000,0.26498,0.26498,0.26498,0.26498,0,0
BTCTHB,D,20110223,000000,0.27665,0.27665,0.27665,0.27665,0,0
BTCTHB,D,20110224,000000,0.30492,0.30492,0.30492,0.30492,0,0
BTCTHB,D,20110225,000000,0.28024,0.28024,0.28024,0.28024,0,0
BTCTHB,D,20110228,000000,0.26222,0.26222,0.26222,0.26222,0,0
BTCTHB,D,20110301,000000,0.28257,0.28257,0.28257,0.28257,0,0
BTCTHB,D,20110302,000000,0.28452,0.28452,0.28452,0.28452,0,0
BTCTHB,D,20110303,000000,0.28513,0.28513,0.28513,0.28513,0,0
BTCTHB,D,20110304,000000,0.27298,0.27298,0.27298,0.27298,0,0
BTCTHB,D,20110307,000000,0.26973,0.26973,0.26973,0.26973,0,0
BTCTHB,D,20110308,000000,0.26387,0.26387,0.26387,0.26387,0,0
BTCTHB,D,20110309,000000,0.26186,0.26186,0.26186,0.26186,0,0
BTCTHB,D,20110310,000000,0.28481,0.28481,0.28481,0.28481,0,0
BTCTHB,D,20110311,000000,0.26489,0.26489,0.26489,0.26489,0,0
BTCTHB,D,20110314,000000,0.27146,0.27146,0.27146,0.27146,0,0
BTCTHB,D,20110315,000000,0.26256,0.26256,0.26256,0.26256,0,0
BTCTHB,D,20110316,000000,0.26592,0.26592,0.26592,0.26592,0,0
BTCTHB,D,20110317,000000,0.25002,0.25002,0.25002,0.25002,0,0
BTCTHB,D,20110318,000000,0.24686,0.24686,0.24686,0.24686,0,0
BTCTHB,D,20110321,000000,0.2272,0.2272,0.2272,0.2272,0,0
BTCTHB,D,20110322,000000,0.24483,0.24483,0.24483,0.24483,0,0
BTCTHB,D,20110323,000000,0.25848,0.25848,0.25848,0.25848,0,0
BTCTHB,D,20110324,000000,0.26082,0.26082,0.26082,0.26082,0,0
BTCTHB,D,20110325,000000,0.26819,0.26819,0.26819,0.26819,0,0
BTCTHB,D,20110328,000000,0.24102,0.24102,0.24102,0.24102,0,0
BTCTHB,D,20110329,000000,0.24147,0.24147,0.24147,0.24147,0,0
BTCTHB,D,20110330,000000,0.2408,0.2408,0.2408,0.2408,0,0
BTCTHB,D,20110331,000000,0.23871,0.23871,0.23871,0.23871,0,0
BTCTHB,D,20110401,000000,0.23295,0.23295,0.23295,0.23295,0,0
BTCTHB,D,20110404,000000,0.205,0.205,0.205,0.205,0,0
BTCTHB,D,20110405,000000,0.21233,0.21233,0.21233,0.21233,0,0
BTCTHB,D,20110406,000000,0.22113,0.22113,0.22113,0.22113,0,0
BTCTHB,D,20110407,000000,0.22601,0.22601,0.22601,0.22601,0,0
BTCTHB,D,20110408,000000,0.22496,0.22496,0.22496,0.22496,0,0
BTCTHB,D,20110411,000000,0.23138,0.23138,0.23138,0.23138,0,0
BTCTHB,D,20110412,000000,0.25894,0.25894,0.25894,0.25894,0,0
BTCTHB,D,20110413,000000,0.27842,0.27842,0.27842,0.27842,0,0
BTCTHB,D,20110414,000000,0.30054,0.30054,0.30054,0.30054,0,0
BTCTHB,D,20110415,000000,0.29856,0.29856,0.29856,0.29856,0,0
BTCTHB,D,20110418,000000,0.3553,0.3553,0.3553,0.3553,0,0
BTCTHB,D,20110419,000000,0.35757,0.35757,0.35757,0.35757,0,0
BTCTHB,D,20110420,000000,0.34269,0.34269,0.34269,0.34269,0,0
BTCTHB,D,20110421,000000,0.35998,0.35998,0.35998,0.35998,0,0
BTCTHB,D,20110422,000000,0.42221,0.42221,0.42221,0.42221,0,0
BTCTHB,D,20110426,000000,0.5377,0.5377,0.5377,0.5377,0,0
BTCTHB,D,20110427,000000,0.5667,0.5667,0.5667,0.5667,0,0
BTCTHB,D,20110428,000000,0.6634,0.6634,0.6634,0.6634,0,0
BTCTHB,D,20110429,000000,0.8613,0.8613,0.8613,0.8613,0,0
BTCTHB,D,20110502,000000,0.9488,0.9488,0.9488,0.9488,0,0
BTCTHB,D,20110504,000000,1.0245,1.0245,1.0245,1.0245,0,0
BTCTHB,D,20110505,000000,1.0277,1.0277,1.0277,1.0277,0,0
BTCTHB,D,20110506,000000,1.0461,1.0461,1.0461,1.0461,0,0
BTCTHB,D,20110509,000000,1.1608,1.1608,1.1608,1.1608,0,0
BTCTHB,D,20110510,000000,1.7551,1.7551,1.7551,1.7551,0,0
BTCTHB,D,20110511,000000,1.6669,1.6669,1.6669,1.6669,0,0
BTCTHB,D,20110512,000000,1.8991,1.8991,1.8991,1.8991,0,0
BTCTHB,D,20110513,000000,2.5244,2.5244,2.5244,2.5244,0,0
BTCTHB,D,20110516,000000,2.4203,2.4203,2.4203,2.4203,0,0
BTCTHB,D,20110517,000000,2.1729,2.1729,2.1729,2.1729,0,0
BTCTHB,D,20110518,000000,2.0791,2.0791,2.0791,2.0791,0,0
BTCTHB,D,20110519,000000,2.0458,2.0458,2.0458,2.0458,0,0
BTCTHB,D,20110520,000000,1.7107,1.7107,1.7107,1.7107,0,0
BTCTHB,D,20110523,000000,2.1679,2.1679,2.1679,2.1679,0,0
BTCTHB,D,20110524,000000,2.2506,2.2506,2.2506,2.2506,0,0
BTCTHB,D,20110525,000000,2.5571,2.5571,2.5571,2.5571,0,0
BTCTHB,D,20110526,000000,2.689,2.689,2.689,2.689,0,0
BTCTHB,D,20110527,000000,2.5596,2.5596,2.5596,2.5596,0,0
BTCTHB,D,20110530,000000,2.673,2.673,2.673,2.673,0,0
BTCTHB,D,20110531,000000,2.6465,2.6465,2.6465,2.6465,0,0
BTCTHB,D,20110601,000000,2.898,2.898,2.898,2.898,0,0
BTCTHB,D,20110602,000000,3.1875,3.1875,3.1875,3.1875,0,0
BTCTHB,D,20110603,000000,4.287,4.287,4.287,4.287,0,0
BTCTHB,D,20110606,000000,5.6185,5.6185,5.6185,5.6185,0,0
BTCTHB,D,20110607,000000,7.2228,7.2228,7.2228,7.2228,0,0
BTCTHB,D,20110608,000000,8.9863,8.9863,8.9863,8.9863,0,0
BTCTHB,D,20110609,000000,8.8184,8.8184,8.8184,8.8184,0,0
BTCTHB,D,20110610,000000,7.321,7.321,7.321,7.321,0,0
BTCTHB,D,20110613,000000,6.0363,6.0363,6.0363,6.0363,0,0
BTCTHB,D,20110614,000000,5.8511,5.8511,5.8511,5.8511,0,0
BTCTHB,D,20110615,000000,5.9972,5.9972,5.9972,5.9972,0,0
BTCTHB,D,20110616,000000,5.1969,5.1969,5.1969,5.1969,0,0
BTCTHB,D,20110617,000000,4.759,4.759,4.759,4.759,0,0
BTCTHB,D,20110620,000000,4.7619,4.7619,4.7619,4.7619,0,0
BTCTHB,D,20110621,000000,4.7568,4.7568,4.7568,4.7568,0,0
BTCTHB,D,20110622,000000,4.7659,4.7659,4.7659,4.7659,0,0
BTCTHB,D,20110624,000000,4.8436,4.8436,4.8436,4.8436,0,0
BTCTHB,D,20110627,000000,5.1443,5.1443,5.1443,5.1443,0,0
BTCTHB,D,20110628,000000,5.2253,5.2253,5.2253,5.2253,0,0
BTCTHB,D,20110629,000000,5.1436,5.1436,5.1436,5.1436,0,0
BTCTHB,D,20110630,000000,4.9273,4.9273,4.9273,4.9273,0,0
BTCTHB,D,20110701,000000,4.7167,4.7167,4.7167,4.7167,0,0
BTCTHB,D,20110704,000000,4.2139,4.2139,4.2139,4.2139,0,0
BTCTHB,D,20110705,000000,3.9291,3.9291,3.9291,3.9291,0,0
BTCTHB,D,20110706,000000,4.5121,4.5121,4.5121,4.5121,0,0
BTCTHB,D,20110707,000000,4.4463,4.4463,4.4463,4.4463,0,0
BTCTHB,D,20110708,000000,4.3588,4.3588,4.3588,4.3588,0,0
BTCTHB,D,20110711,000000,4.3445,4.3445,4.3445,4.3445,0,0
BTCTHB,D,20110712,000000,4.2182,4.2182,4.2182,4.2182,0,0
BTCTHB,D,20110713,000000,4.1702,4.1702,4.1702,4.1702,0,0
BTCTHB,D,20110714,000000,4.2295,4.2295,4.2295,4.2295,0,0
BTCTHB,D,20110715,000000,4.1376,4.1376,4.1376,4.1376,0,0
BTCTHB,D,20110718,000000,4.047,4.047,4.047,4.047,0,0
BTCTHB,D,20110719,000000,4.135,4.135,4.135,4.135,0,0
BTCTHB,D,20110720,000000,4.0819,4.0819,4.0819,4.0819,0,0
BTCTHB,D,20110721,000000,4.0201,4.0201,4.0201,4.0201,0,0
BTCTHB,D,20110722,000000,4.1014,4.1014,4.1014,4.1014,0,0
BTCTHB,D,20110725,000000,4.173,4.173,4.173,4.173,0,0
BTCTHB,D,20110726,000000,4.1035,4.1035,4.1035,4.1035,0,0
BTCTHB,D,20110727,000000,4.1905,4.1905,4.1905,4.1905,0,0
BTCTHB,D,20110728,000000,4.0221,4.0221,4.0221,4.0221,0,0
