<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCUAH,D,20100719,000000,0.6388,0.6388,0.6388,0.6388,0,0
BTCUAH,D,20100720,000000,0.5915,0.5915,0.5915,0.5915,0,0
BTCUAH,D,20100721,000000,0.6255,0.6255,0.6255,0.6255,0,0
BTCUAH,D,20100722,000000,0.39565,0.39565,0.39565,0.39565,0,0
BTCUAH,D,20100723,000000,0.49829,0.49829,0.49829,0.49829,0,0
BTCUAH,D,20100726,000000,0.43626,0.43626,0.43626,0.43626,0,0
BTCUAH,D,20100727,000000,0.47266,0.47266,0.47266,0.47266,0,0
BTCUAH,D,20100728,000000,0.46484,0.46484,0.46484,0.46484,0,0
BTCUAH,D,20100729,000000,0.5522,0.5522,0.5522,0.5522,0,0
BTCUAH,D,20100730,000000,0.49427,0.49427,0.49427,0.49427,0,0
BTCUAH,D,20100802,000000,0.46882,0.46882,0.46882,0.46882,0,0
BTCUAH,D,20100803,000000,0.47531,0.47531,0.47531,0.47531,0,0
BTCUAH,D,20100804,000000,0.44684,0.44684,0.44684,0.44684,0,0
BTCUAH,D,20100805,000000,0.48102,0.48102,0.48102,0.48102,0,0
BTCUAH,D,20100806,000000,0.48883,0.48883,0.48883,0.48883,0,0
BTCUAH,D,20100809,000000,0.5593,0.5593,0.5593,0.5593,0,0
BTCUAH,D,20100810,000000,0.5568,0.5568,0.5568,0.5568,0,0
BTCUAH,D,20100811,000000,0.5363,0.5363,0.5363,0.5363,0,0
BTCUAH,D,20100812,000000,0.5509,0.5509,0.5509,0.5509,0,0
BTCUAH,D,20100813,000000,0.5113,0.5113,0.5113,0.5113,0,0
BTCUAH,D,20100816,000000,0.5111,0.5111,0.5111,0.5111,0,0
BTCUAH,D,20100817,000000,0.5491,0.5491,0.5491,0.5491,0,0
BTCUAH,D,20100818,000000,0.533,0.533,0.533,0.533,0,0
BTCUAH,D,20100819,000000,0.5263,0.5263,0.5263,0.5263,0,0
BTCUAH,D,20100820,000000,0.5212,0.5212,0.5212,0.5212,0,0
BTCUAH,D,20100823,000000,0.5169,0.5169,0.5169,0.5169,0,0
BTCUAH,D,20100824,000000,0.5139,0.5139,0.5139,0.5139,0,0
BTCUAH,D,20100825,000000,0.5139,0.5139,0.5139,0.5139,0,0
BTCUAH,D,20100826,000000,0.503,0.503,0.503,0.503,0,0
BTCUAH,D,20100827,000000,0.5098,0.5098,0.5098,0.5098,0,0
BTCUAH,D,20100830,000000,0.5168,0.5168,0.5168,0.5168,0,0
BTCUAH,D,20100831,000000,0.47152,0.47152,0.47152,0.47152,0,0
BTCUAH,D,20100901,000000,0.4917,0.4917,0.4917,0.4917,0,0
BTCUAH,D,20100902,000000,0.5012,0.5012,0.5012,0.5012,0,0
BTCUAH,D,20100903,000000,0.47516,0.47516,0.47516,0.47516,0,0
BTCUAH,D,20100906,000000,0.48753,0.48753,0.48753,0.48753,0,0
BTCUAH,D,20100907,000000,0.48445,0.48445,0.48445,0.48445,0,0
BTCUAH,D,20100908,000000,0.48685,0.48685,0.48685,0.48685,0,0
BTCUAH,D,20100909,000000,0.48461,0.48461,0.48461,0.48461,0,0
BTCUAH,D,20100910,000000,0.49087,0.49087,0.49087,0.49087,0,0
BTCUAH,D,20100913,000000,0.48932,0.48932,0.48932,0.48932,0,0
BTCUAH,D,20100914,000000,0.48277,0.48277,0.48277,0.48277,0,0
BTCUAH,D,20100915,000000,0.47845,0.47845,0.47845,0.47845,0,0
BTCUAH,D,20100916,000000,0.49146,0.49146,0.49146,0.49146,0,0
BTCUAH,D,20100917,000000,0.47218,0.47218,0.47218,0.47218,0,0
BTCUAH,D,20100920,000000,0.49239,0.49239,0.49239,0.49239,0,0
BTCUAH,D,20100921,000000,0.4966,0.4966,0.4966,0.4966,0,0
BTCUAH,D,20100922,000000,0.49143,0.49143,0.49143,0.49143,0,0
BTCUAH,D,20100923,000000,0.49265,0.49265,0.49265,0.49265,0,0
BTCUAH,D,20100924,000000,0.48658,0.48658,0.48658,0.48658,0,0
BTCUAH,D,20100927,000000,0.49151,0.49151,0.49151,0.49151,0,0
BTCUAH,D,20100928,000000,0.4847,0.4847,0.4847,0.4847,0,0
BTCUAH,D,20100929,000000,0.49067,0.49067,0.49067,0.49067,0,0
BTCUAH,D,20100930,000000,0.48889,0.48889,0.48889,0.48889,0,0
BTCUAH,D,20101001,000000,0.4897,0.4897,0.4897,0.4897,0,0
BTCUAH,D,20101004,000000,0.48801,0.48801,0.48801,0.48801,0,0
BTCUAH,D,20101005,000000,0.48244,0.48244,0.48244,0.48244,0,0
BTCUAH,D,20101006,000000,0.49936,0.49936,0.49936,0.49936,0,0
BTCUAH,D,20101007,000000,0.5376,0.5376,0.5376,0.5376,0,0
BTCUAH,D,20101008,000000,0.6853,0.6853,0.6853,0.6853,0,0
BTCUAH,D,20101011,000000,0.7539,0.7539,0.7539,0.7539,0,0
BTCUAH,D,20101012,000000,0.7557,0.7557,0.7557,0.7557,0,0
BTCUAH,D,20101013,000000,0.8254,0.8254,0.8254,0.8254,0,0
BTCUAH,D,20101014,000000,0.8132,0.8132,0.8132,0.8132,0,0
BTCUAH,D,20101015,000000,0.8379,0.8379,0.8379,0.8379,0,0
BTCUAH,D,20101018,000000,0.8062,0.8062,0.8062,0.8062,0,0
BTCUAH,D,20101019,000000,0.7833,0.7833,0.7833,0.7833,0,0
BTCUAH,D,20101020,000000,0.7751,0.7751,0.7751,0.7751,0,0
