<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADARS,D,19960806,000000,0.6922,0.6922,0.6922,0.6922,0,0
CADARS,D,19960807,000000,0.6933,0.6933,0.6933,0.6933,0,0
CADARS,D,19960808,000000,0.6933,0.6933,0.6933,0.6933,0,0
CADARS,D,19960809,000000,0.6937,0.6937,0.6937,0.6937,0,0
CADARS,D,19960812,000000,0.6937,0.6937,0.6937,0.6937,0,0
CADARS,D,19960813,000000,0.692,0.692,0.692,0.692,0,0
CADARS,D,19960814,000000,0.6921,0.6921,0.6921,0.6921,0,0
CADARS,D,19960815,000000,0.6907,0.6907,0.6907,0.6907,0,0
CADARS,D,19960816,000000,0.6924,0.6924,0.6924,0.6924,0,0
CADARS,D,19960819,000000,0.6926,0.6926,0.6926,0.6926,0,0
CADARS,D,19960820,000000,0.6927,0.6927,0.6927,0.6927,0,0
CADARS,D,19960821,000000,0.6923,0.6923,0.6923,0.6923,0,0
CADARS,D,19960822,000000,0.6937,0.6937,0.6937,0.6937,0,0
CADARS,D,19960823,000000,0.6945,0.6945,0.6945,0.6945,0,0
CADARS,D,19960826,000000,0.694,0.694,0.694,0.694,0,0
CADARS,D,19960827,000000,0.6956,0.6956,0.6956,0.6956,0,0
CADARS,D,19960828,000000,0.6963,0.6963,0.6963,0.6963,0,0
CADARS,D,19960829,000000,0.6961,0.6961,0.6961,0.6961,0,0
CADARS,D,19960830,000000,0.6952,0.6952,0.6952,0.6952,0,0
CADARS,D,19960902,000000,0.6952,0.6952,0.6952,0.6952,0,0
CADARS,D,19960903,000000,0.6944,0.6944,0.6944,0.6944,0,0
CADARS,D,19960904,000000,0.6944,0.6944,0.6944,0.6944,0,0
CADARS,D,19960905,000000,0.6944,0.6944,0.6944,0.6944,0,0
CADARS,D,19960906,000000,0.6926,0.6926,0.6926,0.6926,0,0
CADARS,D,19960909,000000,0.6931,0.6931,0.6931,0.6931,0,0
CADARS,D,19960910,000000,0.694,0.694,0.694,0.694,0,0
CADARS,D,19960911,000000,0.6935,0.6935,0.6935,0.6935,0,0
CADARS,D,19960912,000000,0.6937,0.6937,0.6937,0.6937,0,0
CADARS,D,19960913,000000,0.6942,0.6942,0.6942,0.6942,0,0
CADARS,D,19960916,000000,0.6942,0.6942,0.6942,0.6942,0,0
CADARS,D,19960917,000000,0.6939,0.6939,0.6939,0.6939,0,0
CADARS,D,19960918,000000,0.6934,0.6934,0.6934,0.6934,0,0
CADARS,D,19960919,000000,0.6938,0.6938,0.6938,0.6938,0,0
CADARS,D,19960920,000000,0.6955,0.6955,0.6955,0.6955,0,0
CADARS,D,19960923,000000,0.6963,0.6963,0.6963,0.6963,0,0
CADARS,D,19960924,000000,0.6956,0.6956,0.6956,0.6956,0,0
CADARS,D,19960925,000000,0.6961,0.6961,0.6961,0.6961,0,0
CADARS,D,19960926,000000,0.6956,0.6956,0.6956,0.6956,0,0
CADARS,D,19960927,000000,0.6978,0.6978,0.6978,0.6978,0,0
CADARS,D,19960930,000000,0.6983,0.6983,0.6983,0.6983,0,0
CADARS,D,19961001,000000,0.6984,0.6984,0.6984,0.6984,0,0
CADARS,D,19961002,000000,0.6986,0.6986,0.6986,0.6986,0,0
CADARS,D,19961003,000000,0.699,0.699,0.699,0.699,0,0
CADARS,D,19961004,000000,0.7019,0.7019,0.7019,0.7019,0,0
CADARS,D,19961007,000000,0.7028,0.7028,0.7028,0.7028,0,0
CADARS,D,19961008,000000,0.7022,0.7022,0.7022,0.7022,0,0
CADARS,D,19961009,000000,0.7023,0.7023,0.7023,0.7023,0,0
CADARS,D,19961010,000000,0.704,0.704,0.704,0.704,0,0
CADARS,D,19961011,000000,0.7033,0.7033,0.7033,0.7033,0,0
CADARS,D,19961014,000000,0.7033,0.7033,0.7033,0.7033,0,0
CADARS,D,19961015,000000,0.7026,0.7026,0.7026,0.7026,0,0
CADARS,D,19961016,000000,0.7018,0.7018,0.7018,0.7018,0,0
CADARS,D,19961017,000000,0.7035,0.7035,0.7035,0.7035,0,0
CADARS,D,19961018,000000,0.7051,0.7051,0.7051,0.7051,0,0
CADARS,D,19961021,000000,0.7062,0.7062,0.7062,0.7062,0,0
CADARS,D,19961022,000000,0.7075,0.7075,0.7075,0.7075,0,0
CADARS,D,19961023,000000,0.7079,0.7079,0.7079,0.7079,0,0
CADARS,D,19961024,000000,0.7069,0.7069,0.7069,0.7069,0,0
CADARS,D,19961025,000000,0.7077,0.7077,0.7077,0.7077,0,0
CADARS,D,19961028,000000,0.7073,0.7073,0.7073,0.7073,0,0
CADARS,D,19961029,000000,0.7072,0.7072,0.7072,0.7072,0,0
CADARS,D,19961030,000000,0.7093,0.7093,0.7093,0.7093,0,0
CADARS,D,19961031,000000,0.7095,0.7095,0.7095,0.7095,0,0
CADARS,D,19961101,000000,0.7126,0.7126,0.7126,0.7126,0,0
CADARS,D,19961104,000000,0.7122,0.7122,0.7122,0.7122,0,0
CADARS,D,19961105,000000,0.7137,0.7137,0.7137,0.7137,0,0
CADARS,D,19961106,000000,0.7149,0.7149,0.7149,0.7149,0,0
CADARS,D,19961107,000000,0.7141,0.7141,0.7141,0.7141,0,0
CADARS,D,19961108,000000,0.7144,0.7144,0.7144,0.7144,0,0
CADARS,D,19961112,000000,0.7128,0.7128,0.7128,0.7128,0,0
CADARS,D,19961113,000000,0.7133,0.7133,0.7133,0.7133,0,0
CADARS,D,19961114,000000,0.7132,0.7132,0.7132,0.7132,0,0
CADARS,D,19961115,000000,0.7113,0.7113,0.7113,0.7113,0,0
CADARS,D,19961118,000000,0.709,0.709,0.709,0.709,0,0
CADARS,D,19961119,000000,0.7088,0.7088,0.7088,0.7088,0,0
CADARS,D,19961120,000000,0.7087,0.7087,0.7087,0.7087,0,0
CADARS,D,19961121,000000,0.7104,0.7104,0.7104,0.7104,0,0
CADARS,D,19961122,000000,0.7103,0.7103,0.7103,0.7103,0,0
CADARS,D,19961125,000000,0.7094,0.7094,0.7094,0.7094,0,0
CADARS,D,19961126,000000,0.7088,0.7088,0.7088,0.7088,0,0
CADARS,D,19961127,000000,0.7064,0.7064,0.7064,0.7064,0,0
CADARS,D,19961128,000000,0.7061,0.7061,0.7061,0.7061,0,0
CADARS,D,19961129,000000,0.7053,0.7053,0.7053,0.7053,0,0
CADARS,D,19961202,000000,0.7041,0.7041,0.7041,0.7041,0,0
CADARS,D,19961203,000000,0.7054,0.7054,0.7054,0.7054,0,0
CADARS,D,19961204,000000,0.7036,0.7036,0.7036,0.7036,0,0
CADARS,D,19961205,000000,0.7005,0.7005,0.7005,0.7005,0,0
CADARS,D,19961206,000000,0.6999,0.6999,0.6999,0.6999,0,0
CADARS,D,19961209,000000,0.7018,0.7018,0.7018,0.7018,0,0
CADARS,D,19961210,000000,0.7012,0.7012,0.7012,0.7012,0,0
CADARS,D,19961211,000000,0.6984,0.6984,0.6984,0.6984,0,0
CADARS,D,19961212,000000,0.7011,0.7011,0.7011,0.7011,0,0
CADARS,D,19961213,000000,0.6984,0.6984,0.6984,0.6984,0,0
CADARS,D,19961216,000000,0.6964,0.6964,0.6964,0.6964,0,0
CADARS,D,19961217,000000,0.6965,0.6965,0.6965,0.6965,0,0
CADARS,D,19961218,000000,0.696,0.696,0.696,0.696,0,0
CADARS,D,19961219,000000,0.6951,0.6951,0.6951,0.6951,0,0
CADARS,D,19961220,000000,0.6956,0.6956,0.6956,0.6956,0,0
CADARS,D,19961223,000000,0.6958,0.6958,0.6958,0.6958,0,0
CADARS,D,19961224,000000,0.6967,0.6967,0.6967,0.6967,0,0
CADARS,D,19961227,000000,0.6946,0.6946,0.6946,0.6946,0,0
