<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADCLP,D,19931025,000000,315.91,315.91,315.91,315.91,0,0
CADCLP,D,19931026,000000,315.26,315.26,315.26,315.26,0,0
CADCLP,D,19931027,000000,312.77,312.77,312.77,312.77,0,0
CADCLP,D,19931028,000000,312.26,312.26,312.26,312.26,0,0
CADCLP,D,19931029,000000,312.06,312.06,312.06,312.06,0,0
CADCLP,D,19931102,000000,311.69,311.69,311.69,311.69,0,0
CADCLP,D,19931103,000000,314.06,314.06,314.06,314.06,0,0
CADCLP,D,19931104,000000,314.19,314.19,314.19,314.19,0,0
CADCLP,D,19931105,000000,313.8,313.8,313.8,313.8,0,0
CADCLP,D,19931108,000000,317.91,317.91,317.91,317.91,0,0
CADCLP,D,19931109,000000,316.35,316.35,316.35,316.35,0,0
CADCLP,D,19931110,000000,316.28,316.28,316.28,316.28,0,0
CADCLP,D,19931112,000000,314.73,314.73,314.73,314.73,0,0
CADCLP,D,19931115,000000,313.48,313.48,313.48,313.48,0,0
CADCLP,D,19931116,000000,310.83,310.83,310.83,310.83,0,0
CADCLP,D,19931117,000000,311.2,311.2,311.2,311.2,0,0
CADCLP,D,19931118,000000,312.36,312.36,312.36,312.36,0,0
CADCLP,D,19931119,000000,313.98,313.98,313.98,313.98,0,0
CADCLP,D,19931122,000000,311.87,311.87,311.87,311.87,0,0
CADCLP,D,19931123,000000,311.07,311.07,311.07,311.07,0,0
CADCLP,D,19931124,000000,311.77,311.77,311.77,311.77,0,0
CADCLP,D,19931125,000000,311.74,311.74,311.74,311.74,0,0
CADCLP,D,19931126,000000,313.22,313.22,313.22,313.22,0,0
CADCLP,D,19931129,000000,316.21,316.21,316.21,316.21,0,0
CADCLP,D,19931130,000000,314.31,314.31,314.31,314.31,0,0
CADCLP,D,19931201,000000,313.21,313.21,313.21,313.21,0,0
CADCLP,D,19931202,000000,314.66,314.66,314.66,314.66,0,0
CADCLP,D,19931203,000000,316.8,316.8,316.8,316.8,0,0
CADCLP,D,19931206,000000,320.94,320.94,320.94,320.94,0,0
CADCLP,D,19931207,000000,322.89,322.89,322.89,322.89,0,0
CADCLP,D,19931208,000000,323.29,323.29,323.29,323.29,0,0
CADCLP,D,19931209,000000,320.98,320.98,320.98,320.98,0,0
CADCLP,D,19931210,000000,319.57,319.57,319.57,319.57,0,0
CADCLP,D,19931213,000000,318.76,318.76,318.76,318.76,0,0
CADCLP,D,19931214,000000,320.49,320.49,320.49,320.49,0,0
CADCLP,D,19931215,000000,320.79,320.79,320.79,320.79,0,0
CADCLP,D,19931216,000000,318.21,318.21,318.21,318.21,0,0
CADCLP,D,19931217,000000,319.47,319.47,319.47,319.47,0,0
CADCLP,D,19931220,000000,318.7,318.7,318.7,318.7,0,0
CADCLP,D,19931221,000000,317.44,317.44,317.44,317.44,0,0
CADCLP,D,19931222,000000,317.8,317.8,317.8,317.8,0,0
CADCLP,D,19931223,000000,318.18,318.18,318.18,318.18,0,0
CADCLP,D,19931224,000000,322.35,322.35,322.35,322.35,0,0
CADCLP,D,19931227,000000,321.78,321.78,321.78,321.78,0,0
CADCLP,D,19931228,000000,323.11,323.11,323.11,323.11,0,0
CADCLP,D,19931229,000000,323.12,323.12,323.12,323.12,0,0
CADCLP,D,19931230,000000,320.63,320.63,320.63,320.63,0,0
CADCLP,D,19931231,000000,320.26,320.26,320.26,320.26,0,0
CADCLP,D,19940103,000000,322.96,322.96,322.96,322.96,0,0
CADCLP,D,19940104,000000,325.32,325.32,325.32,325.32,0,0
CADCLP,D,19940105,000000,327.86,327.86,327.86,327.86,0,0
CADCLP,D,19940106,000000,327.3,327.3,327.3,327.3,0,0
CADCLP,D,19940107,000000,325.11,325.11,325.11,325.11,0,0
CADCLP,D,19940110,000000,325.79,325.79,325.79,325.79,0,0
CADCLP,D,19940111,000000,325.65,325.65,325.65,325.65,0,0
CADCLP,D,19940112,000000,325.01,325.01,325.01,325.01,0,0
CADCLP,D,19940113,000000,326.14,326.14,326.14,326.14,0,0
CADCLP,D,19940114,000000,325.28,325.28,325.28,325.28,0,0
CADCLP,D,19940117,000000,326.38,326.38,326.38,326.38,0,0
CADCLP,D,19940118,000000,326.1,326.1,326.1,326.1,0,0
CADCLP,D,19940119,000000,327.61,327.61,327.61,327.61,0,0
CADCLP,D,19940120,000000,328.76,328.76,328.76,328.76,0,0
CADCLP,D,19940121,000000,330.56,330.56,330.56,330.56,0,0
CADCLP,D,19940124,000000,330.26,330.26,330.26,330.26,0,0
CADCLP,D,19940125,000000,328.41,328.41,328.41,328.41,0,0
CADCLP,D,19940126,000000,327.69,327.69,327.69,327.69,0,0
CADCLP,D,19940127,000000,327.01,327.01,327.01,327.01,0,0
CADCLP,D,19940128,000000,327.97,327.97,327.97,327.97,0,0
CADCLP,D,19940131,000000,326.63,326.63,326.63,326.63,0,0
CADCLP,D,19940201,000000,325.87,325.87,325.87,325.87,0,0
CADCLP,D,19940202,000000,323.07,323.07,323.07,323.07,0,0
CADCLP,D,19940203,000000,322.44,322.44,322.44,322.44,0,0
CADCLP,D,19940204,000000,324.18,324.18,324.18,324.18,0,0
