<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADMXN,D,19900108,000000,2.3175,2.3175,2.3175,2.3175,0,0
CADMXN,D,19900115,000000,2.3266,2.3266,2.3266,2.3266,0,0
CADMXN,D,19900122,000000,2.3201,2.3201,2.3201,2.3201,0,0
CADMXN,D,19900129,000000,2.2978,2.2978,2.2978,2.2978,0,0
CADMXN,D,19900205,000000,2.2856,2.2856,2.2856,2.2856,0,0
CADMXN,D,19900212,000000,2.2948,2.2948,2.2948,2.2948,0,0
CADMXN,D,19900219,000000,2.271,2.271,2.271,2.271,0,0
CADMXN,D,19900226,000000,2.2847,2.2847,2.2847,2.2847,0,0
CADMXN,D,19900305,000000,2.3018,2.3018,2.3018,2.3018,0,0
CADMXN,D,19900312,000000,2.323,2.323,2.323,2.323,0,0
CADMXN,D,19900319,000000,2.3451,2.3451,2.3451,2.3451,0,0
CADMXN,D,19900326,000000,2.3418,2.3418,2.3418,2.3418,0,0
CADMXN,D,19900402,000000,2.3604,2.3604,2.3604,2.3604,0,0
CADMXN,D,19900409,000000,2.3904,2.3904,2.3904,2.3904,0,0
CADMXN,D,19900417,000000,2.404,2.404,2.404,2.404,0,0
CADMXN,D,19900423,000000,2.3982,2.3982,2.3982,2.3982,0,0
CADMXN,D,19900430,000000,2.4174,2.4174,2.4174,2.4174,0,0
CADMXN,D,19900507,000000,2.4198,2.4198,2.4198,2.4198,0,0
CADMXN,D,19900514,000000,2.4249,2.4249,2.4249,2.4249,0,0
CADMXN,D,19900521,000000,2.4067,2.4067,2.4067,2.4067,0,0
CADMXN,D,19900528,000000,2.3994,2.3994,2.3994,2.3994,0,0
CADMXN,D,19900604,000000,2.4014,2.4014,2.4014,2.4014,0,0
CADMXN,D,19900611,000000,2.4119,2.4119,2.4119,2.4119,0,0
CADMXN,D,19900618,000000,2.4335,2.4335,2.4335,2.4335,0,0
CADMXN,D,19900625,000000,2.4344,2.4344,2.4344,2.4344,0,0
CADMXN,D,19900702,000000,2.4251,2.4251,2.4251,2.4251,0,0
CADMXN,D,19900709,000000,2.4637,2.4637,2.4637,2.4637,0,0
CADMXN,D,19900716,000000,2.4774,2.4774,2.4774,2.4774,0,0
CADMXN,D,19900723,000000,2.4793,2.4793,2.4793,2.4793,0,0
CADMXN,D,19900730,000000,2.4844,2.4844,2.4844,2.4844,0,0
CADMXN,D,19900806,000000,2.4896,2.4896,2.4896,2.4896,0,0
CADMXN,D,19900813,000000,2.5014,2.5014,2.5014,2.5014,0,0
CADMXN,D,19900820,000000,2.5097,2.5097,2.5097,2.5097,0,0
CADMXN,D,19900827,000000,2.522,2.522,2.522,2.522,0,0
CADMXN,D,19900903,000000,2.5311,2.5311,2.5311,2.5311,0,0
CADMXN,D,19900910,000000,2.5024,2.5024,2.5024,2.5024,0,0
CADMXN,D,19900917,000000,2.4828,2.4828,2.4828,2.4828,0,0
CADMXN,D,19900924,000000,2.5014,2.5014,2.5014,2.5014,0,0
CADMXN,D,19901001,000000,2.5226,2.5226,2.5226,2.5226,0,0
CADMXN,D,19901008,000000,2.5089,2.5089,2.5089,2.5089,0,0
CADMXN,D,19901010,000000,2.5207,2.5207,2.5207,2.5207,0,0
CADMXN,D,19901015,000000,2.5272,2.5272,2.5272,2.5272,0,0
CADMXN,D,19901022,000000,2.5196,2.5196,2.5196,2.5196,0,0
CADMXN,D,19901029,000000,2.4916,2.4916,2.4916,2.4916,0,0
CADMXN,D,19901105,000000,2.5139,2.5139,2.5139,2.5139,0,0
CADMXN,D,19901112,000000,2.5135,2.5135,2.5135,2.5135,0,0
CADMXN,D,19901119,000000,2.5165,2.5165,2.5165,2.5165,0,0
CADMXN,D,19901126,000000,2.5278,2.5278,2.5278,2.5278,0,0
CADMXN,D,19901203,000000,2.5243,2.5243,2.5243,2.5243,0,0
CADMXN,D,19901210,000000,2.5241,2.5241,2.5241,2.5241,0,0
CADMXN,D,19901217,000000,2.5385,2.5385,2.5385,2.5385,0,0
CADMXN,D,19901224,000000,2.5472,2.5472,2.5472,2.5472,0,0
CADMXN,D,19910102,000000,2.5454,2.5454,2.5454,2.5454,0,0
CADMXN,D,19910103,000000,2.5419,2.5419,2.5419,2.5419,0,0
CADMXN,D,19910104,000000,2.5479,2.5479,2.5479,2.5479,0,0
