<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADNOK,D,19840102,000000,6.2299,6.2299,6.2299,6.2299,0,0
CADNOK,D,19840109,000000,6.2617,6.2617,6.2617,6.2617,0,0
CADNOK,D,19840116,000000,6.3424,6.3424,6.3424,6.3424,0,0
CADNOK,D,19840123,000000,6.2692,6.2692,6.2692,6.2692,0,0
CADNOK,D,19840130,000000,6.3254,6.3254,6.3254,6.3254,0,0
CADNOK,D,19840206,000000,6.2979,6.2979,6.2979,6.2979,0,0
CADNOK,D,19840213,000000,6.277,6.277,6.277,6.277,0,0
CADNOK,D,19840220,000000,6.2277,6.2277,6.2277,6.2277,0,0
CADNOK,D,19840301,000000,6.1364,6.1364,6.1364,6.1364,0,0
CADNOK,D,19840305,000000,5.9959,5.9959,5.9959,5.9959,0,0
CADNOK,D,19840312,000000,5.9118,5.9118,5.9118,5.9118,0,0
CADNOK,D,19840319,000000,5.8536,5.8536,5.8536,5.8536,0,0
CADNOK,D,19840326,000000,5.922,5.922,5.922,5.922,0,0
CADNOK,D,19840402,000000,5.8448,5.8448,5.8448,5.8448,0,0
CADNOK,D,19840409,000000,5.9123,5.9123,5.9123,5.9123,0,0
CADNOK,D,19840416,000000,5.917,5.917,5.917,5.917,0,0
CADNOK,D,19840424,000000,5.9253,5.9253,5.9253,5.9253,0,0
CADNOK,D,19840502,000000,5.9875,5.9875,5.9875,5.9875,0,0
CADNOK,D,19840507,000000,5.9993,5.9993,5.9993,5.9993,0,0
CADNOK,D,19840514,000000,6.0485,6.0485,6.0485,6.0485,0,0
CADNOK,D,19840521,000000,6.0707,6.0707,6.0707,6.0707,0,0
CADNOK,D,19840528,000000,6.0352,6.0352,6.0352,6.0352,0,0
CADNOK,D,19840604,000000,6.0253,6.0253,6.0253,6.0253,0,0
CADNOK,D,19840611,000000,5.9143,5.9143,5.9143,5.9143,0,0
CADNOK,D,19840618,000000,5.9663,5.9663,5.9663,5.9663,0,0
CADNOK,D,19840625,000000,6.0134,6.0134,6.0134,6.0134,0,0
CADNOK,D,19840702,000000,6.0621,6.0621,6.0621,6.0621,0,0
CADNOK,D,19840709,000000,6.118,6.118,6.118,6.118,0,0
CADNOK,D,19840716,000000,6.1422,6.1422,6.1422,6.1422,0,0
CADNOK,D,19840723,000000,6.181,6.181,6.181,6.181,0,0
CADNOK,D,19840730,000000,6.2827,6.2827,6.2827,6.2827,0,0
CADNOK,D,19840806,000000,6.3427,6.3427,6.3427,6.3427,0,0
CADNOK,D,19840813,000000,6.3748,6.3748,6.3748,6.3748,0,0
CADNOK,D,19840820,000000,6.368,6.368,6.368,6.368,0,0
CADNOK,D,19840827,000000,6.3688,6.3688,6.3688,6.3688,0,0
CADNOK,D,19840901,000000,6.371,6.371,6.371,6.371,0,0
CADNOK,D,19840910,000000,6.4537,6.4537,6.4537,6.4537,0,0
CADNOK,D,19840917,000000,6.471,6.471,6.471,6.471,0,0
CADNOK,D,19840924,000000,6.5927,6.5927,6.5927,6.5927,0,0
CADNOK,D,19841001,000000,6.6975,6.6975,6.6975,6.6975,0,0
CADNOK,D,19841008,000000,6.6898,6.6898,6.6898,6.6898,0,0
CADNOK,D,19841015,000000,6.7108,6.7108,6.7108,6.7108,0,0
CADNOK,D,19841022,000000,6.7955,6.7955,6.7955,6.7955,0,0
CADNOK,D,19841029,000000,6.7436,6.7436,6.7436,6.7436,0,0
CADNOK,D,19841105,000000,6.7068,6.7068,6.7068,6.7068,0,0
CADNOK,D,19841112,000000,6.545,6.545,6.545,6.545,0,0
CADNOK,D,19841119,000000,6.5138,6.5138,6.5138,6.5138,0,0
CADNOK,D,19841126,000000,6.6,6.6,6.6,6.6,0,0
CADNOK,D,19841201,000000,6.7028,6.7028,6.7028,6.7028,0,0
CADNOK,D,19841210,000000,6.7488,6.7488,6.7488,6.7488,0,0
CADNOK,D,19841217,000000,6.7479,6.7479,6.7479,6.7479,0,0
CADNOK,D,19841224,000000,6.772,6.772,6.772,6.772,0,0
CADNOK,D,19850101,000000,6.8454,6.8454,6.8454,6.8454,0,0
CADNOK,D,19850107,000000,6.9007,6.9007,6.9007,6.9007,0,0
CADNOK,D,19850114,000000,6.8872,6.8872,6.8872,6.8872,0,0
CADNOK,D,19850121,000000,6.9748,6.9748,6.9748,6.9748,0,0
CADNOK,D,19850128,000000,6.959,6.959,6.959,6.959,0,0
CADNOK,D,19850204,000000,6.9143,6.9143,6.9143,6.9143,0,0
CADNOK,D,19850211,000000,6.9556,6.9556,6.9556,6.9556,0,0
CADNOK,D,19850218,000000,7.0207,7.0207,7.0207,7.0207,0,0
