<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADRON,D,19951023,000000,0.16261,0.16261,0.16261,0.16261,0,0
CADRON,D,19951024,000000,0.16128,0.16128,0.16128,0.16128,0,0
CADRON,D,19951025,000000,0.16344,0.16344,0.16344,0.16344,0,0
CADRON,D,19951026,000000,0.16349,0.16349,0.16349,0.16349,0,0
CADRON,D,19951027,000000,0.16285,0.16285,0.16285,0.16285,0,0
CADRON,D,19951030,000000,0.16422,0.16422,0.16422,0.16422,0,0
CADRON,D,19951031,000000,0.16735,0.16735,0.16735,0.16735,0,0
CADRON,D,19951102,000000,0.16834,0.16834,0.16834,0.16834,0,0
CADRON,D,19951103,000000,0.17103,0.17103,0.17103,0.17103,0,0
CADRON,D,19951106,000000,0.17055,0.17055,0.17055,0.17055,0,0
CADRON,D,19951107,000000,0.1731,0.1731,0.1731,0.1731,0,0
CADRON,D,19951108,000000,0.17164,0.17164,0.17164,0.17164,0,0
CADRON,D,19951109,000000,0.17328,0.17328,0.17328,0.17328,0,0
CADRON,D,19951110,000000,0.17548,0.17548,0.17548,0.17548,0,0
CADRON,D,19951113,000000,0.1758,0.1758,0.1758,0.1758,0,0
CADRON,D,19951114,000000,0.17557,0.17557,0.17557,0.17557,0,0
CADRON,D,19951115,000000,0.17535,0.17535,0.17535,0.17535,0,0
CADRON,D,19951116,000000,0.18137,0.18137,0.18137,0.18137,0,0
CADRON,D,19951117,000000,0.18801,0.18801,0.18801,0.18801,0,0
CADRON,D,19951120,000000,0.18872,0.18872,0.18872,0.18872,0,0
CADRON,D,19951121,000000,0.18875,0.18875,0.18875,0.18875,0,0
CADRON,D,19951122,000000,0.18835,0.18835,0.18835,0.18835,0,0
CADRON,D,19951123,000000,0.18843,0.18843,0.18843,0.18843,0,0
CADRON,D,19951124,000000,0.18831,0.18831,0.18831,0.18831,0,0
CADRON,D,19951127,000000,0.18801,0.18801,0.18801,0.18801,0,0
CADRON,D,19951128,000000,0.19034,0.19034,0.19034,0.19034,0,0
CADRON,D,19951129,000000,0.18737,0.18737,0.18737,0.18737,0,0
CADRON,D,19951130,000000,0.18718,0.18718,0.18718,0.18718,0,0
CADRON,D,19951201,000000,0.18647,0.18647,0.18647,0.18647,0,0
CADRON,D,19951204,000000,0.18886,0.18886,0.18886,0.18886,0,0
CADRON,D,19951205,000000,0.18973,0.18973,0.18973,0.18973,0,0
CADRON,D,19951206,000000,0.18827,0.18827,0.18827,0.18827,0,0
CADRON,D,19951207,000000,0.19123,0.19123,0.19123,0.19123,0,0
CADRON,D,19951208,000000,0.19018,0.19018,0.19018,0.19018,0,0
CADRON,D,19951211,000000,0.18925,0.18925,0.18925,0.18925,0,0
CADRON,D,19951212,000000,0.1876,0.1876,0.1876,0.1876,0,0
CADRON,D,19951213,000000,0.18916,0.18916,0.18916,0.18916,0,0
CADRON,D,19951214,000000,0.18854,0.18854,0.18854,0.18854,0,0
CADRON,D,19951215,000000,0.18975,0.18975,0.18975,0.18975,0,0
CADRON,D,19951218,000000,0.19017,0.19017,0.19017,0.19017,0,0
CADRON,D,19951219,000000,0.18929,0.18929,0.18929,0.18929,0,0
CADRON,D,19951220,000000,0.19035,0.19035,0.19035,0.19035,0,0
CADRON,D,19951221,000000,0.19122,0.19122,0.19122,0.19122,0,0
CADRON,D,19951222,000000,0.19126,0.19126,0.19126,0.19126,0,0
CADRON,D,19951227,000000,0.19194,0.19194,0.19194,0.19194,0,0
CADRON,D,19951228,000000,0.19208,0.19208,0.19208,0.19208,0,0
CADRON,D,19951229,000000,0.1929,0.1929,0.1929,0.1929,0,0
CADRON,D,19960102,000000,0.19308,0.19308,0.19308,0.19308,0,0
CADRON,D,19960103,000000,0.19396,0.19396,0.19396,0.19396,0,0
CADRON,D,19960104,000000,0.19413,0.19413,0.19413,0.19413,0,0
CADRON,D,19960105,000000,0.19371,0.19371,0.19371,0.19371,0,0
CADRON,D,19960108,000000,0.193,0.193,0.193,0.193,0,0
CADRON,D,19960109,000000,0.19335,0.19335,0.19335,0.19335,0,0
CADRON,D,19960110,000000,0.19523,0.19523,0.19523,0.19523,0,0
CADRON,D,19960111,000000,0.1918,0.1918,0.1918,0.1918,0,0
CADRON,D,19960112,000000,0.19405,0.19405,0.19405,0.19405,0,0
CADRON,D,19960115,000000,0.19611,0.19611,0.19611,0.19611,0,0
CADRON,D,19960116,000000,0.19675,0.19675,0.19675,0.19675,0,0
CADRON,D,19960117,000000,0.19445,0.19445,0.19445,0.19445,0,0
