<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADRUB,D,19951023,000000,3.3024,3.3024,3.3024,3.3024,0,0
CADRUB,D,19951024,000000,3.2714,3.2714,3.2714,3.2714,0,0
CADRUB,D,19951025,000000,3.2951,3.2951,3.2951,3.2951,0,0
CADRUB,D,19951026,000000,3.2984,3.2984,3.2984,3.2984,0,0
CADRUB,D,19951027,000000,3.2884,3.2884,3.2884,3.2884,0,0
CADRUB,D,19951030,000000,3.305,3.305,3.305,3.305,0,0
CADRUB,D,19951031,000000,3.368,3.368,3.368,3.368,0,0
CADRUB,D,19951102,000000,3.3548,3.3548,3.3548,3.3548,0,0
CADRUB,D,19951103,000000,3.3678,3.3678,3.3678,3.3678,0,0
CADRUB,D,19951106,000000,3.3575,3.3575,3.3575,3.3575,0,0
CADRUB,D,19951107,000000,3.3373,3.3373,3.3373,3.3373,0,0
CADRUB,D,19951108,000000,3.3297,3.3297,3.3297,3.3297,0,0
CADRUB,D,19951109,000000,3.3358,3.3358,3.3358,3.3358,0,0
CADRUB,D,19951110,000000,3.3467,3.3467,3.3467,3.3467,0,0
CADRUB,D,19951113,000000,3.3538,3.3538,3.3538,3.3538,0,0
CADRUB,D,19951114,000000,3.354,3.354,3.354,3.354,0,0
CADRUB,D,19951115,000000,3.3427,3.3427,3.3427,3.3427,0,0
CADRUB,D,19951116,000000,3.3452,3.3452,3.3452,3.3452,0,0
CADRUB,D,19951117,000000,3.3586,3.3586,3.3586,3.3586,0,0
CADRUB,D,19951120,000000,3.3803,3.3803,3.3803,3.3803,0,0
CADRUB,D,19951121,000000,3.3743,3.3743,3.3743,3.3743,0,0
CADRUB,D,19951122,000000,3.3776,3.3776,3.3776,3.3776,0,0
CADRUB,D,19951123,000000,3.3813,3.3813,3.3813,3.3813,0,0
CADRUB,D,19951124,000000,3.3789,3.3789,3.3789,3.3789,0,0
CADRUB,D,19951127,000000,3.3885,3.3885,3.3885,3.3885,0,0
CADRUB,D,19951128,000000,3.3813,3.3813,3.3813,3.3813,0,0
CADRUB,D,19951129,000000,3.3705,3.3705,3.3705,3.3705,0,0
CADRUB,D,19951130,000000,3.3735,3.3735,3.3735,3.3735,0,0
CADRUB,D,19951201,000000,3.369,3.369,3.369,3.369,0,0
CADRUB,D,19951204,000000,3.3592,3.3592,3.3592,3.3592,0,0
CADRUB,D,19951205,000000,3.3581,3.3581,3.3581,3.3581,0,0
CADRUB,D,19951206,000000,3.3607,3.3607,3.3607,3.3607,0,0
CADRUB,D,19951207,000000,3.3662,3.3662,3.3662,3.3662,0,0
CADRUB,D,19951208,000000,3.3444,3.3444,3.3444,3.3444,0,0
CADRUB,D,19951211,000000,3.3249,3.3249,3.3249,3.3249,0,0
CADRUB,D,19951212,000000,3.3213,3.3213,3.3213,3.3213,0,0
CADRUB,D,19951213,000000,3.3641,3.3641,3.3641,3.3641,0,0
CADRUB,D,19951214,000000,3.3711,3.3711,3.3711,3.3711,0,0
CADRUB,D,19951215,000000,3.3671,3.3671,3.3671,3.3671,0,0
CADRUB,D,19951218,000000,3.3784,3.3784,3.3784,3.3784,0,0
CADRUB,D,19951219,000000,3.3649,3.3649,3.3649,3.3649,0,0
CADRUB,D,19951220,000000,3.3836,3.3836,3.3836,3.3836,0,0
CADRUB,D,19951221,000000,3.3991,3.3991,3.3991,3.3991,0,0
CADRUB,D,19951222,000000,3.3999,3.3999,3.3999,3.3999,0,0
CADRUB,D,19951227,000000,3.4092,3.4092,3.4092,3.4092,0,0
CADRUB,D,19951228,000000,3.4148,3.4148,3.4148,3.4148,0,0
CADRUB,D,19951229,000000,3.4059,3.4059,3.4059,3.4059,0,0
CADRUB,D,19960102,000000,3.409,3.409,3.409,3.409,0,0
CADRUB,D,19960103,000000,3.4258,3.4258,3.4258,3.4258,0,0
CADRUB,D,19960104,000000,3.4322,3.4322,3.4322,3.4322,0,0
CADRUB,D,19960105,000000,3.4136,3.4136,3.4136,3.4136,0,0
CADRUB,D,19960108,000000,3.4115,3.4115,3.4115,3.4115,0,0
CADRUB,D,19960109,000000,3.4156,3.4156,3.4156,3.4156,0,0
CADRUB,D,19960110,000000,3.4256,3.4256,3.4256,3.4256,0,0
CADRUB,D,19960111,000000,3.4168,3.4168,3.4168,3.4168,0,0
CADRUB,D,19960112,000000,3.4216,3.4216,3.4216,3.4216,0,0
CADRUB,D,19960115,000000,3.42,3.42,3.42,3.42,0,0
CADRUB,D,19960116,000000,3.4248,3.4248,3.4248,3.4248,0,0
CADRUB,D,19960117,000000,3.4128,3.4128,3.4128,3.4128,0,0
CADRUB,D,19960118,000000,3.4352,3.4352,3.4352,3.4352,0,0
CADRUB,D,19960119,000000,3.4444,3.4444,3.4444,3.4444,0,0
CADRUB,D,19960122,000000,3.4216,3.4216,3.4216,3.4216,0,0
CADRUB,D,19960123,000000,3.4128,3.4128,3.4128,3.4128,0,0
CADRUB,D,19960124,000000,3.4449,3.4449,3.4449,3.4449,0,0
CADRUB,D,19960125,000000,3.4263,3.4263,3.4263,3.4263,0,0
CADRUB,D,19960126,000000,3.4182,3.4182,3.4182,3.4182,0,0
CADRUB,D,19960129,000000,3.4253,3.4253,3.4253,3.4253,0,0
CADRUB,D,19960130,000000,3.4371,3.4371,3.4371,3.4371,0,0
CADRUB,D,19960131,000000,3.4265,3.4265,3.4265,3.4265,0,0
CADRUB,D,19960201,000000,3.4455,3.4455,3.4455,3.4455,0,0
CADRUB,D,19960202,000000,3.4527,3.4527,3.4527,3.4527,0,0
CADRUB,D,19960205,000000,3.4429,3.4429,3.4429,3.4429,0,0
CADRUB,D,19960206,000000,3.4452,3.4452,3.4452,3.4452,0,0
CADRUB,D,19960207,000000,3.4627,3.4627,3.4627,3.4627,0,0
CADRUB,D,19960208,000000,3.4688,3.4688,3.4688,3.4688,0,0
CADRUB,D,19960209,000000,3.4459,3.4459,3.4459,3.4459,0,0
CADRUB,D,19960212,000000,3.4621,3.4621,3.4621,3.4621,0,0
CADRUB,D,19960213,000000,3.4569,3.4569,3.4569,3.4569,0,0
CADRUB,D,19960214,000000,3.4556,3.4556,3.4556,3.4556,0,0
CADRUB,D,19960215,000000,3.4489,3.4489,3.4489,3.4489,0,0
CADRUB,D,19960216,000000,3.4434,3.4434,3.4434,3.4434,0,0
CADRUB,D,19960219,000000,3.4391,3.4391,3.4391,3.4391,0,0
CADRUB,D,19960220,000000,3.4421,3.4421,3.4421,3.4421,0,0
CADRUB,D,19960221,000000,3.4575,3.4575,3.4575,3.4575,0,0
CADRUB,D,19960222,000000,3.469,3.469,3.469,3.469,0,0
CADRUB,D,19960223,000000,3.4718,3.4718,3.4718,3.4718,0,0
CADRUB,D,19960226,000000,3.4622,3.4622,3.4622,3.4622,0,0
CADRUB,D,19960227,000000,3.4823,3.4823,3.4823,3.4823,0,0
CADRUB,D,19960228,000000,3.5107,3.5107,3.5107,3.5107,0,0
CADRUB,D,19960229,000000,3.5101,3.5101,3.5101,3.5101,0,0
CADRUB,D,19960301,000000,3.5293,3.5293,3.5293,3.5293,0,0
CADRUB,D,19960304,000000,3.5078,3.5078,3.5078,3.5078,0,0
CADRUB,D,19960305,000000,3.5158,3.5158,3.5158,3.5158,0,0
CADRUB,D,19960306,000000,3.5161,3.5161,3.5161,3.5161,0,0
CADRUB,D,19960307,000000,3.5156,3.5156,3.5156,3.5156,0,0
CADRUB,D,19960308,000000,3.5205,3.5205,3.5205,3.5205,0,0
CADRUB,D,19960311,000000,3.5294,3.5294,3.5294,3.5294,0,0
CADRUB,D,19960312,000000,3.5287,3.5287,3.5287,3.5287,0,0
CADRUB,D,19960313,000000,3.5295,3.5295,3.5295,3.5295,0,0
CADRUB,D,19960314,000000,3.5297,3.5297,3.5297,3.5297,0,0
CADRUB,D,19960315,000000,3.5156,3.5156,3.5156,3.5156,0,0
