<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADTHB,D,19930104,000000,22.301,22.301,22.301,22.301,0,0
CADTHB,D,19930105,000000,22.375,22.375,22.375,22.375,0,0
CADTHB,D,19930106,000000,22.308,22.308,22.308,22.308,0,0
CADTHB,D,19930107,000000,22.292,22.292,22.292,22.292,0,0
CADTHB,D,19930108,000000,22.231,22.231,22.231,22.231,0,0
CADTHB,D,19930111,000000,22.359,22.359,22.359,22.359,0,0
CADTHB,D,19930112,000000,22.283,22.283,22.283,22.283,0,0
CADTHB,D,19930113,000000,22.249,22.249,22.249,22.249,0,0
CADTHB,D,19930114,000000,22.308,22.308,22.308,22.308,0,0
CADTHB,D,19930115,000000,22.238,22.238,22.238,22.238,0,0
CADTHB,D,19930118,000000,22.353,22.353,22.353,22.353,0,0
CADTHB,D,19930119,000000,22.318,22.318,22.318,22.318,0,0
CADTHB,D,19930120,000000,22.245,22.245,22.245,22.245,0,0
CADTHB,D,19930121,000000,22.123,22.123,22.123,22.123,0,0
CADTHB,D,19930122,000000,22.231,22.231,22.231,22.231,0,0
CADTHB,D,19930125,000000,22.238,22.238,22.238,22.238,0,0
CADTHB,D,19930126,000000,22.344,22.344,22.344,22.344,0,0
CADTHB,D,19930127,000000,22.389,22.389,22.389,22.389,0,0
CADTHB,D,19930128,000000,22.383,22.383,22.383,22.383,0,0
CADTHB,D,19930129,000000,22.409,22.409,22.409,22.409,0,0
CADTHB,D,19930201,000000,22.569,22.569,22.569,22.569,0,0
CADTHB,D,19930202,000000,22.6,22.6,22.6,22.6,0,0
CADTHB,D,19930203,000000,22.513,22.513,22.513,22.513,0,0
CADTHB,D,19930204,000000,22.59,22.59,22.59,22.59,0,0
CADTHB,D,19930205,000000,22.679,22.679,22.679,22.679,0,0
CADTHB,D,19930208,000000,22.589,22.589,22.589,22.589,0,0
CADTHB,D,19930209,000000,22.526,22.526,22.526,22.526,0,0
CADTHB,D,19930210,000000,22.525,22.525,22.525,22.525,0,0
CADTHB,D,19930211,000000,22.713,22.713,22.713,22.713,0,0
CADTHB,D,19930212,000000,22.695,22.695,22.695,22.695,0,0
CADTHB,D,19930215,000000,22.705,22.705,22.705,22.705,0,0
CADTHB,D,19930216,000000,22.686,22.686,22.686,22.686,0,0
CADTHB,D,19930217,000000,22.524,22.524,22.524,22.524,0,0
CADTHB,D,19930218,000000,22.583,22.583,22.583,22.583,0,0
CADTHB,D,19930219,000000,22.602,22.602,22.602,22.602,0,0
CADTHB,D,19930222,000000,22.487,22.487,22.487,22.487,0,0
CADTHB,D,19930223,000000,22.561,22.561,22.561,22.561,0,0
CADTHB,D,19930224,000000,22.46,22.46,22.46,22.46,0,0
CADTHB,D,19930225,000000,22.659,22.659,22.659,22.659,0,0
CADTHB,D,19930226,000000,22.717,22.717,22.717,22.717,0,0
CADTHB,D,19930301,000000,22.732,22.732,22.732,22.732,0,0
