<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADXPT,D,19840109,000000,21.527,21.527,21.527,21.527,0,0
CADXPT,D,19840116,000000,21.51,21.51,21.51,21.51,0,0
CADXPT,D,19840123,000000,21.645,21.645,21.645,21.645,0,0
CADXPT,D,19840130,000000,20.948,20.948,20.948,20.948,0,0
CADXPT,D,19840206,000000,20.781,20.781,20.781,20.781,0,0
CADXPT,D,19840213,000000,21.079,21.079,21.079,21.079,0,0
CADXPT,D,19840220,000000,21.211,21.211,21.211,21.211,0,0
CADXPT,D,19840301,000000,20.076,20.076,20.076,20.076,0,0
CADXPT,D,19840305,000000,19.548,19.548,19.548,19.548,0,0
CADXPT,D,19840312,000000,20.173,20.173,20.173,20.173,0,0
CADXPT,D,19840319,000000,20.051,20.051,20.051,20.051,0,0
CADXPT,D,19840326,000000,19.751,19.751,19.751,19.751,0,0
CADXPT,D,19840402,000000,20.07,20.07,20.07,20.07,0,0
CADXPT,D,19840409,000000,19.899,19.899,19.899,19.899,0,0
CADXPT,D,19840416,000000,19.989,19.989,19.989,19.989,0,0
CADXPT,D,19840424,000000,19.237,19.237,19.237,19.237,0,0
CADXPT,D,19840502,000000,20.172,20.172,20.172,20.172,0,0
CADXPT,D,19840507,000000,20.178,20.178,20.178,20.178,0,0
CADXPT,D,19840514,000000,20.028,20.028,20.028,20.028,0,0
CADXPT,D,19840521,000000,19.681,19.681,19.681,19.681,0,0
CADXPT,D,19840528,000000,19.663,19.663,19.663,19.663,0,0
CADXPT,D,19840604,000000,19.497,19.497,19.497,19.497,0,0
CADXPT,D,19840611,000000,20.46,20.46,20.46,20.46,0,0
CADXPT,D,19840618,000000,19.924,19.924,19.924,19.924,0,0
CADXPT,D,19840625,000000,20.45,20.45,20.45,20.45,0,0
CADXPT,D,19840702,000000,20.276,20.276,20.276,20.276,0,0
CADXPT,D,19840709,000000,21.298,21.298,21.298,21.298,0,0
CADXPT,D,19840716,000000,21.518,21.518,21.518,21.518,0,0
CADXPT,D,19840723,000000,22.484,22.484,22.484,22.484,0,0
CADXPT,D,19840730,000000,22.892,22.892,22.892,22.892,0,0
CADXPT,D,19840806,000000,22.719,22.719,22.719,22.719,0,0
CADXPT,D,19840813,000000,22.801,22.801,22.801,22.801,0,0
CADXPT,D,19840820,000000,22.884,22.884,22.884,22.884,0,0
CADXPT,D,19840827,000000,22.657,22.657,22.657,22.657,0,0
CADXPT,D,19840901,000000,22.715,22.715,22.715,22.715,0,0
CADXPT,D,19840910,000000,23.809,23.809,23.809,23.809,0,0
CADXPT,D,19840917,000000,24.138,24.138,24.138,24.138,0,0
CADXPT,D,19840924,000000,23.196,23.196,23.196,23.196,0,0
CADXPT,D,19841001,000000,23.314,23.314,23.314,23.314,0,0
CADXPT,D,19841008,000000,23.633,23.633,23.633,23.633,0,0
CADXPT,D,19841015,000000,23.011,23.011,23.011,23.011,0,0
CADXPT,D,19841022,000000,23.224,23.224,23.224,23.224,0,0
CADXPT,D,19841029,000000,23.907,23.907,23.907,23.907,0,0
CADXPT,D,19841105,000000,22.567,22.567,22.567,22.567,0,0
CADXPT,D,19841112,000000,22.906,22.906,22.906,22.906,0,0
CADXPT,D,19841119,000000,23.583,23.583,23.583,23.583,0,0
CADXPT,D,19841126,000000,24.03,24.03,24.03,24.03,0,0
CADXPT,D,19841201,000000,23.958,23.958,23.958,23.958,0,0
CADXPT,D,19841210,000000,24.218,24.218,24.218,24.218,0,0
CADXPT,D,19841217,000000,25.533,25.533,25.533,25.533,0,0
CADXPT,D,19841224,000000,25.552,25.552,25.552,25.552,0,0
CADXPT,D,19850101,000000,25.604,25.604,25.604,25.604,0,0
CADXPT,D,19850107,000000,27.389,27.389,27.389,27.389,0,0
CADXPT,D,19850114,000000,28.314,28.314,28.314,28.314,0,0
CADXPT,D,19850121,000000,27.364,27.364,27.364,27.364,0,0
CADXPT,D,19850128,000000,27.789,27.789,27.789,27.789,0,0
CADXPT,D,19850204,000000,27.5,27.5,27.5,27.5,0,0
CADXPT,D,19850211,000000,27.294,27.294,27.294,27.294,0,0
CADXPT,D,19850218,000000,27.173,27.173,27.173,27.173,0,0
CADXPT,D,19850225,000000,30.693,30.693,30.693,30.693,0,0
CADXPT,D,19850304,000000,28.788,28.788,28.788,28.788,0,0
CADXPT,D,19850311,000000,29.591,29.591,29.591,29.591,0,0
CADXPT,D,19850318,000000,28.101,28.101,28.101,28.101,0,0
CADXPT,D,19850325,000000,27.366,27.366,27.366,27.366,0,0
CADXPT,D,19850329,000000,25.8,25.8,25.8,25.8,0,0
CADXPT,D,19850401,000000,27.341,27.341,27.341,27.341,0,0
CADXPT,D,19850409,000000,25.517,25.517,25.517,25.517,0,0
CADXPT,D,19850415,000000,24.543,24.543,24.543,24.543,0,0
CADXPT,D,19850422,000000,25.7,25.7,25.7,25.7,0,0
CADXPT,D,19850429,000000,25.89,25.89,25.89,25.89,0,0
CADXPT,D,19850506,000000,28.379,28.379,28.379,28.379,0,0
CADXPT,D,19850513,000000,25.476,25.476,25.476,25.476,0,0
CADXPT,D,19850520,000000,27.269,27.269,27.269,27.269,0,0
CADXPT,D,19850527,000000,27.337,27.337,27.337,27.337,0,0
CADXPT,D,19850601,000000,27.167,27.167,27.167,27.167,0,0
CADXPT,D,19850610,000000,28.026,28.026,28.026,28.026,0,0
CADXPT,D,19850617,000000,27.459,27.459,27.459,27.459,0,0
CADXPT,D,19850624,000000,27.197,27.197,27.197,27.197,0,0
CADXPT,D,19850701,000000,29.652,29.652,29.652,29.652,0,0
CADXPT,D,19850708,000000,27.976,27.976,27.976,27.976,0,0
CADXPT,D,19850715,000000,27.628,27.628,27.628,27.628,0,0
CADXPT,D,19850723,000000,27.542,27.542,27.542,27.542,0,0
CADXPT,D,19850729,000000,26.766,26.766,26.766,26.766,0,0
CADXPT,D,19850805,000000,26.382,26.382,26.382,26.382,0,0
CADXPT,D,19850812,000000,25.252,25.252,25.252,25.252,0,0
CADXPT,D,19850819,000000,22.066,22.066,22.066,22.066,0,0
CADXPT,D,19850826,000000,22.411,22.411,22.411,22.411,0,0
CADXPT,D,19850902,000000,22.399,22.399,22.399,22.399,0,0
CADXPT,D,19850909,000000,23.418,23.418,23.418,23.418,0,0
CADXPT,D,19850916,000000,23.854,23.854,23.854,23.854,0,0
CADXPT,D,19850923,000000,23.059,23.059,23.059,23.059,0,0
CADXPT,D,19850930,000000,24.225,24.225,24.225,24.225,0,0
CADXPT,D,19851007,000000,22.882,22.882,22.882,22.882,0,0
CADXPT,D,19851014,000000,22.809,22.809,22.809,22.809,0,0
CADXPT,D,19851021,000000,22.411,22.411,22.411,22.411,0,0
CADXPT,D,19851028,000000,21.991,21.991,21.991,21.991,0,0
CADXPT,D,19851104,000000,22.622,22.622,22.622,22.622,0,0
CADXPT,D,19851111,000000,22.351,22.351,22.351,22.351,0,0
CADXPT,D,19851118,000000,21.97,21.97,21.97,21.97,0,0
CADXPT,D,19851125,000000,20.584,20.584,20.584,20.584,0,0
CADXPT,D,19851202,000000,20.907,20.907,20.907,20.907,0,0
CADXPT,D,19851209,000000,22.467,22.467,22.467,22.467,0,0
CADXPT,D,19851216,000000,21.378,21.378,21.378,21.378,0,0
CADXPT,D,19851223,000000,21.389,21.389,21.389,21.389,0,0
CADXPT,D,19860101,000000,21.387,21.387,21.387,21.387,0,0
CADXPT,D,19860106,000000,19.949,19.949,19.949,19.949,0,0
CADXPT,D,19860113,000000,19.652,19.652,19.652,19.652,0,0
CADXPT,D,19860120,000000,19.273,19.273,19.273,19.273,0,0
CADXPT,D,19860127,000000,19.076,19.076,19.076,19.076,0,0
CADXPT,D,19860201,000000,18.927,18.927,18.927,18.927,0,0
CADXPT,D,19860210,000000,19.402,19.402,19.402,19.402,0,0
CADXPT,D,19860217,000000,20.07,20.07,20.07,20.07,0,0
CADXPT,D,19860224,000000,17.304,17.304,17.304,17.304,0,0
CADXPT,D,19860301,000000,17.432,17.432,17.432,17.432,0,0
CADXPT,D,19860303,000000,18.185,18.185,18.185,18.185,0,0
CADXPT,D,19860310,000000,17.688,17.688,17.688,17.688,0,0
CADXPT,D,19860317,000000,17.213,17.213,17.213,17.213,0,0
CADXPT,D,19860318,000000,17.085,17.085,17.085,17.085,0,0
CADXPT,D,19860324,000000,16.89,16.89,16.89,16.89,0,0
CADXPT,D,19860401,000000,17.994,17.994,17.994,17.994,0,0
CADXPT,D,19860407,000000,17.104,17.104,17.104,17.104,0,0
CADXPT,D,19860409,000000,16.866,16.866,16.866,16.866,0,0
CADXPT,D,19860414,000000,17.135,17.135,17.135,17.135,0,0
CADXPT,D,19860421,000000,17.378,17.378,17.378,17.378,0,0
CADXPT,D,19860428,000000,17.2,17.2,17.2,17.2,0,0
CADXPT,D,19860505,000000,17.792,17.792,17.792,17.792,0,0
CADXPT,D,19860512,000000,17.339,17.339,17.339,17.339,0,0
CADXPT,D,19860519,000000,18.046,18.046,18.046,18.046,0,0
CADXPT,D,19860526,000000,18.097,18.097,18.097,18.097,0,0
CADXPT,D,19860602,000000,17.509,17.509,17.509,17.509,0,0
CADXPT,D,19860609,000000,16.344,16.344,16.344,16.344,0,0
CADXPT,D,19860616,000000,16.999,16.999,16.999,16.999,0,0
CADXPT,D,19860623,000000,16.58,16.58,16.58,16.58,0,0
CADXPT,D,19860630,000000,16.789,16.789,16.789,16.789,0,0
CADXPT,D,19860707,000000,16.758,16.758,16.758,16.758,0,0
CADXPT,D,19860714,000000,16.797,16.797,16.797,16.797,0,0
CADXPT,D,19860721,000000,16.279,16.279,16.279,16.279,0,0
CADXPT,D,19860728,000000,16.227,16.227,16.227,16.227,0,0
CADXPT,D,19860804,000000,15.436,15.436,15.436,15.436,0,0
