<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFDKK,D,19840102,000000,4.5517,4.5517,4.5517,4.5517,0,0
CHFDKK,D,19840109,000000,4.5133,4.5133,4.5133,4.5133,0,0
CHFDKK,D,19840116,000000,4.5506,4.5506,4.5506,4.5506,0,0
CHFDKK,D,19840123,000000,4.5466,4.5466,4.5466,4.5466,0,0
CHFDKK,D,19840130,000000,4.5579,4.5579,4.5579,4.5579,0,0
CHFDKK,D,19840206,000000,4.5495,4.5495,4.5495,4.5495,0,0
CHFDKK,D,19840213,000000,4.4975,4.4975,4.4975,4.4975,0,0
CHFDKK,D,19840220,000000,4.4548,4.4548,4.4548,4.4548,0,0
CHFDKK,D,19840301,000000,4.4458,4.4458,4.4458,4.4458,0,0
CHFDKK,D,19840305,000000,4.4168,4.4168,4.4168,4.4168,0,0
CHFDKK,D,19840312,000000,4.4516,4.4516,4.4516,4.4516,0,0
CHFDKK,D,19840319,000000,4.4198,4.4198,4.4198,4.4198,0,0
CHFDKK,D,19840326,000000,4.4509,4.4509,4.4509,4.4509,0,0
CHFDKK,D,19840402,000000,4.4155,4.4155,4.4155,4.4155,0,0
CHFDKK,D,19840409,000000,4.4529,4.4529,4.4529,4.4529,0,0
CHFDKK,D,19840416,000000,4.4339,4.4339,4.4339,4.4339,0,0
CHFDKK,D,19840424,000000,4.4263,4.4263,4.4263,4.4263,0,0
CHFDKK,D,19840502,000000,4.4481,4.4481,4.4481,4.4481,0,0
CHFDKK,D,19840507,000000,4.4518,4.4518,4.4518,4.4518,0,0
CHFDKK,D,19840514,000000,4.4444,4.4444,4.4444,4.4444,0,0
CHFDKK,D,19840521,000000,4.4225,4.4225,4.4225,4.4225,0,0
CHFDKK,D,19840528,000000,4.437,4.437,4.437,4.437,0,0
CHFDKK,D,19840604,000000,4.4498,4.4498,4.4498,4.4498,0,0
CHFDKK,D,19840611,000000,4.4096,4.4096,4.4096,4.4096,0,0
CHFDKK,D,19840618,000000,4.4027,4.4027,4.4027,4.4027,0,0
CHFDKK,D,19840625,000000,4.4142,4.4142,4.4142,4.4142,0,0
CHFDKK,D,19840702,000000,4.3892,4.3892,4.3892,4.3892,0,0
CHFDKK,D,19840709,000000,4.3704,4.3704,4.3704,4.3704,0,0
CHFDKK,D,19840716,000000,4.3395,4.3395,4.3395,4.3395,0,0
CHFDKK,D,19840723,000000,4.3192,4.3192,4.3192,4.3192,0,0
CHFDKK,D,19840730,000000,4.2893,4.2893,4.2893,4.2893,0,0
CHFDKK,D,19840806,000000,4.296,4.296,4.296,4.296,0,0
CHFDKK,D,19840813,000000,4.3318,4.3318,4.3318,4.3318,0,0
CHFDKK,D,19840820,000000,4.3228,4.3228,4.3228,4.3228,0,0
CHFDKK,D,19840827,000000,4.3647,4.3647,4.3647,4.3647,0,0
CHFDKK,D,19840901,000000,4.3633,4.3633,4.3633,4.3633,0,0
CHFDKK,D,19840910,000000,4.3537,4.3537,4.3537,4.3537,0,0
CHFDKK,D,19840917,000000,4.3648,4.3648,4.3648,4.3648,0,0
CHFDKK,D,19840924,000000,4.3864,4.3864,4.3864,4.3864,0,0
CHFDKK,D,19841001,000000,4.3989,4.3989,4.3989,4.3989,0,0
CHFDKK,D,19841008,000000,4.3854,4.3854,4.3854,4.3854,0,0
CHFDKK,D,19841015,000000,4.3836,4.3836,4.3836,4.3836,0,0
CHFDKK,D,19841022,000000,4.403,4.403,4.403,4.403,0,0
CHFDKK,D,19841029,000000,4.384,4.384,4.384,4.384,0,0
CHFDKK,D,19841105,000000,4.3868,4.3868,4.3868,4.3868,0,0
CHFDKK,D,19841112,000000,4.3921,4.3921,4.3921,4.3921,0,0
CHFDKK,D,19841119,000000,4.3944,4.3944,4.3944,4.3944,0,0
CHFDKK,D,19841126,000000,4.3778,4.3778,4.3778,4.3778,0,0
CHFDKK,D,19841201,000000,4.3619,4.3619,4.3619,4.3619,0,0
CHFDKK,D,19841210,000000,4.3651,4.3651,4.3651,4.3651,0,0
CHFDKK,D,19841217,000000,4.3412,4.3412,4.3412,4.3412,0,0
CHFDKK,D,19841224,000000,4.3395,4.3395,4.3395,4.3395,0,0
CHFDKK,D,19850101,000000,4.3511,4.3511,4.3511,4.3511,0,0
CHFDKK,D,19850107,000000,4.3328,4.3328,4.3328,4.3328,0,0
CHFDKK,D,19850114,000000,4.2735,4.2735,4.2735,4.2735,0,0
CHFDKK,D,19850121,000000,4.2594,4.2594,4.2594,4.2594,0,0
CHFDKK,D,19850128,000000,4.2423,4.2423,4.2423,4.2423,0,0
CHFDKK,D,19850204,000000,4.2459,4.2459,4.2459,4.2459,0,0
CHFDKK,D,19850211,000000,4.1964,4.1964,4.1964,4.1964,0,0
CHFDKK,D,19850218,000000,4.191,4.191,4.191,4.191,0,0
CHFDKK,D,19850225,000000,4.2129,4.2129,4.2129,4.2129,0,0
CHFDKK,D,19850304,000000,4.173,4.173,4.173,4.173,0,0
