<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFHUF,D,19951023,000000,115.01,115.01,115.01,115.01,0,0
CHFHUF,D,19951024,000000,114.85,114.85,114.85,114.85,0,0
CHFHUF,D,19951025,000000,114.49,114.49,114.49,114.49,0,0
CHFHUF,D,19951026,000000,114.96,114.96,114.96,114.96,0,0
CHFHUF,D,19951027,000000,115.95,115.95,115.95,115.95,0,0
CHFHUF,D,19951030,000000,115.21,115.21,115.21,115.21,0,0
CHFHUF,D,19951031,000000,115.36,115.36,115.36,115.36,0,0
CHFHUF,D,19951102,000000,115.51,115.51,115.51,115.51,0,0
CHFHUF,D,19951103,000000,115.67,115.67,115.67,115.67,0,0
CHFHUF,D,19951106,000000,116.64,116.64,116.64,116.64,0,0
CHFHUF,D,19951107,000000,115.89,115.89,115.89,115.89,0,0
CHFHUF,D,19951108,000000,116.11,116.11,116.11,116.11,0,0
CHFHUF,D,19951109,000000,115.61,115.61,115.61,115.61,0,0
CHFHUF,D,19951110,000000,116.33,116.33,116.33,116.33,0,0
CHFHUF,D,19951113,000000,117.21,117.21,117.21,117.21,0,0
CHFHUF,D,19951114,000000,116.3,116.3,116.3,116.3,0,0
CHFHUF,D,19951115,000000,116.65,116.65,116.65,116.65,0,0
CHFHUF,D,19951116,000000,116.61,116.61,116.61,116.61,0,0
CHFHUF,D,19951117,000000,116.75,116.75,116.75,116.75,0,0
CHFHUF,D,19951120,000000,116.42,116.42,116.42,116.42,0,0
CHFHUF,D,19951121,000000,116.75,116.75,116.75,116.75,0,0
CHFHUF,D,19951122,000000,116.71,116.71,116.71,116.71,0,0
CHFHUF,D,19951123,000000,116.62,116.62,116.62,116.62,0,0
CHFHUF,D,19951124,000000,116.66,116.66,116.66,116.66,0,0
CHFHUF,D,19951127,000000,115.98,115.98,115.98,115.98,0,0
CHFHUF,D,19951128,000000,115.84,115.84,115.84,115.84,0,0
CHFHUF,D,19951129,000000,115.31,115.31,115.31,115.31,0,0
CHFHUF,D,19951130,000000,116.17,116.17,116.17,116.17,0,0
CHFHUF,D,19951201,000000,115.11,115.11,115.11,115.11,0,0
CHFHUF,D,19951204,000000,116.44,116.44,116.44,116.44,0,0
CHFHUF,D,19951205,000000,115.75,115.75,115.75,115.75,0,0
CHFHUF,D,19951206,000000,115.76,115.76,115.76,115.76,0,0
CHFHUF,D,19951207,000000,115.97,115.97,115.97,115.97,0,0
CHFHUF,D,19951208,000000,116.03,116.03,116.03,116.03,0,0
CHFHUF,D,19951211,000000,116.13,116.13,116.13,116.13,0,0
CHFHUF,D,19951212,000000,116.07,116.07,116.07,116.07,0,0
CHFHUF,D,19951213,000000,116.17,116.17,116.17,116.17,0,0
CHFHUF,D,19951214,000000,116.11,116.11,116.11,116.11,0,0
CHFHUF,D,19951215,000000,117.18,117.18,117.18,117.18,0,0
CHFHUF,D,19951218,000000,117.69,117.69,117.69,117.69,0,0
CHFHUF,D,19951219,000000,118.13,118.13,118.13,118.13,0,0
CHFHUF,D,19951220,000000,117.33,117.33,117.33,117.33,0,0
CHFHUF,D,19951221,000000,117.46,117.46,117.46,117.46,0,0
CHFHUF,D,19951222,000000,116.98,116.98,116.98,116.98,0,0
CHFHUF,D,19951227,000000,118.67,118.67,118.67,118.67,0,0
CHFHUF,D,19951228,000000,119,119,119,119,0,0
CHFHUF,D,19951229,000000,119.75,119.75,119.75,119.75,0,0
CHFHUF,D,19960102,000000,119.25,119.25,119.25,119.25,0,0
CHFHUF,D,19960103,000000,118.37,118.37,118.37,118.37,0,0
CHFHUF,D,19960104,000000,117.3,117.3,117.3,117.3,0,0
CHFHUF,D,19960105,000000,116.63,116.63,116.63,116.63,0,0
CHFHUF,D,19960108,000000,117.12,117.12,117.12,117.12,0,0
CHFHUF,D,19960109,000000,116.55,116.55,116.55,116.55,0,0
CHFHUF,D,19960110,000000,117.09,117.09,117.09,117.09,0,0
CHFHUF,D,19960111,000000,117.71,117.71,117.71,117.71,0,0
CHFHUF,D,19960112,000000,118.16,118.16,118.16,118.16,0,0
CHFHUF,D,19960115,000000,118.4,118.4,118.4,118.4,0,0
CHFHUF,D,19960116,000000,117.7,117.7,117.7,117.7,0,0
CHFHUF,D,19960117,000000,117.03,117.03,117.03,117.03,0,0
CHFHUF,D,19960118,000000,117.15,117.15,117.15,117.15,0,0
CHFHUF,D,19960119,000000,118.1,118.1,118.1,118.1,0,0
CHFHUF,D,19960122,000000,117.09,117.09,117.09,117.09,0,0
CHFHUF,D,19960123,000000,117.87,117.87,117.87,117.87,0,0
CHFHUF,D,19960124,000000,118.09,118.09,118.09,118.09,0,0
CHFHUF,D,19960125,000000,118.3,118.3,118.3,118.3,0,0
CHFHUF,D,19960126,000000,118.59,118.59,118.59,118.59,0,0
CHFHUF,D,19960129,000000,117.16,117.16,117.16,117.16,0,0
CHFHUF,D,19960130,000000,117.14,117.14,117.14,117.14,0,0
CHFHUF,D,19960131,000000,116.65,116.65,116.65,116.65,0,0
CHFHUF,D,19960201,000000,116.86,116.86,116.86,116.86,0,0
CHFHUF,D,19960202,000000,116.12,116.12,116.12,116.12,0,0
CHFHUF,D,19960205,000000,116.52,116.52,116.52,116.52,0,0
CHFHUF,D,19960206,000000,117.92,117.92,117.92,117.92,0,0
CHFHUF,D,19960207,000000,117.54,117.54,117.54,117.54,0,0
CHFHUF,D,19960208,000000,118.13,118.13,118.13,118.13,0,0
CHFHUF,D,19960209,000000,117.43,117.43,117.43,117.43,0,0
CHFHUF,D,19960212,000000,117.65,117.65,117.65,117.65,0,0
CHFHUF,D,19960213,000000,117.33,117.33,117.33,117.33,0,0
CHFHUF,D,19960214,000000,118.37,118.37,118.37,118.37,0,0
CHFHUF,D,19960215,000000,117.67,117.67,117.67,117.67,0,0
CHFHUF,D,19960216,000000,117.95,117.95,117.95,117.95,0,0
CHFHUF,D,19960219,000000,120.57,120.57,120.57,120.57,0,0
CHFHUF,D,19960220,000000,119.36,119.36,119.36,119.36,0,0
CHFHUF,D,19960221,000000,118.51,118.51,118.51,118.51,0,0
CHFHUF,D,19960222,000000,119.76,119.76,119.76,119.76,0,0
CHFHUF,D,19960223,000000,120.03,120.03,120.03,120.03,0,0
CHFHUF,D,19960226,000000,119.48,119.48,119.48,119.48,0,0
CHFHUF,D,19960227,000000,119.86,119.86,119.86,119.86,0,0
CHFHUF,D,19960228,000000,119.34,119.34,119.34,119.34,0,0
CHFHUF,D,19960229,000000,118.73,118.73,118.73,118.73,0,0
CHFHUF,D,19960301,000000,118.03,118.03,118.03,118.03,0,0
CHFHUF,D,19960304,000000,118.99,118.99,118.99,118.99,0,0
CHFHUF,D,19960305,000000,118.56,118.56,118.56,118.56,0,0
CHFHUF,D,19960306,000000,118.56,118.56,118.56,118.56,0,0
CHFHUF,D,19960307,000000,118.34,118.34,118.34,118.34,0,0
CHFHUF,D,19960308,000000,118.15,118.15,118.15,118.15,0,0
CHFHUF,D,19960311,000000,118.47,118.47,118.47,118.47,0,0
CHFHUF,D,19960312,000000,118.34,118.34,118.34,118.34,0,0
CHFHUF,D,19960313,000000,119.78,119.78,119.78,119.78,0,0
CHFHUF,D,19960314,000000,119.9,119.9,119.9,119.9,0,0
CHFHUF,D,19960315,000000,120.41,120.41,120.41,120.41,0,0
CHFHUF,D,19960318,000000,120.21,120.21,120.21,120.21,0,0
CHFHUF,D,19960319,000000,119.47,119.47,119.47,119.47,0,0
CHFHUF,D,19960320,000000,119.82,119.82,119.82,119.82,0,0
CHFHUF,D,19960321,000000,119.51,119.51,119.51,119.51,0,0
CHFHUF,D,19960322,000000,119.53,119.53,119.53,119.53,0,0
CHFHUF,D,19960325,000000,120.06,120.06,120.06,120.06,0,0
CHFHUF,D,19960326,000000,120.21,120.21,120.21,120.21,0,0
CHFHUF,D,19960327,000000,119.49,119.49,119.49,119.49,0,0
CHFHUF,D,19960328,000000,119.9,119.9,119.9,119.9,0,0
CHFHUF,D,19960329,000000,120.25,120.25,120.25,120.25,0,0
CHFHUF,D,19960401,000000,120.22,120.22,120.22,120.22,0,0
CHFHUF,D,19960402,000000,120.42,120.42,120.42,120.42,0,0
CHFHUF,D,19960403,000000,120.74,120.74,120.74,120.74,0,0
CHFHUF,D,19960404,000000,120.19,120.19,120.19,120.19,0,0
CHFHUF,D,19960405,000000,120.66,120.66,120.66,120.66,0,0
CHFHUF,D,19960409,000000,119.67,119.67,119.67,119.67,0,0
CHFHUF,D,19960410,000000,119.49,119.49,119.49,119.49,0,0
CHFHUF,D,19960411,000000,119.16,119.16,119.16,119.16,0,0
CHFHUF,D,19960412,000000,118.77,118.77,118.77,118.77,0,0
CHFHUF,D,19960415,000000,118.94,118.94,118.94,118.94,0,0
CHFHUF,D,19960416,000000,118.28,118.28,118.28,118.28,0,0
CHFHUF,D,19960417,000000,118.23,118.23,118.23,118.23,0,0
CHFHUF,D,19960418,000000,118.53,118.53,118.53,118.53,0,0
CHFHUF,D,19960419,000000,119.69,119.69,119.69,119.69,0,0
CHFHUF,D,19960422,000000,119.8,119.8,119.8,119.8,0,0
CHFHUF,D,19960423,000000,119.63,119.63,119.63,119.63,0,0
CHFHUF,D,19960424,000000,119.24,119.24,119.24,119.24,0,0
CHFHUF,D,19960425,000000,119.23,119.23,119.23,119.23,0,0
CHFHUF,D,19960426,000000,118.89,118.89,118.89,118.89,0,0
CHFHUF,D,19960429,000000,119.77,119.77,119.77,119.77,0,0
CHFHUF,D,19960430,000000,118.79,118.79,118.79,118.79,0,0
CHFHUF,D,19960506,000000,118.67,118.67,118.67,118.67,0,0
CHFHUF,D,19960507,000000,118.73,118.73,118.73,118.73,0,0
CHFHUF,D,19960508,000000,118.01,118.01,118.01,118.01,0,0
CHFHUF,D,19960509,000000,118.45,118.45,118.45,118.45,0,0
CHFHUF,D,19960510,000000,118.33,118.33,118.33,118.33,0,0
CHFHUF,D,19960513,000000,118.16,118.16,118.16,118.16,0,0
CHFHUF,D,19960514,000000,119.44,119.44,119.44,119.44,0,0
CHFHUF,D,19960515,000000,118.05,118.05,118.05,118.05,0,0
CHFHUF,D,19960516,000000,117.27,117.27,117.27,117.27,0,0
CHFHUF,D,19960517,000000,117.58,117.58,117.58,117.58,0,0
CHFHUF,D,19960520,000000,117.16,117.16,117.16,117.16,0,0
CHFHUF,D,19960521,000000,118.11,118.11,118.11,118.11,0,0
CHFHUF,D,19960522,000000,117.88,117.88,117.88,117.88,0,0
CHFHUF,D,19960523,000000,118.25,118.25,118.25,118.25,0,0
CHFHUF,D,19960524,000000,118.33,118.33,118.33,118.33,0,0
CHFHUF,D,19960527,000000,118.33,118.33,118.33,118.33,0,0
CHFHUF,D,19960528,000000,117.95,117.95,117.95,117.95,0,0
CHFHUF,D,19960529,000000,117.44,117.44,117.44,117.44,0,0
CHFHUF,D,19960530,000000,117.8,117.8,117.8,117.8,0,0
CHFHUF,D,19960531,000000,117.53,117.53,117.53,117.53,0,0
CHFHUF,D,19960603,000000,118.57,118.57,118.57,118.57,0,0
CHFHUF,D,19960604,000000,117.81,117.81,117.81,117.81,0,0
CHFHUF,D,19960605,000000,118.3,118.3,118.3,118.3,0,0
CHFHUF,D,19960607,000000,119.37,119.37,119.37,119.37,0,0
CHFHUF,D,19960610,000000,118.27,118.27,118.27,118.27,0,0
CHFHUF,D,19960611,000000,118.81,118.81,118.81,118.81,0,0
CHFHUF,D,19960612,000000,118.81,118.81,118.81,118.81,0,0
CHFHUF,D,19960613,000000,118.05,118.05,118.05,118.05,0,0
CHFHUF,D,19960614,000000,120.46,120.46,120.46,120.46,0,0
CHFHUF,D,19960617,000000,119.29,119.29,119.29,119.29,0,0
CHFHUF,D,19960618,000000,119.69,119.69,119.69,119.69,0,0
CHFHUF,D,19960619,000000,119.2,119.2,119.2,119.2,0,0
CHFHUF,D,19960620,000000,118.91,118.91,118.91,118.91,0,0
CHFHUF,D,19960621,000000,119.36,119.36,119.36,119.36,0,0
CHFHUF,D,19960624,000000,118.45,118.45,118.45,118.45,0,0
CHFHUF,D,19960625,000000,118.17,118.17,118.17,118.17,0,0
CHFHUF,D,19960626,000000,119.88,119.88,119.88,119.88,0,0
CHFHUF,D,19960627,000000,119.74,119.74,119.74,119.74,0,0
CHFHUF,D,19960628,000000,119.89,119.89,119.89,119.89,0,0
CHFHUF,D,19960701,000000,120.2,120.2,120.2,120.2,0,0
CHFHUF,D,19960702,000000,119.81,119.81,119.81,119.81,0,0
CHFHUF,D,19960703,000000,119.32,119.32,119.32,119.32,0,0
CHFHUF,D,19960704,000000,119.3,119.3,119.3,119.3,0,0
CHFHUF,D,19960705,000000,119.45,119.45,119.45,119.45,0,0
CHFHUF,D,19960708,000000,119.45,119.45,119.45,119.45,0,0
CHFHUF,D,19960709,000000,119.49,119.49,119.49,119.49,0,0
CHFHUF,D,19960710,000000,119.27,119.27,119.27,119.27,0,0
CHFHUF,D,19960711,000000,119.53,119.53,119.53,119.53,0,0
CHFHUF,D,19960712,000000,120.18,120.18,120.18,120.18,0,0
CHFHUF,D,19960715,000000,119.66,119.66,119.66,119.66,0,0
CHFHUF,D,19960716,000000,120.22,120.22,120.22,120.22,0,0
CHFHUF,D,19960717,000000,122.53,122.53,122.53,122.53,0,0
CHFHUF,D,19960718,000000,122.23,122.23,122.23,122.23,0,0
CHFHUF,D,19960719,000000,122.07,122.07,122.07,122.07,0,0
CHFHUF,D,19960722,000000,122.63,122.63,122.63,122.63,0,0
CHFHUF,D,19960723,000000,124.21,124.21,124.21,124.21,0,0
CHFHUF,D,19960724,000000,123.51,123.51,123.51,123.51,0,0
CHFHUF,D,19960725,000000,124.3,124.3,124.3,124.3,0,0
CHFHUF,D,19960726,000000,123.71,123.71,123.71,123.71,0,0
CHFHUF,D,19960729,000000,123.75,123.75,123.75,123.75,0,0
CHFHUF,D,19960730,000000,124.49,124.49,124.49,124.49,0,0
CHFHUF,D,19960731,000000,124.98,124.98,124.98,124.98,0,0
CHFHUF,D,19960801,000000,124.48,124.48,124.48,124.48,0,0
CHFHUF,D,19960802,000000,124.3,124.3,124.3,124.3,0,0
CHFHUF,D,19960805,000000,125.13,125.13,125.13,125.13,0,0
CHFHUF,D,19960806,000000,124.25,124.25,124.25,124.25,0,0
CHFHUF,D,19960807,000000,125.03,125.03,125.03,125.03,0,0
CHFHUF,D,19960808,000000,124.45,124.45,124.45,124.45,0,0
CHFHUF,D,19960809,000000,124.09,124.09,124.09,124.09,0,0
CHFHUF,D,19960812,000000,125.59,125.59,125.59,125.59,0,0
CHFHUF,D,19960813,000000,124.69,124.69,124.69,124.69,0,0
CHFHUF,D,19960814,000000,125.44,125.44,125.44,125.44,0,0
CHFHUF,D,19960816,000000,124.98,124.98,124.98,124.98,0,0
CHFHUF,D,19960819,000000,125.16,125.16,125.16,125.16,0,0
CHFHUF,D,19960820,000000,124.9,124.9,124.9,124.9,0,0
CHFHUF,D,19960821,000000,125.9,125.9,125.9,125.9,0,0
CHFHUF,D,19960822,000000,124.91,124.91,124.91,124.91,0,0
CHFHUF,D,19960823,000000,125.08,125.08,125.08,125.08,0,0
CHFHUF,D,19960826,000000,126.48,126.48,126.48,126.48,0,0
CHFHUF,D,19960827,000000,126.33,126.33,126.33,126.33,0,0
CHFHUF,D,19960828,000000,125.95,125.95,125.95,125.95,0,0
CHFHUF,D,19960829,000000,127.03,127.03,127.03,127.03,0,0
CHFHUF,D,19960830,000000,125.04,125.04,125.04,125.04,0,0
CHFHUF,D,19960902,000000,124.92,124.92,124.92,124.92,0,0
CHFHUF,D,19960903,000000,124.68,124.68,124.68,124.68,0,0
CHFHUF,D,19960904,000000,124.59,124.59,124.59,124.59,0,0
CHFHUF,D,19960905,000000,125.93,125.93,125.93,125.93,0,0
CHFHUF,D,19960906,000000,126.42,126.42,126.42,126.42,0,0
CHFHUF,D,19960909,000000,125.36,125.36,125.36,125.36,0,0
CHFHUF,D,19960910,000000,125.08,125.08,125.08,125.08,0,0
CHFHUF,D,19960911,000000,124.54,124.54,124.54,124.54,0,0
CHFHUF,D,19960912,000000,124.37,124.37,124.37,124.37,0,0
CHFHUF,D,19960913,000000,123.92,123.92,123.92,123.92,0,0
CHFHUF,D,19960916,000000,123.5,123.5,123.5,123.5,0,0
CHFHUF,D,19960917,000000,123.75,123.75,123.75,123.75,0,0
