<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFKRW,D,19840109,000000,356.69,356.69,356.69,356.69,0,0
CHFKRW,D,19840116,000000,355.24,355.24,355.24,355.24,0,0
CHFKRW,D,19840123,000000,358.23,358.23,358.23,358.23,0,0
CHFKRW,D,19840130,000000,355.81,355.81,355.81,355.81,0,0
CHFKRW,D,19840206,000000,355.89,355.89,355.89,355.89,0,0
CHFKRW,D,19840213,000000,355.81,355.81,355.81,355.81,0,0
CHFKRW,D,19840220,000000,359.67,359.67,359.67,359.67,0,0
CHFKRW,D,19840301,000000,362.75,362.75,362.75,362.75,0,0
CHFKRW,D,19840305,000000,368.18,368.18,368.18,368.18,0,0
CHFKRW,D,19840312,000000,378.38,378.38,378.38,378.38,0,0
CHFKRW,D,19840319,000000,376.99,376.99,376.99,376.99,0,0
CHFKRW,D,19840326,000000,370.37,370.37,370.37,370.37,0,0
CHFKRW,D,19840402,000000,370,370,370,370,0,0
CHFKRW,D,19840409,000000,368.9,368.9,368.9,368.9,0,0
CHFKRW,D,19840416,000000,367.01,367.01,367.01,367.01,0,0
CHFKRW,D,19840424,000000,363.41,363.41,363.41,363.41,0,0
CHFKRW,D,19840502,000000,362.99,362.99,362.99,362.99,0,0
CHFKRW,D,19840507,000000,355.18,355.18,355.18,355.18,0,0
CHFKRW,D,19840514,000000,353.62,353.62,353.62,353.62,0,0
CHFKRW,D,19840521,000000,353.48,353.48,353.48,353.48,0,0
CHFKRW,D,19840528,000000,354.64,354.64,354.64,354.64,0,0
CHFKRW,D,19840604,000000,353.74,353.74,353.74,353.74,0,0
CHFKRW,D,19840611,000000,361.46,361.46,361.46,361.46,0,0
CHFKRW,D,19840618,000000,354.13,354.13,354.13,354.13,0,0
CHFKRW,D,19840625,000000,352.17,352.17,352.17,352.17,0,0
CHFKRW,D,19840702,000000,346.4,346.4,346.4,346.4,0,0
CHFKRW,D,19840709,000000,344.56,344.56,344.56,344.56,0,0
CHFKRW,D,19840716,000000,341.81,341.81,341.81,341.81,0,0
CHFKRW,D,19840723,000000,336.83,336.83,336.83,336.83,0,0
CHFKRW,D,19840730,000000,331.73,331.73,331.73,331.73,0,0
CHFKRW,D,19840806,000000,331.01,331.01,331.01,331.01,0,0
CHFKRW,D,19840813,000000,333.45,333.45,333.45,333.45,0,0
