<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFXPD,D,19840109,000000,31.463,31.463,31.463,31.463,0,0
CHFXPD,D,19840116,000000,28.912,28.912,28.912,28.912,0,0
CHFXPD,D,19840123,000000,29.538,29.538,29.538,29.538,0,0
CHFXPD,D,19840130,000000,28.224,28.224,28.224,28.224,0,0
CHFXPD,D,19840206,000000,28.519,28.519,28.519,28.519,0,0
CHFXPD,D,19840213,000000,28.513,28.513,28.513,28.513,0,0
CHFXPD,D,19840220,000000,28.647,28.647,28.647,28.647,0,0
CHFXPD,D,19840301,000000,28.968,28.968,28.968,28.968,0,0
CHFXPD,D,19840305,000000,28.477,28.477,28.477,28.477,0,0
CHFXPD,D,19840312,000000,29.873,29.873,29.873,29.873,0,0
CHFXPD,D,19840319,000000,30.008,30.008,30.008,30.008,0,0
CHFXPD,D,19840326,000000,28.646,28.646,28.646,28.646,0,0
CHFXPD,D,19840402,000000,29.359,29.359,29.359,29.359,0,0
CHFXPD,D,19840409,000000,29.088,29.088,29.088,29.088,0,0
CHFXPD,D,19840416,000000,29.085,29.085,29.085,29.085,0,0
CHFXPD,D,19840424,000000,27.681,27.681,27.681,27.681,0,0
CHFXPD,D,19840502,000000,28.65,28.65,28.65,28.65,0,0
CHFXPD,D,19840507,000000,29.204,29.204,29.204,29.204,0,0
CHFXPD,D,19840514,000000,28.641,28.641,28.641,28.641,0,0
CHFXPD,D,19840521,000000,28.407,28.407,28.407,28.407,0,0
CHFXPD,D,19840528,000000,28.5,28.5,28.5,28.5,0,0
CHFXPD,D,19840604,000000,28.542,28.542,28.542,28.542,0,0
CHFXPD,D,19840611,000000,30.193,30.193,30.193,30.193,0,0
CHFXPD,D,19840618,000000,29.08,29.08,29.08,29.08,0,0
CHFXPD,D,19840625,000000,29.564,29.564,29.564,29.564,0,0
CHFXPD,D,19840702,000000,29.147,29.147,29.147,29.147,0,0
CHFXPD,D,19840709,000000,30.809,30.809,30.809,30.809,0,0
CHFXPD,D,19840716,000000,30.585,30.585,30.585,30.585,0,0
CHFXPD,D,19840723,000000,32.574,32.574,32.574,32.574,0,0
CHFXPD,D,19840730,000000,32.206,32.206,32.206,32.206,0,0
CHFXPD,D,19840806,000000,30.408,30.408,30.408,30.408,0,0
CHFXPD,D,19840813,000000,30.496,30.496,30.496,30.496,0,0
CHFXPD,D,19840820,000000,31.344,31.344,31.344,31.344,0,0
CHFXPD,D,19840827,000000,31.456,31.456,31.456,31.456,0,0
CHFXPD,D,19840901,000000,31.658,31.658,31.658,31.658,0,0
CHFXPD,D,19840910,000000,31.2,31.2,31.2,31.2,0,0
CHFXPD,D,19840917,000000,30.996,30.996,30.996,30.996,0,0
CHFXPD,D,19840924,000000,28.866,28.866,28.866,28.866,0,0
CHFXPD,D,19841001,000000,29.149,29.149,29.149,29.149,0,0
CHFXPD,D,19841008,000000,29.556,29.556,29.556,29.556,0,0
CHFXPD,D,19841015,000000,28.444,28.444,28.444,28.444,0,0
CHFXPD,D,19841022,000000,28.113,28.113,28.113,28.113,0,0
CHFXPD,D,19841029,000000,28.755,28.755,28.755,28.755,0,0
CHFXPD,D,19841105,000000,26.62,26.62,26.62,26.62,0,0
CHFXPD,D,19841112,000000,28.85,28.85,28.85,28.85,0,0
CHFXPD,D,19841119,000000,28.991,28.991,28.991,28.991,0,0
CHFXPD,D,19841126,000000,29.118,29.118,29.118,29.118,0,0
CHFXPD,D,19841201,000000,28.533,28.533,28.533,28.533,0,0
CHFXPD,D,19841210,000000,28.844,28.844,28.844,28.844,0,0
CHFXPD,D,19841217,000000,30.927,30.927,30.927,30.927,0,0
CHFXPD,D,19841224,000000,30.915,30.915,30.915,30.915,0,0
CHFXPD,D,19850101,000000,30.686,30.686,30.686,30.686,0,0
CHFXPD,D,19850107,000000,34.647,34.647,34.647,34.647,0,0
CHFXPD,D,19850114,000000,33.312,33.312,33.312,33.312,0,0
CHFXPD,D,19850121,000000,30.694,30.694,30.694,30.694,0,0
CHFXPD,D,19850128,000000,30.248,30.248,30.248,30.248,0,0
CHFXPD,D,19850204,000000,30.671,30.671,30.671,30.671,0,0
CHFXPD,D,19850211,000000,28.366,28.366,28.366,28.366,0,0
CHFXPD,D,19850218,000000,27.828,27.828,27.828,27.828,0,0
CHFXPD,D,19850225,000000,32.702,32.702,32.702,32.702,0,0
CHFXPD,D,19850304,000000,31.796,31.796,31.796,31.796,0,0
CHFXPD,D,19850311,000000,31.173,31.173,31.173,31.173,0,0
CHFXPD,D,19850318,000000,31.539,31.539,31.539,31.539,0,0
CHFXPD,D,19850325,000000,31.799,31.799,31.799,31.799,0,0
CHFXPD,D,19850329,000000,32.12,32.12,32.12,32.12,0,0
CHFXPD,D,19850401,000000,33.969,33.969,33.969,33.969,0,0
CHFXPD,D,19850409,000000,33.486,33.486,33.486,33.486,0,0
CHFXPD,D,19850415,000000,32.779,32.779,32.779,32.779,0,0
CHFXPD,D,19850422,000000,36.269,36.269,36.269,36.269,0,0
CHFXPD,D,19850429,000000,35.144,35.144,35.144,35.144,0,0
CHFXPD,D,19850506,000000,35.137,35.137,35.137,35.137,0,0
CHFXPD,D,19850513,000000,32.85,32.85,32.85,32.85,0,0
