<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPARS,D,19960806,000000,0.23135,0.23135,0.23135,0.23135,0,0
CLPARS,D,19960807,000000,0.23118,0.23118,0.23118,0.23118,0,0
CLPARS,D,19960808,000000,0.23218,0.23218,0.23218,0.23218,0,0
CLPARS,D,19960809,000000,0.23193,0.23193,0.23193,0.23193,0,0
CLPARS,D,19960812,000000,0.23197,0.23197,0.23197,0.23197,0,0
CLPARS,D,19960813,000000,0.23236,0.23236,0.23236,0.23236,0,0
CLPARS,D,19960814,000000,0.23188,0.23188,0.23188,0.23188,0,0
CLPARS,D,19960816,000000,0.23159,0.23159,0.23159,0.23159,0,0
CLPARS,D,19960819,000000,0.23239,0.23239,0.23239,0.23239,0,0
CLPARS,D,19960820,000000,0.23214,0.23214,0.23214,0.23214,0,0
CLPARS,D,19960821,000000,0.23202,0.23202,0.23202,0.23202,0,0
CLPARS,D,19960822,000000,0.2323,0.2323,0.2323,0.2323,0,0
CLPARS,D,19960823,000000,0.23251,0.23251,0.23251,0.23251,0,0
CLPARS,D,19960826,000000,0.23203,0.23203,0.23203,0.23203,0,0
CLPARS,D,19960827,000000,0.23178,0.23178,0.23178,0.23178,0,0
CLPARS,D,19960828,000000,0.23203,0.23203,0.23203,0.23203,0,0
CLPARS,D,19960829,000000,0.23197,0.23197,0.23197,0.23197,0,0
CLPARS,D,19960830,000000,0.23177,0.23177,0.23177,0.23177,0,0
CLPARS,D,19960902,000000,0.2313,0.2313,0.2313,0.2313,0,0
CLPARS,D,19960903,000000,0.23118,0.23118,0.23118,0.23118,0,0
CLPARS,D,19960904,000000,0.23125,0.23125,0.23125,0.23125,0,0
CLPARS,D,19960905,000000,0.23107,0.23107,0.23107,0.23107,0,0
CLPARS,D,19960906,000000,0.2306,0.2306,0.2306,0.2306,0,0
CLPARS,D,19960909,000000,0.23081,0.23081,0.23081,0.23081,0,0
CLPARS,D,19960910,000000,0.23052,0.23052,0.23052,0.23052,0,0
CLPARS,D,19960911,000000,0.23097,0.23097,0.23097,0.23097,0,0
CLPARS,D,19960912,000000,0.2311,0.2311,0.2311,0.2311,0,0
