<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPAUD,D,19931025,000000,0.36224,0.36224,0.36224,0.36224,0,0
CLPAUD,D,19931026,000000,0.3627,0.3627,0.3627,0.3627,0,0
CLPAUD,D,19931027,000000,0.36248,0.36248,0.36248,0.36248,0,0
CLPAUD,D,19931028,000000,0.36574,0.36574,0.36574,0.36574,0,0
CLPAUD,D,19931029,000000,0.36433,0.36433,0.36433,0.36433,0,0
CLPAUD,D,19931102,000000,0.36388,0.36388,0.36388,0.36388,0,0
CLPAUD,D,19931103,000000,0.36078,0.36078,0.36078,0.36078,0,0
CLPAUD,D,19931104,000000,0.35969,0.35969,0.35969,0.35969,0,0
CLPAUD,D,19931105,000000,0.3604,0.3604,0.3604,0.3604,0,0
CLPAUD,D,19931108,000000,0.36086,0.36086,0.36086,0.36086,0,0
CLPAUD,D,19931109,000000,0.36356,0.36356,0.36356,0.36356,0,0
CLPAUD,D,19931110,000000,0.36524,0.36524,0.36524,0.36524,0,0
CLPAUD,D,19931112,000000,0.36501,0.36501,0.36501,0.36501,0,0
CLPAUD,D,19931115,000000,0.36941,0.36941,0.36941,0.36941,0,0
CLPAUD,D,19931116,000000,0.37166,0.37166,0.37166,0.37166,0,0
CLPAUD,D,19931117,000000,0.37034,0.37034,0.37034,0.37034,0,0
CLPAUD,D,19931118,000000,0.36778,0.36778,0.36778,0.36778,0,0
CLPAUD,D,19931119,000000,0.36493,0.36493,0.36493,0.36493,0,0
CLPAUD,D,19931122,000000,0.36691,0.36691,0.36691,0.36691,0,0
CLPAUD,D,19931123,000000,0.36727,0.36727,0.36727,0.36727,0,0
CLPAUD,D,19931124,000000,0.36403,0.36403,0.36403,0.36403,0,0
CLPAUD,D,19931125,000000,0.36331,0.36331,0.36331,0.36331,0,0
CLPAUD,D,19931126,000000,0.36062,0.36062,0.36062,0.36062,0,0
CLPAUD,D,19931129,000000,0.35897,0.35897,0.35897,0.35897,0,0
CLPAUD,D,19931130,000000,0.36152,0.36152,0.36152,0.36152,0,0
CLPAUD,D,19931201,000000,0.36182,0.36182,0.36182,0.36182,0,0
CLPAUD,D,19931202,000000,0.36113,0.36113,0.36113,0.36113,0,0
CLPAUD,D,19931203,000000,0.35594,0.35594,0.35594,0.35594,0,0
CLPAUD,D,19931206,000000,0.35063,0.35063,0.35063,0.35063,0,0
CLPAUD,D,19931207,000000,0.34858,0.34858,0.34858,0.34858,0,0
CLPAUD,D,19931208,000000,0.3516,0.3516,0.3516,0.3516,0,0
CLPAUD,D,19931209,000000,0.35066,0.35066,0.35066,0.35066,0,0
CLPAUD,D,19931210,000000,0.35173,0.35173,0.35173,0.35173,0,0
CLPAUD,D,19931213,000000,0.35272,0.35272,0.35272,0.35272,0,0
CLPAUD,D,19931214,000000,0.34959,0.34959,0.34959,0.34959,0,0
CLPAUD,D,19931215,000000,0.34951,0.34951,0.34951,0.34951,0,0
CLPAUD,D,19931216,000000,0.34912,0.34912,0.34912,0.34912,0,0
CLPAUD,D,19931217,000000,0.34811,0.34811,0.34811,0.34811,0,0
CLPAUD,D,19931220,000000,0.34749,0.34749,0.34749,0.34749,0,0
CLPAUD,D,19931221,000000,0.34605,0.34605,0.34605,0.34605,0,0
CLPAUD,D,19931222,000000,0.34408,0.34408,0.34408,0.34408,0,0
CLPAUD,D,19931223,000000,0.34347,0.34347,0.34347,0.34347,0,0
CLPAUD,D,19931224,000000,0.3444,0.3444,0.3444,0.3444,0,0
CLPAUD,D,19931227,000000,0.34356,0.34356,0.34356,0.34356,0,0
CLPAUD,D,19931228,000000,0.34271,0.34271,0.34271,0.34271,0,0
CLPAUD,D,19931229,000000,0.342,0.342,0.342,0.342,0,0
CLPAUD,D,19931230,000000,0.34601,0.34601,0.34601,0.34601,0,0
CLPAUD,D,19931231,000000,0.34617,0.34617,0.34617,0.34617,0,0
CLPAUD,D,19940103,000000,0.34341,0.34341,0.34341,0.34341,0,0
CLPAUD,D,19940104,000000,0.34204,0.34204,0.34204,0.34204,0,0
CLPAUD,D,19940105,000000,0.33872,0.33872,0.33872,0.33872,0,0
CLPAUD,D,19940106,000000,0.33905,0.33905,0.33905,0.33905,0,0
CLPAUD,D,19940107,000000,0.34001,0.34001,0.34001,0.34001,0,0
CLPAUD,D,19940110,000000,0.33934,0.33934,0.33934,0.33934,0,0
CLPAUD,D,19940111,000000,0.33999,0.33999,0.33999,0.33999,0,0
CLPAUD,D,19940112,000000,0.33538,0.33538,0.33538,0.33538,0,0
CLPAUD,D,19940113,000000,0.33699,0.33699,0.33699,0.33699,0,0
CLPAUD,D,19940114,000000,0.33676,0.33676,0.33676,0.33676,0,0
CLPAUD,D,19940117,000000,0.33744,0.33744,0.33744,0.33744,0,0
CLPAUD,D,19940118,000000,0.33492,0.33492,0.33492,0.33492,0,0
CLPAUD,D,19940119,000000,0.33318,0.33318,0.33318,0.33318,0,0
CLPAUD,D,19940120,000000,0.33189,0.33189,0.33189,0.33189,0,0
CLPAUD,D,19940121,000000,0.32778,0.32778,0.32778,0.32778,0,0
CLPAUD,D,19940124,000000,0.32885,0.32885,0.32885,0.32885,0,0
CLPAUD,D,19940125,000000,0.32988,0.32988,0.32988,0.32988,0,0
CLPAUD,D,19940126,000000,0.3282,0.3282,0.3282,0.3282,0,0
CLPAUD,D,19940127,000000,0.32779,0.32779,0.32779,0.32779,0,0
CLPAUD,D,19940128,000000,0.32656,0.32656,0.32656,0.32656,0,0
CLPAUD,D,19940131,000000,0.32742,0.32742,0.32742,0.32742,0,0
CLPAUD,D,19940201,000000,0.32732,0.32732,0.32732,0.32732,0,0
CLPAUD,D,19940202,000000,0.32545,0.32545,0.32545,0.32545,0,0
CLPAUD,D,19940203,000000,0.32683,0.32683,0.32683,0.32683,0,0
CLPAUD,D,19940204,000000,0.32609,0.32609,0.32609,0.32609,0,0
CLPAUD,D,19940207,000000,0.32603,0.32603,0.32603,0.32603,0,0
CLPAUD,D,19940208,000000,0.32596,0.32596,0.32596,0.32596,0,0
CLPAUD,D,19940209,000000,0.32565,0.32565,0.32565,0.32565,0,0
CLPAUD,D,19940210,000000,0.3273,0.3273,0.3273,0.3273,0,0
CLPAUD,D,19940211,000000,0.3235,0.3235,0.3235,0.3235,0,0
CLPAUD,D,19940214,000000,0.32559,0.32559,0.32559,0.32559,0,0
CLPAUD,D,19940215,000000,0.32839,0.32839,0.32839,0.32839,0,0
CLPAUD,D,19940216,000000,0.33062,0.33062,0.33062,0.33062,0,0
CLPAUD,D,19940217,000000,0.32952,0.32952,0.32952,0.32952,0,0
CLPAUD,D,19940218,000000,0.32778,0.32778,0.32778,0.32778,0,0
CLPAUD,D,19940221,000000,0.32663,0.32663,0.32663,0.32663,0,0
CLPAUD,D,19940222,000000,0.32782,0.32782,0.32782,0.32782,0,0
CLPAUD,D,19940223,000000,0.3241,0.3241,0.3241,0.3241,0,0
CLPAUD,D,19940224,000000,0.32266,0.32266,0.32266,0.32266,0,0
CLPAUD,D,19940225,000000,0.31991,0.31991,0.31991,0.31991,0,0
CLPAUD,D,19940228,000000,0.32352,0.32352,0.32352,0.32352,0,0
CLPAUD,D,19940301,000000,0.32675,0.32675,0.32675,0.32675,0,0
